,PLAAAF~1,
Wavenumbers [1/cm],Intensity,
1553.057,1290.767,
1550.146,1265.3046,
1547.235,1207.1917,
1544.325,1223.8372,
1541.414,1222.3866,
1538.504,1181.8911,
1535.593,1193.1088,
1532.683,1208.1433,
1529.772,1203.5811,
1526.861,1199.5708,
1523.951,1163.5957,
1521.040,1131.7689,
1518.130,1117.511,
1515.219,1125.4888,
1512.309,1158.8265,
1509.398,1139.9096,
1506.487,1161.1714,
1503.577,1140.1962,
1500.666,1106.3013,
1497.756,1158.1308,
1494.845,1108.6502,
1491.934,1118.2563,
1489.024,1120.1813,
1486.113,1071.1076,
1483.203,1085.9015,
1480.292,1083.1589,
1477.382,1100.0315,
1474.471,1091.9719,
1471.560,1074.4623,
1468.650,1117.7624,
1465.739,1125.5187,
1462.829,1071.8919,
1459.918,1066.6646,
1457.008,1091.8193,
1454.097,1097.1743,
1451.186,1082.4473,
1448.276,1086.8158,
1445.365,1129.3566,
1442.455,1137.7359,
1439.544,1163.6868,
1436.633,1122.5221,
1433.723,1136.3656,
1430.812,1158.1761,
1427.902,1155.9196,
1424.991,1100.0016,
1422.081,1128.5267,
1419.170,1129.5219,
1416.259,1138.9708,
1413.349,1147.2919,
1410.438,1168.8438,
1407.528,1170.1688,
1404.617,1163.9015,
1401.707,1171.259,
1398.796,1184.4423,
1395.885,1173.7144,
1392.975,1166.5423,
1390.064,1201.8419,
1387.154,1213.6144,
1384.243,1208.7673,
1381.332,1205.6061,
1378.422,1162.8102,
1375.511,1212.4596,
1372.601,1214.1716,
1369.690,1222.8222,
1366.780,1298.7013,
1363.869,1282.6526,
1360.958,1287.0758,
1358.048,1315.8293,
1355.137,1342.3921,
1352.227,1349.2173,
1349.316,1322.6421,
1346.406,1305.2577,
1343.495,1341.9835,
1340.584,1360.8925,
1337.674,1380.3204,
1334.763,1365.2733,
1331.853,1392.163,
1328.942,1381.687,
1326.032,1370.4626,
1323.121,1337.8705,
1320.210,1385.851,
1317.300,1370.3924,
1314.389,1382.9314,
1311.479,1414.6384,
1308.568,1405.4827,
1305.657,1406.4737,
1302.747,1395.6653,
1299.836,1409.2353,
1296.926,1465.4809,
1294.015,1448.9331,
1291.105,1490.516,
1288.194,1501.8412,
1285.283,1566.9743,
1282.373,1578.961,
1279.462,1601.4455,
1276.552,1610.4547,
1273.641,1601.3606,
1270.731,1595.0798,
1267.820,1541.9649,
1264.909,1536.5141,
1261.999,1561.3485,
1259.088,1591.4485,
1256.178,1608.6662,
1253.267,1588.2341,
1250.356,1579.2182,
1247.446,1527.2047,
1244.535,1497.6919,
1241.625,1489.7167,
1238.714,1463.5796,
1235.804,1440.5802,
1232.893,1391.7554,
1229.982,1366.4221,
1227.072,1341.9786,
1224.161,1352.0171,
1221.251,1312.5575,
1218.340,1299.5456,
1215.430,1285.3855,
1212.519,1251.9703,
1209.608,1236.5269,
1206.698,1243.7604,
1203.787,1203.3957,
1200.877,1169.5933,
1197.966,1223.5428,
1195.055,1282.5644,
1192.145,1317.0443,
1189.234,1311.6254,
1186.324,1329.8888,
1183.413,1356.9911,
1180.503,1367.9598,
1177.592,1369.6741,
1174.681,1348.8425,
1171.771,1331.673,
1168.860,1306.6665,
1165.950,1280.8676,
1163.039,1268.9644,
1160.129,1242.6558,
1157.218,1220.4812,
1154.307,1237.6246,
1151.397,1267.6049,
1148.486,1239.6506,
1145.576,1235.1321,
1142.665,1209.3826,
1139.754,1232.4725,
1136.844,1220.0421,
1133.933,1227.4992,
1131.023,1211.8126,
1128.112,1170.1089,
1125.202,1158.878,
1122.291,1190.746,
1119.380,1180.25,
1116.470,1180.25,
1113.559,1219.6857,
1110.649,1212.9143,
1107.738,1192.5336,
1104.828,1202.3906,
1101.917,1218.5987,
1099.006,1197.8066,
1096.096,1219.9488,
1093.185,1231.3628,
1090.275,1202.307,
1087.364,1180.8414,
1084.453,1182.687,
1081.543,1201.5202,
1078.632,1203.774,
1075.722,1180.0799,
1072.811,1205.6844,
1069.901,1211.7972,
1066.990,1212.25,
1064.079,1223.8187,
1061.169,1244.7144,
1058.258,1253.8621,
1055.348,1254.8352,
1052.437,1268.086,
1049.527,1266.8808,
1046.616,1257.3236,
1043.705,1231.5855,
1040.795,1245.9592,
1037.884,1262.8016,
1034.974,1272.4639,
1032.063,1281.0115,
1029.153,1279.6268,
1026.242,1274.4371,
1023.331,1303.4148,
1020.421,1312.0384,
1017.510,1330.6186,
1014.600,1336.2143,
1011.689,1310.4263,
1008.778,1262.9872,
1005.868,1203.5512,
1002.957,1237.105,
1000.047,1275.738,
997.136,1382.2221,
994.226,1463.419,
991.315,1471.8985,
988.404,1451.0062,
985.494,1465.039,
982.583,1455.6169,
979.673,1419.131,
976.762,1420.3405,
973.852,1409.9175,
970.941,1398.4763,
968.030,1435.4061,
965.120,1453.1927,
962.209,1439.552,
959.299,1442.916,
956.388,1459.2491,
953.477,1457.5081,
950.567,1441.08,
947.656,1445.6929,
944.746,1441.4452,
941.835,1481.7407,
938.925,1493.2242,
936.014,1479.0752,
933.103,1465.6624,
930.193,1463.4558,
927.282,1442.2335,
924.372,1405.0268,
921.461,1400.9864,
918.551,1395.4407,
915.640,1373.8273,
912.729,1364.2045,
909.819,1400.8043,
906.908,1389.8528,
903.998,1382.8871,
901.087,1382.523,
898.176,1395.6571,
895.266,1421.3112,
892.355,1449.6059,
889.445,1462.1949,
886.534,1459.7454,
883.624,1455.213,
880.713,1447.1257,
877.802,1397.4787,
874.892,1278.2968,
871.981,1109.5153,
869.071,909.01619,
866.160,988.7833,
863.250,1170.2523,
860.339,1331.9229,
857.428,1409.2935,
854.518,1402.7947,
851.607,1317.9236,
848.697,1182.882,
845.786,1091.4034,
842.875,1128.2083,
839.965,1288.2702,
837.054,1416.7524,
834.144,1461.505,
831.233,1462.9172,
828.323,1473.098,
825.412,1476.3033,
822.501,1445.803,
819.591,1404.483,
816.680,1423.2821,
813.770,1396.9249,
810.859,1397.2021,
807.949,1407.0207,
805.038,1373.9425,
802.127,1387.9356,
799.217,1398.1947,
796.306,1392.1689,
793.396,1403.9372,
790.485,1422.9316,
787.574,1385.9314,
784.664,1430.2175,
781.753,1418.7915,
778.843,1414.6409,
775.932,1426.7314,
773.022,1437.8265,
770.111,1415.7519,
767.200,1427.9536,
764.290,1422.4261,
761.379,1418.7948,
758.469,1420.6925,
755.558,1407.4445,
752.648,1413.9613,
749.737,1419.8195,
746.826,1405.466,
743.916,1404.1204,
741.005,1444.1058,
738.095,1389.71,
735.184,1331.7657,
732.274,1289.6882,
729.363,1278.6558,
726.452,1309.8678,
723.542,1390.8071,
720.631,1406.7181,
717.721,1401.0845,
714.810,1394.25,
711.899,1395.755,
708.989,1402.2104,
706.078,1420.68,
703.168,1430.715,
700.257,1423.9357,
697.347,1411.8584,
694.436,1420.7917,
691.525,1403.9118,
688.615,1393.9609,
685.704,1391.5451,
682.794,1399.8031,
679.883,1422.115,
676.973,1441.3479,
674.062,1463.7544,
671.151,1449.7035,
668.241,1418.9647,
665.330,1420.6071,
662.420,1407.0287,
659.509,1422.0281,
656.598,1427.057,
653.688,1430.1418,
650.777,1460.5768,
647.867,1381.7403,
644.956,1341.3414,
642.046,1292.4238,
639.135,1246.6037,
636.224,1259.5842,
633.314,1326.275,
630.403,1384.6347,
627.493,1412.8659,
624.582,1424.61,
621.672,1480.0496,
618.761,1464.0115,
615.850,1480.2895,
612.940,1492.7854,
610.029,1487.1163,
607.119,1516.3327,
604.208,1532.0302,
601.297,1540.2411,
598.387,1537.2307,
595.476,1520.4673,
592.566,1501.5777,
589.655,1518.9825,
586.745,1518.9668,
583.834,1493.2708,
580.923,1454.3779,
578.013,1475.5658,
575.102,1471.499,
572.192,1467.4656,
569.281,1481.2642,
566.371,1525.8737,
563.460,1509.7914,
560.549,1502.2246,
557.639,1513.9925,
554.728,1541.2299,
551.818,1509.2369,
548.907,1505.2971,
545.996,1500.6406,
543.086,1496.9605,
540.175,1528.1063,
537.265,1555.5998,
534.354,1568.7618,
531.444,1566.3982,
528.533,1552.1329,
525.622,1564.5481,
522.712,1566.6432,
519.801,1567.3956,
516.891,1577.8578,
513.980,1620.4441,
511.070,1597.4848,
508.159,1640.6926,
505.248,1696.9953,
502.338,1688.5603,
499.427,1733.3266,
496.517,1750.9066,
493.606,1746.5012,
490.695,1727.8592,
487.785,1717.8519,
484.874,1722.066,
481.964,1709.4694,
479.053,1690.7433,
476.143,1705.3346,
473.232,1678.9127,
470.321,1686.7399,
467.411,1705.7435,
464.500,1704.2112,
461.590,1702.6797,
458.679,1703.3506,
455.769,1718.4279,
452.858,1749.8863,
449.947,1755.9977,
447.037,1746.3283,
444.126,1755.5167,
441.216,1785.4989,
438.305,1798.4517,
435.395,1771.402,
432.484,1765.8353,
429.573,1756.1747,
426.663,1657.3564,
423.752,1417.7069,
420.842,1055.1122,
417.931,720.84125,
415.020,641.972,
412.110,1101.6295,
409.199,1458.0469,
406.289,1629.636,
403.378,1557.1194,
400.468,1518.5637,
397.557,1524.2452,
394.646,1594.0417,
391.736,1739.0609,
388.825,1795.6282,
385.915,1799.4774,
383.004,1802.5272,
380.094,1839.632,
377.183,1866.7212,
374.272,1875.3356,
371.362,1881.8422,
368.451,1895.478,
365.541,1899.2306,
362.630,1924.2846,
359.719,1944.8419,
356.809,1947.1562,
353.898,1962.1321,
350.988,1931.5308,
348.077,1907.4774,
345.167,1918.8499,
342.256,1891.2083,
339.345,1931.0789,
336.435,1967.4206,
333.524,1952.344,
330.614,1955.3246,
327.703,1949.0623,
324.793,1946.3747,
321.882,1958.2734,
318.971,1967.9382,
316.061,1971.7383,
313.150,1955.6215,
310.240,1902.1891,
307.329,1970.2844,
304.418,1983.6595,
301.508,1975.5054,
298.597,2010.305,
295.687,2001.7369,
292.776,2000.8334,
289.866,2021.7292,
286.955,2090.4307,
284.044,2133.7725,
281.134,2159.5449,
278.223,2181.7826,
275.313,2260.6261,
272.402,2250.5285,
269.492,2184.3558,
266.581,2080.6225,
263.670,2043.8635,
260.760,2077.1302,
257.849,2148.3019,
254.939,2237.1017,
252.028,2242.5931,
249.117,2278.5121,
246.207,2336.4864,
243.296,2403.1017,
240.386,2417.4329,
237.475,2447.7589,
234.565,2486.4539,
231.654,2462.3512,
228.743,2427.9062,
225.833,2393.4444,
222.922,2366.866,
220.012,2422.9647,
217.101,2412.7885,
214.191,2387.6212,
211.280,2402.1705,
208.369,2418.7247,
205.459,2452.6005,
202.548,2487.9881,
199.638,2463.3161,
196.727,2491.0943,
193.816,2522.1735,
190.906,2537.5389,
187.995,2517.2663,
185.085,2534.3656,
182.174,2566.7347,
179.264,2586.9722,
176.353,2593.0947,
173.442,2587.6363,
170.532,2564.8412,
167.621,2484.0919,
164.711,2398.1307,
161.800,2285.4445,
158.890,2124.9452,
155.979,1984.4159,
153.068,1834.4565,
150.158,1660.0098,
147.247,1405.8547,
144.337,1176.9395,
141.426,939.37733,
138.516,676.27825,
135.605,497.68028,
132.694,333.70592,
129.784,197.40357,
126.873,136.61754,
123.963,96.934634,
121.052,69.451059,
118.141,52.317411,
115.231,35.906882,
112.320,28.402728,
109.410,25.341026,
106.499,15.370853,
103.589,18.29229,
100.678,21.435135,
97.767,19.302322,
94.857,16.478044,
91.946,13.637557,
89.036,11.024204,
86.125,9.6057936,
83.215,8.1881593,
80.304,5.5739712,
77.393,0.61678165,
74.483,6.8013496,
71.572,9.8876479,
68.662,9.111465,
65.751,7.6985628,
62.840,6.286596,
59.930,5.0627138,
57.019,4.3576318,
54.109,4.25,
51.198,3.3451722,
48.288,1.2726498,
45.377,4.086162,
42.466,6.486658,
39.556,7.2139328,
36.645,0.89422086,
33.735,-0.75,
30.824,-0.97088697,
27.914,-1.6720622,
25.003,-1.1273625,
22.092,1.8332365,
19.182,7.7305401,
16.271,22.419833,
13.361,70.817256,
10.450,131.77398,
7.539,146.43861,
4.629,-10.327067,
1.718,-233.23398,
-1.192,-469.56598,
-4.103,-482.73525,
-7.013,-329.16351,
-9.924,-2.75,
