,PL9AB7~1,
Wavenumbers [1/cm],Intensity,
1815.009,1259.0433,
1812.098,1213.2323,
1809.188,1274.0967,
1806.277,1263.832,
1803.366,1231.9492,
1800.456,1257.5108,
1797.545,1237.3654,
1794.635,1217.5942,
1791.724,1281.772,
1788.813,1239.5154,
1785.903,1287.5,
1782.992,1275.4284,
1780.082,1236.1735,
1777.171,1213.4957,
1774.261,1192.0249,
1771.350,1217.326,
1768.439,1274.3303,
1765.529,1311.7788,
1762.618,1343.7362,
1759.708,1339.5652,
1756.797,1344.6515,
1753.887,1370.758,
1750.976,1348.2238,
1748.065,1357.5952,
1745.155,1355.3131,
1742.244,1343.8107,
1739.334,1344.1306,
1736.423,1371.0551,
1733.512,1392.687,
1730.602,1332.9186,
1727.691,1362.1656,
1724.781,1427.8409,
1721.870,1439.0857,
1718.960,1434.3888,
1716.049,1441.8897,
1713.138,1458.0349,
1710.228,1420.4663,
1707.317,1483.4966,
1704.407,1465.5481,
1701.496,1488.0233,
1698.586,1486.8041,
1695.675,1489.3071,
1692.764,1490.4467,
1689.854,1501.9803,
1686.943,1519.8929,
1684.033,1607.2896,
1681.122,1627.1941,
1678.211,1567.0806,
1675.301,1592.4198,
1672.390,1667.4551,
1669.480,1653.1016,
1666.569,1727.4492,
1663.659,1724.7739,
1660.748,1802.8883,
1657.837,1872.2097,
1654.927,1815.0154,
1652.016,1837.6178,
1649.106,1883.7241,
1646.195,1931.7328,
1643.285,1901.252,
1640.374,1934.5035,
1637.463,1982.6529,
1634.553,2046.1354,
1631.642,2089.7812,
1628.732,2206.7963,
1625.821,2256.623,
1622.911,2443.4406,
1620.000,2509.6685,
1617.089,2717.301,
1614.179,2876.016,
1611.268,3036.4772,
1608.358,3170.2257,
1605.447,3283.0437,
1602.536,3314.661,
1599.626,3324.7794,
1596.715,3344.5596,
1593.805,3315.1984,
1590.894,3330.8747,
1587.984,3288.4632,
1585.073,3204.0757,
1582.162,3173.8023,
1579.252,3132.8581,
1576.341,3109.2798,
1573.431,3110.9822,
1570.520,3097.2125,
1567.610,3076.1076,
1564.699,3034.2485,
1561.788,3012.7536,
1558.878,2982.1895,
1555.967,2907.3975,
1553.057,2881.2413,
1550.146,2805.8384,
1547.235,2736.4289,
1544.325,2714.5826,
1541.414,2697.1588,
1538.504,2659.2409,
1535.593,2626.657,
1532.683,2582.3703,
1529.772,2545.2624,
1526.861,2512.8532,
1523.951,2472.6087,
1521.040,2488.2052,
1518.130,2426.3627,
1515.219,2390.4599,
1512.309,2387.0765,
1509.398,2356.3442,
1506.487,2332.9727,
1503.577,2319.2598,
1500.666,2350.8891,
1497.756,2292.407,
1494.845,2314.0992,
1491.934,2280.4811,
1489.024,2274.7061,
1486.113,2264.3006,
1483.203,2208.4336,
1480.292,2152.2863,
1477.382,2134.6093,
1474.471,2152.4519,
1471.560,2125.1194,
1468.650,2081.7527,
1465.739,2056.6117,
1462.829,2059.4523,
1459.918,2043.9529,
1457.008,2057.9773,
1454.097,2075.5596,
1451.186,2084.6199,
1448.276,2113.7034,
1445.365,2100.6777,
1442.455,2070.2743,
1439.544,2022.3329,
1436.633,2039.0045,
1433.723,2027.2357,
1430.812,2055.9932,
1427.902,2000.9657,
1424.991,2062.5703,
1422.081,1984.6795,
1419.170,1990.4609,
1416.259,1989.2597,
1413.349,2002.8496,
1410.438,1938.9216,
1407.528,1968.7242,
1404.617,1964.5109,
1401.707,1967.6467,
1398.796,2018.9894,
1395.885,2012.3619,
1392.975,1978.4382,
1390.064,2016.6236,
