,PL95AD~1,
Wavenumbers [1/cm],Intensity,
1832.472,340.96522,
1829.562,343,
1826.651,332.05956,
1823.740,335.00768,
1820.830,338,
1817.919,352.65878,
1815.009,346.58143,
1812.098,345,
1809.188,360.00772,
1806.277,349.26558,
1803.366,347.85027,
1800.456,341.14333,
1797.545,375.41857,
1794.635,347.16196,
1791.724,332.6213,
1788.813,349.59177,
1785.903,320.01359,
1782.992,296.26971,
1780.082,239.58512,
1777.171,162.99303,
1774.261,143.93514,
1771.350,208.63477,
1768.439,309.42839,
1765.529,349.72967,
1762.618,379.9769,
1759.708,378.63026,
1756.797,364.15152,
1753.887,398.15597,
1750.976,386.44111,
1748.065,367.75883,
1745.155,364.33554,
1742.244,384.49905,
1739.334,392.89177,
1736.423,379.69534,
1733.512,395.37404,
1730.602,385.04759,
1727.691,394.35321,
1724.781,404.50604,
1721.870,423.70487,
1718.960,397.57741,
1716.049,406.10154,
1713.138,416.69496,
1710.228,408.42673,
1707.317,415.84571,
1704.407,440.35833,
1701.496,454.85012,
1698.586,445.83617,
1695.675,459.97134,
1692.764,463.84017,
1689.854,464,
1686.943,479.46039,
1684.033,487.80131,
1681.122,481.11895,
1678.211,441.38069,
1675.301,468.91366,
1672.390,505.95215,
1669.480,489.83154,
1666.569,469.44436,
1663.659,503.96734,
1660.748,501.96144,
1657.837,501.1591,
1654.927,552.17998,
1652.016,517.73271,
1649.106,508.24853,
1646.195,557.44854,
1643.285,535.5013,
1640.374,555.9129,
1637.463,506.90954,
1634.553,610.57144,
1631.642,582.02172,
1628.732,584.01778,
1625.821,587.00523,
1622.911,594.95492,
1620.000,636.47085,
1617.089,654.64179,
1614.179,591.83307,
1611.268,658.36037,
1608.358,679.11036,
1605.447,687.54292,
1602.536,704.77397,
1599.626,682.08175,
1596.715,702.69003,
1593.805,697.84534,
1590.894,692.59665,
1587.984,690.26782,
1585.073,664.4755,
1582.162,670.85352,
1579.252,674.6366,
1576.341,693.42446,
1573.431,683.11969,
1570.520,666.00559,
1567.610,669.4511,
1564.699,668.37485,
1561.788,678.97172,
1558.878,671.71026,
1555.967,664.67867,
1553.057,692.70661,
1550.146,676.42917,
1547.235,670.75816,
1544.325,665.16511,
1541.414,668.1216,
1538.504,673.80676,
1535.593,670.4084,
1532.683,686.40364,
1529.772,691.94389,
1526.861,667.52782,
1523.951,638.93654,
1521.040,632.6197,
1518.130,660.1665,
1515.219,667.32065,
1512.309,647.97298,
1509.398,657.64448,
1506.487,664.8895,
1503.577,677.44804,
1500.666,627.26047,
1497.756,670.22049,
1494.845,684.27961,
1491.934,666.99685,
1489.024,666.03436,
1486.113,652.09177,
1483.203,656.32901,
1480.292,683.30386,
1477.382,709.8227,
1474.471,687.37436,
1471.560,675.37167,
1468.650,702.01422,
1465.739,702.1902,
1462.829,673.51457,
1459.918,686.07206,
1457.008,690.73824,
1454.097,685.09179,
1451.186,708.39652,
1448.276,724.84485,
1445.365,725.74961,
1442.455,733.5727,
1439.544,749.50129,
1436.633,709.44884,
1433.723,802.63519,
1430.812,776.8574,
1427.902,749.6843,
1424.991,736.41563,
1422.081,799.30592,
1419.170,773.89383,
1416.259,790.06164,
1413.349,777.62946,
1410.438,762.20308,
1407.528,802.41818,
1404.617,802.34061,
1401.707,814.67667,
1398.796,841.94405,
1395.885,834.31882,
1392.975,817.74982,
1390.064,808.82276,
1387.154,809.27125,
1384.243,826.55294,
1381.332,846.04814,
1378.422,753.04322,
1375.511,812.06042,
1372.601,837.8824,
1369.690,793.70999,
1366.780,827.18583,
1363.869,857.61488,
1360.958,867.64087,
1358.048,886.20604,
1355.137,889.58906,
1352.227,879.25489,
1349.316,857.72504,
1346.406,821.33651,
1343.495,805.99652,
1340.584,810.07135,
1337.674,813.49919,
1334.763,800.85886,
1331.853,797.14993,
1328.942,807.67357,
1326.032,795.13445,
1323.121,767.54817,
1320.210,745.01566,
1317.300,718.52234,
1314.389,697.29152,
1311.479,704.41737,
1308.568,714.37941,
1305.657,697.31425,
1302.747,688.55182,
1299.836,671.36855,
1296.926,673.14542,
1294.015,654.75895,
1291.105,653.11946,
1288.194,637.02514,
1285.283,669.51616,
1282.373,684,
1279.462,681.80396,
1276.552,667.45664,
1273.641,660.59213,
1270.731,649.18356,
1267.820,585.76783,
1264.909,567.68189,
1261.999,609.99863,
1259.088,637.36227,
1256.178,671.54534,
1253.267,657.82011,
1250.356,650.64549,
1247.446,624.77073,
1244.535,619.88389,
1241.625,637.84443,
1238.714,636.59323,
1235.804,611.00976,
1232.893,584.62712,
1229.982,575.15332,
1227.072,579.67988,
1224.161,602.6936,
1221.251,592.10982,
1218.340,567.56564,
1215.430,555.34839,
1212.519,537.70066,
1209.608,530.40315,
1206.698,550.70207,
1203.787,538.39195,
1200.877,507.27563,
1197.966,495.58656,
1195.055,536.80918,
1192.145,547.00537,
1189.234,541.51208,
1186.324,547.81912,
1183.413,544.95938,
1180.503,538.08237,
1177.592,554.09095,
1174.681,555.29796,
1171.771,517.1539,
1168.860,567.16691,
1165.950,502.65911,
1163.039,504.85688,
1160.129,515.35942,
1157.218,499.6935,
1154.307,493.24383,
1151.397,516.08543,
1148.486,519.75215,
1145.576,506.38324,
1142.665,492.17663,
1139.754,477.98194,
1136.844,498.8103,
1133.933,499.6159,
1131.023,491.11162,
1128.112,486.14327,
1125.202,477.13528,
1122.291,468.63478,
1119.380,493.63623,
1116.470,456.57004,
1113.559,475.19747,
1110.649,497.7163,
1107.738,485.1031,
1104.828,467,
1101.917,469.66283,
1099.006,477.05152,
1096.096,480.44115,
1093.185,454.97908,
1090.275,440.05168,
1087.364,466.50328,
1084.453,468.18825,
1081.543,459,
1078.632,458.05982,
1075.722,458.25673,
1072.811,466.07638,
1069.901,439.00529,
1066.990,459.63328,
1064.079,465.68051,
1061.169,470.41841,
1058.258,458.75452,
1055.348,448.87646,
1052.437,474.01607,
1049.527,468.36224,
1046.616,451.85448,
1043.705,462.33224,
1040.795,451.31439,
1037.884,463.22951,
1034.974,473.68944,
1032.063,463.72288,
1029.153,482.41545,
1026.242,485.87527,
1023.331,446.00256,
1020.421,455.42754,
1017.510,482.60965,
1014.600,498.84586,
1011.689,487.45691,
1008.778,445.73722,
1005.868,386.19305,
1002.957,407.70191,
1000.047,413.912,
997.136,474.3199,
994.226,521.79991,
991.315,518.03961,
988.404,497.70178,
985.494,521.88492,
982.583,516.74558,
979.673,503.56201,
976.762,500.1742,
973.852,500.11598,
970.941,503.74209,
968.030,511.24272,
965.120,490.07876,
962.209,508.83469,
959.299,506.33401,
956.388,501.20018,
953.477,501.46616,
950.567,507.87566,
947.656,517.22552,
944.746,526.57063,
941.835,518.90187,
938.925,528.8449,
936.014,535,
933.103,528.29121,
930.193,518.99635,
927.282,528.98354,
924.372,491.77684,
921.461,506.14641,
918.551,503.12413,
915.640,491.75056,
912.729,485.46329,
909.819,487.00253,
906.908,509.74801,
903.998,511,
901.087,503.99843,
898.176,509.5439,
895.266,514.28682,
892.355,505.76943,
889.445,525.91185,
886.534,533.51385,
883.624,526.25318,
880.713,509.2411,
877.802,484.84129,
874.892,440.48994,
871.981,340.83739,
869.071,164.56527,
866.160,221.62488,
863.250,346.96926,
860.339,451.13212,
857.428,501.82618,
854.518,516.17054,
851.607,452.93328,
848.697,384.22336,
845.786,338.27929,
842.875,340.97291,
839.965,397.60243,
837.054,478.05582,
834.144,483.02834,
831.233,520.66401,
828.323,534.05428,
825.412,527.71215,
822.501,524.55318,
819.591,522.07398,
816.680,515.58973,
813.770,515.25301,
810.859,505.17022,
807.949,508.26105,
805.038,547.41592,
802.127,517.78333,
799.217,515,
796.306,511.027,
793.396,528.6338,
790.485,553.20852,
787.574,525.40119,
784.664,562.30624,
781.753,564.9741,
778.843,547.31737,
775.932,530.38273,
773.022,528.7464,
770.111,527.11125,
767.200,539.181,
764.290,529.13093,
761.379,519.39387,
758.469,522.92973,
755.558,533.39218,
752.648,513.02709,
749.737,507.69442,
746.826,515.8582,
743.916,529.3507,
741.005,532.58941,
738.095,484.68867,
735.184,450.39761,
732.274,434.79282,
729.363,433.01738,
726.452,446.7939,
723.542,501.02325,
720.631,515.46809,
717.721,539.0496,
714.810,546.76709,
711.899,536.88119,
708.989,544.95044,
706.078,544.1987,
703.168,547.0361,
700.257,549.82514,
697.347,548.82632,
694.436,541.30551,
691.525,552.55878,
688.615,568.20714,
685.704,559.16395,
682.794,539.10636,
679.883,546.2523,
676.973,551.8619,
674.062,561.29507,
671.151,558.98672,
668.241,544.0438,
665.330,525.18908,
662.420,529.18274,
659.509,571.27052,
656.598,580.71925,
653.688,565.45064,
650.777,574.8128,
647.867,510.31024,
644.956,496,
642.046,476.51389,
639.135,456.12671,
636.224,483.06764,
633.314,496.56459,
630.403,524.23964,
627.493,540.61593,
624.582,552.18343,
621.672,606.83102,
618.761,584.68194,
615.850,578.10198,
612.940,582.07381,
610.029,593.91851,
607.119,629.45189,
604.208,608.14954,
601.297,609.46591,
598.387,625.29948,
595.476,631.39469,
592.566,582.59646,
589.655,570.76055,
586.745,565.52825,
583.834,564.29376,
580.923,575.98578,
578.013,573.63158,
575.102,593.07559,
572.192,587.2775,
569.281,555.62399,
566.371,586.92895,
563.460,564.60314,
560.549,569.59292,
557.639,596.74253,
554.728,622.79736,
551.818,572.07682,
548.907,587.20477,
545.996,600.88968,
543.086,595.66447,
540.175,594.10718,
537.265,593.27572,
534.354,605.54227,
531.444,611.03355,
528.533,593.9381,
525.622,607.1292,
522.712,579.05558,
519.801,589.55041,
516.891,636.33942,
513.980,623.17638,
511.070,640.31303,
508.159,636.06084,
505.248,631.0116,
502.338,655.47443,
499.427,671.6829,
496.517,672.60606,
493.606,665.28911,
490.695,655.57206,
487.785,652.4929,
484.874,674.61784,
481.964,674.95693,
479.053,659.28701,
476.143,664.66274,
473.232,647.73431,
470.321,656.08387,
467.411,670.98696,
464.500,667.76728,
461.590,658.5784,
458.679,656.55029,
455.769,655.42468,
452.858,654.54512,
449.947,678.99092,
447.037,672.47155,
444.126,677.56969,
441.216,691.32727,
438.305,647.13524,
435.395,669.19237,
432.484,685.25026,
429.573,671.37982,
426.663,604.48744,
423.752,428.82976,
420.842,185.5695,
417.931,-4.3646855,
415.020,36.586653,
412.110,280.16395,
409.199,472.66737,
406.289,577.06433,
403.378,564.86937,
400.468,526.31365,
397.557,526.85374,
394.646,560.817,
391.736,620.9658,
388.825,651.13505,
385.915,656.27464,
383.004,664.99282,
380.094,695.38389,
377.183,702.90865,
374.272,696.85829,
371.362,707.65964,
368.451,749.08818,
365.541,734.07746,
362.630,721.26015,
359.719,719.32742,
356.809,732.67964,
353.898,743.91161,
350.988,738.32021,
348.077,726.06305,
345.167,713.20533,
342.256,697.51689,
339.345,711.06871,
336.435,717.83945,
333.524,694.21139,
330.614,700.91779,
327.703,720.45578,
324.793,728.49289,
321.882,704,
318.971,704,
316.061,716.20785,
313.150,717.68336,
310.240,681.31968,
307.329,722.16358,
304.418,706.17137,
301.508,680.19388,
298.597,729.80181,
295.687,734,
292.776,742.75005,
289.866,753.44309,
286.955,746.05584,
284.044,776.62497,
281.134,805.36806,
278.223,822.78444,
275.313,821.31073,
272.402,845.39793,
269.492,812.93726,
266.581,706.36632,
263.670,725.481,
260.760,720.02995,
257.849,737.20248,
254.939,814.99404,
252.028,810.93309,
249.117,833.66868,
246.207,870.76584,
243.296,900.77935,
240.386,943.1795,
237.475,990.12471,
234.565,1022.6822,
231.654,963.52117,
228.743,975.16546,
225.833,986.90207,
222.922,974.42689,
220.012,1005.0262,
217.101,1010.5836,
214.191,1017.5837,
211.280,1056.1392,
208.369,1039.4884,
205.459,1055.1528,
202.548,1085.7298,
199.638,1043.6421,
196.727,1075.3351,
193.816,1107.4082,
190.906,1112.8476,
187.995,1108.5035,
185.085,1113.62,
182.174,1125.5053,
179.264,1142.1289,
176.353,1139.5145,
173.442,1123.9479,
170.532,1091.0872,
167.621,1006.012,
164.711,977.21876,
161.800,952.5846,
158.890,895.72612,
155.979,786.86966,
153.068,718.22327,
150.158,676.9074,
147.247,605.83013,
144.337,503.56591,
141.426,391.57253,
138.516,278.30371,
135.605,184.25954,
132.694,115.06149,
129.784,68.400799,
126.873,44.801514,
123.963,39.43093,
121.052,30.784613,
118.141,10.081455,
115.231,4.3154372,
112.320,6.2363593,
109.410,11.181868,
106.499,6.9089371,
103.589,3.7589821,
100.678,4.4445953,
97.767,10.843034,
94.857,8.9210329,
91.946,2.7595587,
89.036,-4.6613063,
86.125,-2.5336905,
83.215,-0.93815929,
80.304,-1.6760288,
77.393,-6.6332184,
74.483,-0.44865042,
71.572,5.8988169,
68.662,9.6839175,
65.751,-3.738653,
62.840,-3.1829802,
59.930,1.6254276,
57.019,0.21526363,
54.109,-5.3744476,
51.198,-7.7935629,
48.288,-4.9603629,
45.377,-0.03671644,
42.466,0.35112264,
39.556,-2.3453557,
36.645,-4.4519264,
33.735,-0.32676381,
30.824,1.1284693,
27.914,-7.9868088,
25.003,-4.6415377,
22.092,0.58323646,
19.182,6.1830629,
16.271,11.778984,
13.361,50.666844,
10.450,107.12968,
7.539,142.74376,
4.629,47.18603,
1.718,-133.53339,
-1.192,-402.63118,
-4.103,-345.84958,
-7.013,-200.65765,
-9.924,-3,
