,PL6EEA~1,
Wavenumbers [1/cm],Intensity,
1765.529,511.2195,
1762.618,533.64187,
1759.708,548.96212,
1756.797,546.375,
1753.887,553.12646,
1750.976,565.99738,
1748.065,547.76402,
1745.155,536.20888,
1742.244,547.7056,
1739.334,540.43089,
1736.423,528.47267,
1733.512,536.31202,
1730.602,543.11707,
1727.691,567.92248,
1724.781,595.57599,
1721.870,593.07733,
1718.960,591.125,
1716.049,574.34551,
1713.138,562.57504,
1710.228,580.27153,
1707.317,608.77757,
1704.407,588.76667,
1701.496,625.32156,
1698.586,599.5575,
1695.675,617.71059,
1692.764,656.04715,
1689.854,616.03049,
1686.943,618.95637,
1684.033,653.25573,
1681.122,632.49883,
1678.211,649.95369,
1675.301,645.14042,
1672.390,676.07416,
1669.480,659.30148,
1666.569,681.35353,
1663.659,699.58231,
1660.748,727.39494,
1657.837,741.60613,
1654.927,762.3987,
1652.016,732.70818,
1649.106,756.66358,
1646.195,777.83728,
1643.285,766.67188,
1640.374,791.10757,
1637.463,837.10699,
1634.553,837.35156,
1631.642,919.51588,
1628.732,954.88798,
1625.821,915.16818,
1622.911,980.75308,
1620.000,1044.3187,
1617.089,1148.0354,
1614.179,1234.6715,
1611.268,1343.0354,
1608.358,1372.8608,
1605.447,1406.1824,
1602.536,1400.6699,
1599.626,1419.4436,
1596.715,1421.125,
1593.805,1417.5477,
1590.894,1387.1822,
1587.984,1400.4468,
1585.073,1337.6121,
1582.162,1371.2088,
1579.252,1331.0269,
1576.341,1319.3239,
1573.431,1290.1476,
1570.520,1336.3958,
1567.610,1297.2418,
1564.699,1275.2249,
1561.788,1256.5195,
1558.878,1254.5871,
1555.967,1246.5544,
1553.057,1209.2288,
1550.146,1167.7723,
1547.235,1144.2701,
1544.325,1116.0693,
1541.414,1106.6858,
1538.504,1088.4625,
1535.593,1092.3922,
1532.683,1091.2644,
1529.772,1068.1998,
1526.861,1047.1108,
1523.951,1003.3066,
1521.040,1002.5985,
1518.130,971.35674,
1515.219,979.24544,
1512.309,968.08898,
1509.398,972.60611,
1506.487,949.29013,
1503.577,967.97805,
1500.666,966.45345,
1497.756,957.38725,
1494.845,911.56469,
1491.934,898.22894,
1489.024,929.9912,
1486.113,924.63449,
1483.203,925.01317,
1480.292,852.15301,
1477.382,814.06931,
1474.471,844.95919,
1471.560,827.09836,
1468.650,844.13922,
1465.739,823.81951,
1462.829,794.38229,
1459.918,819.72197,
1457.008,850.18659,
1454.097,842.10889,
1451.186,833.53119,
1448.276,832.26974,
1445.365,817.76797,
1442.455,813.38529,
1439.544,799.47105,
1436.633,801.67813,
1433.723,790.24962,
1430.812,790.53394,
1427.902,784.47798,
1424.991,841.34373,
1422.081,768.80936,
1419.170,786.31869,
1416.259,743.14134,
1413.349,741.18789,
1410.438,714.03447,
1407.528,743.61195,
1404.617,731.89731,
1401.707,713.48429,
1398.796,757.35917,
1395.885,767.88063,
1392.975,741.60498,
1390.064,783.01118,
1387.154,796.65768,
1384.243,800.12593,
1381.332,818.0384,
1378.422,769.99449,
1375.511,786.85655,
1372.601,817.53682,
1369.690,806.40944,
1366.780,884.12055,
1363.869,862.98933,
1360.958,884.75733,
1358.048,936.75715,
1355.137,965.95889,
1352.227,988.13817,
1349.316,1039.7866,
1346.406,1078.6718,
1343.495,1052.8724,
1340.584,1076.0164,
1337.674,1170.1954,
1334.763,1155.5364,
1331.853,1192.6257,
1328.942,1195.0145,
1326.032,1197.5719,
1323.121,1223.3178,
1320.210,1247.4412,
1317.300,1261.0273,
1314.389,1279.5142,
1311.479,1293.125,
1308.568,1331.5584,
1305.657,1401.2488,
1302.747,1388.152,
1299.836,1342.447,
1296.926,1467.706,
1294.015,1501.7209,
1291.105,1556.838,
1288.194,1593.6785,
1285.283,1649.8132,
1282.373,1719.117,
1279.462,1745.38,
1276.552,1769.6054,
1273.641,1808.4763,
1270.731,1840.0608,
1267.820,1868.1678,
1264.909,1808.1027,
1261.999,1786.3247,
1259.088,1791.7975,
1256.178,1790.4121,
1253.267,1734.8869,
1250.356,1704.5799,
1247.446,1650.0134,
1244.535,1598.2858,
1241.625,1554.6917,
1238.714,1517.125,
1235.804,1498.1203,
1232.893,1423.635,
1229.982,1379.2596,
1227.072,1412.7561,
1224.161,1376.4618,
1221.251,1354.2348,
