,PLCF80~1,
Wavenumbers [1/cm],Intensity,
1745.155,1172.7977,
1742.244,1137.0381,
1739.334,1143.3621,
1736.423,1163.8862,
1733.512,1163.7815,
1730.602,1158.8829,
1727.691,1160.178,
1724.781,1215.9354,
1721.870,1208.3415,
1718.960,1223.4308,
1716.049,1250.5273,
1713.138,1238.6301,
1710.228,1240.2265,
1707.317,1266.5276,
1704.407,1281.5542,
1701.496,1254.617,
1698.586,1248.1791,
1695.675,1256.2964,
1692.764,1343.9734,
1689.854,1306.7805,
1686.943,1292.3134,
1684.033,1366.9626,
1681.122,1346.2658,
1678.211,1392.4277,
1675.301,1343.0292,
1672.390,1377.9498,
1669.480,1403.0194,
1666.569,1421.6875,
1663.659,1485.3323,
1660.748,1513.3378,
1657.837,1536.8313,
1654.927,1535.8356,
1652.016,1577.3329,
1649.106,1635.3364,
1646.195,1613.6592,
1643.285,1605.5586,
1640.374,1635.8576,
1637.463,1682.9198,
1634.553,1740.7469,
1631.642,1799.5048,
1628.732,1857.0646,
1625.821,1888.9555,
1622.911,2011.1819,
1620.000,2068.1569,
1617.089,2245.2929,
1614.179,2399.5038,
1611.268,2522.3021,
1608.358,2675.5706,
1605.447,2751.7041,
1602.536,2754.9431,
1599.626,2754.875,
1596.715,2737.6306,
1593.805,2721.5657,
1590.894,2678.4835,
1587.984,2635.633,
1585.073,2626.4717,
1582.162,2589.9749,
1579.252,2581.2384,
1576.341,2512.7846,
1573.431,2499.7909,
1570.520,2520.7488,
1567.610,2509.7375,
1564.699,2498.7998,
1561.788,2425.7489,
1558.878,2415.6751,
1555.967,2398.4484,
1553.057,2365.0993,
1550.146,2341.5841,
1547.235,2291.9618,
1544.325,2245.3435,
1541.414,2213.5131,
1538.504,2199.4164,
1535.593,2183.833,
1532.683,2152.5526,
1529.772,2136.4438,
1526.861,2102.8841,
1523.951,2069.1565,
1521.040,2059.2476,
1518.130,1990.5634,
1515.219,1973.3562,
1512.309,1950.1994,
1509.398,2003.2895,
1506.487,1975.8124,
1503.577,1942.5524,
1500.666,1933.8677,
1497.756,1924.8834,
1494.845,1911.2341,
1491.934,1871.96,
1489.024,1897.9473,
1486.113,1879.4035,
1483.203,1829.9139,
1480.292,1816.2384,
1477.382,1794.6688,
1474.471,1812.129,
1471.560,1786.9457,
1468.650,1768.0423,
1465.739,1794.978,
1462.829,1770.6946,
1459.918,1767.7371,
1457.008,1787.875,
1454.097,1763.8428,
1451.186,1772.4707,
1448.276,1798.4161,
1445.365,1765.1625,
1442.455,1778.9487,
1439.544,1761.2401,
1436.633,1763.2623,
1433.723,1725.7262,
1430.812,1773.4129,
1427.902,1681.476,
1424.991,1748.7672,
1422.081,1708.6711,
1419.170,1721.2921,
1416.259,1677.7014,
1413.349,1707.658,
1410.438,1685.1862,
1407.528,1698.1996,
