,PLIQUI~4,
Wavenumbers [1/cm],Intensity,
1774.261,464.45476,
1771.350,468.43226,
1768.439,506.5,
1765.529,526.04913,
1762.618,559.64564,
1759.708,579.18487,
1756.797,575.66667,
1753.887,589.19388,
1750.976,580.37566,
1748.065,572.55991,
1745.155,576.94518,
1742.244,576.82427,
1739.334,563.80589,
1736.423,572.33736,
1733.512,547.21129,
1730.602,557.94051,
1727.691,577.01491,
1724.781,604.0973,
1721.870,616.13337,
1718.960,605.16652,
1716.049,620.11847,
1713.138,608.11008,
1710.228,597.66733,
1707.317,630.99828,
1704.407,613.04007,
1701.496,596.82678,
1698.586,621.37156,
1695.675,621.62858,
1692.764,630.0205,
1689.854,616.1496,
1686.943,658.01607,
1684.033,681.92877,
1681.122,652.02677,
1678.211,700.03365,
1675.301,661.62025,
1672.390,688.44916,
1669.480,671.90912,
1666.569,722.14451,
1663.659,695.6596,
1660.748,765.82779,
1657.837,781.80017,
1654.927,750.96858,
1652.016,770.64579,
1649.106,776.98962,
1646.195,796.16433,
1643.285,782.61393,
1640.374,788.48257,
1637.463,834.95036,
1634.553,860.56401,
1631.642,931.04397,
1628.732,889.93256,
1625.821,962.51832,
1622.911,990.34222,
1620.000,1040.8575,
1617.089,1129.709,
1614.179,1191.7515,
1611.268,1269.5629,
1608.358,1306.8144,
1605.447,1374.5005,
1602.536,1406.4566,
1599.626,1370.7828,
1596.715,1434.6625,
1593.805,1378.0024,
1590.894,1347.6026,
1587.984,1326.3121,
1585.073,1293.7214,
1582.162,1302.6931,
1579.252,1292.4072,
1576.341,1296.7096,
1573.431,1265.6067,
1570.520,1286.3107,
1567.610,1249.3032,
1564.699,1284.2521,
1561.788,1236.5992,
1558.878,1205.0862,
1555.967,1202.1787,
1553.057,1191.2932,
1550.146,1152.9292,
1547.235,1133.6807,
1544.325,1116.403,
1541.414,1100.3398,
1538.504,1106.207,
1535.593,1094.9973,
1532.683,1069.5279,
1529.772,1070.2624,
1526.861,1059.5789,
1523.951,1013.9639,
1521.040,994.29599,
1518.130,1009.1086,
