,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__2__12-58-50-746,
Raman shift [1/cm],Intensity,
1928.521,1092.0978,
1925.611,1068.2326,
1922.700,1050.5007,
1919.790,1073.1291,
1916.879,1041.5255,
1913.968,1067.8393,
1911.058,1089.7999,
1908.147,1095.3027,
1905.237,1050.2427,
1902.326,1069.9846,
1899.415,1062.425,
1896.505,1039.9654,
1893.594,1063.7744,
1890.684,1084.424,
1887.773,1073.1684,
1884.863,1067.7019,
1881.952,1069.1775,
1879.041,1076.4399,
1876.131,1069.1025,
1873.220,1059.0298,
1870.310,1034.6688,
1867.399,1054.5231,
1864.489,1069.9529,
1861.578,1069.9136,
1858.667,1054.5426,
1855.757,1077.8678,
1852.846,1088.3878,
1849.936,1098.2934,
1847.025,1100.347,
1844.114,1092.6679,
1841.204,1113.4274,
1838.293,1139.8767,
1835.383,1113.736,
1832.472,1108.2941,
1829.562,1112.487,
1826.651,1119.8154,
1823.740,1146.7141,
1820.830,1145.6151,
1817.919,1107.8568,
1815.009,1123.8496,
1812.098,1129.6703,
1809.188,1169.2703,
1806.277,1184.5873,
1803.366,1181.7752,
1800.456,1171.973,
1797.545,1110.8676,
1794.635,1170.649,
1791.724,1175.71,
1788.813,1180.6825,
1785.903,1203.6405,
1782.992,1205.2893,
1780.082,1203.1384,
1777.171,1177.5388,
1774.261,1175.2702,
1771.350,1200.5603,
1768.439,1207.0864,
1765.529,1217.0612,
1762.618,1228.4487,
1759.708,1222.6251,
1756.797,1234.4129,
1753.887,1244.4654,
1750.976,1254.2336,
1748.065,1250.9595,
1745.155,1240.8492,
1742.244,1255.4148,
1739.334,1262.1362,
1736.423,1267.9404,
1733.512,1289.7938,
1730.602,1301.3631,
1727.691,1278.3099,
1724.781,1333.8011,
1721.870,1350.875,
1718.960,1350.875,
1716.049,1363.4596,
1713.138,1391.5249,
1710.228,1342.7869,
1707.317,1349.9127,
1704.407,1385.1157,
1701.496,1385.2288,
1698.586,1412.5945,
1695.675,1382.1252,
1692.764,1413.957,
1689.854,1413.9616,
1686.943,1473.784,
1684.033,1459.2972,
1681.122,1502.1273,
1678.211,1519.7132,
1675.301,1579.69,
1672.390,1643.884,
1669.480,1647.2761,
1666.569,1697.4336,
1663.659,1742.5246,
1660.748,1841.7786,
1657.837,1838.1434,
1654.927,1896.351,
1652.016,1958.5797,
1649.106,1987.0219,
1646.195,1994.889,
1643.285,2076.7839,
1640.374,2074.7565,
1637.463,2162.2265,
1634.553,2129.668,
1631.642,2316.8631,
1628.732,2407.3668,
1625.821,2489.9404,
1622.911,2589.3115,
1620.000,2810.0655,
1617.089,2990.273,
1614.179,3126.0397,
1611.268,3298.3689,
1608.358,3477.4,
1605.447,3550.9327,
1602.536,3645.2681,
1599.626,3656.4747,
1596.715,3633.2774,
1593.805,3662.1766,
