,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_ctr_1E-2mgL_16h_785nm_133mW_3s_1acc_1_RamanShift__4__49,
Raman shift [1/cm],Intensity,
1567.610,4333.963,
1564.699,4369.9767,
1561.788,4329.0375,
1558.878,4203.6433,
1555.967,4092.2905,
1553.057,4076.599,
1550.146,4024.9206,
1547.235,3953.3167,
1544.325,3906.0571,
1541.414,3840.9301,
1538.504,3764.3812,
1535.593,3729.375,
1532.683,3665.9786,
1529.772,3581.4564,
1526.861,3551.8795,
1523.951,3472.9578,
1521.040,3384.1156,
1518.130,3371.9261,
1515.219,3341.4944,
1512.309,3340.8209,
1509.398,3281.6049,
1506.487,3299.4855,
1503.577,3270.7621,
1500.666,3228.4576,
1497.756,3198.4429,
1494.845,3210.5345,
1491.934,3189.9309,
1489.024,3054.2194,
1486.113,3117.0617,
1483.203,3049.5453,
1480.292,3020.8592,
1477.382,2990.7028,
1474.471,2990.514,
1471.560,2993.1007,
1468.650,2930.5138,
1465.739,2853.9787,
1462.829,2904.3644,
1459.918,2908.8608,
1457.008,2879.5136,
1454.097,2884.2156,
1451.186,2874.8005,
1448.276,2852.8783,
1445.365,2830.2328,
1442.455,2841.9282,
1439.544,2844.8691,
1436.633,2835.1337,
1433.723,2890.0162,
1430.812,2846.3905,
1427.902,2771.8485,
1424.991,2791.7516,
1422.081,2735.4914,
1419.170,2722.5985,
1416.259,2694.6429,
1413.349,2709.5217,
1410.438,2666.6906,
1407.528,2653.7436,
1404.617,2662.4849,
1401.707,2683.9229,
1398.796,2683.8541,
1395.885,2688.5248,
1392.975,2726.6877,
1390.064,2737.8465,
1387.154,2720.3455,
1384.243,2635.8549,
1381.332,2577.8641,
1378.422,2716.9445,
1375.511,2844.3467,
1372.601,2950.5124,
1369.690,3004.8078,
1366.780,3035.344,
1363.869,3125.6463,
1360.958,3214.1536,
1358.048,3288.4667,
1355.137,3323.5805,
1352.227,3380.9047,
1349.316,3473.926,
1346.406,3551.029,
1343.495,3631.3228,
1340.584,3687.2671,
1337.674,3737.5894,
1334.763,3743.0447,
1331.853,3839.4767,
1328.942,3901.1902,
1326.032,3955.681,
1323.121,4040.4714,
1320.210,4103.0006,
1317.300,4088.322,
1314.389,4115.7371,
1311.479,4202.6951,
1308.568,4282.8287,
1305.657,4342.3989,
1302.747,4393.1298,
1299.836,4527.0434,
1296.926,4564.9043,
1294.015,4662.3526,
1291.105,4832.7974,
1288.194,4993.5575,
1285.283,5079.9272,
1282.373,5193.3981,
1279.462,5273.1784,
1276.552,5332.9342,
1273.641,5420.6501,
1270.731,5494.6093,
1267.820,5489.9107,
1264.909,5445.2764,
1261.999,5465.6094,
1259.088,5444.6306,
1256.178,5321.7582,
1253.267,5246.9041,
1250.356,5097.6332,
1247.446,4977.4625,
1244.535,4831.8262,
1241.625,4696.1158,
1238.714,4612.9639,
1235.804,4499.312,
1232.893,4409.392,
1229.982,4328.8487,
1227.072,4224.7378,
1224.161,4160.2207,
1221.251,4045.8882,
1218.340,3974.7453,
1215.430,3935.5557,
1212.519,3890.8512,
1209.608,3870.55,
1206.698,3904.2901,
1203.787,3921.9227,
1200.877,3896.6655,
1197.966,3965.9008,
1195.055,4070.9116,
1192.145,4151.4878,
1189.234,4233.3615,
1186.324,4322.0167,
1183.413,4361.7506,
1180.503,4358.7711,
1177.592,4342.4249,
1174.681,4248.6867,
1171.771,4215.6126,
1168.860,4182.5683,
1165.950,4116.4844,
1163.039,4079.0261,
1160.129,4084.1214,
1157.218,4025.149,
1154.307,3946.6647,
1151.397,3915.3498,
1148.486,3841.3779,
1145.576,3823.7582,
1142.665,3809.5516,
1139.754,3796.9842,
1136.844,3776.8674,
1133.933,3752.3663,
1131.023,3721.4912,
1128.112,3695.0186,
1125.202,3678.3702,
1122.291,3649.1054,
1119.380,3599.423,
1116.470,3706.2089,
1113.559,3710.8693,
1110.649,3709.6847,
1107.738,3693.2288,
1104.828,3680.0394,
1101.917,3707.2281,
1099.006,3746.9219,
1096.096,3657.8477,
1093.185,3698.2358,
1090.275,3677.9062,
1087.364,3727.2648,
1084.453,3707.3779,
1081.543,3674.1279,
1078.632,3668.5401,
1075.722,3666.0437,
1072.811,3727.3893,
1069.901,3699.445,
1066.990,3740.2166,
1064.079,3775.554,
1061.169,3801.1825,
1058.258,3828.8909,
1055.348,3874.0098,
1052.437,3925.2592,
1049.527,3911.4226,
1046.616,3964.4211,
1043.705,3949.5643,
1040.795,3977.8542,
1037.884,3986.2488,
1034.974,4012.2448,
1032.063,4070.0828,
1029.153,4058.2445,
1026.242,4073.8137,
1023.331,4060.2092,
1020.421,4100.5953,
1017.510,4124.4175,
1014.600,4135.9877,
1011.689,4168.3254,
1008.778,4242.2878,
1005.868,4353.4561,
1002.957,4473.9057,
1000.047,4657.6311,
997.136,4775.7583,
994.226,4833.667,
991.315,4832.0186,
988.404,4761.2969,
985.494,4683.8353,
982.583,4704.3927,
979.673,4678.8408,
976.762,4640.7812,
973.852,4621.375,
970.941,4622.8569,
968.030,4627.7276,
965.120,4635.5397,
962.209,4674.7566,
959.299,4673.5843,
956.388,4655.256,
953.477,4645.0191,
950.567,4642.408,
947.656,4631.7173,
944.746,4657.204,
941.835,4685.0988,
938.925,4699.2716,
936.014,4682.6361,
933.103,4651.076,
930.193,4623.783,
927.282,4595.0836,
924.372,4552.8032,
921.461,4474.4714,
918.551,4440.8229,
915.640,4389.906,
912.729,4321.1294,
909.819,4305.2672,
906.908,4334.752,
903.998,4339.5565,
901.087,4351.1956,
898.176,4368.3505,
895.266,4392.1188,
892.355,4438.264,
889.445,4549.8865,
886.534,4544.5309,
883.624,4540.6837,
880.713,4606.742,
877.802,4654.7002,
874.892,4613.0796,
871.981,4567.0396,
869.071,4552.8376,
866.160,4611.7814,
863.250,4635.1814,
860.339,4622.0677,
857.428,4593.3225,
854.518,4540.6178,
851.607,4479.8767,
848.697,4500.3268,
845.786,4497.2491,
842.875,4482.7732,
839.965,4489.5062,
837.054,4508.3843,
834.144,4509.2131,
831.233,4527.3737,
828.323,4517.5813,
825.412,4482.2769,
822.501,4447.4814,
819.591,4442.523,
816.680,4355.0351,
813.770,4299.5439,
810.859,4271.7039,
807.949,4256.3116,
805.038,4236.094,
802.127,4200.6995,
799.217,4208.5559,
796.306,4160.726,
793.396,4136.5584,
790.485,4150.2671,
787.574,4111.5343,
784.664,4089.3913,
781.753,4109.5304,
778.843,4180.675,
775.932,4228.795,
773.022,4198.375,
770.111,4198.375,
