,PL3AE0~1,
Wavenumbers [1/cm],Intensity,
1186.324,3371.6388,
1183.413,3395.2081,
1180.503,3396.3137,
1177.592,3385.1008,
1174.681,3352.6644,
1171.771,3307.5988,
1168.860,3246.8688,
1165.950,3211.1673,
1163.039,3220.0633,
1160.129,3184.5304,
1157.218,3159.8074,
1154.307,3150.53,
1151.397,3124.1752,
1148.486,3119,
1145.576,3119,
1142.665,3119,
1139.754,3050.6552,
1136.844,3027.2967,
1133.933,3008.7508,
1131.023,3001.3047,
1128.112,2993.216,
1125.202,2964.7536,
1122.291,2951.0243,
1119.380,3013.8354,
1116.470,2997.0674,
1113.559,3000.4127,
1110.649,3013.1324,
1107.738,3056.5073,
1104.828,3071.5238,
1101.917,3052.9174,
1099.006,3061.9177,
1096.096,3038.1613,
1093.185,3040.7953,
1090.275,3053.9483,
1087.364,3067.2918,
1084.453,3069.7501,
1081.543,3077.2026,
1078.632,3065.4954,
1075.722,3017.5732,
1072.811,3034.9236,
1069.901,3061.9947,
1066.990,3044.6,
1064.079,3086.2749,
1061.169,3143.3473,
1058.258,3188.5159,
1055.348,3196.596,
1052.437,3168.7235,
1049.527,3204.2755,
1046.616,3237.291,
1043.705,3261.8107,
1040.795,3313.3338,
1037.884,3311.1844,
1034.974,3305.9729,
1032.063,3338.2309,
1029.153,3324.7657,
1026.242,3339.4699,
1023.331,3360.832,
1020.421,3369.1826,
1017.510,3429.829,
1014.600,3440.8968,
1011.689,3417.8011,
1008.778,3483.5187,
1005.868,3504.834,
1002.957,3597.7523,
1000.047,3693.536,
997.136,3795.0664,
994.226,3861.5074,
991.315,3885.349,
988.404,3876.9491,
985.494,3793.3862,
982.583,3765.9764,
979.673,3780.2912,
976.762,3778.7806,
973.852,3779.1881,
970.941,3782.5543,
968.030,3773.052,
965.120,3779.1181,
962.209,3807.252,
959.299,3831.1227,
956.388,3798.1226,
953.477,3792.3058,
950.567,3816.9288,
947.656,3788.0216,
944.746,3849.1896,
941.835,3838.2332,
938.925,3837.6322,
936.014,3877.4428,
933.103,3896.6391,
930.193,3853.8112,
927.282,3815.8085,
924.372,3793.8227,
921.461,3724.724,
918.551,3674.858,
915.640,3639.0023,
912.729,3614.1215,
909.819,3608.6664,
906.908,3606.1391,
903.998,3658.494,
901.087,3654.1778,
898.176,3623.0034,
895.266,3619.6787,
892.355,3669.853,
889.445,3711.8163,
886.534,3789.6431,
883.624,3807.0185,
880.713,3818.2071,
877.802,3820.3574,
874.892,3800.4846,
871.981,3772.4292,
869.071,3621.2195,
866.160,3621.2185,
863.250,3698.0011,
860.339,3784.922,
857.428,3823.7128,
854.518,3775.4704,
851.607,3757.1649,
848.697,3669.3985,
845.786,3620.1017,
842.875,3610.6991,
839.965,3641.8164,
837.054,3777.8698,
834.144,3766.2672,
831.233,3761.3335,
828.323,3756.0434,
825.412,3744.5949,
822.501,3724.8297,
819.591,3701.6905,
816.680,3631.2883,
813.770,3582.6749,
810.859,3575.7323,
807.949,3572.6365,
805.038,3526.5022,
802.127,3522.3866,
799.217,3512.3099,
796.306,3498.2161,
793.396,3486.4961,
790.485,3482.0529,
787.574,3486.2802,
784.664,3493.6612,
781.753,3497.6839,
778.843,3529.3851,
775.932,3561,
773.022,3565.3111,
770.111,3593.1088,
767.200,3630.7817,
764.290,3615.9955,
761.379,3587.5472,
758.469,3569.4425,
755.558,3555.5137,
752.648,3539.2217,
749.737,3536,
746.826,3531.3378,
743.916,3523.2078,
741.005,3507.0129,
738.095,3427.449,
735.184,3312.8862,
732.274,3277.3108,
729.363,3315.2781,
726.452,3392.8869,
723.542,3469.7792,
720.631,3511.4624,
717.721,3547.0595,
714.810,3549.0115,
711.899,3535.9802,
708.989,3591.6581,
706.078,3552.7362,
703.168,3532.07,
700.257,3501.896,
697.347,3465.9568,
694.436,3455.2182,
691.525,3463.2563,
688.615,3441.7303,
685.704,3455.1967,
682.794,3498.2552,
679.883,3518.6119,
676.973,3443.2831,
674.062,3507.1222,
671.151,3516.4953,
668.241,3483.1507,
665.330,3523.7774,
662.420,3561.3177,
659.509,3548.6822,
656.598,3533.538,
653.688,3526.6996,
650.777,3518.3249,
647.867,3498.4167,
644.956,3467.3765,
642.046,3457.6336,
639.135,3467,
636.224,3467.2467,
633.314,3516.4709,
630.403,3578.6617,
627.493,3616.8407,
624.582,3622.2937,
621.672,3619.1257,
618.761,3606.081,
615.850,3635.0593,
612.940,3692.055,
610.029,3738.8206,
607.119,3671.702,
604.208,3701.2107,
601.297,3716.997,
598.387,3721.153,
595.476,3731.8226,
592.566,3761.7312,
589.655,3716.4646,
586.745,3684.6603,
583.834,3673.5104,
580.923,3653.8484,
578.013,3628.7369,
575.102,3611.6754,
572.192,3627.5808,
569.281,3661.9858,
566.371,3617.3763,
563.460,3678.6085,
560.549,3709.411,
557.639,3716.7599,
554.728,3725.2755,
551.818,3697.9644,
548.907,3741.3625,
545.996,3760.1699,
543.086,3742.0132,
540.175,3751.3569,
537.265,3736.7901,
534.354,3734.5118,
531.444,3741.3439,
528.533,3754.6353,
525.622,3819.8149,
522.712,3840.6743,
519.801,3852.2557,
516.891,3878.3985,
513.980,3949.6337,
511.070,3974.313,
508.159,4013.5194,
505.248,4050.754,
502.338,4062.5018,
499.427,4182.1357,
496.517,4207.7778,
493.606,4221.5071,
490.695,4256.0743,
487.785,4242.218,
484.874,4234.184,
481.964,4259.6542,
479.053,4291.5425,
476.143,4256.2162,
473.232,4252.5612,
470.321,4228.1578,
467.411,4194.3892,
464.500,4169.1551,
461.590,4175.2811,
458.679,4180.3018,
455.769,4194.3423,
452.858,4228.4647,
449.947,4319.3725,
447.037,4353.7758,
444.126,4363.6303,
441.216,4371.0696,
438.305,4417.5474,
435.395,4419.4105,
432.484,4445.3391,
429.573,4469.7348,
426.663,4404.3627,
423.752,4386.4465,
420.842,4219.3332,
417.931,4043.3756,
415.020,4101.0108,
412.110,4195.9149,
409.199,4348.8263,
406.289,4488.0047,
403.378,4533.9308,
400.468,4513.519,
397.557,4504.9434,
394.646,4519.6994,
391.736,4566.0141,
388.825,4597.6918,
385.915,4577.7293,
383.004,4570.5603,
380.094,4617.2303,
377.183,4621.7452,
374.272,4716.901,
371.362,4803.6525,
368.451,4821.6809,
365.541,4816.4271,
362.630,4828.656,
359.719,4851.2468,
356.809,4877.5469,
353.898,4870.0589,
350.988,4876.1373,
348.077,4891.1314,
345.167,4910.6216,
342.256,4903.1509,
339.345,4868.0512,
336.435,4829.2843,
333.524,4804.4463,
330.614,4818.6042,
327.703,4850.2105,
324.793,4878.0623,
321.882,4884.0018,
318.971,4884.7452,
316.061,4913.8105,
313.150,4938.4572,
310.240,4920.6464,
307.329,4940.0098,
304.418,4953.4714,
301.508,4973.3908,
298.597,5023.7392,
295.687,5010.3917,
292.776,5075.3337,
289.866,5182.9821,
286.955,5206.6213,
284.044,5299.1824,
281.134,5398.7671,
278.223,5489.9158,
275.313,5557.7065,
272.402,5614.4059,
269.492,5649.1191,
266.581,5658.2102,
263.670,5661.1509,
260.760,5720.5069,
257.849,5779.1325,
254.939,5793.8102,
252.028,5864.9368,
249.117,5873.2701,
246.207,5850.0529,
243.296,5846.3928,
240.386,5842.082,
237.475,5830.0111,
234.565,5805.1424,
231.654,5748.9028,
228.743,5698.4503,
225.833,5649.5719,
222.922,5601.675,
220.012,5573.2614,
217.101,5557.13,
214.191,5546.0659,
211.280,5532.9716,
208.369,5508.4515,
205.459,5481.03,
202.548,5468.0307,
199.638,5531.8878,
196.727,5539.8141,
193.816,5554.3624,
190.906,5596.4921,
187.995,5582.0116,
185.085,5577,
182.174,5579.1547,
179.264,5587.1051,
176.353,5625.1652,
173.442,5623.1589,
170.532,5583,
167.621,5583,
164.711,5426.9064,
161.800,5219.6436,
158.890,5025.3171,
155.979,4640.7779,
153.068,4249.6488,
150.158,3834.6565,
147.247,3291.8846,
144.337,2713.1781,
141.426,2141.6581,
138.516,1598.2545,
135.605,1144.5804,
132.694,777.33565,
129.784,496.24811,
126.873,328.1926,
123.963,226.28065,
121.052,152.90344,
118.141,97.219085,
115.231,90.604867,
112.320,85.034549,
109.410,77.182053,
106.499,57.241706,
103.589,49.078219,
100.678,43.283783,
97.767,36.174407,
94.857,33.228044,
91.946,29.984446,
89.036,26.209715,
86.125,21.245278,
83.215,19.46908,
80.304,18.760567,
77.393,18.052397,
74.483,21.275675,
71.572,23,
68.662,22.653663,
65.751,19.121407,
62.840,17.036596,
59.930,15.625428,
57.019,14.215264,
54.109,13.402839,
51.198,14.508046,
48.288,17.932051,
45.377,9.4915139,
42.466,12.18329,
39.556,19.158103,
36.645,7.9230593,
33.735,11.230982,
30.824,15.232904,
27.914,9.6235023,
25.003,7.754725,
22.092,7.3229046,
19.182,8.1144143,
16.271,11.611865,
13.361,74.532865,
10.450,159,
7.539,159,
4.629,-51.66059,
1.718,-361.04014,
-1.192,-726.34388,
-4.103,-523.85551,
-7.013,-251.42379,
-9.924,4,
