,PLEE25~1,
Wavenumbers [1/cm],Intensity,
1727.691,679.66032,
1724.781,687.99077,
1721.870,709.4394,
1718.960,716.5917,
1716.049,735.58244,
1713.138,719.4601,
1710.228,723.08738,
1707.317,723.24043,
1704.407,724.92179,
1701.496,736.06357,
1698.586,747.28883,
1695.675,772.45342,
1692.764,743.8299,
1689.854,772.73919,
1686.943,770.2599,
1684.033,785.72762,
1681.122,748.77071,
1678.211,796.65865,
1675.301,813.07567,
1672.390,813.14294,
1669.480,819.25335,
1666.569,835.45509,
1663.659,861.76196,
1660.748,899.7008,
1657.837,878.54052,
1654.927,897.6873,
1652.016,920.51752,
1649.106,896.6391,
1646.195,917.36476,
1643.285,927.83138,
1640.374,956.87065,
1637.463,899.8544,
1634.553,994.18411,
1631.642,998.22272,
1628.732,1007.0894,
1625.821,1001.1963,
1622.911,1109.5108,
1620.000,1102.2258,
1617.089,1147.2096,
1614.179,1140.3506,
1611.268,1246.9983,
1608.358,1311.1751,
1605.447,1288.6677,
1602.536,1329.0599,
1599.626,1331.2051,
1596.715,1328.4022,
1593.805,1323.6533,
1590.894,1307.2729,
1587.984,1311.1876,
1585.073,1264.4793,
1582.162,1259.4645,
1579.252,1283.0374,
1576.341,1244.0665,
1573.431,1241.7399,
1570.520,1258.6482,
1567.610,1259.3995,
1564.699,1246.5245,
1561.788,1244.2377,
1558.878,1236.2491,
1555.967,1233.4463,
1553.057,1226.4699,
1550.146,1211.0632,
1547.235,1200.583,
1544.325,1183.4212,
1541.414,1159.1636,
1538.504,1146.0698,
1535.593,1147.0465,
1532.683,1160.2317,
1529.772,1142.3692,
1526.861,1117.6088,
1523.951,1124.2162,
1521.040,1101.523,
1518.130,1110.7988,
1515.219,1117.2053,
1512.309,1109.107,
1509.398,1110.8285,
1506.487,1105.2662,
1503.577,1144.2182,
1500.666,1107.2589,
1497.756,1130.5231,
1494.845,1110.8048,
1491.934,1103.2352,
1489.024,1136.9225,
1486.113,1102.8908,
1483.203,1097.4605,
1480.292,1109.8527,
1477.382,1131.523,
1474.471,1113.871,
1471.560,1081.001,
1468.650,1103.2389,
1465.739,1082.2576,
1462.829,1048.3982,
1459.918,1076.6944,
1457.008,1103.5711,
1454.097,1109.8303,
1451.186,1114.0554,
1448.276,1114.8251,
1445.365,1126.0523,
1442.455,1125.8843,
1439.544,1160.6382,
1436.633,1147.2223,
1433.723,1165.9732,
1430.812,1228.0511,
1427.902,1225.6142,
1424.991,1162.1141,
1422.081,1159.2075,
1419.170,1203.1921,
1416.259,1204.4546,
1413.349,1212.1879,
1410.438,1231.2199,
1407.528,1218.169,
1404.617,1218.2804,
1401.707,1238.8436,
1398.796,1244.4607,
1395.885,1226.1367,
1392.975,1203.1039,
1390.064,1208.0177,
1387.154,1249.6299,
1384.243,1262.677,
1381.332,1256.4025,
1378.422,1150.6174,
1375.511,1237.738,
1372.601,1289.8114,
1369.690,1278.695,
1366.780,1329.9834,
1363.869,1307.0747,
1360.958,1308.9702,
1358.048,1345.604,
1355.137,1388.7808,
1352.227,1388.6216,
1349.316,1353.7931,
1346.406,1341.9988,
1343.495,1354.1041,
1340.584,1372.8392,
1337.674,1376.0178,
1334.763,1374.8074,
1331.853,1366.4624,
1328.942,1363.4566,
1326.032,1390.0405,
1323.121,1330.9201,
1320.210,1334.0959,
1317.300,1296.9553,
1314.389,1295.5284,
1311.479,1341.9793,
1308.568,1352.1452,
1305.657,1328.8201,
1302.747,1312.9557,
1299.836,1326.582,
1296.926,1343.9114,
1294.015,1339.3147,
1291.105,1362.0191,
1288.194,1388.2885,
1285.283,1409.8771,
1282.373,1431.9453,
1279.462,1455.9482,
1276.552,1452.3297,
1273.641,1434.8842,
1270.731,1419.6593,
1267.820,1375.1393,
1264.909,1359.2682,
1261.999,1382.8906,
1259.088,1403.8694,
1256.178,1443.6655,
1253.267,1437.8499,
1250.356,1411.0984,
1247.446,1371.3754,
1244.535,1348.6473,
1241.625,1332.8028,
1238.714,1312.5023,
1235.804,1299.5474,
1232.893,1256.1281,
1229.982,1241.7877,
1227.072,1231.8293,
1224.161,1214.3149,
1221.251,1191.7678,
1218.340,1190.3075,
1215.430,1160.6434,
1212.519,1135.4833,
1209.608,1127.5569,
1206.698,1115.7422,
1203.787,1125.738,
1200.877,1094.4125,
1197.966,1147.4629,
1195.055,1161.2172,
1192.145,1220.2271,
1189.234,1224.8516,
1186.324,1244.9459,
1183.413,1260.6174,
1180.503,1246.4034,
1177.592,1230.1552,
1174.681,1206.1113,
1171.771,1198.6305,
1168.860,1177.1963,
1165.950,1164.6432,
1163.039,1156.5378,
1160.129,1164.7424,
1157.218,1150.9726,
1154.307,1145.9342,
1151.397,1162.8304,
1148.486,1122.4276,
1145.576,1106.9708,
1142.665,1103.4192,
1139.754,1127.5339,
1136.844,1093.908,
1133.933,1097.6527,
1131.023,1099.8505,
1128.112,1075.7694,
1125.202,1063.8883,
1122.291,1086.629,
1119.380,1096.9778,
1116.470,1081.9748,
1113.559,1082.4447,
1110.649,1102.1155,
1107.738,1105.1594,
1104.828,1103.7021,
1101.917,1104.7993,
1099.006,1094.5785,
1096.096,1104.5124,
1093.185,1078.1723,
1090.275,1069.6508,
1087.364,1078.4168,
1084.453,1081.4376,
1081.543,1081.4397,
1078.632,1086.2589,
1075.722,1091.9966,
1072.811,1089.0486,
1069.901,1116.1197,
1066.990,1087.4084,
1064.079,1088.9717,
1061.169,1090.9158,
1058.258,1098.4417,
1055.348,1119.3558,
1052.437,1136.5012,
1049.527,1122.6215,
1046.616,1109.5891,
1043.705,1144.351,
1040.795,1135.3314,
1037.884,1116.5389,
1034.974,1125.884,
1032.063,1148.6406,
1029.153,1132.0598,
1026.242,1139.8444,
1023.331,1140.9583,
1020.421,1145.3076,
1017.510,1162.2524,
1014.600,1181.7377,
1011.689,1183.0028,
1008.778,1150.1554,
1005.868,1092.0787,
1002.957,1086.9165,
1000.047,1118.885,
997.136,1222.1605,
994.226,1297.2787,
991.315,1308.6894,
988.404,1302.4765,
985.494,1298.3194,
982.583,1262.3441,
979.673,1233.7123,
976.762,1242.151,
973.852,1254.567,
970.941,1251.5684,
968.030,1249.5875,
965.120,1285.989,
962.209,1253.5924,
959.299,1245.292,
956.388,1251.4045,
953.477,1251.7816,
950.567,1255.8891,
947.656,1287.7881,
944.746,1277.5934,
941.835,1280.3643,
938.925,1295.6021,
936.014,1288.456,
933.103,1283.6585,
930.193,1294.7328,
927.282,1268.8042,
924.372,1262.885,
921.461,1244.4514,
918.551,1243.3534,
915.640,1238.2012,
912.729,1224.7832,
909.819,1220.7914,
906.908,1218.2641,
903.998,1233.2369,
901.087,1225.6679,
898.176,1243.9391,
895.266,1263.8248,
892.355,1249.3815,
889.445,1256.0956,
886.534,1297.0337,
883.624,1284.2672,
880.713,1273.6146,
877.802,1260.6189,
874.892,1201.0911,
871.981,1037.7515,
869.071,894.89591,
866.160,939.81093,
863.250,1075.4414,
860.339,1195.5412,
857.428,1241.5076,
854.518,1242.1621,
851.607,1208.8794,
848.697,1088.2595,
845.786,1006.5439,
842.875,1024.5663,
839.965,1134.451,
837.054,1250.1157,
834.144,1249.2869,
831.233,1277.7896,
828.323,1300.0381,
825.412,1308.7689,
822.501,1309.8271,
819.591,1308.1743,
