,PLBCD1~1,
Wavenumbers [1/cm],Intensity,
845.786,2818.6983,
842.875,2865.4706,
839.965,2926.0709,
837.054,3010.4571,
834.144,3073.4422,
831.233,3032.4205,
828.323,3041.3592,
825.412,3046.5196,
822.501,2975.0903,
819.591,2943.6871,
816.680,2886.6602,
813.770,2899.6896,
810.859,2874.6871,
807.949,2830.2622,
805.038,2843.0575,
802.127,2829.0644,
799.217,2827.75,
796.306,2822.6419,
793.396,2821.0859,
790.485,2828.1193,
787.574,2839.6913,
784.664,2811.8075,
781.753,2802.7241,
778.843,2849.7582,
775.932,2882.8491,
773.022,2847.9487,
770.111,2881.4694,
767.200,2870.0464,
764.290,2868.6394,
761.379,2880.9906,
758.469,2887.333,
755.558,2851.5555,
752.648,2845.0387,
749.737,2832.6526,
746.826,2826.75,
743.916,2832.3345,
741.005,2837.121,
738.095,2751.8739,
735.184,2748.9006,
732.274,2759.1126,
729.363,2793.3209,
726.452,2851.2583,
723.542,2870.6837,
720.631,2839.6394,
717.721,2876.7233,
714.810,2916.6988,
711.899,2906.8787,
708.989,2830.2208,
706.078,2886.6425,
703.168,2856.4229,
700.257,2826.0997,
697.347,2823.5326,
694.436,2821.8117,
691.525,2787.248,
688.615,2775.9765,
685.704,2776.7719,
682.794,2799.4732,
679.883,2858.9839,
676.973,2819.7167,
674.062,2823.8736,
671.151,2830.3117,
668.241,2824.7468,
665.330,2809.771,
662.420,2831.3368,
659.509,2845.9089,
656.598,2833.5745,
653.688,2816.1912,
650.777,2837.264,
647.867,2822.9301,
644.956,2804.8904,
642.046,2779.1661,
639.135,2767.9073,
636.224,2813.8694,
633.314,2837.6875,
630.403,2836.6555,
627.493,2867.0849,
624.582,2926.0454,
621.672,2936.3414,
618.761,2935.9901,
615.850,2935.199,
612.940,2970.2696,
610.029,3035.3304,
607.119,3014.8,
604.208,3037.6005,
601.297,3043.2633,
598.387,3049.642,
595.476,3078.0127,
592.566,3091.3929,
589.655,3069.1302,
586.745,3026.2401,
583.834,2979.4058,
580.923,2950.0438,
578.013,2998.6973,
575.102,2990.5272,
572.192,2982.6103,
569.281,2988.0328,
566.371,2939.5101,
563.460,2994.7148,
560.549,3010.0044,
557.639,3009.1497,
554.728,3032.385,
551.818,2994.9298,
548.907,2976.9994,
545.996,2983.1913,
543.086,3011.3059,
540.175,3051.0168,
537.265,3010.2932,
534.354,2997.7635,
531.444,3014.5683,
528.533,3047.5293,
525.622,3044.4255,
522.712,3090.47,
519.801,3102.4198,
516.891,3081.5143,
513.980,3124.8749,
511.070,3121.7065,
508.159,3152.1796,
505.248,3199.2652,
502.338,3232.2185,
499.427,3282.3876,
496.517,3326.8611,
493.606,3348.3946,
490.695,3345.6757,
487.785,3359.532,
484.874,3337.1935,
481.964,3342.4375,
479.053,3365.0728,
476.143,3349.7136,
473.232,3330.7649,
470.321,3332.5084,
467.411,3346.8152,
464.500,3361.9439,
461.590,3369.6013,
458.679,3352.4897,
455.769,3350.6128,
452.858,3385.363,
449.947,3429.671,
447.037,3426.6148,
444.126,3415.7924,
441.216,3420.6716,
438.305,3477.8165,
435.395,3468.0478,
432.484,3461.2505,
429.573,3453.0349,
426.663,3402.8656,
423.752,3221.6056,
420.842,2938.7846,
417.931,2710.772,
415.020,2770.6823,
412.110,3213.1811,
409.199,3474.0164,
406.289,3570.8626,
403.378,3549.5118,
400.468,3479.2043,
397.557,3451.6085,
394.646,3489.8453,
391.736,3607.9331,
388.825,3644.8904,
385.915,3674.3768,
383.004,3688.4657,
380.094,3683.8633,
377.183,3705.6851,
374.272,3741.6029,
371.362,3765.2784,
368.451,3766.0812,
365.541,3837.3821,
362.630,3843.6402,
359.719,3837.7814,
356.809,3847.5299,
353.898,3810.8387,
350.988,3847.9463,
348.077,3880.4898,
345.167,3863.2798,
342.256,3873.7387,
339.345,3876.75,
336.435,3897.847,
333.524,3950.0489,
330.614,3864.356,
327.703,3854.179,
324.793,3877.7415,
321.882,3900.6058,
318.971,3841.1304,
316.061,3867.1398,
313.150,3916.4429,
310.240,3918.6692,
307.329,3924.4671,
304.418,3936.781,
301.508,3950.9162,
298.597,3959.0607,
295.687,4017.3154,
292.776,4080.5835,
289.866,4139.0016,
286.955,4178.154,
284.044,4231.82,
281.134,4262.7123,
278.223,4275.8336,
275.313,4331.0977,
272.402,4352.6254,
269.492,4346.759,
266.581,4314.9138,
263.670,4261.2456,
260.760,4338.7342,
257.849,4460.1911,
254.939,4564.4024,
252.028,4526.6624,
249.117,4557.4327,
246.207,4597.1654,
243.296,4540.7985,
240.386,4577.1945,
237.475,4593.9872,
234.565,4570.1407,
231.654,4477.382,
228.743,4439.9136,
225.833,4412.4199,
222.922,4380.1917,
220.012,4389.6629,
217.101,4382.445,
214.191,4359.9477,
211.280,4320.6648,
208.369,4315.0587,
205.459,4324.929,
202.548,4339.1177,
199.638,4323.879,
196.727,4324.7835,
193.816,4334.0715,
190.906,4348.7246,
187.995,4348.0006,
185.085,4347.75,
182.174,4365.5754,
179.264,4431.3471,
176.353,4407.9926,
173.442,4365.371,
170.532,4314.6175,
167.621,4261.9863,
164.711,4180.4773,
161.800,4036.4358,
158.890,3792.4481,
155.979,3532.1996,
153.068,3247.8316,
150.158,2928.1031,
147.247,2524.614,
144.337,2084.5525,
141.426,1651.1807,
138.516,1245.4203,
135.605,874.03583,
132.694,591.7911,
129.784,389.63904,
126.873,265.92157,
123.963,183.84299,
121.052,125.73567,
118.141,87.898865,
115.231,77.802015,
112.320,63.582738,
109.410,48.522803,
106.499,42.113406,
103.589,35.70771,
100.678,29.577026,
97.767,23.889526,
94.857,23.057011,
91.946,27.58733,
89.036,34.072613,
86.125,29.817381,
83.215,28.75,
80.304,26.595106,
77.393,20.221576,
74.483,17.784595,
71.572,14.575887,
68.662,11.02707,
65.751,13.852874,
62.840,15.713404,
59.930,15.813569,
57.019,12.288159,
54.109,11.75,
51.198,9.6387351,
48.288,4.8066244,
45.377,11.840405,
42.466,16.398877,
39.556,17.598814,
36.645,10.576912,
33.735,9.2692485,
30.824,8.8664521,
27.914,6.0617511,
25.003,5.75,
22.092,4.4583818,
19.182,1.0635141,
16.271,-19.92119,
13.361,-93.575986,
10.450,-242.62374,
7.539,-587.59153,
4.629,-943.15736,
1.718,-1143.4997,
-1.192,-984.55076,
-4.103,-623.95509,
-7.013,-281.72898,
-9.924,-1.25,
