,PL560F~1,
Wavenumbers [1/cm],Intensity,
1570.520,1690.0343,
1567.610,1696.1864,
1564.699,1640.7726,
1561.788,1593.8523,
1558.878,1585.5483,
1555.967,1570.644,
1553.057,1545.914,
1550.146,1497.1692,
1547.235,1458.9225,
1544.325,1434.7962,
1541.414,1413.2389,
1538.504,1386.5169,
1535.593,1367.0654,
1532.683,1364.0406,
1529.772,1347.9752,
1526.861,1304.9696,
1523.951,1271.1273,
1521.040,1256.4546,
1518.130,1234.797,
1515.219,1233.621,
1512.309,1213.6307,
1509.398,1252.8555,
1506.487,1241.9886,
1503.577,1204.2348,
1500.666,1208.6119,
1497.756,1207.2116,
1494.845,1178.9797,
1491.934,1166.3929,
1489.024,1133.6682,
1486.113,1152.8987,
1483.203,1132.2958,
1480.292,1057.3765,
1477.382,1055.0072,
1474.471,1117.3556,
1471.560,1115.1813,
1468.650,1042.589,
1465.739,1029.7932,
1462.829,1012.0464,
1459.918,999.5774,
1457.008,1006.0231,
1454.097,996.87036,
1451.186,1021.5116,
1448.276,1052.4688,
1445.365,1018.7504,
1442.455,1020.7668,
1439.544,1014.173,
1436.633,1013.5288,
1433.723,1004.8588,
1430.812,1035.4812,
1427.902,948.10884,
1424.991,973.69843,
1422.081,922.20381,
1419.170,933.91715,
1416.259,876.55533,
1413.349,886.66771,
1410.438,874.90617,
1407.528,927.65546,
1404.617,885.17333,
1401.707,865.94613,
1398.796,913.02094,
1395.885,897.18869,
1392.975,890.29341,
1390.064,942.07233,
1387.154,901.25822,
1384.243,963.81114,
1381.332,974.98278,
1378.422,901.25339,
1375.511,954.6499,
1372.601,982.22554,
1369.690,1018.7889,
1366.780,1146.4734,
1363.869,1071.7079,
1360.958,1100.8227,
1358.048,1178.6251,
1355.137,1229.5787,
1352.227,1250.8726,
1349.316,1282.4398,
1346.406,1325.9876,
1343.495,1343.6621,
1340.584,1415.036,
1337.674,1399.1096,
1334.763,1439.1231,
1331.853,1481.7758,
1328.942,1479.9421,
1326.032,1497.4437,
1323.121,1542.994,
1320.210,1580.8072,
1317.300,1631.4553,
1314.389,1654.3888,
1311.479,1674.0921,
1308.568,1728.925,
1305.657,1776.4334,
1302.747,1789.1285,
1299.836,1813.6279,
1296.926,1917.8329,
1294.015,1989.5401,
1291.105,2016.2746,
1288.194,2096.9781,
1285.283,2147.2881,
1282.373,2237.9685,
1279.462,2258.7946,
1276.552,2273.3427,
1273.641,2315.398,
1270.731,2334.9657,
1267.820,2368.0601,
1264.909,2337.0928,
1261.999,2291.9647,
1259.088,2332.098,
1256.178,2316.5144,
1253.267,2283.5794,
1250.356,2263.6639,
1247.446,2202.7609,
1244.535,2120.884,
1241.625,2029.4594,
1238.714,1951.0273,
1235.804,1921.1748,
1232.893,1868.6325,
1229.982,1834.3467,
1227.072,1829.8201,
1224.161,1800.0824,
1221.251,1783.3324,
1218.340,1755.531,
1215.430,1734.7925,
1212.519,1719.8976,
1209.608,1704.1844,
1206.698,1698.8405,
1203.787,1715.2387,
1200.877,1736.3358,
1197.966,1749.8232,
1195.055,1776.0975,
1192.145,1843.6128,
1189.234,1920.2961,
1186.324,1971.7748,
1183.413,1969.6269,
1180.503,1949.2216,
1177.592,1958.7323,
