,PLDA7E~1,
Wavenumbers [1/cm],Intensity,
1355.137,999.05137,
1352.227,993.59473,
1349.316,996.88721,
1346.406,1007.9331,
1343.495,992.01044,
1340.584,984.60703,
1337.674,998.32485,
1334.763,1049.271,
1331.853,1003.8367,
1328.942,1066.9309,
1326.032,1063.5813,
1323.121,1023.9518,
1320.210,1067.6033,
1317.300,1042.8791,
1314.389,998.80541,
1311.479,1033.9414,
1308.568,1082.9713,
1305.657,1063.8855,
1302.747,1041.6394,
1299.836,1064.7224,
1296.926,1126.06,
1294.015,1105.8348,
1291.105,1134.0579,
1288.194,1126.8176,
1285.283,1153.3561,
1282.373,1180.1874,
1279.462,1207.1173,
1276.552,1215.9606,
1273.641,1208.6204,
1270.731,1198.8851,
1267.820,1193.8269,
1264.909,1254.2524,
1261.999,1226.5007,
1259.088,1212.8189,
1256.178,1207.7177,
1253.267,1246.127,
1250.356,1221.4283,
1247.446,1162.3424,
1244.535,1119.125,
1241.625,1109.8444,
1238.714,1115.1318,
1235.804,1094.3982,
1232.893,1033.5023,
1229.982,1021.8961,
1227.072,989.30487,
1224.161,988.68101,
1221.251,962.19767,
1218.340,954.29562,
1215.430,950.59572,
1212.519,926.62582,
1209.608,918.30128,
1206.698,942.12752,
1203.787,924.2211,
1200.877,921.89451,
1197.966,952.46593,
1195.055,1018.8469,
1192.145,1054.043,
1189.234,1026.3164,
1186.324,1039.7304,
1183.413,1055.9594,
1180.503,1044.0235,
1177.592,1041.4948,
1174.681,1015.8185,
1171.771,987.12363,
1168.860,992.48217,
1165.950,969.61761,
1163.039,958.41278,
1160.129,967.7971,
1157.218,962.53939,
1154.307,965.80921,
1151.397,981.40198,
1148.486,942.99713,
1145.576,959.96145,
1142.665,959.07354,
1139.754,948.42283,
1136.844,920.08879,
1133.933,923.66265,
1131.023,925.03018,
1128.112,915.35709,
1125.202,915.51691,
1122.291,914.62669,
1119.380,919.09527,
1116.470,928.80309,
1113.559,935.41274,
1110.649,950.09691,
1107.738,940.38964,
1104.828,922.6712,
1101.917,928.35547,
1099.006,950.72171,
1096.096,939.08619,
1093.185,924.16015,
1090.275,923,
1087.364,925.74449,
1084.453,928.12493,
1081.543,939.95552,
1078.632,938.33028,
1075.722,910.01794,
1072.811,936,
1069.901,936,
1066.990,944.08331,
1064.079,947.36103,
1061.169,943.58159,
1058.258,947.19925,
1055.348,966.40667,
1052.437,984.7363,
1049.527,963.33566,
1046.616,972.02396,
1043.705,963.75082,
1040.795,971.21607,
1037.884,978.01148,
1034.974,976.02062,
1032.063,975.76906,
1029.153,989.54593,
1026.242,977.43654,
1023.331,964.5008,
1020.421,987.79275,
1017.510,1014.6877,
1014.600,1024.0395,
1011.689,1019.1448,
1008.778,1008.7898,
1005.868,961.67955,
1002.957,1037.3907,
1000.047,1063.56,
997.136,1097.779,
994.226,1127.8152,
991.315,1142.1312,
988.404,1147.3243,
985.494,1148.252,
982.583,1114.8463,
979.673,1099.0253,
976.762,1086.1935,
973.852,1098.5644,
970.941,1124.6674,
968.030,1129.0462,
965.120,1118.0501,
962.209,1129.9857,
959.299,1131.2918,
956.388,1129.8801,
953.477,1131.8772,
950.567,1133.1243,
947.656,1126.3369,
944.746,1136.5316,
941.835,1168.5827,
938.925,1170.7356,
936.014,1165.4709,
933.103,1150.6417,
930.193,1124.8039,
927.282,1111.4959,
924.372,1102.1942,
921.461,1089.2176,
918.551,1082.6763,
915.640,1075.9007,
912.729,1074.9038,
909.819,1088.7759,
906.908,1071.9274,
903.998,1081.3397,
901.087,1066.8143,
898.176,1079.9054,
895.266,1107.5392,
892.355,1111.7435,
889.445,1105.0294,
886.534,1114.1836,
883.624,1138.2035,
880.713,1162.2693,
877.802,1153.8091,
874.892,1102.4177,
871.981,1048.0013,
869.071,921.01858,
866.160,909.34939,
863.250,1006.7839,
860.339,1090.2841,
857.428,1092.8262,
854.518,1108.8796,
851.607,1104.7193,
848.697,1045.5355,
845.786,1013.8103,
842.875,1008.6505,
839.965,1027.3986,
837.054,1116.2233,
834.144,1136.1133,
831.233,1148.666,
828.323,1137.6683,
825.412,1125.5416,
822.501,1130.7659,
819.591,1118.3699,
816.680,1118,
813.770,1102.9639,
810.859,1080.4628,
807.949,1071.9927,
805.038,1092.6018,
802.127,1089.3093,
799.217,1089,
796.306,1091.8379,
793.396,1092.0534,
790.485,1085.2096,
787.574,1071.0623,
784.664,1072.7025,
781.753,1107.2202,
778.843,1100.9661,
775.932,1088.4196,
773.022,1114.634,
770.111,1118.7219,
767.200,1098.4446,
764.290,1098.3567,
761.379,1112.8467,
758.469,1125.9073,
755.558,1117.8784,
752.648,1113.8054,
749.737,1078.4022,
746.826,1073.5204,
743.916,1094.8637,
741.005,1108.0742,
738.095,1091.0248,
735.184,1021.0693,
732.274,967.17923,
729.363,951.06953,
726.452,979.71745,
723.542,1050.1347,
720.631,1067.7617,
717.721,1083.4569,
714.810,1094.6648,
711.899,1094.297,
708.989,1074.1239,
706.078,1126.886,
703.168,1127.2484,
700.257,1118.1749,
697.347,1106.5663,
694.436,1070.2875,
691.525,1117.712,
688.615,1106.617,
685.704,1099.1803,
682.794,1102.2554,
679.883,1091.658,
676.973,1128.521,
674.062,1126.4288,
671.151,1104.7818,
668.241,1080.4263,
665.330,1069.416,
662.420,1078.202,
659.509,1128.8897,
656.598,1141.421,
653.688,1118.9296,
650.777,1111.4059,
647.867,1093.8867,
644.956,1068.9489,
642.046,1070.5109,
639.135,1088.2751,
636.224,1077.9324,
633.314,1064.4354,
630.403,1081.6924,
627.493,1097.5363,
624.582,1110.0646,
621.672,1155.2082,
618.761,1153.9602,
615.850,1140.8783,
612.940,1140.563,
610.029,1161.4989,
607.119,1176.5019,
604.208,1173.7399,
601.297,1175.4896,
598.387,1172.6941,
595.476,1158.7827,
592.566,1177.6723,
589.655,1155.7323,
586.745,1151.9813,
583.834,1164.5608,
580.923,1162.91,
578.013,1148,
575.102,1145.7208,
572.192,1150.2156,
569.281,1153.0474,
566.371,1136.6123,
563.460,1146.993,
560.549,1157.3601,
557.639,1173.2054,
554.728,1198.0437,
551.818,1151.2248,
548.907,1156.2353,
545.996,1167.9439,
543.086,1176.8717,
540.175,1204.1243,
537.265,1208.8971,
534.354,1213.0101,
531.444,1208.1976,
528.533,1188.3311,
525.622,1192.9868,
522.712,1183.0784,
519.801,1169.8899,
516.891,1171.1119,
513.980,1226.0869,
511.070,1233.8174,
508.159,1263.1764,
505.248,1299.2576,
502.338,1314.4804,
499.427,1296.7282,
496.517,1325.9394,
493.606,1345.9431,
490.695,1332.0743,
487.785,1318.218,
484.874,1322.4622,
481.964,1338.0431,
479.053,1354.2646,
476.143,1351.1927,
473.232,1333.0149,
470.321,1326.9732,
467.411,1324.2011,
464.500,1313.1551,
461.590,1319.2811,
458.679,1317.6982,
455.769,1313.4247,
452.858,1313.1814,
449.947,1343.7386,
447.037,1342.7189,
444.126,1337.2606,
441.216,1342.0853,
438.305,1377.1341,
435.395,1353.8076,
432.484,1346.9183,
429.573,1356.7575,
426.663,1351.4365,
423.752,1295.2065,
420.842,1180.1195,
417.931,1037.9559,
415.020,918.13535,
412.110,1094.7084,
409.199,1242.6625,
406.289,1320.6206,
403.378,1297.9155,
400.468,1272.9677,
397.557,1271.1698,
394.646,1298.009,
391.736,1355.6761,
388.825,1376.7945,
