,PL6C8D~1,
Wavenumbers [1/cm],Intensity,
1360.958,959.90517,
1358.048,1039.9527,
1355.137,1071.7843,
1352.227,1081.9209,
1349.316,1101.8202,
1346.406,1112.3951,
1343.495,1172.0545,
1340.584,1235.9105,
1337.674,1253.8414,
1334.763,1287.5101,
1331.853,1304.2003,
1328.942,1331.5589,
1326.032,1345.4781,
1323.121,1370.1039,
1320.210,1381.8705,
1317.300,1409.255,
1314.389,1435.6113,
1311.479,1469.6515,
1308.568,1524.4265,
1305.657,1561.4702,
1302.747,1559.6947,
1299.836,1580.0201,
1296.926,1678.9598,
1294.015,1788.3593,
1291.105,1784.0696,
1288.194,1861.9506,
1285.283,1912.6631,
1282.373,1938.7968,
1279.462,1980.9136,
1276.552,2027.4578,
1273.641,2077.3455,
1270.731,2119.1705,
1267.820,2098.1113,
1264.909,2060.3914,
1261.999,2055.4103,
1259.088,2015.277,
1256.178,2040.2816,
1253.267,2019.5575,
1250.356,1933.9908,
1247.446,1881.6201,
1244.535,1828.259,
1241.625,1758.6343,
1238.714,1722.9886,
1235.804,1704.5354,
1232.893,1611.6285,
1229.982,1594.9244,
1227.072,1566.8597,
1224.161,1567.3965,
1221.251,1538.0946,
1218.340,1516.8622,
1215.430,1486.1009,
1212.519,1472.2136,
1209.608,1474.5594,
1206.698,1471.7688,
1203.787,1486.5785,
1200.877,1460.1038,
1197.966,1496.0702,
1195.055,1530.2984,
1192.145,1573.4422,
1189.234,1650.1054,
1186.324,1703.4222,
1183.413,1694.144,
1180.503,1678.0515,
1177.592,1691.8444,
1174.681,1635.8339,
1171.771,1614.3187,
1168.860,1590.2052,
1165.950,1567.7178,
1163.039,1586.6207,
1160.129,1611.0315,
1157.218,1609.3373,
1154.307,1593.1647,
1151.397,1571.7556,
1148.486,1527.6761,
1145.576,1521.1834,
1142.665,1528.2867,
1139.754,1535.384,
1136.844,1512.3644,
1133.933,1487.7989,
1131.023,1480.7076,
1128.112,1476.3761,
1125.202,1458.5272,
1122.291,1447.2564,
1119.380,1464.1955,
1116.470,1496.849,
1113.559,1493.1425,
1110.649,1507.901,
1107.738,1527.5914,
1104.828,1518.9827,
1101.917,1492.0998,
1099.006,1496.2872,
1096.096,1534.3699,
1093.185,1509.7858,
1090.275,1500.5916,
1087.364,1463.1966,
1084.453,1487.3724,
1081.543,1529.3923,
1078.632,1537.8607,
1075.722,1523.4899,
1072.811,1508.5647,
1069.901,1504.1984,
1066.990,1512.7666,
1064.079,1542.0956,
1061.169,1569.2348,
1058.258,1589.7682,
1055.348,1605.6965,
1052.437,1612.0872,
1049.527,1599.3855,
1046.616,1638.4828,
1043.705,1635.1673,
1040.795,1631.598,
1037.884,1640.484,
1034.974,1662.5374,
1032.063,1691.267,
1029.153,1712.1746,
1026.242,1689.6857,
1023.331,1699.7076,
1020.421,1683.0533,
1017.510,1718.0162,
1014.600,1753.1438,
1011.689,1743.1871,
1008.778,1721.9386,
1005.868,1768.9522,
1002.957,1777.5558,
1000.047,1821.827,
997.136,1887.7977,
994.226,1946.9669,
991.315,1974.4394,
988.404,1963.6868,
985.494,1936.6065,
982.583,1924.6147,
979.673,1922.875,
976.762,1926.9847,
973.852,1935.6211,
970.941,1938.7257,
968.030,1930.8288,
965.120,1941.9824,
962.209,1967.5587,
959.299,1968.3338,
956.388,1965.1951,
953.477,1971.2735,
950.567,1980.8293,
947.656,1979.1005,
944.746,1988.4456,
941.835,1984.8259,
938.925,1978.6106,
936.014,1991.0498,
933.103,1985.7486,
930.193,1947.4767,
927.282,1940.8209,
924.372,1921.372,
921.461,1892.3646,
918.551,1864.8661,
915.640,1852.7249,
912.729,1833.4799,
909.819,1781.8784,
906.908,1812.2057,
903.998,1798.7631,
901.087,1824.7908,
898.176,1851.4189,
895.266,1877.7449,
892.355,1904.8073,
889.445,1867.0403,
886.534,1918.6371,
883.624,1955.7883,
880.713,1954.0747,
877.802,1919.7263,
874.892,1873.6019,
871.981,1832.594,
869.071,1651.3094,
866.160,1692.3208,
863.250,1793.0214,
860.339,1889.5985,
857.428,1949.0054,
854.518,1935.0696,
851.607,1872.6644,
848.697,1817.8547,
845.786,1736.637,
842.875,1707.1398,
839.965,1771.3463,
837.054,1833.2285,
834.144,1864.7211,
831.233,1877.5412,
828.323,1861.0921,
825.412,1849.246,
822.501,1859.1301,
819.591,1816.1574,
