,PL3EDD~1,
Wavenumbers [1/cm],Intensity,
1893.594,559.34456,
1890.684,591.6641,
1887.773,598.38385,
1884.863,593.53844,
1881.952,606.48238,
1879.041,630.53726,
1876.131,610.56488,
1873.220,599.39489,
1870.310,645.96572,
1867.399,649.625,
1864.489,641.09232,
1861.578,649.16922,
1858.667,608.58313,
1855.757,578.98419,
1852.846,614.82503,
1849.936,607.39074,
1847.025,659.38899,
1844.114,649.34731,
1841.204,639.99912,
1838.293,660.11253,
1835.383,649.04402,
1832.472,662.68413,
1829.562,644.29687,
1826.651,641.08699,
1823.740,647.44109,
1820.830,656.65658,
1817.919,636.00808,
1815.009,653.74332,
1812.098,641.46753,
1809.188,672.45438,
1806.277,681.47008,
1803.366,664.12409,
1800.456,692.63577,
1797.545,676.54694,
1794.635,685.625,
1791.724,679.18819,
1788.813,654.63529,
1785.903,679.59016,
1782.992,653.13766,
1780.082,625.24799,
1777.171,560.61321,
1774.261,514.06995,
1771.350,554.34477,
1768.439,631.13683,
1765.529,663.99266,
1762.618,697.35502,
1759.708,719.41862,
1756.797,713.79924,
1753.887,723.0113,
1750.976,727.88351,
1748.065,723.76939,
1745.155,704.63161,
1742.244,709.50269,
1739.334,728.21088,
1736.423,735.45116,
1733.512,727.16562,
1730.602,725.86905,
1727.691,727.39266,
1724.781,742.56995,
1721.870,753.06313,
1718.960,799.02554,
1716.049,800.23525,
1713.138,784.94507,
1710.228,757.38639,
1707.317,800.50728,
1704.407,813.81218,
1701.496,790.01321,
1698.586,794.09289,
1695.675,816.1463,
1692.764,834.66599,
1689.854,834.66831,
1686.943,825.92853,
1684.033,871.4577,
1681.122,878.52305,
1678.211,839.99618,
1675.301,842.61575,
1672.390,870.63995,
1669.480,875.85764,
1666.569,904.87892,
1663.659,925.01698,
1660.748,950.14826,
1657.837,1026.8814,
1654.927,994.96046,
1652.016,1049.9203,
1649.106,1022.1146,
1646.195,1041.3852,
1643.285,1031.9668,
1640.374,1047.733,
1637.463,1100.0754,
1634.553,1125.8663,
1631.642,1208.2667,
1628.732,1175.8442,
1625.821,1212.6917,
1622.911,1314.0502,
1620.000,1379.7935,
1617.089,1469.814,
1614.179,1560.0587,
1611.268,1655.0559,
1608.358,1666.2504,
1605.447,1755.2543,
1602.536,1774.6033,
1599.626,1785.7443,
1596.715,1832.0051,
1593.805,1779.3878,
1590.894,1785.8351,
1587.984,1752.1152,
1585.073,1744.0725,
1582.162,1681.8434,
1579.252,1692.5374,
1576.341,1677.5984,
1573.431,1696.9034,
1570.520,1667.6993,
1567.610,1658.8603,
1564.699,1655.2748,
1561.788,1602.9213,
1558.878,1602.1079,
1555.967,1574.6278,
1553.057,1546.6941,
1550.146,1517.6578,
1547.235,1508.5283,
1544.325,1471.9067,
1541.414,1443.8653,
1538.504,1449.7078,
1535.593,1427.3055,
1532.683,1394.1935,
1529.772,1396.1124,
1526.861,1388.5086,
1523.951,1346.3252,
1521.040,1302.6728,
1518.130,1267.0378,
1515.219,1283.6651,
1512.309,1283.3322,
1509.398,1297.4102,
1506.487,1293.7275,
1503.577,1276.6573,
1500.666,1255.5277,
1497.756,1267.6501,
1494.845,1233.9863,
1491.934,1290.4392,
1489.024,1233.6521,
1486.113,1213.0807,
1483.203,1231.1647,
1480.292,1202.2301,
1477.382,1152.1713,
1474.471,1206.8522,
1471.560,1175.8284,
1468.650,1179.8563,
1465.739,1169.4888,
1462.829,1118.2351,
1459.918,1121.4595,
1457.008,1139.0249,
1454.097,1148.3384,
1451.186,1164.5457,
1448.276,1166.4216,
1445.365,1163.0515,
1442.455,1160.2172,
1439.544,1203.4914,
1436.633,1161.9656,
1433.723,1192.8863,
1430.812,1163.9652,
1427.902,1131.527,
1424.991,1169.4375,
1422.081,1109.154,
1419.170,1173.6139,
1416.259,1131.1608,
1413.349,1139.7717,
1410.438,1127.0312,
1407.528,1153.3871,
1404.617,1108.628,
1401.707,1111.3196,
1398.796,1153.625,
1395.885,1143.2903,
1392.975,1143.1464,
1390.064,1176.6884,
1387.154,1191.9894,
1384.243,1188.3495,
1381.332,1192.641,
1378.422,1160.2386,
1375.511,1152.7443,
1372.601,1233.7232,
1369.690,1221.7661,
1366.780,1307.3329,
1363.869,1288.4893,
1360.958,1310.9175,
1358.048,1395.296,
1355.137,1406.5069,
1352.227,1403.6186,
1349.316,1448.8452,
1346.406,1467.3898,
1343.495,1467.1093,
1340.584,1488.6601,
1337.674,1522.5162,
1334.763,1498.4951,
1331.853,1547.6384,
1328.942,1543.3988,
1326.032,1533.6532,
1323.121,1548.6672,
1320.210,1575.9345,
1317.300,1588.9859,
1314.389,1613.2366,
1311.479,1645.9841,
1308.568,1684.6908,
1305.657,1735.4918,
1302.747,1745.5155,
1299.836,1714.5931,
1296.926,1783.0688,
1294.015,1878.6785,
1291.105,1869.4169,
1288.194,1965.0716,
1285.283,2016.1171,
1282.373,2047.5077,
1279.462,2095.8596,
1276.552,2141.8849,
1273.641,2150.3756,
1270.731,2134.2131,
1267.820,2124.6148,
1264.909,2081.0534,
1261.999,2071.3227,
1259.088,2117.8409,
1256.178,2135.1848,
1253.267,2066.2758,
1250.356,2017.5348,
1247.446,1974.7019,
1244.535,1921.4153,
1241.625,1850.677,
1238.714,1788.7091,
1235.804,1756.1834,
1232.893,1683.2552,
1229.982,1659.6863,
1227.072,1661.497,
1224.161,1626.3238,
1221.251,1572.7209,
1218.340,1554.0338,
1215.430,1546.0186,
1212.519,1541.9833,
1209.608,1528.0325,
1206.698,1510.3487,
1203.787,1536.4843,
1200.877,1508.9593,
1197.966,1514.3543,
1195.055,1587.1511,
1192.145,1610.8952,
1189.234,1651.6062,
1186.324,1696.7183,
1183.413,1730.4321,
1180.503,1754.7191,
1177.592,1751.8064,
1174.681,1688.9914,
1171.771,1683.842,
1168.860,1649.9046,
1165.950,1617.5986,
1163.039,1588.9745,
1160.129,1607.938,
1157.218,1629.5479,
1154.307,1621.6073,
1151.397,1591.5911,
1148.486,1549.2302,
1145.576,1518.9719,
1142.665,1526.9631,
1139.754,1537.3885,
1136.844,1548.7289,
1133.933,1516.2616,
1131.023,1492.5134,
1128.112,1482.4839,
