,PLA9BE~1,
Wavenumbers [1/cm],Intensity,
1771.350,211.49002,
1768.439,281.87204,
1765.529,304.91397,
1762.618,337.9325,
1759.708,342.0435,
1756.797,342.38636,
1753.887,377.66909,
1750.976,369.44111,
1748.065,340.9278,
1745.155,358.16116,
1742.244,359.73009,
1739.334,336.51295,
1736.423,343.5439,
1733.512,327.44303,
1730.602,325.73215,
1727.691,365.61537,
1724.781,363.6282,
1721.870,379.3144,
1718.960,377.42214,
1716.049,360.05948,
1713.138,389.48984,
1710.228,368.89109,
1707.317,389.768,
1704.407,362.4545,
1701.496,361.73464,
1698.586,392.49149,
1695.675,402.48567,
1692.764,421.93444,
1689.854,429.69685,
1686.943,398.11295,
1684.033,455.50983,
1681.122,408.83263,
1678.211,396.11421,
1675.301,384.037,
1672.390,409.03888,
1669.480,422.18451,
1666.569,445.03809,
1663.659,448.049,
1660.748,451.38564,
1657.837,471.15309,
1654.927,478.25772,
1652.016,488.53832,
1649.106,470.09792,
1646.195,474.45555,
1643.285,492.40755,
1640.374,468.33797,
1637.463,531.19816,
1634.553,542.25122,
1631.642,559.58633,
1628.732,612.96445,
1625.821,607.02552,
1622.911,645.78023,
1620.000,663.77322,
1617.089,705.16418,
1614.179,759.44894,
1611.268,790.84748,
1608.358,807.25083,
1605.447,857.97183,
1602.536,876.84208,
1599.626,848.56215,
1596.715,875.04324,
1593.805,872.63401,
1590.894,839.41521,
1587.984,818.54425,
1585.073,819.40327,
1582.162,824.17443,
1579.252,777.53853,
1576.341,796.63935,
1573.431,817.31396,
1570.520,818.70687,
1567.610,806.07825,
1564.699,812.87545,
1561.788,769.81735,
1558.878,741.80684,
1555.967,742.62465,
1553.057,731.60358,
1550.146,721.54182,
1547.235,732.98718,
1544.325,696.75745,
1541.414,665.7804,
1538.504,667.97239,
1535.593,663.5916,
1532.683,658.62182,
1529.772,680.28714,
1526.861,687.26262,
1523.951,649.01824,
1521.040,633.72288,
1518.130,611.19572,
1515.219,607.23983,
1512.309,615.47749,
1509.398,620.20727,
1506.487,607.82689,
1503.577,601.08602,
1500.666,616.87343,
1497.756,602.7461,
1494.845,634.47917,
1491.934,598.00945,
1489.024,600.89693,
1486.113,558.34809,
1483.203,595.85571,
1480.292,557.72591,
1477.382,541.10927,
1474.471,571.9973,
1471.560,562.40702,
1468.650,554.31673,
1465.739,565.52882,
1462.829,547.53049,
1459.918,531.55249,
1457.008,537.07699,
1454.097,537.37842,
1451.186,542.39652,
1448.276,538.92051,
1445.365,527.61058,
1442.455,559.98045,
1439.544,539.14079,
1436.633,544.23238,
1433.723,526.34671,
1430.812,587.3454,
1427.902,530.01474,
1424.991,572.66405,
1422.081,548.31064,
1419.170,574.51399,
1416.259,546.59748,
1413.349,552.59434,
1410.438,547.20308,
1407.528,566.1747,
1404.617,512.06738,
1401.707,510.04494,
1398.796,561.80067,
1395.885,543.16902,
1392.975,525.98033,
1390.064,579.06016,
1387.154,573.95259,
1384.243,535.99907,
1381.332,508.01605,
1378.422,478.22203,
1375.511,521.31396,
1372.601,560.70595,
1369.690,566.57167,
1366.780,643.82741,
1363.869,587.71991,
1360.958,595.97211,
1358.048,664.83819,
1355.137,677.44695,
1352.227,658.91504,
1349.316,679.44145,
1346.406,717.34418,
1343.495,728.7648,
1340.584,722.60668,
1337.674,752.8928,
1334.763,752.52928,
1331.853,766.43775,
1328.942,749.21072,
1326.032,741.29066,
1323.121,770.37954,
1320.210,786.99329,
1317.300,781.73675,
1314.389,793.47256,
1311.479,815.67957,
1308.568,830.18382,
1305.657,840.47138,
1302.747,817.4204,
1299.836,761.21385,
1296.926,830.54651,
1294.015,906.85037,
1291.105,900.31404,
1288.194,959.70447,
1285.283,992.90008,
1282.373,1019.6171,
1279.462,1036.4901,
1276.552,1053.0788,
1273.641,1051.0565,
1270.731,1030.5866,
1267.820,1028.0041,
1264.909,966.75822,
1261.999,966.6311,
1259.088,1011.325,
1256.178,1033.6985,
1253.267,1052.3439,
1250.356,1017.7193,
1247.446,980.81146,
1244.535,948.67416,
1241.625,905.18155,
1238.714,865.64093,
1235.804,850.10198,
1232.893,826.87828,
1229.982,811.63203,
1227.072,800.76829,
1224.161,783.18992,
1221.251,756.92022,
1218.340,743.16969,
1215.430,738.89893,
1212.519,747.05519,
1209.608,751.97561,
1206.698,744.0639,
1203.787,751.13065,
1200.877,740.49851,
1197.966,732.40608,
1195.055,775.51568,
1192.145,799.52955,
1189.234,828.35652,
1186.324,859.00173,
1183.413,873.11675,
1180.503,872.33726,
1177.592,860.22195,
1174.681,820.53424,
1171.771,837.73213,
1168.860,826.12197,
1165.950,799.19874,
1163.039,801.38083,
1160.129,813.84783,
1157.218,814.7119,
1154.307,804.5477,
1151.397,786.57284,
1148.486,756.10086,
1145.576,751.96369,
1142.665,774.16151,
1139.754,786.57717,
1136.844,773.59334,
1133.933,758.20241,
1131.023,748.22323,
1128.112,731.50181,
1125.202,711.17391,
1122.291,721.25877,
1119.380,744.1559,
1116.470,760.04141,
1113.559,758.13375,
1110.649,739.97401,
1107.738,744.39545,
1104.828,745.18141,
1101.917,740.0596,
1099.006,764.87627,
1096.096,768.78499,
1093.185,765.27298,
1090.275,744.76824,
1087.364,735.19714,
1084.453,746.49914,
1081.543,765.3262,
1078.632,765.0312,
1075.722,747.206,
1072.811,771.1456,
1069.901,730.9756,
1066.990,744.16663,
1064.079,765.69336,
1061.169,775.6569,
1058.258,769.37726,
1055.348,766.64292,
1052.437,783.5241,
1049.527,777.27552,
1046.616,810.29104,
1043.705,807.83388,
1040.795,811.10804,
1037.884,813.49426,
1034.974,817.46907,
1032.063,819.51558,
1029.153,804.18111,
1026.242,822.34519,
1023.331,839.6656,
1020.421,810.93333,
1017.510,836.77958,
1014.600,849.39108,
1011.689,824.57014,
1008.778,830.25172,
1005.868,854.94594,
1002.957,848.92346,
1000.047,874.93601,
997.136,924.93815,
994.226,951.21541,
991.315,959.04702,
988.404,973.56922,
985.494,930.26852,
982.583,942.26031,
979.673,944,
976.762,935.19347,
973.852,941.37629,
970.941,953.73981,
968.030,945.84971,
965.120,945.12172,
962.209,974.10815,
959.299,953.50303,
956.388,936.28043,
953.477,948.26315,
950.567,977.70563,
947.656,989.55166,
