,PLCDF0~1,
Wavenumbers [1/cm],Intensity,
1026.242,1100.5003,
1023.331,1107.2912,
1020.421,1116.2931,
1017.510,1134.1922,
1014.600,1132.0912,
1011.689,1125.598,
1008.778,1153.5724,
1005.868,1141.4706,
1002.957,1124.2635,
1000.047,1158.025,
997.136,1224.4843,
994.226,1261.625,
991.315,1271.672,
988.404,1289.2747,
985.494,1261.414,
982.583,1251.9919,
979.673,1273.306,
976.762,1283.3863,
973.852,1279.7629,
970.941,1276.2924,
968.030,1280.3706,
965.120,1267.6357,
962.209,1270.1934,
959.299,1264.959,
956.388,1253.1056,
953.477,1261.244,
950.567,1299.5718,
947.656,1339.9458,
944.746,1304.2644,
941.835,1315.582,
938.925,1297.5674,
936.014,1293.2007,
933.103,1287.9729,
930.193,1263.4289,
927.282,1249.9834,
924.372,1238.1449,
921.461,1233.6794,
918.551,1231.4631,
915.640,1225.1007,
912.729,1217.8934,
909.819,1215.0664,
906.908,1188.1088,
903.998,1197.7601,
901.087,1205.0805,
898.176,1204.7618,
895.266,1219.0819,
892.355,1254.112,
889.445,1240.6838,
886.534,1258.9922,
883.624,1277.4273,
880.713,1273.3972,
877.802,1258.1089,
874.892,1237.3073,
871.981,1178.3046,
869.071,995.34914,
866.160,1048.49,
863.250,1144.8115,
860.339,1229.8427,
857.428,1286.0945,
854.518,1278.7343,
851.607,1247.9478,
848.697,1173.1555,
845.786,1144.7388,
842.875,1136.0899,
839.965,1130.4313,
837.054,1203.2018,
834.144,1254.5845,
831.233,1263.9584,
828.323,1234.9398,
825.412,1218.5035,
822.501,1245.625,
819.591,1245.625,
816.680,1252.0353,
813.770,1202.8783,
810.859,1180.7473,
807.949,1186.4908,
805.038,1178.7113,
802.127,1204.2282,
799.217,1160.4108,
796.306,1155.9764,
793.396,1167.3502,
790.485,1171.625,
787.574,1171.1579,
784.664,1158.8563,
781.753,1173.3996,
778.843,1196.3275,
775.932,1207.6127,
773.022,1202.1753,
770.111,1225.0675,
767.200,1203.7856,
764.290,1208.7604,
761.379,1204.6274,
758.469,1184.2065,
755.558,1183.014,
752.648,1196.0477,
749.737,1188.8332,
746.826,1163.5775,
743.916,1138.3912,
741.005,1130.2407,
738.095,1109.1319,
735.184,1045.1299,
732.274,985.38987,
729.363,990.94658,
726.452,1072.9571,
723.542,1119.0925,
720.631,1143.0321,
717.721,1171.966,
714.810,1193.5738,
711.899,1192.4071,
708.989,1152.8678,
706.078,1176.6641,
703.168,1180.1961,
700.257,1166.2478,
697.347,1153.1897,
694.436,1169.4068,
691.525,1161.3687,
688.615,1166.543,
685.704,1164.5813,
682.794,1167.1568,
679.883,1200.0751,
676.973,1165.6162,
674.062,1172.6628,
671.151,1165.7218,
668.241,1155.4402,
665.330,1184.3435,
662.420,1199.5194,
659.509,1186.1168,
656.598,1189.1747,
653.688,1206.3151,
650.777,1207.4909,
647.867,1174.0451,
644.956,1148.0505,
642.046,1101.7988,
639.135,1068.3457,
636.224,1127.6727,
633.314,1137.2,
630.403,1179.2361,
627.493,1212.002,
624.582,1224.5096,
621.672,1241.9334,
618.761,1185.6296,
615.850,1199.5823,
612.940,1230.4065,
610.029,1237.1261,
607.119,1222.1231,
604.208,1226.3051,
601.297,1235.1057,
598.387,1233.3127,
595.476,1215.7447,
592.566,1248.8016,
589.655,1228.0615,
586.745,1207.9834,
583.834,1195.355,
580.923,1176.625,
578.013,1176.625,
575.102,1173.7571,
572.192,1195.5631,
569.281,1228.6424,
566.371,1173.0761,
563.460,1191.6109,
560.549,1221.6034,
557.639,1243.9678,
554.728,1248.5119,
551.818,1262.5576,
548.907,1268.6721,
545.996,1252.7407,
543.086,1224.4572,
540.175,1223.6786,
537.265,1267.806,
534.354,1266.0624,
531.444,1247.3463,
528.533,1250.2118,
525.622,1300.6484,
522.712,1284.3211,
519.801,1289.5378,
516.891,1325.2165,
513.980,1318.2478,
511.070,1329.5989,
508.159,1369.4873,
505.248,1396.1083,
502.338,1363.0031,
499.427,1410.0849,
496.517,1450.3421,
493.606,1458.1653,
490.695,1434.1926,
487.785,1452.6676,
484.874,1466.6108,
481.964,1457.2597,
479.053,1440.9569,
476.143,1463.2278,
473.232,1443.7623,
