,PL6A3E~1,
Wavenumbers [1/cm],Intensity,
1838.293,408.15244,
1835.383,388.8925,
1832.472,400.85804,
1829.562,419.56823,
1826.651,394.53879,
1823.740,393.72847,
1820.830,377.79017,
1817.919,410.71507,
1815.009,448.73695,
1812.098,391.68803,
1809.188,444.65587,
1806.277,417.33322,
1803.366,412.74145,
1800.456,418.69073,
1797.545,403.63913,
1794.635,414.01201,
1791.724,413.48912,
1788.813,395.22191,
1785.903,379.76264,
1782.992,361.16151,
1780.082,354.79218,
1777.171,309.27702,
1774.261,246.95985,
1771.350,283.48952,
1768.439,374.94629,
1765.529,404.71762,
1762.618,426.7369,
1759.708,448.84249,
1756.797,446.79167,
1753.887,463.13957,
1750.976,461.21794,
1748.065,440.09505,
1745.155,434.07018,
1742.244,426.66577,
1739.334,415.40853,
1736.423,442.00627,
1733.512,464.81202,
1730.602,429.72812,
1727.691,452.70505,
1724.781,480.14311,
1721.870,470.94397,
1718.960,491.46973,
1716.049,447.12549,
1713.138,473.53482,
1710.228,477.01411,
1707.317,486.35529,
1704.407,482.23462,
1701.496,480.71345,
1698.586,500.95266,
1695.675,484.84654,
1692.764,513.9201,
1689.854,495.53444,
1686.943,500.42265,
1684.033,559.13483,
1681.122,513.44064,
1678.211,531.44417,
1675.301,508.69592,
1672.390,542.67584,
1669.480,559.64907,
1666.569,562.05368,
1663.659,518.32729,
1660.748,561.64693,
1657.837,613.25321,
1654.927,596.60157,
1652.016,596.32967,
1649.106,623.86609,
1646.195,592.92968,
1643.285,565.83269,
1640.374,617.89678,
1637.463,631.20147,
1634.553,663.27523,
1631.642,706.93988,
1628.732,735.50649,
1625.821,715.67865,
1622.911,797.16292,
1620.000,822.31003,
1617.089,900.05286,
1614.179,892.87881,
1611.268,988.90721,
1608.358,999.29724,
1605.447,1033.5681,
1602.536,1047.7395,
1599.626,1051.3848,
1596.715,1061.6086,
1593.805,1037.5837,
1590.894,1024.9376,
1587.984,997.64224,
1585.073,1016.5971,
1582.162,1004.7622,
1579.252,972.16616,
1576.341,1001.6729,
1573.431,975.38216,
1570.520,977.85503,
1567.610,951.82062,
1564.699,956.1256,
1561.788,951.06172,
1558.878,956.86645,
1555.967,943.12639,
1553.057,920.86651,
1550.146,897.03231,
1547.235,883.67337,
1544.325,874.27309,
1541.414,859.98408,
1538.504,850.05599,
1535.593,836.91288,
1532.683,829.30015,
1529.772,831.03754,
1526.861,809.92254,
1523.951,786.60676,
1521.040,783.4033,
1518.130,781.958,
1515.219,800.18601,
1512.309,775.53494,
1509.398,792.73548,
1506.487,751.96324,
1503.577,784.15188,
1500.666,796.45449,
1497.756,734.29482,
1494.845,767.06524,
1491.934,777.52736,
1489.024,747.69008,
