,PLC260~1,
Wavenumbers [1/cm],Intensity,
1739.334,927.94588,
1736.423,951.0224,
1733.512,947.17476,
1730.602,947.98414,
1727.691,968.42385,
1724.781,962.98793,
1721.870,945.5142,
1718.960,956.80018,
1716.049,935.66973,
1713.138,929.29001,
1710.228,943.79505,
1707.317,989.344,
1704.407,1000.3904,
1701.496,981.8575,
1698.586,1009.5675,
1695.675,1028.8428,
1692.764,1020.5328,
1689.854,1002.7795,
1686.943,1020.3592,
1684.033,1024.9007,
1681.122,1050.5582,
1678.211,1094.5812,
1675.301,1005.2775,
1672.390,1066.0479,
1669.480,1082.0562,
1666.569,1089.9268,
1663.659,1161.216,
1660.748,1114.8291,
1657.837,1157.5249,
1654.927,1180.4143,
1652.016,1157.3121,
1649.106,1210.4651,
1646.195,1229.6953,
1643.285,1257.5671,
1640.374,1239.2091,
1637.463,1249.7206,
1634.553,1289.3251,
1631.642,1311.7275,
1628.732,1378.1659,
1625.821,1406.0255,
1622.911,1444.7802,
1620.000,1541.7653,
1617.089,1618.4677,
1614.179,1713.2927,
1611.268,1792.0629,
1608.358,1857.9097,
1605.447,1930.772,
1602.536,2003.9596,
1599.626,2003.4804,
1596.715,1953.0819,
1593.805,1937.268,
1590.894,1940.4034,
1587.984,1895.9632,
1585.073,1888.1492,
1582.162,1875.4767,
1579.252,1841.0863,
1576.341,1830.7957,
1573.431,1826.0841,
1570.520,1776.0799,
1567.610,1743.8625,
1564.699,1748.8754,
1561.788,1739.6198,
1558.878,1690.3032,
1555.967,1683.2133,
1553.057,1683.6208,
1550.146,1681.2291,
1547.235,1685.542,
1544.325,1655.7647,
1541.414,1620.7389,
1538.504,1613.5414,
1535.593,1605.7486,
1532.683,1609.3224,
1529.772,1590.0693,
1526.861,1506.9858,
1523.951,1446.4092,
1521.040,1454.8137,
1518.130,1483.703,
1515.219,1485.719,
1512.309,1510.5946,
1509.398,1475.1331,
1506.487,1465.8895,
1503.577,1473.4516,
1500.666,1394.5962,
1497.756,1439.0763,
1494.845,1437.5186,
1491.934,1378.0157,
1489.024,1382.8282,
1486.113,1388.5633,
1483.203,1373.9011,
1480.292,1380.4851,
1477.382,1394.932,
1474.471,1318.96,
1471.560,1342.1683,
1468.650,1365.4662,
1465.739,1341.0994,
1462.829,1329.5809,
1459.918,1341.3923,
1457.008,1321.0766,
1454.097,1312.0242,
1451.186,1303.4739,
1448.276,1264.9518,
1445.365,1283.8239,
1442.455,1308.6269,
1439.544,1303.7303,
1436.633,1324.3784,
1433.723,1309.8814,
1430.812,1291.6753,
1427.902,1250.2931,
1424.991,1262.6141,
1422.081,1285.9369,
1419.170,1301.825,
1416.259,1249.7258,
1413.349,1254.3705,
1410.438,1257.2009,
1407.528,1258.575,
1404.617,1271.1554,
1401.707,1267.3413,
1398.796,1282.9615,
1395.885,1290.9171,
1392.975,1268.792,
1390.064,1285.3545,
1387.154,1281.4199,
1384.243,1256.3805,
1381.332,1300.6118,
1378.422,1406.039,
1375.511,1329.2229,
1372.601,1371.3138,
1369.690,1399.0022,
1366.780,1387.1593,
1363.869,1411.3326,
1360.958,1464.2538,
1358.048,1525.1586,
1355.137,1565.1421,
1352.227,1597.5884,
1349.316,1636.3867,
1346.406,1681.3518,
1343.495,1735.2282,
1340.584,1758.464,
1337.674,1779.536,
1334.763,1783.9647,
1331.853,1783.0375,
1328.942,1807.905,
1326.032,1886.8527,
1323.121,1863.9879,
1320.210,1898.6122,
1317.300,1907.0637,
1314.389,1907.8197,
1311.479,1930.3591,
1308.568,1950.7471,
1305.657,1976.4527,
1302.747,2030.9621,
1299.836,2091.9656,
1296.926,2108.051,
1294.015,2152.1785,
1291.105,2224.4433,
1288.194,2274.7359,
1285.283,2317.9361,
1282.373,2324.0391,
1279.462,2384.2341,
1276.552,2436.0709,
1273.641,2450.5639,
1270.731,2495.7,
1267.820,2541.5458,
1264.909,2519.317,
1261.999,2401.5618,
1259.088,2499.1588,
1256.178,2453.6126,
1253.267,2414.3122,
1250.356,2402.9682,
1247.446,2348.6078,
1244.535,2314.4687,
1241.625,2287.3186,
1238.714,2244.1795,
1235.804,2246.1602,
1232.893,2229.8844,
