,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_1E-4mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__3__46,
Raman shift [1/cm],Intensity,
1570.520,1171.9281,
1567.610,1144.6712,
1564.699,1129.2247,
1561.788,1104.215,
1558.878,1083.8258,
1555.967,1081.3927,
1553.057,1050.8538,
1550.146,1034.5936,
1547.235,1024.5338,
1544.325,1020.1432,
1541.414,1016.2693,
1538.504,986.08748,
1535.593,967.13223,
1532.683,953.37423,
1529.772,953.31216,
1526.861,975.31274,
1523.951,969.84993,
1521.040,951.39976,
1518.130,907.11222,
1515.219,916.47002,
1512.309,914.51126,
1509.398,903.23111,
1506.487,885.16682,
1503.577,920.69625,
1500.666,880.08577,
1497.756,880.91926,
1494.845,857.06908,
1491.934,816.82559,
1489.024,839.92542,
1486.113,872.27533,
1483.203,852.54581,
1480.292,816.65805,
1477.382,804.28401,
1474.471,861.83818,
1471.560,841.2897,
1468.650,791.90304,
1465.739,785.99784,
1462.829,836.5113,
1459.918,851.83274,
1457.008,861.58105,
1454.097,845.77735,
1451.186,830.19681,
1448.276,855.83608,
1445.365,818.64021,
1442.455,790.30316,
1439.544,813.43489,
1436.633,850.61297,
1433.723,814.46454,
1430.812,887.51468,
1427.902,774.45597,
1424.991,888.18746,
1422.081,821.10426,
1419.170,795.74067,
1416.259,813.81164,
1413.349,804.40042,
1410.438,766.86036,
1407.528,774.63722,
1404.617,774.42031,
1401.707,801.25601,
1398.796,826.14163,
1395.885,811.72238,
1392.975,800.68746,
1390.064,812.28822,
1387.154,837.50652,
1384.243,811.16331,
1381.332,802.51262,
1378.422,833.86102,
1375.511,855.40698,
1372.601,896.29909,
1369.690,847.45943,
1366.780,880.72786,
1363.869,920.0826,
1360.958,984.88774,
1358.048,1031.1427,
1355.137,1001.1696,
1352.227,988.82859,
1349.316,1012.7511,
1346.406,1015.7997,
1343.495,1049.2378,
1340.584,1065.9996,
1337.674,1097.43,
1334.763,1119.1502,
1331.853,1103.3872,
1328.942,1096.5238,
1326.032,1100.6437,
1323.121,1145.4669,
1320.210,1158.7522,
1317.300,1169.5546,
1314.389,1161.3052,
1311.479,1162.3518,
1308.568,1188.0603,
1305.657,1197.1548,
1302.747,1219.5537,
1299.836,1290.3102,
1296.926,1268.3992,
1294.015,1325.3973,
1291.105,1350.6441,
1288.194,1386.4985,
1285.283,1406.206,
1282.373,1440.4921,
1279.462,1482.4554,
1276.552,1507.8603,
1273.641,1536.1468,
1270.731,1560.6948,
1267.820,1530.919,
1264.909,1525.0904,
1261.999,1505.0177,
1259.088,1484.951,
1256.178,1523.147,
1253.267,1466.0728,
1250.356,1448.1045,
1247.446,1414.7198,
1244.535,1373.9018,
1241.625,1323.2427,
1238.714,1274.9954,
1235.804,1267.92,
1232.893,1229.6298,
1229.982,1208.9152,
1227.072,1243.3171,
1224.161,1191.9578,
1221.251,1201.1072,
1218.340,1164.9944,
1215.430,1118.077,
1212.519,1091.9586,
1209.608,1107.8475,
1206.698,1151.4947,
1203.787,1159.1621,
1200.877,1202.2983,
1197.966,1162.7353,
1195.055,1213.6514,
1192.145,1246.793,
1189.234,1281.3505,
1186.324,1282.6578,
1183.413,1285.882,
1180.503,1295.3186,
1177.592,1270.3862,
1174.681,1240.7226,
1171.771,1227.0179,
1168.860,1238.628,
1165.950,1235.7186,
1163.039,1228.4644,
1160.129,1202.1558,
1157.218,1192.4803,
1154.307,1197.5238,
1151.397,1186.1903,
1148.486,1160.2543,
1145.576,1136.0992,
1142.665,1167.1761,
1139.754,1157.5456,
1136.844,1181.3615,
1133.933,1161.6652,
1131.023,1138.3337,
1128.112,1139.9638,
1125.202,1137.0544,
1122.291,1112.2567,
1119.380,1129.9146,
1116.470,1146.6826,
1113.559,1138.6978,
1110.649,1165.2181,
1107.738,1176.9993,
1104.828,1157.106,
1101.917,1153.8692,
1099.006,1192.2863,
1096.096,1147.6425,
1093.185,1145.8865,
1090.275,1155.4612,
1087.364,1170.7863,
1084.453,1168.8755,
1081.543,1164.9411,
1078.632,1171.8241,
1075.722,1185.2635,
1072.811,1204.4397,
1069.901,1200.0734,
1066.990,1190.05,
1064.079,1197.9577,
1061.169,1194.4655,
1058.258,1203.8425,
1055.348,1224.5742,
1052.437,1222.406,
1049.527,1226.0857,
1046.616,1234.774,
1043.705,1240.3746,
1040.795,1241.75,
1037.884,1251.359,
1034.974,1260.0052,
1032.063,1261.8499,
1029.153,1273.6195,
1026.242,1289.1887,
1023.331,1263.9183,
1020.421,1282.4514,
1017.510,1287.7075,
1014.600,1296.8608,
1011.689,1315.0351,
1008.778,1320.5882,
1005.868,1349.0975,
1002.957,1387.8134,
1000.047,1409.038,
997.136,1462.3234,
994.226,1483.704,
991.315,1476.6658,
988.404,1489.724,
985.494,1463.4239,
982.583,1448.8625,
979.673,1424.069,
976.762,1438.647,
973.852,1444.5838,
970.941,1437.974,
968.030,1451.698,
965.120,1445.7822,
962.209,1453.4551,
959.299,1464.6655,
956.388,1470.9899,
953.477,1468.6397,
950.567,1455.953,
947.656,1444.9944,
944.746,1507.8615,
941.835,1446.7747,
938.925,1438.9886,
936.014,1448.3141,
933.103,1455.8686,
930.193,1453.9571,
927.282,1430.3834,
924.372,1423.6185,
921.461,1405.8128,
918.551,1382.322,
915.640,1375.6992,
912.729,1384.8234,
909.819,1386.9716,
906.908,1381.0746,
903.998,1352.9123,
901.087,1364.2087,
898.176,1372.364,
895.266,1366.2586,
892.355,1371.6289,
889.445,1440.4488,
886.534,1436.5756,
883.624,1451.2251,
880.713,1452.1154,
877.802,1458.2561,
874.892,1476.6023,
871.981,1454.1643,
869.071,1471.708,
866.160,1484.4094,
863.250,1478.2659,
860.339,1468.392,
857.428,1464.3064,
854.518,1450.2074,
851.607,1466.0167,
848.697,1461.8718,
845.786,1452.0034,
842.875,1449.2455,
839.965,1455.2111,
837.054,1452.7128,
834.144,1449.3978,
831.233,1441.4172,
828.323,1412.5268,
825.412,1404.7799,
822.501,1445.8777,
819.591,1463.2321,
816.680,1413.2691,
813.770,1371.3044,
810.859,1380.8244,
807.949,1398.0402,
805.038,1357.9447,
802.127,1367.8222,
799.217,1359.8053,
796.306,1388.534,
793.396,1392.1162,
790.485,1364.1722,
787.574,1380.7811,
784.664,1381.6012,
781.753,1371.6852,
778.843,1360.869,
775.932,1361.8486,
773.022,1376.2284,
770.111,1366.4175,
767.200,1403.0543,
764.290,1403.1924,
761.379,1380.1769,
758.469,1364.6558,
755.558,1390.0936,
752.648,1368.0993,
749.737,1351.9998,
746.826,1315.4456,
743.916,1292.7567,
741.005,1313.8459,
738.095,1226.1632,
735.184,1144.9591,
732.274,1082.0408,
729.363,1108.5816,
726.452,1233.7133,
723.542,1294.4178,
720.631,1306.1599,
717.721,1328.7996,
714.810,1348.6988,
711.899,1367.2847,
708.989,1412.4725,
706.078,1383.1018,
703.168,1352.0684,
700.257,1335.9249,
697.347,1338.88,
694.436,1353.0953,
691.525,1328.9812,
688.615,1331.9258,
685.704,1341.4986,
682.794,1341.665,
679.883,1322.3627,
676.973,1335.986,
674.062,1332.3692,
671.151,1322.6134,
668.241,1326.9007,
665.330,1365.9013,
662.420,1369.0962,
659.509,1341.813,
656.598,1350.8495,
653.688,1375.9286,
650.777,1349.912,
647.867,1354.69,
644.956,1359.4649,
642.046,1356.7748,
639.135,1350.3788,
636.224,1352.9967,
633.314,1402.2209,
630.403,1413.5676,
627.493,1407.373,
624.582,1395.2186,
621.672,1379.3787,
618.761,1418.2668,
615.850,1423.0362,
612.940,1409.2362,
610.029,1403.562,
607.119,1456.4673,
604.208,1452.5198,
601.297,1461.2129,
598.387,1458.5585,
595.476,1424.0926,
592.566,1459.5106,
589.655,1442.426,
586.745,1418.9008,
583.834,1405.4088,
580.923,1407.769,
578.013,1410.9079,
575.102,1410.0292,
572.192,1421.9695,
569.281,1450.2492,
566.371,1475.2932,
563.460,1450.9422,
560.549,1435.8518,
557.639,1437.927,
554.728,1455.0949,
551.818,1460.5571,
548.907,1436.7641,
545.996,1431.2473,
543.086,1455.6348,
540.175,1492.2312,
537.265,1485.3344,
534.354,1474.2246,
531.444,1455.325,
528.533,1425.9707,
525.622,1429.0745,
522.712,1464.3349,
519.801,1508.899,
516.891,1540.3679,
513.980,1518.6876,
511.070,1543.5152,
508.159,1561.4359,
505.248,1578.7645,
502.338,1609.1792,
499.427,1623.8441,
496.517,1627.75,
493.606,1629.4325,
490.695,1638.3132,
487.785,1678.3423,
484.874,1673.7642,
481.964,1649.0625,
479.053,1628.2657,
476.143,1651.3046,
473.232,1652.75,
470.321,1653.2366,
467.411,1641.8468,
464.500,1607.3512,
461.590,1631.0891,
458.679,1644.9038,
455.769,1658.6266,
452.858,1675.75,
449.947,1675.75,
447.037,1693.9528,
444.126,1699.4652,
441.216,1689.1469,
438.305,1691.4327,
435.395,1710.1078,
432.484,1720.1668,
429.573,1720.5725,
426.663,1719.8124,
423.752,1717.6577,
420.842,1714.9233,
417.931,1722.2306,
415.020,1755.5984,
412.110,1748.7023,
409.199,1766.7769,
406.289,1787.7661,
403.378,1784.7474,
400.468,1783.9914,
397.557,1786.8349,
394.646,1775.744,
391.736,1738.4743,
388.825,1761.1013,
385.915,1745.3979,
383.004,1732.603,
380.094,1750.5562,
377.183,1766.3582,
374.272,1805.4879,
371.362,1829.1578,
368.451,1816.7074,
365.541,1832.4687,
362.630,1853.1372,
359.719,1859.9427,
356.809,1845.1546,
353.898,1868.3673,
350.988,1871.4951,
348.077,1864.9747,
345.167,1857.5285,
342.256,1892.6408,
339.345,1868.2069,
336.435,1850.7968,
333.524,1883.7165,
330.614,1850.9297,
327.703,1839.2098,
324.793,1831.8208,
321.882,1814.8492,
318.971,1855.7385,
316.061,1887.3293,
313.150,1906.4429,
310.240,1908.6692,
307.329,1925.1866,
304.418,1900.7452,
301.508,1868.2792,
298.597,1885.3088,
295.687,1917.9031,
292.776,1915.2499,
289.866,1902.8939,
286.955,1960.5144,
284.044,2020.6149,
281.134,2074.8187,
278.223,2111.0076,
275.313,2078.586,
272.402,2119.965,
269.492,2172.1769,
266.581,2209.9602,
263.670,2212.9009,
260.760,2241.4363,
257.849,2265.4669,
254.939,2261.7975,
252.028,2276.2269,
249.117,2281.2932,
246.207,2269.3854,
243.296,2225.4631,
240.386,2250.1346,
237.475,2269.2077,
234.565,2273.7147,
231.654,2267.1412,
228.743,2229.5018,
225.833,2213.1165,
222.922,2234.4058,
220.012,2184.1355,
217.101,2205.0444,
214.191,2236.5375,
211.280,2212.5312,
208.369,2199.985,
205.459,2202.735,
202.548,2224.9032,
199.638,2283.6808,
196.727,2288.2592,
193.816,2278.2347,
190.906,2267.8262,
187.995,2269.9983,
185.085,2315.6713,
182.174,2349.2958,
179.264,2288.5834,
176.353,2249.0703,
173.442,2238.7263,
170.532,2247.2895,
167.621,2200.4261,
164.711,2172.5085,
161.800,2104.9276,
158.890,1947.3072,
155.979,1824.7184,
153.068,1670.4447,
150.158,1480.0749,
147.247,1240.9968,
144.337,1044.9943,
141.426,840.7722,
138.516,603.4812,
135.605,430.13588,
132.694,292.36338,
129.784,187.78861,
126.873,121.28154,
123.963,80.434634,
121.052,56.350529,
118.141,47.783705,
115.231,34.249163,
112.320,27.055456,
109.410,24.340934,
106.499,22.204469,
103.589,23.991018,
100.678,20.860809,
97.767,8.063933,
94.857,9.1359781,
91.946,11.765554,
89.036,14.072613,
86.125,9.8173809,
83.215,12.466442,
80.304,15.510567,
77.393,14.802397,
74.483,14.094865,
71.572,13.025296,
68.662,11.47293,
65.751,8.6471257,
62.840,5.8231921,
59.930,6.3720068,
57.019,16.243155,
54.109,11.181231,
51.198,7.0516093,
48.288,7.7047005,
45.377,2.0776759,
42.466,4.2844127,
39.556,11.095356,
36.645,13.201926,
33.735,9.5960123,
30.824,6.4126609,
27.914,8.5161867,
25.003,6.2594501,
22.092,6.6874273,
19.182,11.093243,
16.271,21.585595,
13.361,97.819314,
10.450,231.84541,
7.539,435.7535,
4.629,554.32327,
1.718,466.07806,
-1.192,-21.92312,
-4.103,-132.25589,
-7.013,-113.99838,
-9.924,-1.25,
