,PLFBF1~1,
Wavenumbers [1/cm],Intensity,
138.516,609.06986,
135.605,423.51792,
132.694,277.52168,
129.784,171.56164,
126.873,118.64203,
123.963,83.974054,
121.052,57.376323,
118.141,35.959263,
115.231,22.374163,
112.320,18.99318,
109.410,19.829671,
106.499,9.1473427,
103.589,10.796781,
100.678,13.331757,
97.767,11.909881,
94.857,9.7960329,
91.946,6.4563348,
89.036,2.9878979,
86.125,3.6971032,
83.215,2.2822389,
80.304,0.15670195,
77.393,-1.9678079,
74.483,-4.7455398,
71.572,-1.7767746,
68.662,5.9442675,
65.751,6.6507186,
62.840,6.875,
59.930,5.7512828,
57.019,1.5207909,
54.109,0.27783915,
51.198,0.47821855,
48.288,1.8976498,
45.377,4.711162,
42.466,7.111658,
39.556,6.5726284,
36.645,-7.4711759,
33.735,-2.2977761,
30.824,2.5616954,
27.914,-7.9559333,
25.003,-4.1439002,
22.092,-1.4479046,
19.182,-1.9419371,
16.271,3.653984,
13.361,26.947899,
10.450,46.13963,
7.539,-10.423915,
4.629,-257.98756,
1.718,-551.17479,
-1.192,-795.87252,
-4.103,-622.34038,
-7.013,-340.85002,
-9.924,0.875,
