,PLA7BD~1,
Wavenumbers [1/cm],Intensity,
851.607,2756.3837,
848.697,2649.2684,
845.786,2626.1147,
842.875,2674.5866,
839.965,2743.7055,
837.054,2807.3867,
834.144,2852.9681,
831.233,2850.5425,
828.323,2844.3804,
825.412,2823.9133,
822.501,2784.7049,
819.591,2800.4064,
816.680,2804.8814,
813.770,2765.1523,
810.859,2710.6419,
807.949,2670.0164,
805.038,2661.4679,
802.127,2674.638,
799.217,2652.0225,
796.306,2630.8208,
793.396,2629.0507,
790.485,2643.9808,
787.574,2652.093,
784.664,2657.8337,
781.753,2660.217,
778.843,2674.1072,
775.932,2711.64,
773.022,2755.3652,
770.111,2694.0468,
767.200,2713.4757,
764.290,2697.182,
761.379,2686.5707,
758.469,2698.1306,
755.558,2702.5103,
752.648,2690.2913,
749.737,2651.3188,
746.826,2629.5439,
743.916,2644.1869,
741.005,2683.8312,
738.095,2639.178,
735.184,2639.5955,
732.274,2658.1778,
729.363,2683.9706,
726.452,2705.875,
723.542,2705.875,
720.631,2690.5842,
717.721,2697.3319,
714.810,2716.534,
711.899,2723.9047,
708.989,2681.1376,
706.078,2687.2854,
703.168,2659.1212,
700.257,2646.8887,
697.347,2650.7887,
694.436,2628.7004,
691.525,2622.27,
688.615,2620.2461,
685.704,2631.5307,
682.794,2646.641,
679.883,2646.9563,
676.973,2670.9974,
674.062,2682.2558,
671.151,2667.9035,
668.241,2649.64,
665.330,2664.2321,
662.420,2650.6537,
659.509,2654.2243,
656.598,2648.3545,
653.688,2645.5368,
650.777,2676.7409,
647.867,2643.2951,
644.956,2614.2047,
642.046,2560.2444,
639.135,2528.6569,
636.224,2626.1694,
633.314,2684.9209,
630.403,2677.409,
627.493,2682.615,
624.582,2716.0516,
621.672,2716.8436,
618.761,2735.8735,
615.850,2735.8141,
612.940,2751.3671,
610.029,2799.0294,
607.119,2847.9865,
604.208,2847.1949,
601.297,2859.332,
598.387,2873.875,
595.476,2876.549,
592.566,2904.8835,
589.655,2846.3818,
586.745,2785.8369,
583.834,2755.1688,
580.923,2766.875,
578.013,2766.875,
575.102,2743.9315,
572.192,2743.6674,
569.281,2770.6412,
566.371,2752.6409,
563.460,2785.4429,
560.549,2792.5658,
557.639,2785.1436,
554.728,2784.3476,
551.818,2760.1578,
548.907,2801.7998,
545.996,2847.4266,
543.086,2857.2797,
540.175,2789.5375,
537.265,2814.5705,
534.354,2827.3801,
531.444,2848.1024,
528.533,2895.5022,
525.622,2862.1364,
522.712,2894.9207,
519.801,2917.82,
516.891,2916.0051,
513.980,2931.491,
511.070,2956.1185,
508.159,2989.2758,
505.248,3025.3902,
502.338,3059.202,
499.427,3138.7007,
496.517,3143.471,
493.606,3160.8228,
490.695,3220.196,
487.785,3222.5053,
484.874,3202.1958,
481.964,3171.7722,
479.053,3152.2293,
476.143,3182.9478,
473.232,3143.869,
470.321,3147.8246,
467.411,3169.3815,
464.500,3170.5841,
461.590,3159.098,
458.679,3161.9282,
455.769,3167.5051,
452.858,3172.7722,
449.947,3210.2048,
447.037,3247.6063,
444.126,3273.1598,
441.216,3293.2675,
438.305,3347.3646,
435.395,3326.6826,
432.484,3302.7065,
429.573,3280.9999,
426.663,3242.9929,
423.752,2978.3429,
420.842,2627.855,
417.931,2384.8749,
415.020,2522.1377,
412.110,2942.4313,
409.199,3227.8822,
406.289,3352.1162,
403.378,3306.4601,
400.468,3183.989,
397.557,3239.4785,
394.646,3351.5,
391.736,3414.2271,
388.825,3456.4641,
385.915,3468.875,
383.004,3483.4377,
380.094,3518.8769,
377.183,3499.3125,
374.272,3535.1263,
371.362,3566.6374,
368.451,3562.1576,
365.541,3616.1962,
362.630,3607.9329,
359.719,3600.7137,
356.809,3630.9139,
353.898,3664.6098,
350.988,3663.5678,
348.077,3647.9052,
345.167,3632.7671,
342.256,3670.1205,
339.345,3654.3034,
336.435,3631.9854,
333.524,3634.6401,
330.614,3627.1886,
327.703,3644.8978,
324.793,3674.7022,
321.882,3705.7939,
318.971,3672.339,
316.061,3680.4076,
313.150,3699.9512,
310.240,3696.9827,
307.329,3723.3166,
304.418,3729.3155,
301.508,3739.0381,
298.597,3796.0502,
295.687,3772.4309,
292.776,3799.2919,
289.866,3869.1087,
286.955,3931.9004,
284.044,3985.7825,
281.134,4036.314,
278.223,4085.4197,
275.313,4136.9995,
272.402,4139.7424,
269.492,4088.8819,
266.581,3998.8642,
263.670,4096.6432,
260.760,4138.457,
257.849,4180.9004,
254.939,4266.7646,
252.028,4289.5903,
249.117,4288.7385,
246.207,4291.1338,
243.296,4342.3763,
240.386,4341.9981,
237.475,4332.728,
234.565,4311.9468,
231.654,4242.5603,
228.743,4215.2169,
225.833,4179.0441,
222.922,4119.8115,
220.012,4161.3392,
217.101,4173.4029,
214.191,4142.1508,
211.280,4043.2159,
208.369,4071.5341,
205.459,4062.1252,
202.548,4031.7776,
199.638,4089.1038,
196.727,4111.8231,
193.816,4121.0791,
190.906,4123.2655,
187.995,4105.8889,
185.085,4111.6964,
182.174,4128.205,
179.264,4140.492,
176.353,4132.9041,
173.442,4110.1097,
170.532,4073.0785,
167.621,4023.3312,
164.711,3905.287,
161.800,3747.222,
158.890,3560.8125,
155.979,3304.0093,
153.068,3047.8054,
150.158,2769.5946,
147.247,2368.2593,
144.337,1965.4817,
141.426,1556.0834,
138.516,1136.702,
135.605,820.38034,
132.694,557.52558,
129.784,353.55143,
126.873,244.13656,
123.963,171.79683,
121.052,122.82672,
118.141,94.984542,
115.231,79.242452,
112.320,61.43683,
109.410,43.693316,
106.499,32.298832,
103.589,30.995509,
100.678,30.788513,
97.767,27.944763,
94.857,30.646956,
91.946,31.471889,
89.036,29.407327,
86.125,20.187659,
83.215,19.998681,
80.304,23.072163,
77.393,26.613013,
74.483,18.358246,
71.572,14.237352,
68.662,14.944267,
65.751,15.650719,
62.840,13.46649,
59.930,11.811431,
57.019,15.336841,
54.109,12.292035,
51.198,8.0653443,
48.288,3.9202995,
45.377,9.5473241,
42.466,13.111658,
39.556,13.723814,
36.645,6.7019121,
33.735,4.875,
30.824,4.2123391,
27.914,2.1088133,
25.003,0.0070875738,
22.092,-3.3853319,
19.182,-8.7657202,
16.271,-28.351444,
13.361,-107.3514,
10.450,-279.40227,
7.539,-710.96117,
4.629,-1031.7203,
1.718,-1187.9965,
-1.192,-1060.419,
-4.103,-677.09263,
-7.013,-306.35516,
-9.924,-0.125,
