,PLE573~1,
Wavenumbers [1/cm],Intensity,
1876.131,786.74624,
1873.220,807.29544,
1870.310,820.58574,
1867.399,822.35901,
1864.489,806.76578,
1861.578,748.81956,
1858.667,812.10853,
1855.757,809.40006,
1852.846,792.1801,
1849.936,811.67832,
1847.025,782.375,
1844.114,803.29742,
1841.204,822.19668,
1838.293,817.85754,
1835.383,822.36351,
1832.472,836.35239,
1829.562,853.84662,
1826.651,833.12657,
1823.740,829.65471,
1820.830,829.28836,
1817.919,857.69255,
1815.009,843.82539,
1812.098,880.76868,
1809.188,882.56105,
1806.277,877.48566,
1803.366,824.70772,
1800.456,845.85884,
1797.545,870.72964,
1794.635,866.05203,
1791.724,871.59838,
1788.813,847.78194,
1785.903,859.76073,
1782.992,824.35114,
1780.082,776.92224,
1777.171,670.69672,
1774.261,656.9406,
1771.350,741.22226,
1768.439,804.56834,
1765.529,851.01675,
1762.618,914.84568,
1759.708,937.69013,
1756.797,921.8447,
1753.887,926.09366,
1750.976,922.58181,
1748.065,900.85734,
1745.155,898.76205,
1742.244,950.04884,
1739.334,959.99618,
1736.423,930.05914,
1733.512,945.84255,
1730.602,977.81551,
1727.691,992.28394,
1724.781,998.30788,
1721.870,1000.9845,
1718.960,968.48571,
1716.049,1036.0437,
1713.138,1042.68,
1710.228,1018.7473,
1707.317,1013.6059,
1704.407,1017.867,
1701.496,1025.6674,
1698.586,1061.4864,
1695.675,1083.0892,
1692.764,1060.707,
1689.854,1097.6427,
1686.943,1086.8134,
1684.033,1106.8534,
1681.122,1099.5109,
1678.211,1135.0324,
1675.301,1117.4305,
1672.390,1196.2135,
1669.480,1142.367,
1666.569,1142.3018,
1663.659,1214.669,
1660.748,1232.1822,
1657.837,1224.059,
1654.927,1299.5156,
1652.016,1306.0554,
1649.106,1333.1547,
1646.195,1324.4949,
1643.285,1330.0358,
1640.374,1358.3123,
1637.463,1355.4831,
1634.553,1362.3947,
1631.642,1430.8202,
1628.732,1471.3809,
1625.821,1472.4457,
1622.911,1579.7664,
1620.000,1619.8711,
1617.089,1689.9621,
1614.179,1728.3034,
1611.268,1848.7649,
1608.358,1943.9268,
1605.447,2005.8898,
1602.536,2038.2635,
1599.626,2007.2574,
1596.715,2005.2826,
1593.805,2043.8313,
1590.894,2043.9716,
1587.984,2007.8652,
1585.073,1961.5358,
1582.162,1935.1726,
1579.252,1906.0077,
1576.341,1907.5846,
1573.431,1899.9769,
1570.520,1885.9093,
1567.610,1881.6299,
1564.699,1881.375,
1561.788,1813.77,
1558.878,1824.2925,
1555.967,1811.9844,
1553.057,1800.2025,
1550.146,1779.0223,
1547.235,1762.0137,
1544.325,1733.795,
1541.414,1720.3957,
1538.504,1727.9164,
1535.593,1718.176,
1532.683,1716.4817,
1529.772,1689.1319,
1526.861,1622.0865,
1523.951,1590.057,
1521.040,1585.6798,
1518.130,1617.6574,
1515.219,1642.6148,
1512.309,1643.42,
1509.398,1624.2933,
1506.487,1606.1153,
1503.577,1585.9377,
1500.666,1558.0685,
1497.756,1584.5526,
1494.845,1552.0159,
1491.934,1591.3498,
1489.024,1583.6499,
1486.113,1545.3592,
1483.203,1556.5857,
1480.292,1529.5256,
1477.382,1562.3627,
1474.471,1550.6558,
1471.560,1524.782,
1468.650,1541.2896,
1465.739,1551.094,
1462.829,1505.6137,
1459.918,1500.7896,
1457.008,1515.7903,
1454.097,1527.4748,
1451.186,1540.7212,
1448.276,1533.2198,
1445.365,1545.0551,
1442.455,1576.221,
1439.544,1593.1006,
1436.633,1541.4147,
1433.723,1582.8644,
1430.812,1604.4197,
1427.902,1566.9917,
1424.991,1550.8797,
1422.081,1561.3847,
1419.170,1571.8797,
1416.259,1570.1347,
1413.349,1613.9342,
1410.438,1604.5825,
1407.528,1570.5566,
1404.617,1579.0987,
1401.707,1612.9229,
1398.796,1643.5358,
1395.885,1654.8277,
1392.975,1634.9161,
1390.064,1619.7929,
1387.154,1640.7394,
1384.243,1638.8239,
1381.332,1653.6044,
1378.422,1639.2784,
1375.511,1637.4048,
1372.601,1722.1595,
1369.690,1701.9439,
1366.780,1725.0962,
1363.869,1766.5194,
1360.958,1795.8804,
1358.048,1857.7731,
1355.137,1864.9367,
1352.227,1867.1987,
1349.316,1895.9314,
1346.406,1884.8205,
1343.495,1892.5789,
1340.584,1937.7318,
1337.674,1958.9446,
1334.763,1930.3397,
1331.853,1929.4125,
1328.942,1983.6323,
1326.032,1971.6157,
1323.121,1907.3569,
1320.210,1948.3056,
1317.300,1925.6639,
1314.389,1933.5981,
1311.479,1960.2101,
1308.568,1953.0243,
1305.657,1966.6986,
1302.747,1950.8998,
1299.836,1998.7092,
1296.926,2016.6569,
1294.015,2044.2366,
1291.105,2114.0573,
1288.194,2123.375,
1285.283,2175.6432,
1282.373,2210.9296,
1279.462,2250.6685,
1276.552,2289.3829,
1273.641,2294.8848,
1270.731,2270.2601,
1267.820,2246.7131,
1264.909,2239.6497,
1261.999,2235.0408,
1259.088,2253.2832,
1256.178,2304.0495,
1253.267,2277.8512,
1250.356,2219.29,
1247.446,2154.7174,
1244.535,2111.0045,
1241.625,2076.5936,
1238.714,2038.6569,
1235.804,2008.4527,
1232.893,1969.7494,
1229.982,1969.5846,
1227.072,1887.2012,
1224.161,1888.9395,
1221.251,1839.0039,
1218.340,1810.3622,
1215.430,1786.7579,
1212.519,1775.5443,
1209.608,1773.3506,
1206.698,1760.843,
1203.787,1755.9077,
1200.877,1755.5481,
1197.966,1790.6153,
1195.055,1817.1192,
1192.145,1882.9852,
1189.234,1910.5117,
1186.324,1946.5599,
1183.413,1960.1263,
1180.503,1951.1319,
1177.592,1947.5564,
1174.681,1884.1079,
1171.771,1875.1277,
1168.860,1864.4107,
1165.950,1835.9612,
1163.039,1801.4389,
1160.129,1801.1721,
1157.218,1784.3767,
1154.307,1764.4245,
1151.397,1771.1614,
1148.486,1758.6228,
1145.576,1769.7945,
1142.665,1733.3901,
1139.754,1719.7978,
1136.844,1725.0783,
1133.933,1711.9528,
1131.023,1709.8169,
1128.112,1709.6623,
1125.202,1685.5441,
1122.291,1672.2551,
1119.380,1685.6262,
1116.470,1711.2195,
1113.559,1698.1368,
1110.649,1693.375,
1107.738,1689.0885,
1104.828,1709.9249,
1101.917,1736.6824,
1099.006,1717.674,
1096.096,1716.2026,
1093.185,1746.0547,
1090.275,1699.0095,
1087.364,1703.8419,
1084.453,1705.1879,
1081.543,1707.8248,
1078.632,1709.5401,
1075.722,1697.2646,
1072.811,1718.1888,
1069.901,1715.5691,
1066.990,1749.3249,
1064.079,1726.7519,
1061.169,1733.9147,
1058.258,1753.9159,
1055.348,1763.8421,
1052.437,1778.719,
1049.527,1775.7778,
1046.616,1786.2037,
1043.705,1795.8534,
1040.795,1813.6991,
1037.884,1806.1914,
1034.974,1816.4446,
1032.063,1856.5597,
1029.153,1845.8291,
1026.242,1857.9385,
1023.331,1818.3776,
1020.421,1822.2257,
1017.510,1846.4244,
1014.600,1852.4935,
1011.689,1841.5153,
1008.778,1837.1911,
1005.868,1796.0468,
1002.957,1870.8977,
1000.047,1931.879,
997.136,2020.8541,
994.226,2093.5746,
991.315,2118.7215,
988.404,2104.0519,
985.494,2070.8955,
982.583,2049.4816,
979.673,2025.8889,
976.762,2016.0266,
973.852,2012.607,
970.941,2022.5266,
968.030,2048.5195,
965.120,2032.4359,
962.209,2046.9291,
959.299,2045.1255,
956.388,2058.494,
953.477,2074.4853,
950.567,2076.9765,
947.656,2068.1549,
944.746,2074.1018,
941.835,2113.246,
938.925,2093.4208,
936.014,2060.1653,
933.103,2068.8571,
930.193,2102.3932,
927.282,2041.046,
924.372,2016.5234,
921.461,2011.1658,
918.551,2003.4038,
915.640,1987.3265,
912.729,1958.4205,
909.819,1927.9369,
906.908,1985.2218,
903.998,1990.7611,
901.087,1966.5513,
898.176,1964.7821,
895.266,1982.5012,
892.355,1997.8145,
889.445,2032.2244,
886.534,2039.8888,
883.624,2070.3068,
880.713,2078.2507,
877.802,2040.415,
874.892,1953.9011,
871.981,1832.9029,
869.071,1685.8702,
866.160,1758.3493,
863.250,1887.8201,
860.339,1985.4216,
857.428,2030.5578,
854.518,2066.5105,
851.607,1967.4942,
848.697,1869.2126,
845.786,1806.4267,
842.875,1827.4667,
839.965,1933.1086,
837.054,2032.6355,
834.144,2055.8406,
831.233,2054.3754,
828.323,2057.8044,
825.412,2055.0381,
822.501,2031.6515,
819.591,2010.9915,
816.680,2003.9647,
813.770,1962.9053,
810.859,1948.8511,
807.949,1957.0677,
805.038,1950.7644,
802.127,1970.5194,
799.217,1981.3197,
796.306,1970.1857,
793.396,1963.2682,
790.485,1966.4269,
787.574,1955.6864,
784.664,1963.8875,
781.753,1955.3102,
778.843,1957.7262,
775.932,1963.8318,
773.022,1960.8822,
770.111,1964.1525,
767.200,2009.2924,
764.290,2008.9281,
761.379,1992.467,
758.469,1978.9804,
755.558,1962.8856,
752.648,1979.9922,
749.737,1932.4574,
746.826,1910.5034,
743.916,1929.4986,
741.005,1954.2045,
738.095,1873.0168,
735.184,1821.1865,
732.274,1768.614,
729.363,1767.3082,
726.452,1848.4013,
723.542,1959.2882,
720.631,1962.3168,
717.721,1986.0074,
714.810,1997.9035,
711.899,1982.672,
708.989,1962.4989,
706.078,1951.9581,
703.168,1952.4111,
700.257,1949.4241,
697.347,1946.7224,
694.436,1962.9205,
691.525,1983.0157,
688.615,1960.3318,
685.704,1948.6919,
682.794,1939.1624,
679.883,1891.6097,
676.973,1941.2947,
674.062,1995.4027,
671.151,1977.857,
668.241,1929.5695,
665.330,1950.5851,
662.420,1976.1445,
659.509,2001.0579,
656.598,2007.182,
653.688,1993.0136,
650.777,1967.7269,
647.867,1948.6151,
644.956,1928.8962,
642.046,1896.5721,
639.135,1862.4885,
636.224,1855.741,
633.314,1928.7834,
630.403,1984.0301,
627.493,2000.9254,
624.582,2000.0881,
621.672,2057.1117,
618.761,2032.0172,
615.850,2050.3734,
612.940,2063.8366,
610.029,2060.9218,
607.119,2142.2538,
604.208,2111.3243,
601.297,2092.8824,
598.387,2101.8403,
595.476,2126.4382,
592.566,2084.7236,
589.655,2108.4737,
586.745,2103.6766,
583.834,2070.3246,
580.923,2052.3797,
578.013,2053.1645,
575.102,2052.2278,
572.192,2051.375,
569.281,2050.8126,
566.371,2047.6821,
563.460,2074.1828,
560.549,2100.4806,
557.639,2107.781,
554.728,2083.7837,
551.818,2074.42,
548.907,2116.8622,
545.996,2120.8813,
543.086,2087.5756,
540.175,2111.7137,
537.265,2094.5437,
534.354,2096.9071,
531.444,2114.1774,
528.533,2134.8165,
525.622,2141.024,
522.712,2142.375,
519.801,2144.2844,
516.891,2163.808,
513.980,2245.1091,
511.070,2230.5402,
508.159,2263.8784,
505.248,2317.3851,
502.338,2338.872,
499.427,2355.8523,
496.517,2370.5568,
493.606,2370.6357,
490.695,2355.482,
487.785,2356.2518,
484.874,2378.3466,
481.964,2371.2722,
479.053,2346.3974,
476.143,2354.845,
473.232,2342.4257,
470.321,2334.4555,
467.411,2335.9337,
464.500,2349.8404,
461.590,2368.2182,
458.679,2379.9785,
455.769,2391.9913,
452.858,2406.5341,
449.947,2408.0619,
447.037,2424.1508,
444.126,2428.8295,
441.216,2422.2853,
438.305,2439.0478,
435.395,2466.9448,
432.484,2469.9562,
429.573,2448.6299,
426.663,2419.7446,
423.752,2198.3854,
420.842,1952.6686,
417.931,1753.7673,
415.020,1684.7568,
412.110,2045.9867,
409.199,2304.0692,
406.289,2415.9265,
403.378,2359.27,
400.468,2328.2742,
397.557,2309.6345,
394.646,2341.7768,
391.736,2452.7754,
388.825,2496.5208,
385.915,2502.4565,
383.004,2509.51,
380.094,2545.2158,
377.183,2600.899,
374.272,2609.8616,
371.362,2622.6233,
368.451,2667.6971,
365.541,2689.4627,
362.630,2683.9039,
359.719,2694.7968,
356.809,2741.7439,
353.898,2714.7871,
350.988,2729.617,
348.077,2728.0464,
345.167,2678.0723,
342.256,2672.0957,
339.345,2707.5753,
336.435,2728.4385,
333.524,2697.9387,
330.614,2715.8224,
327.703,2698.2718,
324.793,2684.3665,
321.882,2707.4129,
318.971,2723.0252,
316.061,2705.4242,
313.150,2678.8345,
310.240,2670.6713,
307.329,2761.8485,
304.418,2782.8726,
301.508,2771.4643,
298.597,2798.1193,
295.687,2777.3488,
292.776,2791.7918,
289.866,2840.2973,
286.955,2901.6115,
284.044,3006.5149,
281.134,3054.599,
278.223,3045.4707,
275.313,3073.4712,
272.402,3126.4282,
269.492,3118.5504,
266.581,3029.5311,
263.670,3045.7051,
260.760,3089.5537,
257.849,3148.7281,
254.939,3215.5114,
252.028,3243.8811,
249.117,3250.7204,
246.207,3268.5361,
243.296,3354.1844,
240.386,3343.1323,
237.475,3344.669,
234.565,3358.7383,
231.654,3322.9495,
228.743,3330.3346,
225.833,3322.4714,
222.922,3279.7487,
