,PL9DE3~1,
Wavenumbers [1/cm],Intensity,
1622.911,1042.7894,
1620.000,1138.5279,
1617.089,1292.6455,
1614.179,1356.9733,
1611.268,1412.668,
1608.358,1485.2851,
1605.447,1545.3219,
1602.536,1560.8645,
1599.626,1581.9885,
1596.715,1585.5652,
1593.805,1535.6674,
1590.894,1530.6307,
1587.984,1547.2057,
1585.073,1513.1649,
1582.162,1489.2174,
1579.252,1446.4715,
1576.341,1431.3415,
1573.431,1448.5462,
1570.520,1460.6294,
1567.610,1403.1412,
1564.699,1391.4504,
1561.788,1382.7783,
1558.878,1351.805,
1555.967,1322.5727,
1553.057,1322.6809,
1550.146,1299.481,
1547.235,1260.4982,
1544.325,1220.3011,
1541.414,1187.2486,
1538.504,1169.5844,
1535.593,1175.4359,
1532.683,1147.7827,
1529.772,1096.4376,
1526.861,1065.001,
1523.951,1049.8587,
1521.040,1069.566,
1518.130,1031.8152,
1515.219,1034.5096,
1512.309,1038.3265,
1509.398,1003.2977,
1506.487,972.73404,
1503.577,992.36648,
1500.666,995.37028,
1497.756,945.89421,
1494.845,960.1102,
1491.934,968.61771,
1489.024,928.19301,
1486.113,949.00317,
1483.203,930.32214,
1480.292,877.68782,
1477.382,830.76234,
1474.471,869.3275,
1471.560,877.94467,
1468.650,806.05608,
1465.739,821.14627,
1462.829,813.73141,
1459.918,806.21975,
1457.008,817.2269,
1454.097,811.12842,
1451.186,814.89894,
1448.276,827.38103,
1445.365,818.39139,
1442.455,806.48971,
1439.544,817.48749,
1436.633,804.67254,
1433.723,812.1299,
1430.812,796.76034,
1427.902,747.92259,
1424.991,797.20623,
1422.081,729.02174,
1419.170,739.16715,
1416.259,763.6217,
1413.349,737.78512,
1410.438,725.65066,
1407.528,731.83116,
1404.617,712.852,
1401.707,698.86976,
1398.796,709.24648,
1395.885,721.23034,
1392.975,745.29252,
1390.064,778.62967,
1387.154,763.60946,
1384.243,753.47539,
1381.332,775.79012,
1378.422,700.00084,
1375.511,782.43757,
1372.601,818.76967,
1369.690,823.46444,
1366.780,867.31193,
1363.869,851.87035,
1360.958,874.76081,
1358.048,962.3541,
1355.137,979.73464,
1352.227,969.59325,
1349.316,1014.8574,
1346.406,1055.3045,
1343.495,1068.9713,
1340.584,1098.7496,
1337.674,1125.7164,
1334.763,1160.1261,
1331.853,1196.2881,
1328.942,1197.75,
1326.032,1223.8499,
1323.121,1250.497,
1320.210,1261.7455,
1317.300,1289.13,
1314.389,1347.8619,
1311.479,1376.7015,
1308.568,1399.3099,
1305.657,1477.9217,
1302.747,1505.8317,
1299.836,1473.9295,
1296.926,1557.9802,
1294.015,1648.9932,
1291.105,1695.8965,
1288.194,1726.511,
1285.283,1780.0062,
1282.373,1831.6561,
1279.462,1895.2197,
1276.552,1963.3407,
1273.641,1984.1861,
1270.731,1963.1605,
1267.820,1984.3447,
1264.909,2016.1667,
1261.999,1952.8845,
1259.088,1929.1694,
1256.178,1909.7644,
1253.267,1905.9828,
1250.356,1863.7603,
1247.446,1798.572,
1244.535,1723.143,
1241.625,1635.1501,
1238.714,1570.4386,
1235.804,1559.2646,
1232.893,1516.7577,
1229.982,1482.3019,
1227.072,1498.5976,
1224.161,1465.2893,
1221.251,1413.3349,
1218.340,1387.385,
1215.430,1362.4813,
1212.519,1353.5414,
1209.608,1367.42,
1206.698,1372.6435,
1203.787,1362.5792,
1200.877,1388.2485,
1197.966,1380.1561,
1195.055,1413.8799,
1192.145,1439.2849,
1189.234,1456.1307,
1186.324,1506.4816,
1183.413,1539.3338,
1180.503,1545.2167,
1177.592,1563.8004,
1174.681,1546.8219,
1171.771,1518.6373,
1168.860,1470.4105,
1165.950,1478.6506,
1163.039,1453.8139,
1160.129,1476.5515,
1157.218,1460.3682,
1154.307,1423.0574,
1151.397,1432.968,
1148.486,1425.0554,
1145.576,1394.4461,
1142.665,1433.5143,
1139.754,1422.9183,
1136.844,1398.0406,
1133.933,1378.7794,
1131.023,1366.5569,
1128.112,1347.8947,
1125.202,1328.8563,
1122.291,1343.0034,
1119.380,1351.75,
1116.470,1351.75,
1113.559,1363.3487,
1110.649,1348.4143,
1107.738,1345.1798,
1104.828,1356.5754,
1101.917,1368.5963,
1099.006,1374.4202,
1096.096,1357.6212,
1093.185,1339.1831,
1090.275,1343.4149,
1087.364,1350.9251,
1084.453,1364.4368,
1081.543,1375.3793,
1078.632,1371.2285,
1075.722,1353.8097,
1072.811,1350.8049,
1069.901,1365.6503,
1066.990,1382.1083,
1064.079,1383.7085,
1061.169,1404.2897,
1058.258,1426.8318,
1055.348,1433.1621,
1052.437,1438.4735,
1049.527,1472.4143,
1046.616,1463.726,
1043.705,1492.8098,
1040.795,1505.581,
1037.884,1493.5893,
1034.974,1487.9433,
1032.063,1513.4342,
1029.153,1546.6994,
1026.242,1512.9661,
1023.331,1544.2479,
1020.421,1556.3268,
1017.510,1574.998,
1014.600,1579.2914,
1011.689,1576.8722,
1008.778,1604.7348,
1005.868,1633.8272,
1002.957,1642.4308,
1000.047,1693.254,
997.136,1779.8798,
994.226,1833.5499,
991.315,1834.6609,
988.404,1817.5074,
985.494,1800.4239,
982.583,1785.8625,
979.673,1744.9727,
976.762,1767.7374,
973.852,1792.424,
970.941,1777.1165,
968.030,1750.0102,
965.120,1779.7393,
962.209,1777.1816,
959.299,1782.416,
956.388,1783.0701,
953.477,1805.1786,
950.567,1833.783,
947.656,1820.7527,
944.746,1828.3987,
941.835,1822.2715,
938.925,1814.1695,
936.014,1809.2325,
933.103,1810.2217,
930.193,1801.9656,
927.282,1750.2001,
924.372,1740.0528,
921.461,1717.3944,
918.551,1687.6745,
915.640,1667.5006,
912.729,1648.8689,
909.819,1614.4172,
906.908,1619.4718,
903.998,1652.3599,
901.087,1668.3881,
898.176,1684.2027,
895.266,1702.7806,
892.355,1714.1794,
889.445,1705.7867,
886.534,1729.1264,
883.624,1778.1569,
880.713,1795.1568,
877.802,1789.7078,
874.892,1789.5885,
871.981,1795.8364,
869.071,1714.8013,
866.160,1689.7106,
863.250,1723.541,
860.339,1758.75,
857.428,1755.8804,
854.518,1743.3889,
851.607,1730.9079,
848.697,1703.9886,
845.786,1671.4724,
842.875,1649.6527,
839.965,1656.1678,
837.054,1703.9826,
834.144,1724.7014,
831.233,1732.7497,
828.323,1702.6028,
825.412,1674.5794,
822.501,1682.0691,
819.591,1667.1939,
816.680,1612.2627,
813.770,1584.9669,
810.859,1573.5913,
807.949,1571.9549,
805.038,1578.4469,
802.127,1584.2088,
799.217,1581.023,
796.306,1567.831,
793.396,1555.6355,
790.485,1547.3807,
787.574,1534.968,
784.664,1540.7087,
781.753,1571.2733,
778.843,1590.6508,
775.932,1589.5773,
773.022,1579.0467,
770.111,1600.3038,
767.200,1604.0339,
764.290,1602.4385,
761.379,1583.026,
758.469,1558.889,
755.558,1570.6527,
752.648,1567.3943,
749.737,1557.611,
746.826,1542.0269,
743.916,1519.1395,
741.005,1487.4399,
738.095,1449.2817,
735.184,1386.1151,
732.274,1341.1882,
729.363,1361.4252,
726.452,1447.4974,
723.542,1490.3953,
720.631,1501.1599,
717.721,1523.7996,
714.810,1548.267,
711.899,1562.0569,
708.989,1554.7946,
706.078,1572.3787,
703.168,1559.7478,
700.257,1538.4357,
697.347,1538.5311,
694.436,1590.7244,
691.525,1552.9455,
688.615,1518.3357,
685.704,1508.362,
682.794,1528.8562,
679.883,1569.7676,
676.973,1525.6922,
674.062,1546.1018,
671.151,1550.9151,
668.241,1535.2735,
665.330,1532.0483,
662.420,1496.1053,
659.509,1530.0205,
656.598,1542.0658,
653.688,1536.6418,
650.777,1568.2919,
647.867,1525.2902,
644.956,1497.1755,
642.046,1484.0916,
639.135,1486.571,
636.224,1504.9887,
633.314,1552.625,
630.403,1544.6488,
627.493,1548.4174,
624.582,1579.3986,
621.672,1591.2785,
618.761,1564.3922,
615.850,1586.0543,
612.940,1611.4331,
610.029,1612.75,
607.119,1612.75,
604.208,1616.3001,
601.297,1598.8063,
598.387,1594.3682,
595.476,1630.3043,
592.566,1625.5819,
589.655,1616.9753,
586.745,1586.7119,
583.834,1552.75,
580.923,1552.7121,
578.013,1546.4342,
575.102,1555.0746,
572.192,1569.1811,
569.281,1575.5478,
566.371,1546.5907,
563.460,1547.9828,
560.549,1579.9613,
557.639,1612.2871,
554.728,1612.7153,
551.818,1596.3287,
548.907,1615.2983,
545.996,1638.3034,
543.086,1645.0395,
540.175,1613.8937,
537.265,1621.1656,
534.354,1637.794,
531.444,1651.3073,
528.533,1652.75,
525.622,1652.75,
522.712,1687.9417,
519.801,1722.2064,
516.891,1741.8455,
513.980,1747.2656,
511.070,1759.0196,
508.159,1782.8527,
505.248,1802.7486,
502.338,1801.6477,
499.427,1866.4816,
496.517,1896.1944,
493.606,1906.0865,
490.695,1912.2062,
487.785,1951.4655,
484.874,1975.198,
481.964,1954.4347,
479.053,1924.4362,
476.143,1977.4256,
473.232,1931.8305,
470.321,1906.9111,
467.411,1890.6196,
464.500,1861.6421,
461.590,1896.8661,
458.679,1919.4068,
455.769,1930.6952,
452.858,1936.4086,
449.947,1971.5494,
447.037,1964.7945,
444.126,1969.7985,
441.216,1992.1625,
438.305,1983.0194,
435.395,2035.5122,
432.484,2050.4139,
429.573,2031.2175,
426.663,2028.9371,
423.752,2044.7906,
420.842,1970.9166,
417.931,1872.1644,
415.020,1863.0641,
412.110,1901.5255,
409.199,1943.1338,
406.289,2008.6469,
403.378,2121.6245,
400.468,2084.5808,
397.557,2067.6085,
394.646,2069.2143,
391.736,2088.1745,
388.825,2132.6742,
385.915,2109.0286,
383.004,2086.744,
380.094,2113.5159,
377.183,2148.1298,
374.272,2167.52,
371.362,2192.5267,
368.451,2233.9354,
365.541,2253.4493,
362.630,2256.565,
359.719,2258.3016,
356.809,2267.0672,
353.898,2272.3088,
350.988,2293.2795,
348.077,2295.52,
345.167,2262.6042,
342.256,2299.2106,
339.345,2270.9554,
336.435,2248.1313,
333.524,2277.6091,
330.614,2273.1381,
