,PL680D~1,
Wavenumbers [1/cm],Intensity,
1916.879,400.24725,
1913.968,399.87623,
1911.058,411.60173,
1908.147,416.69393,
1905.237,382.27941,
1902.326,368.53576,
1899.415,334.9067,
1896.505,335.57385,
1893.594,352.41467,
1890.684,373.16906,
1887.773,388.80586,
1884.863,405.35564,
1881.952,391.6477,
1879.041,411.62163,
1876.131,397.25802,
1873.220,392.74668,
1870.310,397.51625,
1867.399,415.58712,
1864.489,429.81099,
1861.578,381.39678,
1858.667,405.14147,
1855.757,401.87142,
1852.846,400.84937,
1849.936,396.45557,
1847.025,428.63655,
1844.114,425.57376,
1841.204,409.34703,
1838.293,408.89496,
1835.383,403.43299,
1832.472,407.68891,
1829.562,411.34662,
1826.651,421.39655,
1823.740,451.08194,
1820.830,416.1187,
1817.919,419.97691,
1815.009,449.56202,
1812.098,438.61517,
1809.188,443.44088,
1806.277,447.78647,
1803.366,427.09127,
1800.456,439.65517,
1797.545,436.61255,
1794.635,444.52001,
1791.724,445.24398,
1788.813,428.67731,
1785.903,437.75096,
1782.992,439.31463,
1780.082,392.53108,
1777.171,308.87286,
1774.261,301.24001,
1771.350,344.61602,
1768.439,409.02382,
1765.529,442.88159,
1762.618,484.875,
1759.708,496.62512,
1756.797,487.43561,
1753.887,506.54409,
1750.976,491.2402,
1748.065,486.68145,
1745.155,469.66233,
1742.244,466.10414,
1739.334,478.66794,
1736.423,470.98342,
1733.512,474.87909,
1730.602,465.90673,
1727.691,478.76353,
1724.781,508.25887,
1721.870,502.8035,
1718.960,517.14187,
1716.049,506.61243,
1713.138,499.60002,
1710.228,524.11361,
1707.317,546.451,
1704.407,517.4311,
1701.496,523.90203,
1698.586,527.64695,
1695.675,532.55354,
1692.764,554.6496,
1689.854,539.61121,
1686.943,535.97618,
1684.033,532.94951,
1681.122,584.9744,
1678.211,542.29376,
1675.301,572.77941,
1672.390,586.86902,
1669.480,584.89907,
1666.569,587.84961,
1663.659,586.4303,
1660.748,620.95478,
1657.837,675.45948,
1654.927,657.57787,
1652.016,686.41332,
1649.106,668.65839,
1646.195,698.38846,
1643.285,639.17383,
1640.374,695.6067,
1637.463,729.91103,
1634.553,732.54,
1631.642,777.51562,
1628.732,835.62021,
1625.821,792.95285,
1622.911,911.20442,
1620.000,907.92539,
1617.089,1016.666,
1614.179,1093.7035,
1611.268,1097.8006,
1608.358,1160.7847,
1605.447,1216.6754,
1602.536,1231.0576,
1599.626,1257.6331,
1596.715,1247.1686,
1593.805,1206.5244,
1590.894,1183.3809,
1587.984,1179.1428,
1585.073,1162.7095,
1582.162,1182.4169,
1579.252,1160.6894,
1576.341,1134.8484,
1573.431,1137.7067,
1570.520,1145.2256,
1567.610,1104.4038,
1564.699,1078.9996,
1561.788,1096.0016,
1558.878,1076.8817,
1555.967,1055.947,
1553.057,1039.1165,
1550.146,1030.0314,
1547.235,1017.0685,
1544.325,990.21245,
1541.414,951.57242,
1538.504,933.44401,
1535.593,932.95351,
1532.683,923.90287,
1529.772,919.03122,
1526.861,906.98884,
1523.951,883.38412,
1521.040,865.45931,
1518.130,839.92563,
1515.219,847.75508,
1512.309,849.58222,
1509.398,859.36367,
1506.487,839.97752,
1503.577,831.72445,
1500.666,853.83106,
1497.756,805.26475,
1494.845,797.63487,
1491.934,791.97579,
1489.024,822.77556,
1486.113,810.89398,
1483.203,773.46013,
1480.292,730.69198,
1477.382,727.91624,
1474.471,722.73597,
1471.560,755.70697,
1468.650,721.72911,
1465.739,697.31304,
1462.829,674.38957,
1459.918,671.47731,
1457.008,688.49048,
1454.097,698.64795,
1451.186,711.4398,
