,PLC2CC~1,
Wavenumbers [1/cm],Intensity,
185.085,2485.4856,
182.174,2523.8636,
179.264,2539.0416,
176.353,2565.7404,
173.442,2556.9089,
170.532,2517.9261,
167.621,2528.0198,
164.711,2445.0825,
161.800,2351.2838,
158.890,2303.062,
155.979,2076.8492,
153.068,1915.227,
150.158,1791.1286,
147.247,1569.9993,
144.337,1279.2922,
141.426,997.32191,
138.516,761.46469,
135.605,552.03082,
132.694,376.05355,
129.784,237.14059,
126.873,157.04605,
123.963,105.46765,
121.052,69.684745,
118.141,46.839881,
115.231,36.802015,
112.320,35.291816,
109.410,36.295605,
106.499,23.476811,
103.589,18.508982,
100.678,14.033783,
97.767,6.9244072,
94.857,9.5219562,
91.946,11.556222,
89.036,11.282327,
86.125,2.0626587,
83.215,2.4046018,
80.304,4.5105673,
77.393,3.8023974,
74.483,7.0256748,
71.572,8.0252958,
68.662,6.75,
65.751,6.75,
62.840,8.6768079,
59.930,10.375428,
57.019,8.9652636,
54.109,8.75,
51.198,6.6387351,
48.288,1.7613249,
45.377,3.168081,
42.466,7.4599741,
39.556,11.368577,
36.645,2.9422945,
33.735,2.8269939,
30.824,4.970887,
27.914,5.6720622,
25.003,10.108462,
22.092,10.812573,
19.182,7.1161258,
16.271,18.307968,
13.361,118.42096,
10.450,309.6045,
7.539,657.36555,
4.629,822.1008,
1.718,759.39724,
-1.192,327.86477,
-4.103,114.14826,
-7.013,8.1017315,
-9.924,-0.25,
