,PL6A6A~1,
Wavenumbers [1/cm],Intensity,
871.981,1389.5474,
869.071,1259.223,
866.160,1272.5029,
863.250,1304.8753,
860.339,1335.0179,
857.428,1364.5381,
854.518,1372.1195,
851.607,1354.646,
848.697,1300.7265,
845.786,1298.3836,
842.875,1294.9044,
839.965,1265.3778,
837.054,1323.8948,
834.144,1347.9286,
831.233,1339.2926,
828.323,1330.1521,
825.412,1338.5717,
822.501,1353.1354,
819.591,1306.0307,
816.680,1271.7724,
813.770,1239.1914,
810.859,1246.7358,
807.949,1268.9396,
805.038,1257.2223,
802.127,1262.1611,
799.217,1257.4073,
796.306,1254.4899,
793.396,1239.2203,
790.485,1218.3096,
787.574,1224.6561,
784.664,1225.4762,
781.753,1237.0317,
778.843,1254.387,
775.932,1256.7486,
773.022,1243.1204,
770.111,1297.8982,
767.200,1290.9666,
764.290,1270.2887,
761.379,1258.8066,
758.469,1254.9748,
755.558,1234.3787,
752.648,1259.6314,
749.737,1250.2636,
746.826,1243.0912,
743.916,1239.4366,
741.005,1223.3061,
738.095,1176.2173,
735.184,1154.8937,
732.274,1086.0432,
729.363,1058.877,
726.452,1131.0966,
723.542,1211.2265,
720.631,1181.2207,
717.721,1209.0057,
714.810,1246.3806,
711.899,1255.922,
708.989,1235.7489,
706.078,1232.4198,
703.168,1260.1644,
700.257,1262.1221,
697.347,1233.1908,
694.436,1214.2142,
691.525,1235.9169,
688.615,1217.9842,
685.704,1208.5102,
682.794,1214.7952,
679.883,1219.0215,
676.973,1227.8366,
674.062,1246.8532,
671.151,1238.6535,
668.241,1224.4402,
665.330,1251.8309,
662.420,1235.0575,
659.509,1222.101,
656.598,1220.5197,
653.688,1230.4559,
650.777,1246.0309,
647.867,1228.5117,
644.956,1215.9569,
642.046,1193.6265,
639.135,1178.4286,
636.224,1211.5454,
633.314,1195.6667,
630.403,1233.0097,
627.493,1258.9365,
624.582,1256.2141,
621.672,1263.3421,
618.761,1262.8651,
615.850,1271.4408,
612.940,1285.1142,
610.029,1294.6,
607.119,1276.4385,
604.208,1269.6549,
601.297,1275.6013,
598.387,1288.4977,
595.476,1301.5906,
592.566,1311.8225,
589.655,1298.7235,
586.745,1290.191,
583.834,1281.5004,
580.923,1252.5444,
578.013,1239.204,
575.102,1220.7117,
572.192,1213.5551,
569.281,1221.0468,
566.371,1223.3947,
563.460,1255.3711,
560.549,1278.3706,
557.639,1288.8936,
554.728,1290.167,
551.818,1298.7505,
548.907,1315.2509,
545.996,1300.52,
543.086,1273.0263,
540.175,1321.3023,
537.265,1313.0365,
534.354,1312.1368,
531.444,1327.3286,
528.533,1358.3424,
525.622,1368.4297,
522.712,1361.5237,
519.801,1352.9518,
516.891,1355.3547,
513.980,1388.6494,
511.070,1397.9641,
508.159,1425.4585,
505.248,1462.8899,
502.338,1492.4954,
499.427,1453.9038,
496.517,1500.7563,
493.606,1529.1464,
490.695,1502.9044,
487.785,1533.696,
484.874,1558.6579,
481.964,1556.7514,
479.053,1538.0734,
476.143,1535.7695,
473.232,1504.6906,
470.321,1510.1417,
467.411,1517.2283,
464.500,1484.3038,
461.590,1511.1047,
458.679,1534.5835,
455.769,1552.0359,
452.858,1562.659,
449.947,1572.5901,
447.037,1574.0182,
444.126,1573.2553,
441.216,1570.1115,
438.305,1555.6348,
435.395,1615.2548,
432.484,1633.4554,
429.573,1611.495,
426.663,1602.3733,
423.752,1575.1231,
420.842,1454.0204,
417.931,1324.2714,
415.020,1326.5465,
412.110,1382.2276,
409.199,1442.2338,
406.289,1518.5541,
403.378,1625.6071,
400.468,1620.3151,
397.557,1604.2288,
394.646,1610.0179,
391.736,1662.8423,
388.825,1669.6304,
385.915,1662.5777,
383.004,1652.0551,
380.094,1645.4714,
377.183,1642.4615,
374.272,1690.4752,
371.362,1752.2279,
368.451,1799.2543,
365.541,1760.2264,
362.630,1767.6509,
359.719,1786.1766,
356.809,1793.9001,
353.898,1781.9193,
350.988,1787.3048,
348.077,1780.9758,
345.167,1748.6467,
342.256,1768.8176,
339.345,1776.2193,
336.435,1785.12,
333.524,1803.0513,
330.614,1753.1259,
327.703,1781.7778,
324.793,1818.9848,
321.882,1805.6358,
318.971,1810.0965,
316.061,1810.1601,
313.150,1817.8631,
310.240,1847.5477,
307.329,1869.3495,
304.418,1887.2,
301.508,1880.9019,
298.597,1814.2644,
295.687,1824.2015,
292.776,1854.1251,
289.866,1883.4453,
286.955,1873.1032,
284.044,1945.6274,
281.134,2013.8046,
278.223,2064.7086,
275.313,2119.9727,
272.402,2107.808,
269.492,2099.18,
266.581,2115.8908,
263.670,2091.6299,
260.760,2120.1471,
257.849,2155.9612,
254.939,2165.5016,
252.028,2208.3318,
249.117,2236.0457,
246.207,2246.5944,
243.296,2234.8818,
240.386,2224.4831,
237.475,2236.145,
234.565,2259.289,
231.654,2238.1079,
228.743,2185.2941,
225.833,2136.2096,
222.922,2105.2853,
220.012,2097.9997,
217.101,2107.8929,
214.191,2114.9424,
211.280,2096.0284,
208.369,2123.556,
205.459,2128.8415,
202.548,2123.1459,
199.638,2166.6849,
196.727,2133.5612,
193.816,2137.2426,
190.906,2215.441,
187.995,2153.1749,
185.085,2143.4464,
182.174,2161.1303,
179.264,2177.7539,
176.353,2150.1492,
173.442,2148.4899,
170.532,2174.625,
167.621,2174.625,
164.711,2152.5512,
161.800,2096.9891,
158.890,1992.6286,
155.979,1791.7974,
153.068,1650.7706,
150.158,1532.7512,
147.247,1280.75,
144.337,1069.0436,
141.426,854.6472,
138.516,617.3562,
135.605,456.0459,
132.694,313.49063,
129.784,194.68803,
126.873,123.17504,
123.963,82.447774,
121.052,58.658951,
118.141,48.664323,
115.231,35.124163,
112.320,32.166816,
109.410,33.306961,
106.499,21.200322,
103.589,11.341692,
100.678,7.2547302,
97.767,11.520356,
94.857,12.317989,
91.946,11.818778,
89.036,9.1573272,
86.125,-0.062341348,
83.215,-0.25131858,
80.304,-0.29046148,
77.393,-5.955821,
74.483,4.1071593,
71.572,7.4508873,
68.662,4.2484075,
65.751,10.606467,
62.840,8.7713841,
59.930,4.0631414,
57.019,1.9478954,
54.109,3.4164825,
51.198,6.1330464,
48.288,9.5570507,
45.377,1.1165139,
42.466,3.8082901,
39.556,12.394763,
36.645,10.990382,
33.735,6.4710123,
30.824,4.3920958,
27.914,10.001498,
25.003,11.247637,
22.092,11.947905,
19.182,13.059774,
16.271,26.350087,
13.361,148.36886,
10.450,354.89806,
7.539,623.74947,
4.629,690.01073,
1.718,527.54511,
-1.192,8.86957,
-4.103,-101.1272,
-7.013,-89.548069,
-9.924,1.625,
