,PL8F1F~1,
Wavenumbers [1/cm],Intensity,
1264.909,648.54045,
1261.999,695.17254,
1259.088,744.42708,
1256.178,768.78641,
1253.267,757.03109,
1250.356,750.34324,
1247.446,720.62537,
1244.535,717.22317,
1241.625,745.27497,
1238.714,742.69329,
1235.804,695.04009,
1232.893,673.24865,
1229.982,678.6084,
1227.072,655.9756,
1224.161,700.60271,
1221.251,643.85819,
1218.340,622.67062,
1215.430,648.69962,
1212.519,633.607,
1209.608,586.47687,
1206.698,588.82204,
1203.787,610.92273,
1200.877,581.59788,
1197.966,585.19452,
1195.055,611.82571,
1192.145,642.67202,
1189.234,646.18466,
1186.324,660.28571,
1183.413,669.0755,
1180.503,667.77109,
1177.592,671.17282,
1174.681,645.22089,
1171.771,630.33379,
1168.860,628.54761,
1165.950,613.86179,
1163.039,606.88299,
1160.129,594.75761,
1157.218,587.85574,
1154.307,605.81319,
1151.397,626.51192,
1148.486,597.17901,
1145.576,573.99176,
1142.665,588.19837,
1139.754,606.4612,
1136.844,604.77258,
1133.933,597.09644,
1131.023,594.31919,
1128.112,587.87609,
1125.202,573.16727,
1122.291,574.13782,
1119.380,607.24508,
1116.470,594.00716,
1113.559,599.33424,
1110.649,603.33954,
1107.738,594.73027,
1104.828,591.36819,
1101.917,596.30391,
1099.006,594.35431,
1096.096,608.59001,
1093.185,612.10202,
1090.275,596.99887,
1087.364,587.88602,
1084.453,574.68818,
1081.543,585.2185,
1078.632,597.15262,
1075.722,576.581,
1072.811,601.20317,
1069.901,570.63904,
1066.990,586.15829,
1064.079,572.68164,
1061.169,583.15324,
1058.258,596.25757,
1055.348,599.25417,
1052.437,615.01488,
1049.527,622.03234,
1046.616,587.27917,
1043.705,581.83347,
1040.795,589.67556,
1037.884,599.93811,
1034.974,610.58892,
1032.063,616.51356,
1029.153,608.51749,
1026.242,618.03201,
1023.331,615.04188,
1020.421,619.25471,
1017.510,636.50245,
1014.600,634.84124,
1011.689,601.26628,
1008.778,543.58249,
1005.868,428.5835,
1002.957,451.81306,
1000.047,512.15902,
997.136,613.83862,
994.226,692.2362,
991.315,709.02352,
988.404,687.96909,
985.494,700.18585,
982.583,647.07935,
979.673,659.12946,
976.762,662.85239,
973.852,661.25902,
970.941,662.67138,
968.030,663.97617,
965.120,667.5003,
962.209,697.33927,
959.299,671.21204,
956.388,679.65364,
953.477,698.84116,
950.567,689.82667,
947.656,658.60861,
944.746,690.89173,
941.835,684.27687,
938.925,699.48431,
936.014,697.24683,
933.103,692.7307,
930.193,701.97792,
927.282,692.23751,
924.372,689.70069,
921.461,680.5382,
918.551,672.1466,
915.640,664.55051,
912.729,658.03322,
909.819,655.59825,
906.908,664.86493,
903.998,659.80745,
901.087,658.375,
898.176,665.05573,
895.266,667.29662,
892.355,663.12857,
889.445,699.21706,
886.534,692.69603,
883.624,694.73916,
880.713,685.14717,
877.802,619.48712,
874.892,458.46331,
871.981,197.33076,
869.071,26.071117,
866.160,151.61592,
863.250,379.16004,
860.339,574.99722,
857.428,660.38348,
854.518,620.54554,
851.607,557.30828,
848.697,393.6796,
845.786,289.60427,
842.875,327.98379,
839.965,499.60913,
837.054,683.14241,
834.144,662.4236,
831.233,698.37211,
828.323,705.02156,
825.412,696.84837,
822.501,709.41758,
819.591,715.20237,
816.680,688.13136,
813.770,668.21844,
810.859,663.98493,
807.949,671.40672,
805.038,678.57854,
802.127,671.99352,
799.217,684.04665,
796.306,676.45599,
793.396,680.22246,
790.485,701.84906,
787.574,707.18817,
784.664,702.2675,
781.753,697.3491,
778.843,699.29566,
775.932,705.53546,
773.022,709.61421,
770.111,704.70875,
767.200,715.79469,
764.290,709.55108,
761.379,696.07312,
758.469,690.56034,
755.558,706.1805,
752.648,699.66367,
749.737,662.47159,
746.826,665.28739,
743.916,692.6088,
741.005,694.79851,
738.095,663.13531,
735.184,619.33166,
732.274,578.13192,
729.363,571.85029,
726.452,615.04596,
723.542,674.13167,
720.631,676.61046,
717.721,689.55045,
714.810,704.32383,
711.899,706.91954,
708.989,683.51871,
706.078,682.5737,
703.168,696.34108,
700.257,714.03901,
697.347,721.37553,
694.436,704.53156,
691.525,747.13324,
688.615,728.70291,
685.704,710.21653,
682.794,701.99208,
679.883,686.21321,
676.973,727.08312,
674.062,719.42295,
671.151,711.25166,
668.241,707.37179,
665.330,691.56408,
662.420,695.55774,
659.509,710.34348,
656.598,724.4335,
653.688,731.22479,
650.777,725.80886,
647.867,679.62184,
644.956,608.07915,
642.046,522.69621,
639.135,466.27467,
636.224,507.93998,
633.314,620.67925,
630.403,674.20585,
627.493,705.58576,
624.582,732.78929,
621.672,752.58914,
618.761,746.53555,
615.850,740.51809,
612.940,739.76574,
610.029,744.24348,
607.119,743.45385,
604.208,726.33468,
601.297,740.31274,
598.387,759.94184,
595.476,758.08342,
592.566,776.18599,
589.655,763.17775,
586.745,755.67691,
583.834,748.59164,
580.923,717.46504,
578.013,732.37498,
575.102,740.39012,
572.192,741.94586,
569.281,739.2344,
566.371,738.45178,
563.460,736.96406,
560.549,748.06969,
557.639,764.13489,
554.728,773.78374,
551.818,764.41995,
548.907,761.15617,
545.996,761.15258,
543.086,763.88486,
540.175,770.89268,
537.265,765.58077,
534.354,778.92741,
531.444,788.52318,
528.533,774.03719,
525.622,783.34855,
522.712,792.65604,
519.801,787.06424,
516.891,777.57423,
513.980,813.19184,
511.070,833.27934,
508.159,825.09287,
505.248,813.63261,
502.338,830.45942,
499.427,867.50735,
496.517,885.29418,
493.606,883.2992,
490.695,866.94706,
487.785,863.8679,
484.874,862.72878,
481.964,873.17223,
479.053,881.93997,
476.143,855.06128,
473.232,830.35408,
470.321,843.27094,
467.411,865.36196,
464.500,862.27803,
461.590,858.44933,
458.679,861.22706,
455.769,856.18333,
452.858,840.92012,
449.947,865.36592,
447.037,870.98176,
444.126,878.76894,
441.216,890.31669,
438.305,884.22124,
435.395,863.05027,
432.484,851.95825,
429.573,830.96226,
426.663,743.54609,
423.752,352.79453,
420.842,-125.99822,
417.931,-485.77422,
415.020,-444.06452,
412.110,100.96357,
409.199,478.85891,
406.289,643.23685,
403.378,575.10605,
400.468,495.72664,
397.557,534.6437,
394.646,644.93459,
391.736,780.84784,
388.825,826.85595,
385.915,848.35791,
383.004,864.51239,
380.094,888.4115,
377.183,908.72837,
374.272,909.48998,
371.362,907.72962,
368.451,916.65757,
365.541,970.69616,
362.630,981.00508,
359.719,974.11936,
356.809,967.55304,
353.898,987.02179,
350.988,956.02839,
348.077,935.53931,
345.167,958.67214,
342.256,925.05406,
339.345,939.8209,
336.435,961.375,
333.524,961.14012,
330.614,953.68856,
327.703,941.1069,
324.793,928.28151,
321.882,919.41105,
318.971,934.27991,
316.061,934.49186,
313.150,924.75596,
310.240,909.91365,
307.329,977.98015,
304.418,988.96068,
301.508,971.34424,
298.597,978.7484,
295.687,984.79292,
292.776,984.04165,
289.866,983.73433,
286.955,1004.4186,
284.044,1039.6325,
281.134,1062.8185,
278.223,1076.6263,
275.313,1119.3639,
272.402,1098.168,
269.492,1024.0943,
266.581,904.43831,
263.670,807.39452,
260.760,818.55375,
257.849,910.0631,
254.939,1069.3156,
252.028,1010.572,
249.117,1009.3027,
246.207,1060.9455,
243.296,1159.7704,
240.386,1209.5545,
237.475,1244.2057,
234.565,1264.6495,
231.654,1253.6937,
228.743,1259.4302,
225.833,1260.8016,
222.922,1251.5301,
220.012,1276.301,
217.101,1274.07,
214.191,1276.0515,
211.280,1318.2443,
208.369,1326.0847,
205.459,1349.9345,
202.548,1377.6117,
199.638,1350.0371,
196.727,1367.9999,
193.816,1385.676,
190.906,1386.7051,
187.995,1396.1175,
185.085,1395.5922,
182.174,1397.6433,
179.264,1420.7718,
176.353,1446.443,
173.442,1427.8325,
170.532,1369.0987,
167.621,1340.9807,
164.711,1245.6052,
161.800,1132.951,
158.890,1035.0681,
155.979,945.47073,
153.068,880.94778,
150.158,825.90791,
147.247,723.24074,
144.337,625.09369,
141.426,508.47952,
138.516,360.08303,
135.605,249.35187,
132.694,163.68874,
129.784,102.24273,
126.873,70.777019,
123.963,55.838948,
121.052,41.726191,
118.141,22.450837,
115.231,21.66443,
112.320,19.680456,
109.410,16.829579,
106.499,13.980958,
103.589,8.3327097,
100.678,6.0047302,
97.767,10.270356,
94.857,7.6030438,
91.946,2.3438913,
89.036,-3.1734084,
86.125,-0.33658728,
83.215,-0.15592035,
80.304,-2.7798942,
77.393,-9.1534236,
74.483,-0.45311059,
71.572,4.7373521,
68.662,4.8901275,
65.751,-0.055030042,
62.840,2.2286159,
59.930,4.6894242,
57.019,-1.6563137,
54.109,0.36080424,
51.198,2.0733907,
48.288,1.3919873,
45.377,3.5021215,
42.466,5.611658,
39.556,5.8784585,
36.645,-3.2500143,
33.735,-0.95176381,
30.824,2.2705651,
27.914,-1.2353111,
25.003,2.1108249,
22.092,7.9269501,
19.182,15.901306,
16.271,31.989579,
13.361,133.6245,
10.450,343.82043,
7.539,805.40689,
4.629,1149.46,
1.718,1260.5915,
-1.192,938.51074,
-4.103,492.66712,
-7.013,160.23376,
-9.924,-2.625,
