,PLF92A~1,
Wavenumbers [1/cm],Intensity,
1945.985,544.22304,
1943.074,525.96632,
1940.164,533.81744,
1937.253,549.29011,
1934.342,559.65494,
1931.432,570.05245,
1928.521,573.82621,
1925.611,564.47574,
1922.700,555.58495,
1919.790,537.76102,
1916.879,550.93926,
1913.968,550.12746,
1911.058,554.59647,
1908.147,547.78924,
1905.237,553.71325,
1902.326,551.15909,
1899.415,521.20426,
1896.505,512.69128,
1893.594,514.67073,
1890.684,533.22945,
1887.773,569.60729,
1884.863,574.83343,
1881.952,553.38517,
1879.041,575.62812,
1876.131,590.01127,
1873.220,572.81962,
1870.310,593.33124,
1867.399,577.41288,
1864.489,568.51444,
1861.578,578.3118,
1858.667,581.88547,
1855.757,594.11784,
1852.846,603.38141,
1849.936,601.07896,
1847.025,597.00333,
1844.114,615.125,
1841.204,611.96766,
1838.293,598.6408,
1835.383,589.125,
1832.472,606.9163,
1829.562,619.125,
1826.651,632.80055,
1823.740,607.82226,
1820.830,613.10153,
1817.919,614.86749,
1815.009,627.82474,
1812.098,664.23521,
1809.188,628.72974,
1806.277,625.14713,
1803.366,636.25809,
1800.456,645.38901,
1797.545,662.69969,
1794.635,621.96304,
1791.724,644.75602,
1788.813,654.31369,
1785.903,609.27623,
1782.992,563.9804,
1780.082,512.76061,
1777.171,451.44458,
1774.261,417.28035,
1771.350,516.77703,
1768.439,615.46435,
1765.529,623.76487,
1762.618,675.59568,
1759.708,694.86401,
1756.797,679.35985,
1753.887,686.27952,
1750.976,673.48692,
1748.065,667.72715,
1745.155,648.2155,
1742.244,672.52892,
1739.334,705.81911,
1736.423,681.74373,
1733.512,690.95433,
1730.602,702.11707,
1727.691,754.55826,
1724.781,732.36932,
1721.870,726.9536,
1718.960,689.48009,
1716.049,714.68399,
1713.138,749.33986,
1710.228,738.45965,
1707.317,761.77757,
1704.407,768.71859,
1701.496,764.56726,
1698.586,779.83274,
1695.675,764.28224,
1692.764,799.10043,
1689.854,810.69193,
1686.943,799.52971,
1684.033,819.60344,
1681.122,806.36289,
1678.211,810.08693,
1675.301,820.09417,
1672.390,842.08612,
1669.480,829.34962,
1666.569,857.21387,
1663.659,864.84362,
1660.748,907.99003,
1657.837,900.88443,
1654.927,891.64789,
1652.016,954.49322,
1649.106,929.39429,
1646.195,939.69343,
1643.285,923.33269,
1640.374,974.22605,
1637.463,933.81837,
1634.553,1025.9033,
