,PL7E8B~1,
Wavenumbers [1/cm],Intensity,
1206.698,1054.8167,
1203.787,1075.8612,
1200.877,1045.7951,
1197.966,1064.6775,
1195.055,1114.2602,
1192.145,1147.4193,
1189.234,1173.7912,
1186.324,1200.5357,
1183.413,1225.6656,
1180.503,1235.9152,
1177.592,1218.6349,
1174.681,1182.7106,
1171.771,1162.6456,
1168.860,1163.5387,
1165.950,1157.981,
1163.039,1175.4819,
1160.129,1187.1641,
1157.218,1182.8947,
1154.307,1161.155,
1151.397,1130.8901,
1148.486,1112.527,
1145.576,1101.1647,
1142.665,1113.5954,
1139.754,1123.5749,
1136.844,1095.512,
1133.933,1088.4901,
1131.023,1077.5179,
1128.112,1072.7661,
1125.202,1080.8569,
1122.291,1043.7665,
1119.380,1086.8242,
1116.470,1107.1224,
1113.559,1088.7473,
1110.649,1080.6605,
1107.738,1088.1981,
1104.828,1087.303,
1101.917,1085.6846,
1099.006,1111.2023,
1096.096,1113.8947,
1093.185,1036.6305,
1090.275,1082.4183,
1087.364,1080.9025,
1084.453,1099.9359,
1081.543,1108.6695,
1078.632,1088.0437,
1075.722,1076.4459,
1072.811,1087.0116,
1069.901,1064.3069,
1066.990,1083.6416,
1064.079,1111.082,
1061.169,1132.671,
1058.258,1135.2727,
1055.348,1145.7323,
1052.437,1182.7696,
1049.527,1139.0348,
1046.616,1175.5256,
1043.705,1172.6881,
1040.795,1191.0571,
1037.884,1195.5447,
1034.974,1196.0735,
1032.063,1210.0557,
1029.153,1214.4173,
1026.242,1212.6874,
1023.331,1247.6228,
1020.421,1233.712,
1017.510,1247.5963,
1014.600,1262.6645,
1011.689,1254.9191,
1008.778,1251.3428,
1005.868,1284.6404,
1002.957,1286.3612,
1000.047,1300.457,
997.136,1363.1829,
994.226,1425.0401,
991.315,1441.578,
988.404,1412.6262,
985.494,1382.1429,
982.583,1405.2699,
979.673,1395.4554,
976.762,1397.0831,
973.852,1401.625,
970.941,1392.4372,
968.030,1378.891,
965.120,1425.6357,
962.209,1428.1934,
959.299,1401.7115,
956.388,1400.1444,
953.477,1405.1588,
950.567,1414.4348,
947.656,1451.4049,
944.746,1457.3518,
941.835,1439.8091,
938.925,1429.7025,
936.014,1432.6949,
933.103,1422.3827,
930.193,1395.4216,
927.282,1404.9293,
924.372,1373.6419,
921.461,1353.4242,
918.551,1338.3301,
915.640,1331.2001,
912.729,1321.2325,
909.819,1295.9586,
906.908,1298.4859,
903.998,1321.6906,
901.087,1332.0805,
898.176,1345.1233,
895.266,1356.9424,
892.355,1360.7662,
889.445,1377.5515,
886.534,1395.1573,
883.624,1395.9337,
880.713,1400.7493,
877.802,1408.362,
874.892,1389.7473,
871.981,1290.6719,
869.071,1207.9661,
866.160,1200.5246,
863.250,1279.6344,
860.339,1360.7961,
857.428,1378.9901,
854.518,1363.962,
851.607,1375.611,
848.697,1286.8331,
845.786,1271.0543,
842.875,1283.789,
839.965,1276.9166,
837.054,1337.6622,
834.144,1340.9772,
831.233,1372.2894,
828.323,1374.7661,
825.412,1365.8105,
822.501,1367.4759,
819.591,1327.8087,
816.680,1297.7788,
813.770,1273.7094,
810.859,1269.4911,
807.949,1268.0811,
805.038,1249.2091,
802.127,1278.8417,
799.217,1279.3888,
796.306,1276.9223,
793.396,1270.5639,
