,PLABB4~1,
Wavenumbers [1/cm],Intensity,
1445.365,4613.4129,
1442.455,4615.8229,
1439.544,4544.696,
1436.633,4511.311,
1433.723,4482.3403,
1430.812,4557.9987,
1427.902,4496.6044,
1424.991,4485.2313,
1422.081,4503.2245,
1419.170,4575.7279,
1416.259,4603.0763,
1413.349,4628.0217,
1410.438,4599.886,
1407.528,4616.4183,
1404.617,4623.8938,
1401.707,4551.6923,
1398.796,4523.6127,
1395.885,4545.3001,
1392.975,4507.2699,
1390.064,4468.1693,
1387.154,4487.1005,
1384.243,4531.1824,
1381.332,4463.4002,
1378.422,4530.5411,
1375.511,4659.8169,
1372.601,4845.2675,
1369.690,4922.595,
1366.780,5016.0387,
1363.869,5137.4024,
1360.958,5179.4965,
1358.048,5322.4899,
1355.137,5449.8904,
1352.227,5570.2939,
1349.316,5697.7611,
1346.406,5757.4869,
1343.495,5843.3106,
1340.584,5914.9453,
1337.674,6002.8111,
1334.763,6119.616,
1331.853,6139.0878,
1328.942,6186.1271,
1326.032,6309.3244,
1323.121,6462.5799,
1320.210,6627.4067,
1317.300,6759.8833,
1314.389,6872.0568,
1311.479,6983.3018,
1308.568,7116.9662,
1305.657,7304.5525,
1302.747,7508.9575,
1299.836,7641.605,
1296.926,7868.1465,
1294.015,8175.2006,
1291.105,8356.0585,
1288.194,8579.3595,
1285.283,8822.4798,
1282.373,9030.4995,
1279.462,9231.5001,
1276.552,9408.206,
1273.641,9527.66,
1270.731,9592.872,
1267.820,9615.0053,
1264.909,9593.0054,
1261.999,9485.574,
1259.088,9504.7286,
1256.178,9355.9951,
1253.267,9191.2454,
1250.356,8913.1907,
1247.446,8579.0921,
1244.535,8282.6388,
1241.625,7948.52,
1238.714,7590.5254,
1235.804,7358.9968,
1232.893,7109.9012,
1229.982,6986.2754,
1227.072,6850.4786,
1224.161,6667.7312,
1221.251,6593.1825,
1218.340,6486.8857,
1215.430,6417.6063,
1212.519,6345.7328,
1209.608,6272.205,
1206.698,6244.0022,
1203.787,6197.7946,
1200.877,6232.9397,
1197.966,6282.3934,
1195.055,6430.7805,
1192.145,6579.0953,
1189.234,6769.746,
1186.324,6917.9723,
1183.413,7008.7634,
1180.503,7042.4201,
1177.592,6999.8038,
1174.681,6924.5942,
1171.771,6907.9684,
1168.860,6868.6724,
1165.950,6867.2939,
1163.039,6890.2239,
1160.129,6846.1982,
1157.218,6771.3776,
1154.307,6718.6312,
1151.397,6676.76,
1148.486,6606.6847,
1145.576,6549.0292,
1142.665,6552.5808,
1139.754,6508.939,
1136.844,6449.1535,
1133.933,6391.5116,
1131.023,6341.7981,
1128.112,6302.3768,
1125.202,6272.6286,
1122.291,6247.7443,
1119.380,6232.7451,
1116.470,6219.5072,
1113.559,6243.3922,
1110.649,6225.9909,
1107.738,6173.7603,
1104.828,6152.358,
1101.917,6150.6434,
1099.006,6101.3699,
1096.096,6084.6062,
