,PLD87E~1,
Raman shift [1/cm],Intensity,
1544.325,5502.0392,
1541.414,5403.5966,
1538.504,5335.4096,
1535.593,5274.6019,
1532.683,5226.6521,
1529.772,5135.901,
1526.861,5043.9418,
1523.951,5003.2823,
1521.040,4933.2795,
1518.130,4858.631,
1515.219,4783.7617,
1512.309,4731.928,
1509.398,4741.1771,
1506.487,4685.7324,
1503.577,4672.0645,
1500.666,4625.7762,
1497.756,4616.5245,
1494.845,4523.4786,
1491.934,4462.8614,
1489.024,4420.5117,
1486.113,4470.9241,
1483.203,4368.4199,
1480.292,4383.0009,
1477.382,4331.4226,
1474.471,4256.6097,
1471.560,4179.9467,
1468.650,4152.5338,
1465.739,4130.7853,
1462.829,4118.2095,
1459.918,4111.4751,
1457.008,4138.4773,
1454.097,4137.5733,
1451.186,4125.5358,
1448.276,4131.9583,
1445.365,4104.2536,
1442.455,4146.18,
1439.544,4136.821,
1436.633,4102.2125,
1433.723,4051.5136,
1430.812,4018.0791,
1427.902,3992.1058,
1424.991,3912.4938,
1422.081,3901.7427,
1419.170,3850.0204,
1416.259,3897.0843,
1413.349,3854.1122,
1410.438,3854.8941,
1407.528,3852.7001,
1404.617,3878.7049,
1401.707,3874.503,
1398.796,3897.2586,
1395.885,3970.9096,
1392.975,3980.7491,
1390.064,3939.6455,
1387.154,3920.6813,
1384.243,3871.3093,
1381.332,3855.7305,
1378.422,3957.5839,
1375.511,4104.6585,
1372.601,4204.6865,
1369.690,4335.5828,
1366.780,4429.6593,
1363.869,4522.3742,
1360.958,4610.7399,
1358.048,4722.0971,
1355.137,4800.6558,
1352.227,4895.2031,
1349.316,5003.3856,
1346.406,5103.0976,
1343.495,5244.2491,
1340.584,5252.3209,
1337.674,5305.0818,
1334.763,5465.7995,
1331.853,5513.0883,
1328.942,5590.6044,
1326.032,5664.434,
1323.121,5759.7651,
1320.210,5871.906,
1317.300,5958.2674,
1314.389,6041.4177,
1311.479,6136.8734,
1308.568,6222.221,
1305.657,6287.2622,
1302.747,6365.5417,
1299.836,6513.5875,
1296.926,6691.3577,
1294.015,6892.6895,
1291.105,7059.4975,
1288.194,7194.4215,
1285.283,7326.1044,
1282.373,7520.7729,
1279.462,7640.7445,
1276.552,7717.5672,
1273.641,7811.9238,
1270.731,7841.6552,
1267.820,7790.1263,
1264.909,7844.1209,
1261.999,7840.839,
1259.088,7726.8239,
1256.178,7636.0673,
1253.267,7503.8519,
1250.356,7360.3166,
1247.446,7096.018,
1244.535,6856.3083,
1241.625,6676.5891,
1238.714,6492.1344,
1235.804,6333.4614,
1232.893,6183.7627,
1229.982,6123.5469,
1227.072,6051.1219,
1224.161,5882.1018,
1221.251,5806.3294,
1218.340,5726.8666,
1215.430,5637.497,
1212.519,5569.0037,
1209.608,5533.9756,
1206.698,5522.4893,
1203.787,5521.1558,
1200.877,5528.2965,
1197.966,5629.9015,
1195.055,5745.0691,
1192.145,5863.1773,
1189.234,6003.0507,
1186.324,6121.0058,
1183.413,6197.0559,
1180.503,6230.6745,
1177.592,6217.131,
1174.681,6144.5583,
1171.771,5982.1346,
1168.860,5944.6248,
1165.950,5897.4604,
1163.039,5839.5086,
1160.129,5735.2406,
1157.218,5657.7706,
1154.307,5618.0777,
1151.397,5584.6966,
1148.486,5555.9739,
1145.576,5413.1905,
1142.665,5394.5443,
1139.754,5390.5591,
1136.844,5368.2906,
1133.933,5288.0328,
1131.023,5217.2278,
1128.112,5192.5716,
1125.202,5199.4203,
1122.291,5228.3733,
1119.380,5223.7402,
1116.470,5197.2643,
1113.559,5267.4587,
1110.649,5311.9196,
1107.738,5277.9196,
1104.828,5250.483,
1101.917,5251.4312,
1099.006,5215.5051,
1096.096,5233.3438,
1093.185,5255.2939,
1090.275,5204.3974,
1087.364,5192,
1084.453,5186.3754,
1081.543,5185.5058,
1078.632,5185.2991,
1075.722,5184.5911,
1072.811,5224.2625,
1069.901,5199.8112,
1066.990,5184.2584,
1064.079,5261.9812,
1061.169,5328.1674,
1058.258,5382.7614,
1055.348,5441.2858,
1052.437,5483.2476,
1049.527,5513.8266,
1046.616,5612.8731,
1043.705,5636.3322,
1040.795,5594.0277,
1037.884,5597.3328,
1034.974,5638.2899,
1032.063,5658.5231,
1029.153,5667.1785,
1026.242,5751.9442,
1023.331,5732.5014,
1020.421,5751.0043,
1017.510,5816.4673,
1014.600,5884.5299,
1011.689,5935.1042,
1008.778,6006.5892,
1005.868,6174.3668,
1002.957,6326.6495,
1000.047,6606.2561,
997.136,6814.1792,
994.226,6926.461,
991.315,6932.9877,
988.404,6841.6509,
985.494,6780.7943,
982.583,6682.2903,
979.673,6629.2227,
976.762,6580.9481,
973.852,6560.0941,
970.941,6572.2987,
968.030,6590.6474,
965.120,6583.0788,
962.209,6601.8347,
959.299,6617.0402,
956.388,6554.8043,
953.477,6546.802,
950.567,6623.2869,
947.656,6654.8805,
944.746,6631.0929,
941.835,6685.0673,
938.925,6665.7555,
936.014,6667.7156,
933.103,6686.7062,
930.193,6667.425,
927.282,6582.5253,
924.372,6536.8625,
921.461,6425.6948,
918.551,6325.2592,
915.640,6243.0299,
912.729,6174.7518,
909.819,6123.5543,
906.908,6112.6028,
903.998,6139.0424,
901.087,6183.5539,
898.176,6229.3369,
895.266,6272.5047,
892.355,6330.9307,
889.445,6453.4637,
886.534,6443.9815,
883.624,6543.5976,
880.713,6623.6214,
877.802,6658.2109,
874.892,6652.9246,
871.981,6584.8558,
869.071,6536.4018,
866.160,6551.4586,
863.250,6596.0732,
860.339,6583.3271,
857.428,6501.3651,
854.518,6485.2538,
851.607,6459.4596,
848.697,6381.4036,
845.786,6367.2017,
842.875,6369.9694,
839.965,6359.9617,
837.054,6442.2512,
834.144,6464.6275,
831.233,6416.3371,
828.323,6401.8697,
825.412,6394.6822,
822.501,6347.1488,
819.591,6309.1344,
816.680,6166.9741,
813.770,6110.0724,
810.859,6089.7801,
807.949,6065.8414,
805.038,6016.542,
802.127,5938.3449,
799.217,5914.6014,
796.306,5910.1351,
793.396,5928.5193,
790.485,5937.4689,
787.574,5869.4635,
784.664,5908.0087,
781.753,5903.5933,
778.843,5898.4901,
775.932,5889.7409,
773.022,5884.9765,
770.111,5987.9914,
767.200,6003.3744,
764.290,5949.9458,
761.379,5899.941,
758.469,5899.6023,
755.558,5949.3224,
752.648,5893.1148,
749.737,5827.8185,
746.826,5818.1151,
743.916,5779.6874,
741.005,5601.1655,
738.095,5399.0081,
735.184,5248.4344,
732.274,5224.8208,
729.363,5359.6198,
726.452,5602.2655,
723.542,5736.6248,
720.631,5757.7617,
717.721,5802.0992,
714.810,5832.7614,
711.899,5835.6931,
708.989,5842.9554,
706.078,5782.101,
703.168,5784.0022,
700.257,5764.0571,
697.347,5715.87,
694.436,5699.0797,
691.525,5628.3448,
688.615,5705.4499,
685.704,5728.9181,
682.794,5688.9362,
679.883,5691.9279,
676.973,5690.3252,
674.062,5707.8663,
671.151,5719.315,
668.241,5721.7147,
665.330,5724.2647,
662.420,5729.8558,
659.509,5713.8569,
656.598,5715.2515,
653.688,5721.9485,
650.777,5695,
647.867,5695,
644.956,5725.3384,
642.046,5722.0263,
639.135,5689.7423,
636.224,5685.1671,
633.314,5718.5125,
630.403,5754.1957,
627.493,5789.5152,
624.582,5823.9457,
621.672,5859.5854,
618.761,5873.159,
615.850,5901.2435,
612.940,5952.7627,
610.029,6016.2359,
607.119,6029.6596,
604.208,6007.5696,
601.297,6033.8933,
598.387,6067.1337,
595.476,6061.6341,
592.566,6078.9496,
589.655,6037.9435,
586.745,5990.5657,
583.834,5963.7329,
580.923,5976.8341,
578.013,5949.3684,
575.102,5947.7359,
572.192,5969.5069,
569.281,6012.6698,
566.371,6077.6276,
563.460,6117.8625,
560.549,6130.5382,
557.639,6130.3428,
554.728,6135.1825,
551.818,6153.9101,
548.907,6216.5037,
545.996,6241.5587,
543.086,6229.5493,
540.175,6264.5884,
537.265,6312.6296,
534.354,6387.6944,
531.444,6440.2628,
528.533,6435.8911,
525.622,6546.8515,
522.712,6620.7538,
519.801,6691.5699,
516.891,6762.6078,
513.980,6805.1941,
511.070,6924.513,
508.159,7006.4296,
505.248,7091.5703,
502.338,7240.1177,
499.427,7346.6305,
496.517,7444.01,
493.606,7501.3744,
490.695,7515.5632,
487.785,7555.5923,
484.874,7607.8819,
481.964,7608.4986,
479.053,7564.2555,
476.143,7523.5535,
473.232,7546.1791,
470.321,7551.6208,
467.411,7541.4283,
464.500,7524.1855,
461.590,7492.0244,
458.679,7496.2071,
455.769,7511.726,
452.858,7525.1814,
449.947,7555.7386,
447.037,7608.1138,
444.126,7624.3212,
441.216,7607.6144,
438.305,7645.711,
435.395,7645.7549,
432.484,7639.666,
429.573,7640.5026,
426.663,7664.0669,
423.752,7674.369,
420.842,7649.6855,
417.931,7622.6795,
415.020,7646.1886,
412.110,7783.08,
409.199,7879.9437,
406.289,7919.8988,
403.378,7892.1127,
400.468,7925.3765,
397.557,7945.7688,
394.646,7918.6383,
391.736,7820.9899,
388.825,7851.9134,
385.915,7874.3048,
383.004,7880.5747,
380.094,7873.2574,
377.183,7995.9111,
374.272,8083.1925,
371.362,8170.9718,
368.451,8277.2826,
365.541,8331.3212,
362.630,8409.3639,
359.719,8481.2379,
356.809,8527.3172,
353.898,8532.5588,
350.988,8521.5228,
348.077,8524.6492,
345.167,8563.2978,
342.256,8667.8874,
339.345,8662.9254,
336.435,8643.6589,
333.524,8676.02,
330.614,8740.1034,
327.703,8795.9384,
324.793,8827.6799,
321.882,8821.3551,
318.971,8967.8134,
316.061,9010.187,
313.150,9015.3952,
310.240,9058.4379,
307.329,9170.0541,
304.418,9204.425,
301.508,9184.9261,
298.597,9154.569,
295.687,9244.7819,
292.776,9336.0836,
289.866,9466.4559,
286.955,9772.2882,
284.044,9986.1423,
281.134,10236.818,
278.223,10521.73,
275.313,10704.47,
272.402,10855.114,
269.492,11006.658,
266.581,11177.445,
263.670,11435.494,
260.760,11695.968,
257.849,11905.007,
254.939,12016.557,
252.028,12052.021,
249.117,12082.816,
246.207,12136.957,
243.296,12264.332,
240.386,12250.574,
237.475,12192.203,
234.565,12126.256,
231.654,12153.28,
228.743,12112.395,
225.833,12044.766,
222.922,11968.185,
220.012,11950.699,
217.101,11881.207,
214.191,11805.165,
211.280,11772.429,
208.369,11786.148,
205.459,11796.396,
202.548,11797.493,
199.638,11782.98,
196.727,11784.61,
193.816,11828.337,
190.906,11925.149,
187.995,12014.928,
185.085,12101.324,
182.174,12151.835,
179.264,12110.637,
176.353,12155.34,
173.442,12206.204,
170.532,12230.787,
167.621,12091.638,
164.711,11869.526,
161.800,11581.101,
158.890,11224.116,
155.979,10548.992,
153.068,9713.6427,
150.158,8727.6554,
147.247,7555.9573,
144.337,6252.7721,
141.426,4951.871,
138.516,3715.2336,
135.605,2646.1658,
132.694,1798.6278,
129.784,1166.2246,
126.873,797.93272,
123.963,542.60477,
121.052,364.63977,
118.141,260.41008,
115.231,214.5235,
112.320,173.12366,
109.410,137.77299,
106.499,115.69617,
103.589,104.27695,
100.678,95.468918,
97.767,86.226729,
94.857,79.07011,
91.946,74.387557,
89.036,70.306531,
86.125,59.668452,
83.215,57.53092,
80.304,57.521135,
77.393,56.104795,
74.483,47.483246,
71.572,44.087056,
68.662,45.307325,
65.751,38.242814,
62.840,33.109788,
59.930,29.063569,
57.019,25.538159,
54.109,25.597161,
51.198,26.301609,
48.288,26.988675,
45.377,25.581919,
42.466,23.763342,
39.556,22.115119,
36.645,22.817309,
33.735,21.442255,
30.824,19.558226,
27.914,18.155876,
25.003,17.377363,
22.092,13.770954,
19.182,6.8855857,
16.271,3.388135,
13.361,-35.931218,
10.450,-137.99894,
7.539,-428.49813,
4.629,-896.40698,
1.718,-1266.1382,
-1.192,-1273.1096,
-4.103,-863.8231,
-7.013,-417.80267,
-9.924,-3,
