,PL5ACF~1,
Wavenumbers [1/cm],Intensity,
1238.714,7612.6914,
1235.804,7374.7212,
1232.893,7180.7924,
1229.982,6984.7543,
1227.072,6881.5487,
1224.161,6749.8554,
1221.251,6639.8869,
1218.340,6522.1476,
1215.430,6430.2072,
1212.519,6366.6317,
1209.608,6303.8368,
1206.698,6239.0157,
1203.787,6204.6922,
1200.877,6204.2181,
1197.966,6332.7979,
1195.055,6489.4218,
1192.145,6618.9354,
1189.234,6837.507,
1186.324,6987.4366,
1183.413,7039.849,
1180.503,7064.7167,
1177.592,7065.4111,
1174.681,6991.6027,
1171.771,6978.684,
1168.860,6910.8092,
1165.950,6946.1771,
1163.039,6915.0442,
1160.129,6882.5036,
1157.218,6833.3104,
1154.307,6777.151,
1151.397,6716.4943,
1148.486,6608.054,
1145.576,6582.2455,
1142.665,6536.0741,
1139.754,6491.5686,
1136.844,6429.027,
1133.933,6366.3676,
1131.023,6349.1082,
1128.112,6319.4703,
1125.202,6238.2114,
1122.291,6225.3915,
1119.380,6268.1634,
1116.470,6259.3381,
1113.559,6262.8895,
1110.649,6226.269,
1107.738,6190.1755,
1104.828,6178.7466,
1101.917,6170.711,
1099.006,6135.5389,
1096.096,6099.465,
1093.185,6102.977,
1090.275,6183.3678,
1087.364,6246.848,
1084.453,6329.6835,
1081.543,6428.6454,
1078.632,6484.7884,
1075.722,6475.465,
1072.811,6513.9469,
1069.901,6495.6084,
1066.990,6410.9919,
1064.079,6400.7772,
1061.169,6336.2123,
1058.258,6289.5667,
1055.348,6306.6594,
1052.437,6330.861,
1049.527,6401.5591,
1046.616,6435.4434,
1043.705,6449.2699,
1040.795,6448.419,
1037.884,6466.9852,
1034.974,6519.6508,
1032.063,6574.7269,
1029.153,6577.9118,
1026.242,6591.7511,
1023.331,6633.0807,
1020.421,6674.0138,
1017.510,6720.746,
1014.600,6753.4398,
1011.689,6802.5897,
1008.778,6911.2196,
1005.868,6969.6284,
1002.957,7011.7857,
1000.047,7319.6421,
997.136,7666.0056,
994.226,7851.2189,
991.315,7869.3342,
988.404,7842.3328,
985.494,7795.1951,
982.583,7748.0845,
979.673,7752.2247,
976.762,7775.6244,
973.852,7790.576,
970.941,7797.5849,
968.030,7823.6259,
965.120,7899.3932,
962.209,7933.4949,
959.299,7915.8778,
956.388,7929.2085,
953.477,7953.4154,
950.567,7974.0141,
947.656,8004.1305,
944.746,7980.3429,
941.835,7997.8757,
938.925,7973.2958,
936.014,7955.215,
933.103,7944.835,
930.193,7919.0648,
927.282,7864.5673,
924.372,7759.712,
921.461,7612.9616,
918.551,7467.0723,
915.640,7337.1828,
912.729,7226.6574,
909.819,7144.362,
906.908,7152.7863,
903.998,7072.9182,
901.087,7122.2657,
898.176,7171.7939,
895.266,7215.2595,
892.355,7288.2918,
