,PLDF5C~1,
Wavenumbers [1/cm],Intensity,
653.688,6273.8205,
650.777,6372.78,
647.867,6384.725,
644.956,6324.8408,
642.046,6206.3576,
639.135,6098.196,
636.224,6116.4068,
633.314,6122.7583,
630.403,6146.841,
627.493,6162.7591,
624.582,6162.3156,
621.672,6157.5636,
618.761,6136.8566,
615.850,6164.5362,
612.940,6206.7195,
610.029,6224.7739,
607.119,6167.1308,
604.208,6145.7547,
601.297,6179.2564,
598.387,6214.7889,
595.476,6201.5923,
592.566,6182.7027,
589.655,6120.417,
586.745,6088.375,
583.834,6081.3483,
580.923,6056.0907,
578.013,6009.0066,
575.102,6083.5604,
572.192,6128.7244,
569.281,6100.6862,
566.371,6141.3826,
563.460,6149.6078,
560.549,6165.9934,
557.639,6178.4208,
554.728,6175.8441,
551.818,6262.4592,
548.907,6312.4551,
545.996,6356.48,
543.086,6391.3553,
540.175,6377.3396,
537.265,6393.7577,
534.354,6404.3885,
531.444,6422.3079,
528.533,6462.1274,
525.622,6514.8918,
522.712,6580.376,
519.801,6637.9059,
516.891,6680.3222,
513.980,6709.7454,
511.070,6807.4619,
508.159,6901.8176,
505.248,7000.9323,
502.338,7124.2097,
499.427,7289.3817,
496.517,7376.3649,
493.606,7433.9389,
490.695,7494.1433,
487.785,7578.8203,
484.874,7545.2007,
481.964,7530.5875,
479.053,7539.94,
476.143,7513.0613,
473.232,7501.3033,
470.321,7485.2106,
467.411,7471.362,
464.500,7470.004,
461.590,7534.3262,
458.679,7659.6825,
455.769,7771.95,
452.858,7827.9201,
449.947,7852.3659,
447.037,7922.2984,
444.126,7995.7992,
441.216,8064.1913,
438.305,8149.5276,
435.395,8137.1164,
432.484,8162.2994,
429.573,8198.3348,
426.663,8125.3613,
423.752,7732.3074,
420.842,7237.8445,
417.931,6881.9108,
415.020,6996.4229,
412.110,7800.7598,
409.199,8326.1596,
406.289,8529.2643,
403.378,8408.9703,
400.468,8289.5232,
397.557,8361.403,
394.646,8531.0953,
391.736,8709.5199,
388.825,8714.0453,
385.915,8733.4696,
383.004,8761.0823,
380.094,8796.0566,
377.183,8907.4231,
374.272,8992.1103,
371.362,9063.5701,
368.451,9126.5118,
365.541,9128.7634,
362.630,9132.6524,
359.719,9153.725,
356.809,9201.7247,
353.898,9273.6093,
350.988,9234.7864,
348.077,9203.3803,
345.167,9245.1045,
342.256,9200.2804,
339.345,9216.6038,
336.435,9252.9235,
333.524,9280.6803,
330.614,9290.3674,
327.703,9346.7691,
324.793,9399.1795,
321.882,9404.5859,
318.971,9491.5687,
316.061,9592.6689,
313.150,9679.6154,
310.240,9718.9476,
307.329,9851.8682,
304.418,9871.5464,
301.508,9820.5596,
298.597,9776.1346,
295.687,9807.5915,
292.776,9847.2918,
289.866,9892.9201,
286.955,9957.1892,
284.044,10094.14,
281.134,10202.441,
278.223,10274.602,
275.313,10371.867,
272.402,10444.075,
269.492,10439.55,
266.581,10348.429,
263.670,10335.196,
260.760,10456.225,
257.849,10615.028,
254.939,10742.724,
252.028,10764.643,
249.117,10805.267,
246.207,10869.756,
243.296,10967.849,
240.386,11026.696,
237.475,11066.974,
234.565,11087.614,
231.654,11070.085,
228.743,11014.592,
225.833,11029.122,
222.922,11149.579,
220.012,11153.95,
217.101,11156.356,
214.191,11172.019,
211.280,11220.759,
208.369,11258.016,
205.459,11301.125,
202.548,11319.94,
199.638,11195.854,
196.727,11240.673,
193.816,11271.905,
190.906,11227.956,
187.995,11330.043,
185.085,11377.669,
182.174,11417.232,
179.264,11512.637,
176.353,11456.734,
173.442,11462.882,
170.532,11534.503,
167.621,11492.686,
164.711,11269.571,
161.800,10921.577,
158.890,10462.391,
155.979,9923.4176,
153.068,9204.2758,
150.158,8319.5592,
147.247,7297.9131,
144.337,6083.3534,
141.426,4828.17,
138.516,3596.5508,
135.605,2587.7159,
132.694,1759.0694,
129.784,1124.035,
126.873,783.6332,
123.963,531.70349,
121.052,351.16491,
118.141,244.79351,
115.231,202.45135,
112.320,163.76957,
109.410,130.55705,
106.499,110.61671,
103.589,103.01347,
100.678,97.387161,
97.767,89.566848,
94.857,81.059131,
91.946,73.747002,
89.036,67.471817,
86.125,61.798175,
83.215,52.942115,
80.304,46.853865,
77.393,48.270205,
74.483,49.68527,
71.572,47.476183,
68.662,42.444267,
65.751,43.150719,
62.840,40.96649,
59.930,37.438569,
57.019,33.913159,
54.109,32.180678,
51.198,31.375,
48.288,31.369338,
45.377,30.665959,
42.466,27.077245,
39.556,22.375,
36.645,22.375,
33.735,21.336503,
30.824,20.154113,
27.914,19.452938,
25.003,21.242912,
22.092,21.406286,
19.182,18.940226,
16.271,5.6499131,
13.361,-53.150163,
10.450,-174.46052,
7.539,-452.39004,
4.629,-716.69789,
1.718,-860.48992,
-1.192,-742.67249,
-4.103,-494.27992,
-7.013,-240.56142,
-9.924,-4.625,
