,PLB20C~1,
Wavenumbers [1/cm],Intensity,
1704.407,2838.9378,
1701.496,2899.1987,
1698.586,2938.3884,
1695.675,2986.039,
1692.764,2972.084,
1689.854,3010.3494,
1686.943,2990.867,
1684.033,3057.4113,
1681.122,3107.2924,
1678.211,3133.8775,
1675.301,3207.8968,
1672.390,3181.6962,
1669.480,3372.1491,
1666.569,3375.7217,
1663.659,3423.0069,
1660.748,3478.1303,
1657.837,3580.3218,
1654.927,3591.0228,
1652.016,3673.1381,
1649.106,3793.8067,
1646.195,3785.1291,
1643.285,3948.7175,
1640.374,3977.1982,
1637.463,4125.1603,
1634.553,4346.7653,
1631.642,4458.5029,
1628.732,4676.9915,
1625.821,4990.2637,
1622.911,5200.9304,
1620.000,5561.5391,
1617.089,5901.319,
1614.179,6278.3804,
1611.268,6690.6218,
1608.358,7033.0647,
1605.447,7352.7275,
1602.536,7400.0135,
1599.626,7472.9598,
1596.715,7519.9671,
1593.805,7473.1481,
1590.894,7430.1369,
1587.984,7335.0514,
1585.073,7267.5235,
1582.162,7210.5365,
1579.252,7059.5589,
1576.341,7000.8888,
1573.431,7025.452,
1570.520,7006.6074,
1567.610,6923.614,
1564.699,6858.2484,
1561.788,6774.1116,
1558.878,6663.8762,
1555.967,6523.722,
1553.057,6399.6774,
1550.146,6262.027,
1547.235,6129.1052,
1544.325,5987.5088,
1541.414,5876.6207,
1538.504,5790.7447,
1535.593,5715.3447,
1532.683,5614.0813,
1529.772,5516.0502,
1526.861,5498.5157,
1523.951,5496.125,
1521.040,5491.329,
1518.130,5460.3139,
1515.219,5397.8461,
1512.309,5330.8997,
1509.398,5229.4579,
1506.487,5178.7321,
1503.577,5103.9816,
1500.666,5061.2536,
1497.756,4958.6673,
1494.845,4950.0033,
1491.934,4874.9581,
1489.024,4823.9459,
1486.113,4820.2706,
1483.203,4654.0376,
1480.292,4618.7003,
1477.382,4530.4507,
1474.471,4431.085,
1471.560,4417.2843,
1468.650,4351.4311,
1465.739,4291.5839,
1462.829,4268.9632,
1459.918,4256.3901,
1457.008,4251.6481,
1454.097,4204.1362,
1451.186,4168.7498,
1448.276,4196.5422,
1445.365,4196.6258,
1442.455,4202.8452,
1439.544,4194.125,
1436.633,4194.125,
1433.723,4192.5049,
1430.812,4185.558,
1427.902,4239.6367,
1424.991,4177.0844,
1422.081,4208.1542,
1419.170,4257.7843,
1416.259,4261.0747,
1413.349,4245.0202,
1410.438,4296.1074,
1407.528,4264.1195,
1404.617,4195.5488,
1401.707,4168.0651,
1398.796,4157.6845,
1395.885,4167.7945,
1392.975,4175.5199,
1390.064,4110.5201,
1387.154,4055.4338,
1384.243,4083.1953,
1381.332,4119.8916,
1378.422,4149.1292,
1375.511,4284.9625,
1372.601,4490.792,
1369.690,4526.1267,
1366.780,4632.0896,
1363.869,4718.6961,
1360.958,4789.981,
1358.048,4893.4422,
1355.137,5002.8475,
1352.227,5102.9946,
1349.316,5247.2785,
1346.406,5368.6718,
1343.495,5383.2314,
1340.584,5508.3749,
1337.674,5531.8131,
1334.763,5680.0071,
1331.853,5703.1879,
1328.942,5839.3235,
1326.032,5946.6589,
1323.121,6041.9624,
1320.210,6180.6656,
1317.300,6298.5091,
1314.389,6458.294,
1311.479,6598.8335,
1308.568,6710.0408,
1305.657,6878.3352,
1302.747,7003.6229,
1299.836,7140.8722,
1296.926,7357.5764,
1294.015,7603.9551,
1291.105,7815.7691,
1288.194,8054.7919,
1285.283,8297.8658,
1282.373,8523.7338,
1279.462,8667.6729,
1276.552,8811.2199,
1273.641,8929.9579,
1270.731,8930.5399,
1267.820,8922.5751,
1264.909,8989.4877,
1261.999,8991.2928,
1259.088,8968.4898,
1256.178,8787.2692,
1253.267,8668.1303,
1250.356,8422.372,
1247.446,8123.9183,
1244.535,7809.7237,
1241.625,7497.9217,
1238.714,7200.4415,
1235.804,6924.8146,
1232.893,6734.538,
1229.982,6560.4385,
1227.072,6510.6463,
1224.161,6314.6496,
1221.251,6212.6082,
1218.340,6107.8529,
1215.430,6004.2177,
1212.519,5934.8453,
1209.608,5900.2656,
1206.698,5873.912,
1203.787,5836.4918,
1200.877,5801.8115,
1197.966,5909.7106,
1195.055,6106.2527,
1192.145,6234.5456,
1189.234,6430.9183,
1186.324,6604.1331,
1183.413,6650.7189,
1180.503,6616.4034,
1177.592,6597.8319,
1174.681,6561.0428,
1171.771,6520.6292,
1168.860,6585.8247,
1165.950,6552.6168,
1163.039,6497.0304,
1160.129,6486.5627,
1157.218,6423.899,
1154.307,6365.4501,
1151.397,6363.929,
1148.486,6277.978,
1145.576,6255.4993,
1142.665,6148.9497,
1139.754,6114.9025,
1136.844,6042.5962,
1133.933,5985.3862,
1131.023,5938.6876,
1128.112,5935.9068,
1125.202,5967.2168,
1122.291,5909.4875,
1119.380,5877.1077,
1116.470,5875.3426,
1113.559,5892.9097,
1110.649,5888.9572,
1107.738,5856.7983,
1104.828,5806.9107,
1101.917,5788.1731,
1099.006,5816.9295,
1096.096,5752.6514,
1093.185,5793.9175,
1090.275,5807.6455,
1087.364,5869.1316,
1084.453,5975.9949,
1081.543,6072.7445,
1078.632,6134.0483,
1075.722,6158.5249,
1072.811,6108.841,
1069.901,6175.2088,
1066.990,6087.9752,
1064.079,6002.1567,
1061.169,5953.3468,
1058.258,5954.2175,
1055.348,5985.5317,
1052.437,6013.7006,
1049.527,6043.5012,
1046.616,6079.1232,
1043.705,6124.7463,
1040.795,6105.1998,
1037.884,6130.6184,
1034.974,6181.3183,
1032.063,6192.2636,
1029.153,6192.5765,
1026.242,6271.2875,
1023.331,6255.7928,
1020.421,6289.0714,
1017.510,6338.7416,
1014.600,6418.4142,
1011.689,6503.383,
1008.778,6543.6547,
1005.868,6600.4378,
1002.957,6746.698,
1000.047,6979.5171,
997.136,7277.7848,
994.226,7475.4012,
991.315,7526.0804,
988.404,7502.1013,
985.494,7412.0728,
982.583,7320.4212,
979.673,7315.9048,
976.762,7356.6995,
973.852,7400.3634,
970.941,7406.7132,
968.030,7388.0097,
965.120,7489.0999,
962.209,7483.1321,
959.299,7473.626,
956.388,7493.0835,
953.477,7509.0699,
950.567,7518.4119,
947.656,7546.3289,
944.746,7494.506,
941.835,7563.3886,
938.925,7564.3318,
936.014,7573.8289,
933.103,7567.8208,
930.193,7500.1554,
927.282,7395.8171,
924.372,7316.3301,
921.461,7224.3846,
918.551,7083.0049,
915.640,6954.5313,
912.729,6880.1958,
909.819,6837.7787,
906.908,6721.5241,
903.998,6718.3065,
901.087,6742.6757,
898.176,6798.1182,
895.266,6855.8688,
892.355,6895.7316,
889.445,6973.7834,
886.534,7050.0983,
883.624,7128.3712,
880.713,7230.0645,
877.802,7219.9619,
874.892,7003.8148,
871.981,6691.0549,
869.071,6476.3538,
866.160,6619.8944,
863.250,6838.9903,
860.339,7009.9457,
857.428,7088.4901,
854.518,7067.2756,
851.607,6865.0827,
