,PLDF41~1,
Wavenumbers [1/cm],Intensity,
1975.090,2319.2559,
1972.180,2299.4428,
1969.269,2311.8089,
1966.359,2313.321,
1963.448,2309.9919,
1960.538,2280.7837,
1957.627,2345.7063,
1954.716,2274.7306,
1951.806,2288.9215,
1948.895,2303.711,
1945.985,2323.9796,
1943.074,2291.0207,
1940.164,2284.365,
1937.253,2258.388,
1934.342,2241.1953,
1931.432,2208.8293,
1928.521,2251.0279,
1925.611,2255.3103,
1922.700,2236.8778,
1919.790,2249.8777,
1916.879,2249.5842,
1913.968,2264.3566,
1911.058,2243.402,
1908.147,2209.6116,
1905.237,2245.7058,
1902.326,2180.7039,
1899.415,2173.4433,
1896.505,2117.6761,
1893.594,2117.189,
1890.684,2178.0413,
1887.773,2218.1339,
1884.863,2198.6187,
1881.952,2254.8469,
1879.041,2233.2031,
1876.131,2226.3332,
1873.220,2195.251,
1870.310,2237.7157,
1867.399,2232.5189,
1864.489,2267.6351,
1861.578,2249.842,
1858.667,2258.6295,
1855.757,2277.5958,
1852.846,2266.1852,
1849.936,2292.9105,
1847.025,2296.3068,
1844.114,2325.0973,
1841.204,2310.7876,
1838.293,2332.8492,
1835.383,2335.8055,
1832.472,2353.248,
1829.562,2371.0974,
1826.651,2339.605,
1823.740,2329.0149,
1820.830,2362.0131,
1817.919,2382.7763,
1815.009,2409.3496,
1812.098,2382.8553,
1809.188,2424.3982,
1806.277,2373.5923,
1803.366,2440.2105,
1800.456,2373.4084,
1797.545,2409.5735,
1794.635,2424.084,
1791.724,2446.1711,
1788.813,2454.5611,
1785.903,2412.0785,
1782.992,2371.9904,
1780.082,2194.3149,
1777.171,2002.0158,
1774.261,1979.8365,
1771.350,2225.3298,
1768.439,2438.5503,
1765.529,2499.65,
1762.618,2521.6219,
1759.708,2530.9076,
1756.797,2536.678,
1753.887,2565.7613,
1750.976,2588.3233,
1748.065,2609.4226,
1745.155,2597.1042,
1742.244,2561.5245,
1739.334,2609.9444,
1736.423,2619.0049,
1733.512,2660.1272,
1730.602,2674.6349,
1727.691,2666.4661,
1724.781,2665.9482,
1721.870,2737.9992,
1718.960,2709.33,
1716.049,2750.5525,
1713.138,2802.2698,
1710.228,2782.3958,
1707.317,2803.143,
1704.407,2826.1397,
1701.496,2900.3873,
1698.586,2898.1352,
1695.675,2914.2178,
1692.764,2922.9488,
1689.854,2929.1152,
1686.943,2959.3295,
1684.033,2988.6547,
1681.122,3095.5398,
1678.211,3130.0609,
1675.301,3131.3719,
1672.390,3181.5664,
1669.480,3245.7921,
1666.569,3298.8096,
1663.659,3410.4893,
1660.748,3419.7659,
1657.837,3541.1126,
1654.927,3531.015,
1652.016,3603.0685,
1649.106,3751.8401,
1646.195,3773.0843,
1643.285,3885.8359,
1640.374,3992.7757,
1637.463,4061.5456,
1634.553,4237.0941,
1631.642,4420.7746,
1628.732,4640.3764,
1625.821,4808.6288,
1622.911,5194.1886,
1620.000,5504.4442,
1617.089,5855.3302,
1614.179,6217.0816,
1611.268,6639.4629,
1608.358,7018.5354,
1605.447,7250.4053,
1602.536,7348.1767,
1599.626,7434.4092,
1596.715,7447.7282,
1593.805,7307.9649,
1590.894,7282.5683,
1587.984,7228.5434,
1585.073,7139.5474,
1582.162,7059.419,
1579.252,6985.0024,
1576.341,6953.7516,
1573.431,6901.6014,
1570.520,6883.0244,
1567.610,6862.0022,
1564.699,6728.4948,
1561.788,6640.2345,
1558.878,6513.4501,
1555.967,6424.7171,
1553.057,6302.0312,
1550.146,6175.7752,
1547.235,6063.7165,
1544.325,5932.8073,
1541.414,5828.3306,
1538.504,5726.0669,
1535.593,5605.8929,
1532.683,5499.9762,
1529.772,5430.7127,
1526.861,5408.961,
1523.951,5393.0752,
1521.040,5362.783,
1518.130,5309.4773,
1515.219,5241.3343,
1512.309,5242.5731,
1509.398,5156.3962,
1506.487,5064.7225,
1503.577,4977.7298,
1500.666,4952.9733,
1497.756,4879.7481,
1494.845,4887.7303,
1491.934,4680.4695,
1489.024,4709.3443,
1486.113,4647.3243,
1483.203,4578.4269,
1480.292,4471.9477,
1477.382,4486.7049,
1474.471,4343.2013,
1471.560,4345.269,
1468.650,4288.8982,
1465.739,4244.7676,
1462.829,4177.306,
1459.918,4132.0601,
1457.008,4130.8981,
1454.097,4119.8967,
1451.186,4136.1487,
1448.276,4176.4232,
1445.365,4191.6286,
1442.455,4218.7958,
1439.544,4163.2414,
1436.633,4114.2002,
1433.723,4118.1107,
1430.812,4147.9764,
1427.902,4104.8113,
1424.991,4081.1172,
1422.081,4089.5498,
1419.170,4182.8295,
1416.259,4186.8442,
1413.349,4217.6056,
1410.438,4233.9732,
1407.528,4193.888,
1404.617,4152.7612,
1401.707,4105.3989,
1398.796,4076.7351,
1395.885,4100.0445,
1392.975,4109.895,
1390.064,4068.7831,
1387.154,4066.8244,
1384.243,4092.6487,
1381.332,4047.7735,
1378.422,4146.5724,
1375.511,4286.1528,
1372.601,4426.6106,
1369.690,4483.8078,
1366.780,4608.5962,
1363.869,4653.9045,
1360.958,4714.8332,
1358.048,4849.5778,
1355.137,4926.5805,
1352.227,4993.5126,
1349.316,5109.5909,
1346.406,5203.7517,
1343.495,5299.011,
1340.584,5411.3026,
1337.674,5483.0935,
1334.763,5550.6212,
1331.853,5635.9265,
1328.942,5698.0796,
1326.032,5781.2277,
1323.121,5899.8871,
1320.210,6066.5614,
1317.300,6167.1987,
1314.389,6289.0158,
1311.479,6439.0445,
1308.568,6562.5842,
1305.657,6701.7902,
1302.747,6869.567,
1299.836,7043.0878,
1296.926,7270.3226,
1294.015,7441.3168,
1291.105,7664.1077,
1288.194,7895.457,
1285.283,8167.62,
1282.373,8299.6717,
1279.462,8465.3723,
1276.552,8642.6272,
1273.641,8766.7607,
1270.731,8843.5541,
1267.820,8808.6642,
1264.909,8768.2223,
1261.999,8851.0462,
1259.088,8759.8341,
1256.178,8597.6435,
1253.267,8426.3751,
1250.356,8180.5533,
1247.446,7904.8365,
1244.535,7613.3621,
1241.625,7300.4458,
1238.714,6995.146,
1235.804,6742.2588,
1232.893,6543.5245,
1229.982,6428.3887,
1227.072,6310.6981,
1224.161,6169.5754,
1221.251,6068.4351,
1218.340,5990.55,
1215.430,5893.0075,
1212.519,5808.3039,
1209.608,5743.8987,
1206.698,5693.9922,
1203.787,5701.184,
1200.877,5657.7829,
1197.966,5761.1862,
1195.055,5943.8507,
1192.145,6093.8386,
1189.234,6255.348,
1186.324,6427.7488,
1183.413,6518.1415,
1180.503,6510.2573,
1177.592,6468.3038,
1174.681,6392.3339,
1171.771,6371.0659,
1168.860,6357.6696,
1165.950,6384.5951,
1163.039,6291.5034,
1160.129,6284.3562,
1157.218,6238.7068,
1154.307,6144.9368,
1151.397,6112.5075,
1148.486,6095.0839,
1145.576,6041.0644,
1142.665,6010.8753,
1139.754,5950.6074,
1136.844,5903.0602,
1133.933,5857.2902,
1131.023,5824.0447,
1128.112,5809.5895,
1125.202,5791.3992,
1122.291,5743.7483,
1119.380,5739.1411,
1116.470,5715.3129,
1113.559,5711.6018,
1110.649,5700.8975,
1107.738,5683.0512,
1104.828,5641.5836,
1101.917,5601.9254,
1099.006,5607.9215,
1096.096,5596.6438,
1093.185,5601.0338,
1090.275,5677.4464,
1087.364,5742.7175,
1084.453,5811.622,
1081.543,5875.9829,
1078.632,5932.059,
1075.722,5972.6735,
1072.811,5949.1483,
1069.901,5903.7387,
1066.990,5888.25,
1064.079,5878.5699,
1061.169,5800.8143,
1058.258,5772.5599,
1055.348,5818.4327,
1052.437,5826.8188,
1049.527,5846.7918,
1046.616,5909.3475,
1043.705,5917.1458,
1040.795,5930.7836,
1037.884,5960.1217,
1034.974,5982.8647,
1032.063,5992.5286,
1029.153,6022.2299,
1026.242,6079.317,
1023.331,6078.0419,
1020.421,6103.8649,
1017.510,6155.1546,
1014.600,6215.1342,
1011.689,6274.9001,
1008.778,6334.8784,
1005.868,6385.9812,
1002.957,6564.9349,
1000.047,6815.1431,
997.136,7066.3502,
994.226,7218.2822,
991.315,7267.6819,
988.404,7268.162,
985.494,7184.0489,
982.583,7169.4875,
979.673,7162.2535,
976.762,7180.3365,
973.852,7200.1211,
970.941,7215.0809,
968.030,7241.3404,
965.120,7286.2497,
962.209,7256.4107,
959.299,7249.2503,
956.388,7284.7727,
953.477,7310.4978,
950.567,7302.7151,
947.656,7290.481,
944.746,7276.0386,
941.835,7327.2031,
938.925,7331.4784,
936.014,7340.0207,
933.103,7314.5939,
930.193,7241.1801,
927.282,7218.6464,
924.372,7112.9456,
921.461,7011.7434,
918.551,6868.8358,
915.640,6739.0815,
912.729,6636.6836,
909.819,6534.482,
906.908,6497.4153,
903.998,6530.371,
901.087,6534.283,
898.176,6581.0033,
895.266,6653.4667,
892.355,6695.9874,
889.445,6715.2905,
