,PLA0AC~1,
Raman shift [1/cm],Intensity,
1884.863,2384.9359,
1881.952,2395.6799,
1879.041,2402.638,
1876.131,2391.7237,
1873.220,2399.5852,
1870.310,2449.394,
1867.399,2417.7008,
1864.489,2446.1639,
1861.578,2443.6692,
1858.667,2409.8316,
1855.757,2412.31,
1852.846,2431.8891,
1849.936,2453.124,
1847.025,2480.6554,
1844.114,2464.4567,
1841.204,2462.0096,
1838.293,2485.1167,
1835.383,2488.4855,
1832.472,2484.7528,
1829.562,2495.2622,
1826.651,2532.2112,
1823.740,2538.8453,
1820.830,2533.0384,
1817.919,2516.6518,
1815.009,2539.6683,
1812.098,2570.1565,
1809.188,2579.6909,
1806.277,2525.3644,
1803.366,2590.8921,
1800.456,2577.7845,
1797.545,2588.1109,
1794.635,2580.834,
1791.724,2606.5521,
1788.813,2647.9299,
1785.903,2667.1114,
1782.992,2676.9059,
1780.082,2656.9783,
1777.171,2634.1266,
1774.261,2643.4101,
1771.350,2673.6615,
1768.439,2703.0388,
1765.529,2717.5843,
1762.618,2751.5069,
1759.708,2755.125,
1756.797,2763.1932,
1753.887,2767.3043,
1750.976,2814.6564,
1748.065,2838.6795,
1745.155,2812.9638,
1742.244,2829.2726,
1739.334,2819.845,
1736.423,2847.9848,
1733.512,2832.8363,
1730.602,2872.7382,
1727.691,2871.7011,
1724.781,2927.478,
1721.870,2948.1488,
1718.960,2995.9922,
1716.049,2992.7014,
1713.138,3001.2399,
1710.228,2970.924,
1707.317,3031.5833,
1704.407,3082.3497,
1701.496,3118.1176,
1698.586,3086.9376,
1695.675,3103.7749,
1692.764,3195.0636,
1689.854,3180.9911,
1686.943,3234.2364,
1684.033,3203.9446,
1681.122,3314.2049,
1678.211,3294.3344,
1675.301,3432.6964,
1672.390,3469.3553,
1669.480,3546.6946,
1666.569,3618.6231,
1663.659,3736.1376,
1660.748,3799.3617,
1657.837,3914.8308,
1654.927,3992.273,
1652.016,4040.9755,
1649.106,4076.8632,
1646.195,4148.2349,
1643.285,4236.1986,
1640.374,4327.78,
1637.463,4453.422,
1634.553,4526.5486,
1631.642,4690.2423,
1628.732,4884.5945,
1625.821,5131.2388,
1622.911,5304.1445,
1620.000,5584.5596,
1617.089,5854.7121,
1614.179,6131.2569,
1611.268,6498.2576,
1608.358,6858.1282,
1605.447,7009.9547,
1602.536,7136.4747,
1599.626,7208.6004,
1596.715,7223.201,
1593.805,7201.7667,
1590.894,7259.0106,
1587.984,7173.5871,
1585.073,7091.9105,
1582.162,7116.86,
1579.252,7064.389,
1576.341,7063.141,
1573.431,7001.1215,
1570.520,6973.9525,
1567.610,6948.7717,
1564.699,6920.0991,
1561.788,6831.1399,
1558.878,6707.683,
1555.967,6586.1846,
1553.057,6533.0044,
1550.146,6425.9543,
1547.235,6271.6244,
1544.325,6193.9867,
1541.414,6130.1994,
1538.504,6009.0822,
1535.593,5913.7531,
1532.683,5848.6983,
1529.772,5750.2383,
1526.861,5648.9271,
1523.951,5571.2891,
1521.040,5494.6085,
1518.130,5426.6469,
1515.219,5396.686,
1512.309,5365.3457,
1509.398,5354.0721,
1506.487,5276.2195,
1503.577,5264.4834,
1500.666,5211.8426,
1497.756,5145.1334,
1494.845,5131.6042,
1491.934,5094.8321,
1489.024,5005.3202,
1486.113,4904.7674,
1483.203,4921.1055,
1480.292,4905.4577,
1477.382,4865.7538,
1474.471,4826.4298,
1471.560,4703.1954,
1468.650,4675.8403,
1465.739,4663.2698,
1462.829,4636.6077,
1459.918,4636.0698,
1457.008,4601.986,
1454.097,4600.4084,
1451.186,4643.6298,
1448.276,4624.2593,
1445.365,4614.8067,
1442.455,4653.2183,
1439.544,4652.0868,
1436.633,4630.6096,
1433.723,4597.7421,
1430.812,4612.2831,
1427.902,4563.1103,
1424.991,4520.461,
1422.081,4470.4987,
1419.170,4528.3373,
1416.259,4458.7388,
1413.349,4466.5584,
1410.438,4420.5422,
1407.528,4442.8307,
1404.617,4502.1784,
1401.707,4535.6639,
1398.796,4532.7964,
1395.885,4514.3375,
1392.975,4533.397,
1390.064,4566.938,
1387.154,4518.0776,
1384.243,4467.8804,
1381.332,4402.2781,
1378.422,4547.1775,
1375.511,4683.9476,
1372.601,4802.2429,
1369.690,4932.9934,
1366.780,5022.0321,
1363.869,5101.8755,
1360.958,5187.8455,
1358.048,5328.1077,
1355.137,5437.3458,
1352.227,5488.7983,
1349.316,5595.7232,
1346.406,5769.9128,
1343.495,5880.0589,
1340.584,5948.7313,
1337.674,6002.4466,
1334.763,6011.3705,
1331.853,6175.4904,
1328.942,6181.2355,
1326.032,6284.7088,
1323.121,6428.9022,
1320.210,6453.1451,
1317.300,6477.178,
1314.389,6566.418,
1311.479,6659.2704,
1308.568,6752.722,
1305.657,6872.6016,
1302.747,6970.3608,
1299.836,7152.2211,
1296.926,7319.1333,
1294.015,7362.3415,
1291.105,7570.1718,
1288.194,7765.0623,
1285.283,7951.7576,
1282.373,8088.8591,
1279.462,8231.2016,
1276.552,8362.6213,
1273.641,8456.5304,
1270.731,8507.3026,
1267.820,8496.0476,
1264.909,8479.6626,
1261.999,8415.695,
1259.088,8349.1102,
1256.178,8257.7664,
1253.267,8108.8658,
1250.356,7933.3515,
1247.446,7723.6167,
1244.535,7490.3039,
1241.625,7265.4845,
1238.714,7068.4753,
1235.804,6888.6544,
1232.893,6724.8877,
1229.982,6661.5135,
1227.072,6495.8414,
1224.161,6400.0746,
1221.251,6253.8359,
1218.340,6137.8657,
1215.430,6045.1725,
1212.519,5981.6563,
1209.608,5961.3144,
1206.698,5969.4229,
1203.787,5976.7481,
1200.877,5983.0782,
1197.966,6030.7336,
1195.055,6157.6993,
1192.145,6315.8695,
1189.234,6437.6825,
1186.324,6565.3151,
1183.413,6668.922,
1180.503,6701.3681,
1177.592,6647.5585,
1174.681,6508.0874,
1171.771,6423.5384,
1168.860,6354.7705,
1165.950,6320.7112,
1163.039,6253.364,
