,PL57AE~1,
Raman shift [1/cm],Intensity,
1081.543,1417.957,
1078.632,1427.4839,
1075.722,1418.8862,
1072.811,1434.2563,
1069.901,1422.0306,
1066.990,1454.2666,
1064.079,1425.3773,
1061.169,1415.8572,
1058.258,1417.0432,
1055.348,1413.0646,
1052.437,1418.6491,
1049.527,1411.9977,
1046.616,1434.5873,
1043.705,1411.6898,
1040.795,1404.125,
1037.884,1427.3889,
1034.974,1436.3454,
1032.063,1418.8479,
1029.153,1435.6709,
1026.242,1423.5615,
1023.331,1417.292,
1020.421,1432.8554,
1017.510,1437.8839,
1014.600,1442.469,
1011.689,1469.3695,
1008.778,1511.4597,
1005.868,1490.2486,
1002.957,1504.0142,
1000.047,1557.085,
997.136,1610.1899,
994.226,1622.9713,
991.315,1590.2488,
988.404,1542.5853,
985.494,1518.7222,
982.583,1500.7345,
979.673,1484.9554,
976.762,1495.9768,
973.852,1508.009,
970.941,1506.754,
968.030,1494.5122,
965.120,1457.2252,
962.209,1481.0964,
959.299,1492.9157,
956.388,1494.4451,
953.477,1485.7265,
950.567,1490.2876,
947.656,1530.0055,
944.746,1506.2179,
941.835,1526.1801,
938.925,1542.9699,
936.014,1569.358,
933.103,1578.1791,
930.193,1560.3223,
927.282,1568.3001,
924.372,1553.0792,
921.461,1520.9326,
918.551,1513.0297,
915.640,1518.5245,
912.729,1503.535,
909.819,1456.0189,
906.908,1500.6674,
903.998,1487.2177,
901.087,1464.0298,
898.176,1462.6689,
895.266,1479.473,
892.355,1498.6221,
889.445,1527.9964,
886.534,1535.6388,
883.624,1535.7793,
880.713,1534.1043,
877.802,1532.4302,
874.892,1527.0804,
871.981,1508.4345,
869.071,1479.1951,
866.160,1483.0945,
863.250,1496.0364,
860.339,1527.0354,
857.428,1562.9597,
854.518,1540.7399,
851.607,1527.4267,
848.697,1505.1783,
845.786,1478.4802,
842.875,1478.5538,
839.965,1513.6154,
837.054,1534.3669,
834.144,1555.9145,
831.233,1574.124,
828.323,1584.0924,
825.412,1586.1591,
822.501,1577.5716,
819.591,1541.2101,
816.680,1536.9199,
813.770,1535.4985,
810.859,1532.8688,
807.949,1520.7542,
805.038,1497.1206,
802.127,1505.3519,
799.217,1490.4718,
796.306,1497.6116,
793.396,1506.3464,
790.485,1505.7567,
787.574,1509.4016,
784.664,1543.0262,
781.753,1550.467,
778.843,1563.3771,
775.932,1571.8041,
773.022,1560.7302,
770.111,1551.7369,
767.200,1553.4089,
764.290,1546.6126,
761.379,1538.3679,
758.469,1515.7095,
755.558,1446.2952,
752.648,1451.9974,
749.737,1436.1525,
746.826,1363.2527,
743.916,1239.8645,
741.005,1083.1637,
738.095,844.47195,
735.184,494.34813,
732.274,425.02551,
729.363,646.91269,
726.452,1030.7024,
723.542,1310.7525,
720.631,1383.4654,
717.721,1465.8566,
714.810,1513.7443,
711.899,1513.3131,
708.989,1514.12,
706.078,1542.9719,
703.168,1548.9106,
700.257,1532.0347,
697.347,1506.7339,
694.436,1498.2778,
691.525,1503.9044,
688.615,1495.0624,
685.704,1496.8955,
682.794,1514.3802,
679.883,1537.1879,
676.973,1516.3522,
674.062,1519.1439,
671.151,1520.9333,
668.241,1514.5513,
