,PL8D1F~1,
Wavenumbers [1/cm],Intensity,
1276.552,2672.2905,
1273.641,2714.7454,
1270.731,2695.8951,
1267.820,2647.7625,
1264.909,2634.9935,
1261.999,2664.9891,
1259.088,2716.0679,
1256.178,2706.2782,
1253.267,2638.9134,
1250.356,2531.7593,
1247.446,2425.585,
1244.535,2303.3172,
1241.625,2196.0584,
1238.714,2112.648,
1235.804,2007.6154,
1232.893,1950.6273,
1229.982,1939.0518,
1227.072,1907.3658,
1224.161,1858.8973,
1221.251,1794.2868,
1218.340,1773.1816,
1215.430,1757.8111,
1212.519,1750.6526,
1209.608,1735.5712,
1206.698,1706.0401,
1203.787,1723.8285,
1200.877,1700.0842,
1197.966,1780.1093,
1195.055,1825.9342,
1192.145,1874.4489,
1189.234,1955.5994,
1186.324,2003.0351,
1183.413,2024.4905,
1180.503,2037.427,
1177.592,2022.5995,
1174.681,1995.4332,
1171.771,2024.3832,
1168.860,1992.232,
1165.950,1997.9942,
1163.039,2002.9186,
1160.129,1992.9178,
1157.218,1967.3378,
1154.307,1953.3194,
1151.397,1957.6935,
1148.486,1945.8743,
1145.576,1949.0842,
1142.665,1925.1106,
1139.754,1906.8524,
1136.844,1894.0211,
1133.933,1905.9607,
1131.023,1906.7389,
1128.112,1884.4123,
1125.202,1873.5791,
1122.291,1895.9889,
1119.380,1867.177,
1116.470,1872.4721,
1113.559,1867.7123,
1110.649,1858.9217,
1107.738,1837.443,
1104.828,1842.93,
1101.917,1862.6571,
1099.006,1842.5785,
1096.096,1854.7163,
1093.185,1864.3743,
1090.275,1877.2641,
1087.364,1886.9862,
1084.453,1940.7468,
1081.543,1977.0575,
1078.632,1983.467,
1075.722,2007.8175,
1072.811,2014.0701,
1069.901,1999.2247,
1066.990,1981.15,
1064.079,1950.585,
1061.169,1951.9325,
1058.258,1952.1144,
1055.348,1938.8888,
1052.437,1946.4048,
1049.527,1963.6285,
1046.616,1976.6609,
1043.705,1991.228,
1040.795,1991.294,
1037.884,1995.6996,
1034.974,2008.0838,
1032.063,2019.0788,
1029.153,2029.2915,
1026.242,2088.9735,
1023.331,2083.6255,
1020.421,2067.4859,
1017.510,2073.4511,
1014.600,2105.5403,
1011.689,2136.125,
1008.778,2132.1665,
1005.868,2109.7659,
1002.957,2181.1753,
1000.047,2288.949,
997.136,2358.6026,
994.226,2407.5554,
991.315,2454.6522,
988.404,2482.0185,
985.494,2440.6237,
982.583,2462.8941,
979.673,2471.9782,
976.762,2458.8603,
973.852,2464.0374,
970.941,2471.0842,
968.030,2449.8939,
965.120,2505.1966,
962.209,2522.2474,
959.299,2542.8312,
956.388,2545.0853,
953.477,2546.8794,
950.567,2547.5437,
947.656,2527.5733,
944.746,2538.6176,
941.835,2518.8797,
938.925,2531.2343,
936.014,2516.3512,
933.103,2484.6507,
930.193,2460.935,
927.282,2427.2084,
924.372,2410.2963,
921.461,2371.305,
918.551,2341.8589,
915.640,2323.7508,
912.729,2300.097,
909.819,2258.013,
906.908,2249.5887,
903.998,2245.1482,
901.087,2244.7615,
898.176,2256.1005,
895.266,2275.4252,
892.355,2295.9939,
889.445,2322.0111,
886.534,2342.9968,
883.624,2390.8591,
880.713,2408.0422,
877.802,2374.5967,
874.892,2264.7064,
871.981,2020.5209,
869.071,1910.2464,
866.160,2031.1868,
863.250,2203.6834,
860.339,2312.0744,
857.428,2331.3773,
854.518,2342.2845,
851.607,2244.1004,
848.697,2121.889,
845.786,2068.4164,
842.875,2108.9158,
839.965,2203.8243,
837.054,2248.4971,
834.144,2281.6472,
831.233,2262.1269,
828.323,2255.0599,
825.412,2253.7199,
822.501,2229.7844,
819.591,2183.506,
816.680,2150.0737,
