,PLB1A0~1,
Wavenumbers [1/cm],Intensity,
1497.756,1302.1116,
1494.845,1237.6546,
1491.934,1220.3026,
1489.024,1198.1652,
1486.113,1180.6851,
1483.203,1170.4933,
1480.292,1143.9197,
1477.382,1115.9358,
1474.471,1029.0328,
1471.560,1004.375,
1468.650,973.62768,
1465.739,957.45353,
1462.829,940.26093,
1459.918,921.64013,
1457.008,910.80571,
1454.097,925.32348,
1451.186,933.23574,
1448.276,925.91996,
1445.365,948.98242,
1442.455,941.98885,
1439.544,907.86907,
1436.633,892.0165,
1433.723,908.0464,
1430.812,804.73407,
1427.902,859.21715,
1424.991,852.58281,
1422.081,838.61284,
1419.170,828.7344,
1416.259,867.87815,
1413.349,802.60614,
1410.438,821.06156,
1407.528,814.91282,
1404.617,773.19284,
1401.707,763.97381,
1398.796,735.14083,
1395.885,696.0955,
1392.975,704.91681,
1390.064,722.55875,
1387.154,765.49759,
1384.243,813.71896,
1381.332,797.1296,
1378.422,845.74195,
1375.511,891.64421,
1372.601,924.62996,
1369.690,941.09056,
1366.780,933.07854,
1363.869,984.1343,
1360.958,1036.7256,
1358.048,1083.6339,
1355.137,1135.916,
1352.227,1188.6235,
1349.316,1241.8712,
1346.406,1309.7517,
1343.495,1371.8767,
1340.584,1385.1954,
1337.674,1452.6246,
1334.763,1446.5161,
1331.853,1450.2251,
1328.942,1597.1366,
1326.032,1643.9217,
1323.121,1722.9895,
1320.210,1733.7247,
1317.300,1813.1391,
1314.389,1904.2089,
1311.479,1984.0542,
1308.568,2068.0529,
1305.657,2118.5134,
1302.747,2185.0203,
1299.836,2287.5201,
1296.926,2383.8533,
1294.015,2437.1741,
1291.105,2593.4698,
1288.194,2699.0418,
1285.283,2794.1233,
1282.373,2892.3513,
1279.462,2980.6878,
1276.552,3036.6349,
1273.641,3063.3467,
1270.731,3047.8541,
1267.820,2953.6154,
1264.909,2868.673,
1261.999,2966.4402,
1259.088,2995.6281,
1256.178,2999.0879,
1253.267,2937.2322,
1250.356,2862.1629,
1247.446,2756.1668,
1244.535,2634.9645,
1241.625,2529.2159,
1238.714,2446.1547,
1235.804,2374.8654,
1232.893,2308.2672,
1229.982,2231.2029,
1227.072,2255.6464,
1224.161,2193.4967,
1221.251,2193.2871,
1218.340,2146.1979,
1215.430,2099.1063,
1212.519,2106.013,
1209.608,2108.9231,
1206.698,2044.7149,
1203.787,1981.2996,
1200.877,1954.4486,
1197.966,2052.4569,
1195.055,2153.7921,
1192.145,2192.9153,
1189.234,2269.7958,
1186.324,2308.466,
1183.413,2346.4715,
1180.503,2387.9789,
1177.592,2364.5969,
1174.681,2324.0223,
1171.771,2335.0041,
1168.860,2318.9285,
1165.950,2293.9926,
1163.039,2283.4862,
1160.129,2294.9417,
1157.218,2301.4906,
1154.307,2286.8732,
1151.397,2263.2041,
1148.486,2254.522,
1145.576,2268.8286,
1142.665,2187.1406,
1139.754,2234.8881,
1136.844,2217.262,
1133.933,2222.5567,
1131.023,2229.7098,
1128.112,2226.9459,
1125.202,2227.8195,
1122.291,2206.9909,
1119.380,2183.8947,
1116.470,2236.8464,
1113.559,2234.8693,
1110.649,2257.2591,
1107.738,2225.9021,
1104.828,2198.6097,
1101.917,2209.9369,
1099.006,2199.375,
1096.096,2199.8588,
1093.185,2207.7608,
1090.275,2205.1379,
1087.364,2237.3089,
1084.453,2273.7486,
1081.543,2309.6567,
1078.632,2333.4348,
1075.722,2334.0078,
1072.811,2346.4919,
1069.901,2362.2106,
1066.990,2349.6334,
1064.079,2328.6816,
1061.169,2313.7474,
1058.258,2321.9265,
1055.348,2344.4904,
1052.437,2354.211,
1049.527,2354.7177,
1046.616,2389.4708,
1043.705,2372.5643,
1040.795,2425.1174,
1037.884,2468.4898,
1034.974,2465.3402,
1032.063,2452.1978,
1029.153,2479.7518,
1026.242,2474.5621,
1023.331,2494.3737,
1020.421,2510.9228,
1017.510,2507.9709,
1014.600,2506.4502,
1011.689,2501.117,
1008.778,2446.9172,
1005.868,2310.5989,
1002.957,2335.5492,
1000.047,2560.6871,
997.136,2754.3796,
994.226,2877.4358,
991.315,2918.1522,
988.404,2891.9679,
985.494,2935.5886,
982.583,2900.4698,
979.673,2874.8889,
976.762,2887.9236,
973.852,2903.259,
970.941,2918.8977,
968.030,2953.9762,
965.120,2957.4466,
962.209,2974.4974,
959.299,2963.21,
956.388,2969.6942,
953.477,2985.5404,
950.567,2996.7278,
947.656,3007.8314,
944.746,3041.8137,
941.835,3023.9395,
938.925,3000.2915,
936.014,2987.8459,
933.103,2992.0838,
930.193,2996.984,
927.282,2964.0295,
924.372,2902.3002,
921.461,2859.0278,
918.551,2819.6521,
915.640,2788.4766,
912.729,2768.618,
909.819,2749.701,
906.908,2683.9919,
903.998,2712.9849,
901.087,2737.9242,
898.176,2770.2804,
895.266,2808.7058,
892.355,2833.1344,
889.445,2810.4742,
886.534,2877.1647,
883.624,2946.8929,
880.713,2920.7876,
877.802,2768.284,
874.892,2468.6186,
871.981,1976.1273,
869.071,1753.9075,
866.160,1997.5685,
863.250,2415.8318,
860.339,2734.7871,
857.428,2822.6182,
854.518,2774.5145,
851.607,2537.3748,
848.697,2231.5654,
845.786,2123.3112,
842.875,2256.3674,
839.965,2539.7746,
837.054,2797.4959,
834.144,2808.2697,
831.233,2825.7072,
828.323,2837.3316,
825.412,2823.667,
822.501,2779.9706,
819.591,2744.4354,
816.680,2716.1314,
813.770,2685.5679,
810.859,2673.6312,
807.949,2667.5554,
805.038,2644.9723,
802.127,2649.9111,
799.217,2672.7367,
796.306,2651.4288,
793.396,2617.6955,
790.485,2617.9061,
787.574,2687.1882,
784.664,2682.2675,
781.753,2729.6858,
778.843,2770.5279,
775.932,2781.2764,
773.022,2767.4038,
770.111,2780.485,
767.200,2782.1363,
764.290,2770.2396,
761.379,2750.7406,
758.469,2736.4677,
755.558,2743.6213,
752.648,2718.3686,
749.737,2748.6256,
746.826,2744.5302,
743.916,2708.3229,
741.005,2681.2745,
738.095,2671.532,
735.184,2641.0576,
732.274,2634.634,
729.363,2646.7721,
726.452,2663.7138,
723.542,2676.6641,
720.631,2743.8899,
717.721,2766.0935,
714.810,2788.3124,
711.899,2817.672,
708.989,2797.4989,
706.078,2797.375,
703.168,2776.1223,
700.257,2768.5636,
697.347,2771.0713,
694.436,2748.4623,
691.525,2751.6775,
688.615,2747.3437,
685.704,2749.1236,
682.794,2758.6516,
679.883,2769.9877,
676.973,2783.611,
674.062,2790.8416,
671.151,2772.3352,
668.241,2750.8547,
665.330,2767.8834,
662.420,2757.4999,
659.509,2745.851,
656.598,2761.5797,
653.688,2797.4265,
650.777,2823.8079,
647.867,2807.0851,
644.956,2681.4024,
642.046,2533.8203,
639.135,2438.7113,
636.224,2467.3021,
633.314,2652.2897,
630.403,2721.2498,
627.493,2757.4991,
624.582,2794.2001,
621.672,2806.872,
618.761,2824.8536,
615.850,2837.5378,
612.940,2855.6702,
610.029,2876.613,
607.119,2860.0308,
604.208,2851.2749,
601.297,2856.3513,
598.387,2860.6488,
595.476,2849.8894,
592.566,2834.1481,
589.655,2822.3045,
586.745,2813.0353,
583.834,2812.8646,
580.923,2832.1618,
578.013,2796.8487,
575.102,2791.9637,
572.192,2783.9419,
569.281,2772.6546,
566.371,2824.3078,
563.460,2859.7101,
560.549,2862.1421,
557.639,2850.3007,
554.728,2852.0558,
551.818,2926.1858,
548.907,2927.1397,
545.996,2939.9248,
543.086,2975.5428,
540.175,2976.3214,
537.265,2945.231,
534.354,2949.9308,
531.444,2986.9957,
528.533,3040.1543,
525.622,3037.0505,
522.712,3053.9708,
519.801,3091.7247,
516.891,3140.9482,
513.980,3173.4686,
511.070,3210.888,
508.159,3241.6123,
505.248,3268.6384,
502.338,3299.199,
499.427,3395.678,
496.517,3440.6073,
493.606,3466.8157,
490.695,3491.9426,
