,PL1AF9~1,
Raman shift [1/cm],Intensity,
1750.976,1025.1532,
1748.065,1030.4297,
1745.155,1076.7982,
1742.244,1053.5082,
1739.334,1074.6476,
1736.423,1073.4668,
1733.512,1068.1606,
1730.602,1089.4465,
1727.691,1095.4823,
1724.781,1096.8232,
1721.870,1080.3499,
1718.960,1107.4948,
1716.049,1101.6654,
1713.138,1114.6399,
1710.228,1117.25,
1707.317,1107.5197,
1704.407,1151.1699,
1701.496,1142.5768,
1698.586,1139.402,
1695.675,1175.7426,
1692.764,1192.4508,
1689.854,1208.5571,
1686.943,1226.6429,
1684.033,1228.2252,
1681.122,1217.4369,
1678.211,1271.7265,
1675.301,1283.2161,
1672.390,1316.262,
1669.480,1320.7393,
1666.569,1381.2246,
1663.659,1380.0503,
1660.748,1428.1536,
1657.837,1424.9121,
1654.927,1500.1169,
1652.016,1535.0593,
1649.106,1488.8657,
1646.195,1553.7535,
1643.285,1575.5944,
1640.374,1633.48,
1637.463,1645.2228,
1634.553,1699.7426,
1631.642,1800.1295,
1628.732,1880.333,
1625.821,1894.3239,
1622.911,2006.6132,
1620.000,2182.02,
1617.089,2285.2002,
1614.179,2406.7813,
1611.268,2551.7848,
1608.358,2601.0961,
1605.447,2764.4799,
1602.536,2775.1819,
1599.626,2789.9689,
1596.715,2828.4616,
1593.805,2795.5824,
1590.894,2789.4887,
1587.984,2738.1506,
1585.073,2691.9632,
1582.162,2699.4431,
1579.252,2672.7912,
1576.341,2667.0511,
1573.431,2675.8649,
1570.520,2638.5024,
1567.610,2638.9169,
1564.699,2570.022,
1561.788,2567.6019,
1558.878,2464.2286,
1555.967,2424.4633,
1553.057,2373.8368,
1550.146,2326.5009,
1547.235,2277.6981,
1544.325,2240.0704,
1541.414,2225.7693,
1538.504,2205.3497,
1535.593,2182.4855,
1532.683,2159.0088,
1529.772,2135.3501,
1526.861,2092.8567,
1523.951,2054.4316,
1521.040,2064.6857,
1518.130,2032.3591,
1515.219,1993.3303,
1512.309,1983.0023,
1509.398,1974.0866,
1506.487,1943.5256,
1503.577,1940.9848,
1500.666,1935.9602,
1497.756,1863.6993,
1494.845,1880.2895,
1491.934,1857.0862,
1489.024,1807.0366,
1486.113,1834.9209,
1483.203,1800.8351,
1480.292,1777.5827,
1477.382,1754.852,
1474.471,1704.2073,
1471.560,1690.9757,
1468.650,1702.8657,
1465.739,1696.0807,
1462.829,1697.6054,
1459.918,1669.5481,
1457.008,1637.173,
1454.097,1645.1904,
1451.186,1662.3293,
1448.276,1660.4534,
1445.365,1655.4648,
1442.455,1680.8357,
1439.544,1706.4697,
1436.633,1631.9402,
1433.723,1666.3807,
1430.812,1647.9305,
1427.902,1581.498,
1424.991,1591.9234,
1422.081,1590.415,
1419.170,1590.25,
1416.259,1587.0097,
1413.349,1583.9843,
1410.438,1532.8659,
1407.528,1521.5499,
1404.617,1553.6708,
1401.707,1557.4117,
1398.796,1549.4423,
1395.885,1554.4232,
1392.975,1548.9998,
1390.064,1530.3606,
1387.154,1496.0719,
1384.243,1455.4543,
1381.332,1396.8859,
1378.422,1462.4525,
1375.511,1543.9525,
1372.601,1656.76,
1369.690,1719.3978,
1366.780,1825.6703,
1363.869,1803.3025,
1360.958,1851.9318,
1358.048,1903.456,
1355.137,1955.7277,
1352.227,1971.2041,
1349.316,1997.9643,
1346.406,2081.1659,
1343.495,2105.4295,
1340.584,2166.0714,
1337.674,2169.4308,
1334.763,2207.0375,
1331.853,2280.2888,
1328.942,2316.1602,
1326.032,2314.5407,
1323.121,2348.8163,
1320.210,2394.546,
1317.300,2406.5281,
1314.389,2423.806,
1311.479,2438.4442,
1308.568,2455.5974,
1305.657,2511.0169,
1302.747,2558.7858,
1299.836,2615.2525,
1296.926,2669.7365,
1294.015,2766.2655,
1291.105,2763.2057,
1288.194,2911.6149,
1285.283,2962.1381,
1282.373,3042.5544,
1279.462,3113.7005,
1276.552,3150.6516,
1273.641,3160.0375,
1270.731,3157.3649,
1267.820,3164.7083,
1264.909,3108.6455,
1261.999,3104.4164,
1259.088,3108.977,
1256.178,3089.5515,
1253.267,3048.6574,
1250.356,2958.6886,
1247.446,2877.2455,
1244.535,2818.0045,
1241.625,2757.7612,
1238.714,2697.2387,
1235.804,2655.1093,
1232.893,2611.381,
1229.982,2580.9076,
1227.072,2482.2286,
1224.161,2471.0475,
1221.251,2417.3898,
1218.340,2359.0857,
1215.430,2320.1834,
1212.519,2279.0844,
1209.608,2244.8325,
1206.698,2242.5053,
1203.787,2253.3757,
1200.877,2308.25,
1197.966,2308.25,
1195.055,2404.6671,
1192.145,2466.3306,
1189.234,2528.6118,
1186.324,2565.7056,
1183.413,2606.6054,
1180.503,2643.552,
1177.592,2631.0478,
1174.681,2605.8562,
1171.771,2594.6428,
1168.860,2524.9818,
1165.950,2502.9305,
1163.039,2455.949,
1160.129,2411.8862,
1157.218,2385.5968,
1154.307,2352.8754,
1151.397,2320.2883,
1148.486,2338.9013,
1145.576,2329.3226,
1142.665,2284.927,
1139.754,2284.5045,
1136.844,2243.2318,
1133.933,2224.6635,
1131.023,2239.3571,
1128.112,2226.9685,
1125.202,2179.564,
1122.291,2199.1328,
1119.380,2219.5272,
1116.470,2247.7681,
1113.559,2250.4768,
1110.649,2219.4723,
1107.738,2223.0753,
1104.828,2235.6729,
1101.917,2236.9426,
1099.006,2259.4561,
1096.096,2277.2074,
1093.185,2243.8433,
1090.275,2273.6208,
1087.364,2234.5936,
1084.453,2232.9362,
1081.543,2246.0589,
1078.632,2251.0849,
1075.722,2275.7724,
1072.811,2305.2715,
1069.901,2263.355,
1066.990,2276.4166,
1064.079,2284.3331,
1061.169,2306.6851,
1058.258,2347.3887,
1055.348,2372.6071,
1052.437,2352.9381,
1049.527,2349.1703,
1046.616,2424.7584,
1043.705,2427.0839,
1040.795,2430.358,
1037.884,2421.1123,
1034.974,2430.8505,
1032.063,2453.4197,
1029.153,2413.0929,
1026.242,2445.0963,
1023.331,2480.4145,
1020.421,2444.7268,
1017.510,2435.7747,
1014.600,2476.6615,
1011.689,2525.3858,
1008.778,2541.3136,
1005.868,2588.9991,
1002.957,2672.4534,
1000.047,2792.266,
997.136,2883.3473,
994.226,2901.8503,
991.315,2878.4233,
988.404,2868.4133,
985.494,2836.6197,
982.583,2763.8124,
979.673,2716.6677,
976.762,2687.3982,
973.852,2696.1405,
970.941,2724.8066,
968.030,2730.5448,
965.120,2715.3073,
962.209,2728.948,
959.299,2707.8778,
956.388,2719.5286,
953.477,2732.1397,
950.567,2730.9556,
947.656,2743.5815,
944.746,2738.4842,
941.835,2740.6794,
938.925,2745.8564,
936.014,2746.2267,
933.103,2746.3686,
930.193,2742.06,
927.282,2709.5708,
924.372,2715.49,
921.461,2705.9404,
918.551,2663.3275,
915.640,2619.1021,
912.729,2585.7107,
909.819,2553.5828,
906.908,2548.5282,
903.998,2575.2924,
901.087,2598.1627,
898.176,2613.9307,
895.266,2629.8198,
892.355,2660.0295,
889.445,2722.9745,
886.534,2691.5249,
883.624,2696.0153,
880.713,2745.651,
877.802,2777.1335,
874.892,2742.8292,
871.981,2683.3289,
869.071,2686.6706,
866.160,2701.0492,
863.250,2733.4601,
860.339,2758.3239,
857.428,2737.8669,
854.518,2644.2369,
851.607,2678.3518,
848.697,2645.0444,
845.786,2625.1741,
842.875,2649.8157,
839.965,2695.1188,
837.054,2676.464,
834.144,2695.5253,
831.233,2665.9191,
828.323,2635.402,
825.412,2622.8598,
822.501,2625.5053,
819.591,2621.3733,
816.680,2580.3845,
813.770,2545.1899,
810.859,2509.4929,
807.949,2491.1403,
805.038,2510.2456,
802.127,2518.4769,
799.217,2502.106,
796.306,2496.8176,
793.396,2483.2346,
790.485,2466.7251,
787.574,2487.3434,
784.664,2489.8037,
781.753,2510.3795,
778.843,2519.7599,
775.932,2521.1018,
773.022,2527.9127,
770.111,2545.0819,
767.200,2537.1143,
764.290,2515.18,
761.379,2487.8585,
758.469,2466.2037,
755.558,2462.4445,
752.648,2468.9613,
749.737,2460.4582,
746.826,2410.0266,
743.916,2327.256,
741.005,2229.6426,
738.095,2073.7623,
735.184,1868.6194,
732.274,1846.3138,
729.363,1978.6525,
726.452,2181.6017,
723.542,2371.8092,
720.631,2379.1918,
717.721,2412.0479,
714.810,2446.0056,
711.899,2456.4876,
708.989,2440.3491,
706.078,2430.6344,
703.168,2436.7511,
700.257,2429.8728,
697.347,2405.0768,
694.436,2379.3373,
691.525,2382.5525,
688.615,2388.2813,
685.704,2387.7965,
682.794,2372.2501,
679.883,2338.8451,
676.973,2396.5438,
674.062,2370.6032,
671.151,2383.8781,
668.241,2422.0555,
665.330,2401.418,
662.420,2383.8459,
659.509,2392.9486,
656.598,2395.9225,
653.688,2401.5221,
650.777,2438.3319,
647.867,2411.2568,
644.956,2431.8735,
642.046,2449.4938,
639.135,2448.5251,
636.224,2438.2182,
633.314,2431.8667,
630.403,2437.3445,
627.493,2456.8448,
624.582,2489.6083,
621.672,2531.584,
618.761,2513.4916,
615.850,2494.0263,
612.940,2500.6683,
610.029,2533.5924,
607.119,2529.6442,
604.208,2464.6388,
601.297,2477.1344,
598.387,2521.696,
595.476,2530.199,
592.566,2476.6784,
589.655,2508.715,
586.745,2508.6836,
583.834,2465.1966,
580.923,2415.0889,
578.013,2388.4079,
575.102,2391.001,
572.192,2413.2559,
569.281,2450.2326,
566.371,2505.7989,
563.460,2503.4898,
560.549,2496.839,
557.639,2490.2958,
554.728,2485.7483,
551.818,2541.1507,
548.907,2559.9535,
545.996,2561.1397,
543.086,2563.1283,
540.175,2595.0527,
537.265,2590.0072,
534.354,2595.2771,
531.444,2615.7896,
528.533,2648.3052,
525.622,2649.0811,
522.712,2645.6095,
519.801,2666.9266,
516.891,2715.1098,
513.980,2763.8905,
511.070,2745.7109,
508.159,2764.4264,
505.248,2814.5279,
502.338,2872.5663,
499.427,2883.3719,
496.517,2912.8358,
493.606,2941.6623,
490.695,2958.8919,
487.785,2963.5107,
