,PL3CCC~1,
Wavenumbers [1/cm],Intensity,
1110.649,2670.1643,
1107.738,2676.0387,
1104.828,2680.7619,
1101.917,2659.9198,
1099.006,2638.9742,
1096.096,2636.8225,
1093.185,2642.0905,
1090.275,2649.7834,
1087.364,2689.9229,
1084.453,2730.561,
1081.543,2786.6252,
1078.632,2820.4571,
1075.722,2791.2612,
1072.811,2804.5835,
1069.901,2763.5403,
1066.990,2748.375,
1064.079,2718.2794,
1061.169,2706.0523,
1058.258,2709.0409,
1055.348,2717.7913,
1052.437,2743.4551,
1049.527,2809.0301,
1046.616,2796.8665,
1043.705,2794.7292,
1040.795,2791.3075,
1037.884,2822.3729,
1034.974,2841.4652,
1032.063,2825.9382,
1029.153,2851.797,
1026.242,2895.9098,
1023.331,2901.6664,
1020.421,2912.2594,
1017.510,2938.911,
1014.600,2971.3026,
1011.689,2997.7715,
1008.778,3024.056,
1005.868,3086.0406,
1002.957,3146.2654,
1000.047,3265.428,
997.136,3385.2016,
994.226,3430.2386,
991.315,3434.245,
988.404,3464.7177,
985.494,3424.3849,
982.583,3419.2456,
979.673,3439.7178,
976.762,3453.9581,
973.852,3458.942,
970.941,3469.2806,
968.030,3490.0953,
965.120,3476.6504,
962.209,3512.4571,
959.299,3514.9588,
956.388,3486.6217,
953.477,3472.8985,
950.567,3477.2258,
947.656,3470.1954,
944.746,3551.7528,
941.835,3517.4388,
938.925,3484.1521,
936.014,3468.9709,
933.103,3458.0257,
930.193,3450.0908,
927.282,3473.1216,
924.372,3336.9789,
921.461,3290.7804,
918.551,3230.5397,
915.640,3208.9481,
912.729,3193.077,
909.819,3101.393,
906.908,3138.4597,
903.998,3128.5695,
901.087,3115.3159,
898.176,3138.6089,
895.266,3180.6568,
892.355,3206.2694,
889.445,3226.4118,
886.534,3281.6015,
883.624,3324.7959,
880.713,3340.5,
877.802,3335.6365,
874.892,3295.0622,
871.981,3153.3891,
869.071,3063.9999,
866.160,3123.0156,
863.250,3197.3878,
860.339,3238.7957,
857.428,3241.526,
854.518,3217.804,
851.607,3124.6122,
848.697,3011.5178,
845.786,3011.6121,
842.875,3080.1143,
839.965,3143.8936,
837.054,3200.4721,
834.144,3197.9858,
831.233,3170.1686,
828.323,3136.7171,
825.412,3103.2995,
822.501,3068.6488,
819.591,3030.6344,
816.680,2980.6217,
813.770,2925.2713,
810.859,2885.9628,
807.949,2857.9243,
805.038,2827.8982,
802.127,2831.1907,
799.217,2815.1014,
796.306,2818.0136,
793.396,2821.7748,
790.485,2815.1836,
787.574,2808.8353,
784.664,2870.3437,
781.753,2884.1839,
778.843,2921.276,
775.932,2952.9445,
773.022,2939.9928,
770.111,2936.7225,
767.200,2903.7636,
764.290,2879.0531,
761.379,2867.7123,
758.469,2853.3162,
755.558,2802.8679,
752.648,2781.6882,
749.737,2783.3751,
746.826,2791.6284,
743.916,2767.9022,
741.005,2683.0631,
738.095,2608.3705,
735.184,2530.1392,
732.274,2510.9144,
729.363,2562.8824,
726.452,2658.8321,
723.542,2704.9675,
720.631,2774.7794,
717.721,2832.1621,
714.810,2852.2671,
711.899,2843.8861,
708.989,2858.4108,
706.078,2855.2948,
703.168,2873.3238,
700.257,2846.7182,
697.347,2782.5879,
694.436,2752.0494,
691.525,2809.1195,
688.615,2764.2691,
685.704,2746.041,
682.794,2774.2233,
679.883,2800.8696,
676.973,2831.3217,
674.062,2846.4331,
671.151,2834.8435,
668.241,2810.4028,
665.330,2799.9328,
662.420,2787.9518,
659.509,2783.5952,
656.598,2801.541,
653.688,2832.4811,
650.777,2852.419,
647.867,2850.03,
644.956,2824.1148,
642.046,2782.3803,
639.135,2746.9673,
636.224,2752.6034,
633.314,2773.2458,
630.403,2765.4934,
627.493,2771.4789,
624.582,2794.7937,
621.672,2791.6257,
618.761,2747.4235,
615.850,2757.1925,
612.940,2795.6259,
610.029,2831.4478,
607.119,2825.1308,
604.208,2779.7692,
601.297,2799.8859,
598.387,2821.5887,
595.476,2777.2716,
592.566,2753.6596,
589.655,2724.2323,
586.745,2729.5946,
583.834,2737.1529,
580.923,2675.7085,
578.013,2710.2368,
575.102,2743.5907,
572.192,2753.997,
569.281,2744.4368,
566.371,2766.3503,
563.460,2714.1789,
560.549,2719.7622,
557.639,2765.0767,
554.728,2806.6131,
551.818,2792.5674,
548.907,2820.5801,
545.996,2826.8924,
543.086,2811.875,
540.175,2841.4635,
537.265,2836.9815,
534.354,2846.0389,
531.444,2872.8262,
528.533,2912.2241,
525.622,2908.3444,
522.712,2926.9161,
519.801,2970.0504,
516.891,3016.2134,
513.980,2999.9532,
511.070,3045.6913,
508.159,3087.9456,
505.248,3144.296,
502.338,3241.2848,
499.427,3302.2595,
496.517,3349.6111,
493.606,3396.7179,
490.695,3445.7095,
487.785,3468.8033,
484.874,3470.5613,
481.964,3471.1611,
479.053,3467.9843,
476.143,3444.9454,
473.232,3380.9119,
470.321,3367.2047,
467.411,3379.0065,
464.500,3381.8769,
461.590,3436.2445,
458.679,3469.6597,
455.769,3519.7872,
452.858,3592.1256,
449.947,3550.1094,
447.037,3560.9163,
444.126,3609.7303,
441.216,3675.9978,
438.305,3701.9035,
435.395,3710.7451,
432.484,3713.9168,
429.573,3718.76,
426.663,3737.0034,
423.752,3610.8723,
420.842,3471.0131,
417.931,3374.5939,
415.020,3389.0027,
412.110,3662.3917,
409.199,3835.3606,
406.289,3914.2058,
403.378,3922.4308,
400.468,3902.019,
397.557,3912.4669,
394.646,3953.0105,
391.736,4016.7716,
388.825,3931.5435,
385.915,3945.3501,
383.004,3996.6326,
380.094,4041.4195,
377.183,4079.0433,
374.272,4106.869,
371.362,4132.0958,
368.451,4160.3267,
365.541,4206.8599,
362.630,4209.1214,
359.719,4204.3476,
356.809,4212.2313,
353.898,4191.265,
350.988,4198.5197,
348.077,4217.6314,
345.167,4236.554,
342.256,4217.8773,
339.345,4186.4598,
336.435,4179.878,
333.524,4222.453,
330.614,4220.9627,
327.703,4243.6032,
324.793,4276.3272,
321.882,4307.5415,
318.971,4324.6406,
316.061,4361.2638,
313.150,4397.4262,
310.240,4410.0422,
307.329,4466.9563,
304.418,4504.0905,
301.508,4496.8845,
298.597,4404.3324,
295.687,4419.5262,
292.776,4462.1668,
289.866,4521.7577,
286.955,4594.1528,
284.044,4671.5449,
281.134,4710.1297,
278.223,4712.1945,
275.313,4730.6159,
272.402,4806.532,
269.492,4820.7945,
266.581,4741.024,
263.670,4762.3442,
260.760,4816.0369,
257.849,4896.4543,
254.939,5002.1334,
252.028,5002.0523,
249.117,4956.2741,
246.207,4918.9787,
243.296,4982.6659,
240.386,4978.3991,
237.475,4974.8051,
234.565,4977.5797,
231.654,4971.7367,
228.743,4944.0331,
225.833,4927.8539,
222.922,4933.8353,
220.012,4898.1361,
217.101,4888.4629,
214.191,4884.3803,
211.280,4864.0114,
208.369,4831.5506,
205.459,4826.8805,
202.548,4834.8537,
199.638,4790.5891,
196.727,4801.0913,
193.816,4802.255,
190.906,4772.9983,
187.995,4815.7157,
185.085,4845.1585,
182.174,4877.7583,
179.264,4937.7479,
176.353,4934.8883,
173.442,4944.3649,
170.532,4959.8311,
167.621,4868.2672,
164.711,4797.7756,
161.800,4695.0589,
158.890,4515.127,
155.979,4284.6534,
153.068,3983.9255,
150.158,3613.3028,
147.247,3159.557,
144.337,2627.4448,
141.426,2082.6552,
138.516,1553.5895,
135.605,1128.3981,
132.694,766.90224,
129.784,482.34731,
126.873,337.89109,
123.963,228.83018,
121.052,148.66975,
118.141,98.696615,
115.231,85.709734,
112.320,68.638194,
109.410,50.863737,
106.499,42.317874,
103.589,47.223054,
100.678,47.882431,
97.767,35.796492,
94.857,32.728044,
91.946,32.709333,
89.036,32.806531,
86.125,22.168452,
83.215,20.03092,
80.304,18.345106,
77.393,11.971576,
74.483,17.396215,
71.572,21.949408,
68.662,24.084395,
65.751,19.845689,
62.840,16.573192,
59.930,15.249145,
57.019,18.069473,
54.109,12.528392,
51.198,9.7064371,
48.288,12.505662,
45.377,13.209041,
42.466,9.3778066,
39.556,3.9604743,
36.645,6.7692352,
33.735,8.0192485,
30.824,8.5,
27.914,8.5,
25.003,9.1226375,
22.092,11.114523,
19.182,14.431351,
16.271,12.332881,
13.361,27.936861,
10.450,53.865313,
7.539,73.418143,
4.629,17.057328,
1.718,-7.5721723,
-1.192,99.788086,
-4.103,35.718306,
-7.013,-11.459776,
-9.924,-4.5,
