,PL425B~1,
Wavenumbers [1/cm],Intensity,
1666.569,1088.0713,
1663.659,1133.0063,
1660.748,1164.387,
1657.837,1208.1222,
1654.927,1148.4915,
1652.016,1233.0308,
1649.106,1294.7203,
1646.195,1304.2193,
1643.285,1334.0697,
1640.374,1360.1725,
1637.463,1438.9684,
1634.553,1465.8743,
1631.642,1558.8355,
1628.732,1680.8615,
1625.821,1741.6053,
1622.911,1901.5927,
1620.000,2024.9378,
1617.089,2244.0821,
1614.179,2406.9032,
1611.268,2550.1464,
1608.358,2724.2123,
1605.447,2766.4431,
1602.536,2782.4783,
1599.626,2790.8595,
1596.715,2826.8964,
1593.805,2799.1984,
1590.894,2749.7052,
1587.984,2754.7592,
1585.073,2656.1036,
1582.162,2602.5999,
1579.252,2627.4137,
1576.341,2584.8341,
1573.431,2583.4644,
1570.520,2587.2644,
1567.610,2495.8515,
1564.699,2471.0253,
1561.788,2422.7963,
1558.878,2377.6033,
1555.967,2332.8061,
1553.057,2286.7934,
1550.146,2197.9838,
1547.235,2147.1871,
1544.325,2093.7332,
1541.414,2019.8562,
1538.504,1984.8758,
1535.593,1954.2066,
1532.683,1908.5836,
1529.772,1878.8751,
1526.861,1863.0744,
1523.951,1857.6182,
1521.040,1844.7695,
1518.130,1795.0005,
1515.219,1751.6997,
1512.309,1752.8378,
1509.398,1716.1959,
1506.487,1687.508,
1503.577,1676.8835,
1500.666,1665.9331,
1497.756,1652.0507,
1494.845,1631.7385,
1491.934,1565.5252,
1489.024,1573.2251,
1486.113,1511.3766,
1483.203,1486.0721,
1480.292,1430.8923,
1477.382,1447.3639,
1474.471,1355.2755,
1471.560,1358.155,
1468.650,1371.1833,
1465.739,1315.1369,
1462.829,1305.5822,
1459.918,1293.4279,
1457.008,1246.1151,
1454.097,1199.7786,
1451.186,1219.413,
1448.276,1301.3174,
1445.365,1320.3191,
1442.455,1279.1073,
1439.544,1242.1539,
1436.633,1236.2766,
1433.723,1230.6246,
1430.812,1229.4313,
1427.902,1202.8235,
1424.991,1174.3906,
1422.081,1209.2816,
1419.170,1272.1202,
1416.259,1246.6673,
1413.349,1190.1646,
1410.438,1179.3985,
