,PLEC39~1,
Wavenumbers [1/cm],Intensity,
2368.019,1110.7346,
2365.108,1110.0942,
2362.197,1106.3617,
2359.287,1116.79,
2356.376,1126.9842,
2353.466,1123.0309,
2350.555,1123.6903,
2347.645,1123.3828,
2344.734,1148.6729,
2341.823,1158,
2338.913,1146.1045,
2336.002,1175.6627,
2333.092,1154.2302,
2330.181,1169.9155,
2327.270,1199.7899,
2324.360,1180.7146,
2321.449,1175.3708,
2318.539,1187.8501,
2315.628,1176.1179,
2312.718,1186.3656,
2309.807,1197.5218,
2306.896,1196.0391,
2303.986,1207.0844,
2301.075,1211.8723,
2298.165,1214.8076,
2295.254,1200.3016,
2292.344,1227.4814,
2289.433,1205.39,
2286.522,1221.0268,
2283.612,1250.2921,
2280.701,1264.7309,
2277.791,1244.3206,
2274.880,1255.2099,
2271.969,1263.9053,
2269.059,1260.6758,
2266.148,1280.9683,
2263.238,1294.2973,
2260.327,1312.2407,
2257.417,1261.0472,
2254.506,1298.5498,
2251.595,1305.1308,
2248.685,1313.5269,
2245.774,1338.2303,
2242.864,1339.6384,
2239.953,1322.9586,
2237.043,1325.2072,
2234.132,1333.9246,
2231.221,1342.4728,
2228.311,1328.5619,
2225.400,1355.1689,
2222.490,1363.7851,
2219.579,1388.6504,
2216.669,1406.0334,
2213.758,1426.3961,
2210.847,1389.4132,
2207.937,1407.697,
2205.026,1435.6662,
2202.116,1446.6401,
2199.205,1455.2614,
2196.294,1467.446,
2193.384,1469.2365,
2190.473,1501.3134,
2187.563,1559,
2184.652,1560.8073,
2181.742,1596.1168,
2178.831,1663.9144,
2175.920,1700.2295,
2173.010,1787.1553,
2170.099,1877.9926,
2167.189,1979.4664,
2164.278,2062.195,
2161.368,2194.5682,
2158.457,2306.3281,
2155.546,2460.4954,
2152.636,2610.3455,
2149.725,2723.8926,
2146.815,2854.0625,
2143.904,2948.9182,
2140.993,2998.1216,
2138.083,3042.7202,
2135.172,3095.958,
2132.262,3092.8636,
2129.351,3088.7552,
2126.441,3007.7182,
2123.530,2923.9797,
2120.619,2730.4502,
2117.709,2607.1586,
2114.798,2461.5799,
2111.888,2269.1284,
2108.977,2152.1324,
2106.067,2034.4779,
2103.156,1948.6906,
2100.245,1809.9724,
2097.335,1758.6545,
2094.424,1696.8621,
2091.514,1650.6208,
2088.603,1600.7097,
2085.692,1599.5947,
2082.782,1595.5704,
2079.871,1574.3921,
2076.961,1521.4226,
2074.050,1533.5152,
2071.140,1525.2873,
2068.229,1533.0885,
2065.318,1524.1347,
2062.408,1506.4773,
2059.497,1486.9583,
2056.587,1493.5694,
2053.676,1486.4843,
2050.766,1520.8438,
2047.855,1491.8893,
2044.944,1455.1971,
2042.034,1472.7169,
2039.123,1497.8788,
2036.213,1485.1156,
2033.302,1503.0214,
2030.391,1473.2724,
2027.481,1438.3294,
2024.570,1479.6703,
2021.660,1501.1722,
2018.749,1487.2659,
2015.839,1494.6726,
2012.928,1498.0805,
2010.017,1493.7014,
2007.107,1491.4187,
2004.196,1498.6548,
2001.286,1497.1449,
1998.375,1478.0827,
1995.465,1463.3473,
1992.554,1468.8882,
1989.643,1479.6544,
1986.733,1437.2675,
1983.822,1437.627,
1980.912,1408.2671,
1978.001,1409.974,
1975.090,1413.6778,
1972.180,1410.5146,
1969.269,1427.5459,
1966.359,1418.6487,
