,PL0CF0~1,
Raman shift [1/cm],Intensity,
1343.495,3155.4304,
1340.584,3224.0708,
1337.674,3270.0393,
1334.763,3325.3821,
1331.853,3348.5629,
1328.942,3394.8627,
1326.032,3420.0749,
1323.121,3495.6326,
1320.210,3528.491,
1317.300,3547.2558,
1314.389,3603.237,
1311.479,3636.4515,
1308.568,3649.3618,
1305.657,3713.4813,
1302.747,3776.6862,
1299.836,3852.9767,
1296.926,3920.2512,
1294.015,4065.5043,
1291.105,4078.5443,
1288.194,4216.0851,
1285.283,4319.9523,
1282.373,4414.5779,
1279.462,4480.9505,
1276.552,4522.5473,
1273.641,4520.2052,
1270.731,4510.197,
1267.820,4571.944,
1264.909,4530.9061,
1261.999,4497.0007,
1259.088,4483.3189,
1256.178,4476.5048,
1253.267,4411.8228,
1250.356,4349.833,
1247.446,4250.8786,
1244.535,4168.7411,
1241.625,4079.3298,
1238.714,3954.4956,
1235.804,3865.1166,
1232.893,3809.8698,
1229.982,3830.5256,
1227.072,3742.7103,
1224.161,3700.3583,
1221.251,3653.2965,
1218.340,3583.1404,
1215.430,3521.67,
1212.519,3469.3344,
1209.608,3441.1069,
1206.698,3450.5213,
1203.787,3457.2387,
1200.877,3478.893,
1197.966,3501.372,
1195.055,3579.2924,
1192.145,3661.6236,
1189.234,3775.9797,
1186.324,3840.7742,
1183.413,3886.1802,
1180.503,3934.2451,
1177.592,3953.0759,
1174.681,3958.4487,
1171.771,3864.8734,
1168.860,3707.6897,
1165.950,3725.5579,
1163.039,3705.5639,
1160.129,3643.9522,
1157.218,3581.6173,
1154.307,3534.0618,
1151.397,3496.9403,
1148.486,3478.7968,
1145.576,3497.1531,
1142.665,3489.1619,
1139.754,3434.8005,
1136.844,3407.0933,
1133.933,3384.0778,
1131.023,3374.8605,
1128.112,3368.2156,
1125.202,3357.5386,
1122.291,3376.124,
1119.380,3373.6299,
1116.470,3386.8678,
1113.559,3427.1625,
1110.649,3418.8546,
1107.738,3397.2478,
1104.828,3394.5737,
1101.917,3410.4174,
1099.006,3425.0258,
1096.096,3429.2201,
1093.185,3457.3162,
1090.275,3493.4893,
1087.364,3465.8216,
1084.453,3427.5639,
1081.543,3445.9959,
1078.632,3473.3231,
1075.722,3432.7478,
1072.811,3433.037,
1069.901,3482.8128,
1066.990,3461.4417,
1064.079,3497.0113,
1061.169,3536.3828,
1058.258,3556.7349,
1055.348,3581.9013,
1052.437,3622.9244,
1049.527,3595.742,
1046.616,3627.8886,
1043.705,3648.4568,
1040.795,3677.7632,
1037.884,3672.282,
1034.974,3666.9072,
1032.063,3700.7073,
1029.153,3736.6039,
1026.242,3737.4688,
1023.331,3729.1672,
1020.421,3709.3754,
1017.510,3742.4001,
1014.600,3774.5,
1011.689,3801.5817,
1008.778,3878.4433,
1005.868,3931.2413,
1002.957,4013.8353,
1000.047,4177.9241,
997.136,4314.9636,
994.226,4379.5306,
991.315,4367.2748,
988.404,4297.855,
985.494,4200.3108,
982.583,4147.2044,
979.673,4117.5506,
976.762,4092.474,
973.852,4088.8982,
970.941,4084.681,
968.030,4045.4421,
965.120,4022.6611,
962.209,4061.0255,
959.299,4096.5382,
956.388,4105.1402,
953.477,4116.886,
950.567,4138.5457,
947.656,4143.5054,
944.746,4158.7974,
941.835,4161.1196,
938.925,4181.2415,
936.014,4200.6049,
933.103,4195.0231,
930.193,4154.1175,
927.282,4096.5917,
924.372,4098.2829,
921.461,4071.2532,
918.551,3995.8545,
915.640,3929.8025,
912.729,3900.743,
909.819,3892.6129,
906.908,3908.619,
903.998,3880.0715,
901.087,3920.238,
898.176,3959.4299,
895.266,3968.6912,
892.355,3979.3472,
889.445,4080.0592,
886.534,4084.6744,
883.624,4119.1416,
880.713,4173.7767,
877.802,4187.2248,
874.892,4140.0069,
871.981,4124.934,
869.071,4143.3131,
866.160,4140.9803,
863.250,4114.3867,
860.339,4111.4726,
857.428,4137.465,
854.518,4102.8982,
851.607,4082.0965,
848.697,4056.4899,
845.786,4057.3983,
842.875,4065.4027,
839.965,4073.7139,
837.054,4129.072,
834.144,4090.9494,
831.233,4072.1675,
828.323,4057.5977,
825.412,4039.485,
822.501,4017.5212,
819.591,4000.9932,
816.680,3976.4615,
813.770,3926.6448,
810.859,3897.3413,
807.949,3888.8146,
805.038,3877.2965,
802.127,3883.8815,
799.217,3822.6325,
796.306,3827.0407,
793.396,3816.5226,
790.485,3783.1877,
787.574,3833.1922,
784.664,3798.7475,
781.753,3846.1787,
778.843,3866.619,
775.932,3877.1664,
773.022,3912.3444,
770.111,3898.4456,
767.200,3909.681,
764.290,3894.43,
761.379,3893.4976,
758.469,3892.1548,
755.558,3813.6882,
752.648,3887.0025,
749.737,3795.0954,
746.826,3738.9662,
