,PLC748~1,
Raman shift [1/cm],Intensity,
1192.145,1428.6814,
1189.234,1474.1598,
1186.324,1511.6722,
1183.413,1543.4651,
1180.503,1559.4034,
1177.592,1541.0642,
1174.681,1510.9983,
1171.771,1509.4862,
1168.860,1481.8005,
1165.950,1462.1929,
1163.039,1458.125,
1160.129,1430.4018,
1157.218,1400.5488,
1154.307,1385.0437,
1151.397,1368.2192,
1148.486,1342.0731,
1145.576,1353.125,
1142.665,1353.125,
1139.754,1361.2613,
1136.844,1333.012,
1133.933,1340.0662,
1131.023,1347.0436,
1128.112,1354.4799,
1125.202,1361.5937,
1122.291,1301.3865,
1119.380,1330.8478,
1116.470,1302.6069,
1113.559,1343.2002,
1110.649,1354.1605,
1107.738,1331.6923,
1104.828,1321.0309,
1101.917,1345.1433,
1099.006,1379.4548,
1096.096,1393.5662,
1093.185,1368.1041,
1090.275,1379.0733,
1087.364,1358.7968,
1084.453,1364.4365,
1081.543,1385.013,
1078.632,1386.9767,
1075.722,1382.4773,
1072.811,1435.9675,
1069.901,1377.459,
1066.990,1387.675,
1064.079,1404.7353,
1061.169,1440.9493,
1058.258,1465.5485,
1055.348,1472.886,
1052.437,1481.2536,
1049.527,1442.367,
1046.616,1474.5136,
1043.705,1457.3143,
1040.795,1469.6416,
1037.884,1486.1939,
1034.974,1509.6289,
1032.063,1521.9564,
1029.153,1469.5138,
1026.242,1489.4078,
1023.331,1525.956,
1020.421,1484.3279,
1017.510,1504.0251,
1014.600,1542.469,
1011.689,1557.9667,
1008.778,1582.3089,
1005.868,1624.1636,
1002.957,1628.4654,
1000.047,1714.301,
997.136,1743.7757,
994.226,1763.9862,
991.315,1787.4715,
988.404,1766.1546,
985.494,1698.6455,
982.583,1677.2316,
979.673,1670.4668,
976.762,1646.8151,
973.852,1652.3415,
970.941,1671.1227,
968.030,1651.5238,
965.120,1648.2252,
962.209,1672.0964,
959.299,1677.5415,
956.388,1685.9645,
953.477,1673.6288,
950.567,1656.5363,
947.656,1686.6901,
944.746,1713.8759,
941.835,1690.8306,
938.925,1690.3894,
936.014,1697.1716,
933.103,1694.7693,
930.193,1674.3357,
927.282,1639.4916,
924.372,1646.2565,
921.461,1651.5434,
918.551,1613.6215,
915.640,1583.4252,
912.729,1588.639,
909.819,1607.3457,
906.908,1593.8669,
903.998,1589.9435,
901.087,1592.944,
898.176,1609.918,
895.266,1628.0294,
892.355,1641.3915,
889.445,1690.9083,
886.534,1658.565,
883.624,1686.4394,
880.713,1694.4489,
877.802,1694.115,
874.892,1691.108,
871.981,1612.0719,
869.071,1652.1718,
866.160,1669.4744,
863.250,1664.6893,
860.339,1660.7787,
857.428,1665.6814,
854.518,1651.1009,
851.607,1650.2689,
848.697,1630.1783,
845.786,1623.7198,
842.875,1646.3988,
839.965,1678.7365,
837.054,1654.0785,
834.144,1649.9347,
831.233,1670.4568,
828.323,1673.2119,
825.412,1660.2956,
822.501,1652.657,
819.591,1666.7058,
