,PL56DB~1,
Raman shift [1/cm],Intensity,
1777.171,1267.0894,
1774.261,1299.9702,
1771.350,1316.9585,
1768.439,1317.0268,
1765.529,1327.388,
1762.618,1342.5813,
1759.708,1326.8041,
1756.797,1324.5,
1753.887,1353.2894,
1750.976,1346.0602,
1748.065,1350.3399,
1745.155,1346.6985,
1742.244,1345.3714,
1739.334,1343.9571,
1736.423,1362.2397,
1733.512,1360.563,
1730.602,1382.1826,
1727.691,1376.9321,
1724.781,1408.9325,
1721.870,1437.2596,
1718.960,1449.1501,
1716.049,1428.0977,
1713.138,1446.8349,
1710.228,1494.2648,
1707.317,1472.4437,
1704.407,1472.3436,
1701.496,1534.7352,
1698.586,1556.4577,
1695.675,1567.1071,
1692.764,1523.2541,
1689.854,1532.2303,
1686.943,1587.8276,
1684.033,1584.8742,
1681.122,1592.6141,
1678.211,1614.5406,
1675.301,1715.4386,
1672.390,1729.8038,
1669.480,1747.8543,
1666.569,1761.6514,
1663.659,1832.5176,
1660.748,1879.7719,
1657.837,1933.4121,
1654.927,2006.5317,
1652.016,1957.9612,
1649.106,2046.8969,
1646.195,2054.788,
1643.285,2137.8411,
1640.374,2142.9416,
1637.463,2200.7496,
1634.553,2310.5332,
1631.642,2364.1615,
1628.732,2493.3366,
1625.821,2591.8292,
1622.911,2712.0681,
1620.000,2804.5783,
1617.089,2992.949,
1614.179,3188.1944,
1611.268,3305.4374,
1608.358,3505.1513,
1605.447,3617.5223,
1602.536,3658.2298,
1599.626,3669.0294,
1596.715,3667.0272,
1593.805,3654.2294,
1590.894,3630.7332,
1587.984,3576.6506,
1585.073,3567.0484,
1582.162,3585.9524,
1579.252,3548.0166,
1576.341,3473.0628,
1573.431,3510.0058,
1570.520,3464.3642,
1567.610,3436.0636,
1564.699,3396.4985,
1561.788,3362.3277,
1558.878,3289.5703,
1555.967,3216.8068,
1553.057,3214.5257,
1550.146,3164.9101,
1547.235,3083.6562,
1544.325,3021.5147,
1541.414,2979.4682,
1538.504,2951.9049,
1535.593,2891.0586,
1532.683,2822.7524,
1529.772,2771.2692,
1526.861,2732.5663,
1523.951,2721.8412,
1521.040,2676.5383,
1518.130,2621.5475,
1515.219,2581.2703,
1512.309,2566.777,
1509.398,2562.9058,
1506.487,2567.8059,
1503.577,2509.1586,
1500.666,2530.3849,
1497.756,2495.5212,
1494.845,2489.068,
1491.934,2400.5862,
1489.024,2350.5366,
1486.113,2341.3323,
1483.203,2345.1908,
1480.292,2317.7491,
1477.382,2310.3253,
1474.471,2279.0548,
1471.560,2271.927,
1468.650,2244.0525,
1465.739,2220.5022,
1462.829,2176.5537,
1459.918,2187.2144,
1457.008,2243.1503,
1454.097,2201.2749,
1451.186,2145.6223,
1448.276,2185.1294,
1445.365,2205.7871,
1442.455,2209.6307,
1439.544,2166.898,
1436.633,2150.0618,
1433.723,2192.0204,
1430.812,2143.5679,
1427.902,2127.4196,
1424.991,2071.5016,
1422.081,2023.8761,
1419.170,2003.3329,
1416.259,2024.2418,
1413.349,1995.7642,
1410.438,1981.9509,
1407.528,2000.0623,
1404.617,2004.2916,
1401.707,2036.8458,
1398.796,2048.0368,
1395.885,2076.6638,
1392.975,2130.8533,
1390.064,2086.5695,
1387.154,2066.8431,
1384.243,2042.4726,
1381.332,2018.3538,
1378.422,2146.4551,
1375.511,2198.9148,
1372.601,2302.9659,
1369.690,2339.1811,
1366.780,2398.4004,
1363.869,2425.1001,
1360.958,2437.0124,
1358.048,2486.435,
1355.137,2516.1729,
1352.227,2568.7373,
1349.316,2654.1356,
1346.406,2715.8495,
1343.495,2774.7535,
1340.584,2788.5345,
1337.674,2874.4333,
1334.763,2948.6554,
1331.853,2998.7259,
1328.942,3052.3389,
1326.032,3085.6655,
1323.121,3165.1055,
1320.210,3190.75,
1317.300,3262.7583,
1314.389,3359.0009,
1311.479,3407.9927,
1308.568,3418.3419,
1305.657,3459.3078,
1302.747,3548.3566,
1299.836,3571.8804,
1296.926,3729.2875,
1294.015,3869.944,
1291.105,3903.0468,
1288.194,4014.5803,
1285.283,4057.5021,
1282.373,4172.5933,
1279.462,4252.2203,
1276.552,4303.8447,
1273.641,4359.8974,
1270.731,4377.9858,
1267.820,4373.75,
1264.909,4370.1233,
1261.999,4343.3838,
1259.088,4333.3505,
1256.178,4278.7932,
1253.267,4169.2474,
1250.356,4052.0615,
1247.446,3910.4197,
1244.535,3765.9154,
1241.625,3653.6094,
1238.714,3573.8411,
1235.804,3492.755,
1232.893,3396.1306,
1229.982,3369.8914,
1227.072,3344.5427,
1224.161,3240.2085,
1221.251,3176.0794,
1218.340,3112.8119,
1215.430,3070.2339,
1212.519,3050.4114,
1209.608,3045.585,
1206.698,3047.9414,
1203.787,3051.745,
1200.877,3117.0843,
1197.966,3122.4793,
1195.055,3175.6514,
1192.145,3265.1437,
1189.234,3346.8973,
1186.324,3381.1141,
1183.413,3431.1206,
1180.503,3471.2009,
1177.592,3421.9719,
1174.681,3373.0343,
1171.771,3326.8324,
1168.860,3330.4048,
1165.950,3242.0582,
1163.039,3187.2267,
1160.129,3152.6949,
1157.218,3116.1554,
1154.307,3100.2836,
1151.397,3081.9045,
1148.486,2994.7443,
1145.576,3025.5891,
1142.665,2952.7802,
1139.754,2988.2451,
1136.844,2936.8237,
1133.933,2887.2898,
1131.023,2880.664,
1128.112,2887.1078,
1125.202,2884.5471,
1122.291,2900.8699,
1119.380,2887.2303,
1116.470,2834.2786,
1113.559,2882.6507,
1110.649,2895.4758,
1107.738,2878.2113,
1104.828,2882.2262,
1101.917,2888.406,
1099.006,2844.75,
1096.096,2848.029,
1093.185,2901.5871,
1090.275,2863.6679,
1087.364,2880.5088,
1084.453,2875.3136,
1081.543,2859.5589,
1078.632,2861.1375,
1075.722,2872.8187,
1072.811,2881.1915,
1069.901,2873.3322,
1066.990,2884.875,
1064.079,2900.6798,
1061.169,2922.7667,
1058.258,2957.3478,
1055.348,3012.9123,
1052.437,3076.242,
1049.527,3079.2871,
1046.616,3093.1883,
1043.705,3080.8762,
1040.795,3092.7126,
1037.884,3119.4508,
1034.974,3130.7912,
1032.063,3125.996,
1029.153,3146.9045,
1026.242,3181.5027,
1023.331,3176.917,
1020.421,3198.0572,
1017.510,3227.9199,
1014.600,3239.9436,
1011.689,3242.732,
1008.778,3279.0238,
1005.868,3375.4412,
1002.957,3563.8587,
1000.047,3691.03,
997.136,3780.022,
994.226,3813.1808,
991.315,3794.4406,
988.404,3756.8861,
985.494,3730.8677,
982.583,3691.4661,
979.673,3653.5575,
976.762,3635.879,
973.852,3638.8222,
970.941,3645.0826,
968.030,3637.5477,
965.120,3630.6247,
962.209,3600.7857,
959.299,3661.6172,
956.388,3646.7527,
953.477,3639.6447,
950.567,3669.6916,
947.656,3653.9836,
944.746,3686.2667,
941.835,3672.3635,
938.925,3654.2729,
936.014,3670.5238,
933.103,3687.3943,
930.193,3662.9656,
927.282,3610.6501,
924.372,3590.3556,
921.461,3517.0556,
918.551,3498.1403,
