,PL4BF0~1,
Raman shift [1/cm],Intensity,
1133.933,5386.6172,
1131.023,5353.961,
1128.112,5330.0197,
1125.202,5304.4595,
1122.291,5301.0111,
1119.380,5329.7451,
1116.470,5316.5072,
1113.559,5328.0202,
1110.649,5363.9624,
1107.738,5377.6601,
1104.828,5384.0292,
1101.917,5387.9989,
1099.006,5356.8856,
1096.096,5313.0465,
1093.185,5364.8486,
1090.275,5338.1227,
1087.364,5348.7142,
1084.453,5351.2504,
1081.543,5351.2572,
1078.632,5345.5928,
1075.722,5322.1914,
1072.811,5335.6315,
1069.901,5444.7891,
1066.990,5414.0751,
1064.079,5457.2746,
1061.169,5483.5319,
1058.258,5533.9993,
1055.348,5624.3917,
1052.437,5690.2223,
1049.527,5737.64,
1046.616,5731.5582,
1043.705,5774.8086,
1040.795,5815.3307,
1037.884,5874.8742,
1034.974,5865.7358,
1032.063,5796.7128,
1029.153,5863.4183,
1026.242,5917.9106,
1023.331,5909.8756,
1020.421,5916.2402,
1017.510,5931.0805,
1014.600,5975.4011,
1011.689,6045.2553,
1008.778,6121.893,
1005.868,6258.3152,
1002.957,6530.1872,
1000.047,6773.5311,
997.136,6961.0542,
994.226,7099.2125,
991.315,7124.1622,
988.404,6991.3117,
985.494,6878.2639,
982.583,6806.3132,
979.673,6764.4142,
976.762,6730.5651,
973.852,6694.1005,
970.941,6685.9542,
968.030,6726.6206,
965.120,6714.1113,
962.209,6770.3791,
959.299,6760.7523,
956.388,6791.5125,
953.477,6791.0479,
950.567,6753.1492,
947.656,6774.7744,
944.746,6804.5088,
941.835,6830.1694,
938.925,6842.4555,
936.014,6852.9566,
933.103,6859.875,
930.193,6835.7044,
927.282,6734.8421,
924.372,6660.4287,
921.461,6590.4902,
918.551,6488.7062,
915.640,6413.4523,
912.729,6375.1154,
909.819,6331.9837,
906.908,6310.0806,
903.998,6288.1955,
901.087,6359.2557,
898.176,6418.1452,
895.266,6457.4103,
892.355,6524.4081,
889.445,6623.4416,
886.534,6623.875,
883.624,6638.6773,
880.713,6721.918,
877.802,6808.4233,
874.892,6823.5796,
871.981,6777.5594,
869.071,6764.1927,
866.160,6769.4646,
863.250,6787.5527,
860.339,6797.2953,
857.428,6784.7531,
854.518,6756.2993,
851.607,6667.2679,
848.697,6652.5628,
845.786,6676.2285,
842.875,6687.3885,
839.965,6685.1182,
837.054,6763.4191,
834.144,6722.8103,
831.233,6693.5432,
828.323,6688.8099,
825.412,6684.5722,
822.501,6654.2365,
819.591,6606.3053,
816.680,6505.5159,
813.770,6431.3813,
810.859,6358.1047,
807.949,6311.7653,
805.038,6317.1316,
802.127,6211.7713,
799.217,6203.3658,
796.306,6187.983,
793.396,6173.9284,
790.485,6171.7173,
787.574,6175.1864,
784.664,6183.3875,
781.753,6154.0097,
778.843,6140.8353,
775.932,6159.2327,
773.022,6205.0044,
770.111,6263.8701,
767.200,6258.7393,
764.290,6212.5342,
761.379,6187.1769,
758.469,6192.6897,
755.558,6175.246,
752.648,6120.6676,
749.737,6115.7501,
746.826,6040.0836,
743.916,5966.6285,
741.005,5976.4027,
738.095,5680.0676,
735.184,5435.3625,
732.274,5389.7396,
729.363,5546.9353,
726.452,5820.5723,
723.542,5990.5449,
720.631,6049.57,
717.721,6101.5371,
714.810,6119.358,
711.899,6119.677,
708.989,6187.4587,
706.078,6110.1486,
703.168,6067.8006,
700.257,6030.5961,
697.347,6013.0039,
694.436,6062.3038,
691.525,6004.4298,
688.615,5957.9138,
685.704,5963.7766,
682.794,6003.0239,
679.883,6018.9739,
676.973,5998.9396,
674.062,5985.3038,
671.151,6026.7763,
668.241,6082.3483,
665.330,6069.3498,
662.420,6100.5004,
659.509,6053.5408,
656.598,6031.0972,
653.688,6046.4759,
650.777,6062.8471,
647.867,6091.5149,
644.956,6072.4898,
642.046,6017.9028,
639.135,5977.1284,
636.224,6031.0859,
633.314,6073.1646,
630.403,6114.0267,
627.493,6149.4698,
624.582,6169.3436,
621.672,6153.5037,
618.761,6205.3108,
615.850,6300.6663,
612.940,6350.5305,
610.029,6329.7142,
607.119,6370.775,
604.208,6360.6747,
601.297,6327.955,
598.387,6318.6462,
595.476,6361.1666,
592.566,6343.064,
589.655,6348.2976,
586.745,6320.7613,
583.834,6283.2667,
580.923,6299.1356,
578.013,6342.296,
575.102,6316.5918,
572.192,6298.1644,
569.281,6321.3426,
566.371,6357.3433,
563.460,6385.5664,
560.549,6411.4679,
557.639,6434.5891,
554.728,6454.0575,
551.818,6472.7851,
548.907,6507.9551,
545.996,6524.3759,
543.086,6518.3717,
540.175,6516.0358,
537.265,6583.9573,
534.354,6578.7702,
531.444,6563.2012,
