,PL856E~1,
Raman shift [1/cm],Intensity,
1395.885,1028.7725,
1392.975,967.31104,
1390.064,884.2449,
1387.154,811.73767,
1384.243,712.82113,
1381.332,660.91629,
1378.422,694.83347,
1375.511,800.68972,
1372.601,922.17914,
1369.690,988.95168,
1366.780,1019.7599,
1363.869,1061.6989,
1360.958,1101.1234,
1358.048,1089.4559,
1355.137,1130.2002,
1352.227,1216.2314,
1349.316,1243.9325,
1346.406,1212.5605,
1343.495,1210.0458,
1340.584,1279.982,
1337.674,1287.1606,
1334.763,1287.1745,
1331.853,1334.4633,
1328.942,1326.5909,
1326.032,1402.0433,
1323.121,1395.6641,
1320.210,1378.718,
1317.300,1403.8866,
1314.389,1452.6394,
1311.479,1464.0839,
1308.568,1437.5504,
1305.657,1414.4177,
1302.747,1396.4845,
1299.836,1439.2006,
1296.926,1460.9987,
1294.015,1495.933,
1291.105,1584.5486,
1288.194,1663.4694,
1285.283,1728.3472,
1282.373,1767.6249,
1279.462,1769.4928,
1276.552,1794.824,
1273.641,1810.219,
1270.731,1775.3153,
1267.820,1774.0654,
1264.909,1746.2435,
1261.999,1772.8438,
1259.088,1730.8862,
1256.178,1724.9492,
1253.267,1720.539,
1250.356,1699.0574,
1247.446,1677.6405,
1244.535,1660.4554,
1241.625,1631.1899,
1238.714,1596.7046,
1235.804,1583.7537,
1232.893,1573.6262,
1229.982,1567.8844,
1227.072,1553.3994,
1224.161,1523.7979,
1221.251,1450.6247,
1218.340,1381.3804,
1215.430,1372.3405,
1212.519,1391.2609,
1209.608,1390.5787,
1206.698,1382.5028,
1203.787,1398.8172,
1200.877,1392.6596,
1197.966,1429.5251,
1195.055,1489.3959,
1192.145,1505.3857,
1189.234,1564.4687,
1186.324,1608.4672,
1183.413,1648.9639,
1180.503,1688.3985,
1177.592,1675.415,
1174.681,1624.8236,
1171.771,1662.9726,
1168.860,1688.8722,
1165.950,1652.6731,
1163.039,1630.8037,
1160.129,1598.8315,
1157.218,1615.4687,
1154.307,1641.5022,
1151.397,1617.7255,
1148.486,1599.2827,
1145.576,1554.2616,
1142.665,1574.6836,
1139.754,1606.4793,
1136.844,1611.9744,
1133.933,1584.9822,
1131.023,1538.0492,
1128.112,1518.159,
1125.202,1537.6842,
1122.291,1529.3669,
1119.380,1508.5222,
1116.470,1523.5252,
1113.559,1493.6718,
1110.649,1480.4459,
1107.738,1460.1572,
1104.828,1453.9453,
1101.917,1472.9965,
1099.006,1479.7154,
1096.096,1451.654,
1093.185,1505.2121,
1090.275,1520.7048,
1087.364,1554.9367,
1084.453,1587.9363,
1081.543,1607.6337,
1078.632,1607.4803,
1075.722,1597.2646,
1072.811,1616.3893,
1069.901,1588.445,
1066.990,1570.2084,
1064.079,1556.8478,
