,PLIQUI~2,
Wavenumbers [1/cm],Intensity,
1366.780,4455.2964,
1363.869,4562.8654,
1360.958,4661.5023,
1358.048,4706.5863,
1355.137,4812.3286,
1352.227,4947.2519,
1349.316,5065.2679,
1346.406,5201.9016,
1343.495,5302.9182,
1340.584,5366.3576,
1337.674,5344.1129,
1334.763,5438.4632,
1331.853,5595.1653,
1328.942,5685.1096,
1326.032,5733.0185,
1323.121,5843.0121,
1320.210,5962.406,
1317.300,6088.9032,
1314.389,6254.391,
1311.479,6388.7036,
1308.568,6490.0481,
1305.657,6663.0536,
1302.747,6861.3475,
1299.836,6982.9499,
1296.926,7217.4131,
1294.015,7430.6962,
1291.105,7646.4273,
1288.194,7890.9594,
1285.283,8085.8366,
1282.373,8325.6478,
1279.462,8517.5964,
1276.552,8669.2641,
1273.641,8751.3526,
1270.731,8711.8,
1267.820,8645.5957,
1264.909,8594.8977,
1261.999,8749.3349,
1259.088,8717.4107,
1256.178,8628.9979,
1253.267,8460.2937,
1250.356,8260.4406,
1247.446,7930.5135,
1244.535,7611.2459,
1241.625,7336.4707,
1238.714,7052.8755,
1235.804,6811.7285,
1232.893,6608.6526,
1229.982,6478.5018,
1227.072,6330.9359,
1224.161,6279.3153,
1221.251,6186.626,
1218.340,6049.9632,
1215.430,5965.0743,
1212.519,5899.1296,
1209.608,5826.7181,
1206.698,5781.0104,
1203.787,5748.2789,
1200.877,5756.6233,
1197.966,5823.1611,
1195.055,5945.1016,
1192.145,6136.055,
1189.234,6313.1754,
1186.324,6387.2281,
1183.413,6481.9417,
1180.503,6563.8333,
1177.592,6507.2677,
1174.681,6496.1096,
1171.771,6423.4079,
1168.860,6376.0742,
1165.950,6369.8874,
1163.039,6322.707,
1160.129,6337.3015,
1157.218,6353.8082,
1154.307,6280.5706,
1151.397,6172.3248,
1148.486,6163.2636,
1145.576,6081.729,
1142.665,6063.9708,
1139.754,6068.1954,
1136.844,6001.5706,
1133.933,5960.7699,
1131.023,5938.3371,
1128.112,5915.3582,
1125.202,5895.7367,
1122.291,5865.9771,
1119.380,5806.9764,
1116.470,5855.5154,
1113.559,5861.5,
1110.649,5847.0934,
1107.738,5826.6404,
1104.828,5793.0306,
1101.917,5752.328,
1099.006,5730.6753,
1096.096,5732.8438,
1093.185,5754.7939,
1090.275,5777.541,
1087.364,5838.7621,
1084.453,5909.4971,
1081.543,5960.276,
1078.632,5999.3037,
1075.722,6042.5687,
1072.811,6053.4857,
1069.901,6081.43,
1066.990,6031.7668,
1064.079,5977.3081,
1061.169,5959.7092,
1058.258,5972.0871,
1055.348,5997.9644,
1052.437,6015.6607,
