,PLD7AB~1,
Raman shift [1/cm],Intensity,
1107.738,1391.7149,
1104.828,1394.9161,
1101.917,1400.2339,
1099.006,1405.8919,
1096.096,1379.5538,
1093.185,1380.4318,
1090.275,1425.0099,
1087.364,1432.0694,
1084.453,1476.6221,
1081.543,1516.8822,
1078.632,1517.1723,
1075.722,1505.3119,
1072.811,1504.8103,
1069.901,1509.1766,
1066.990,1494.1417,
1064.079,1502.0687,
1061.169,1479.3326,
1058.258,1459.0409,
1055.348,1466.0275,
1052.437,1472.0402,
1049.527,1460.0706,
1046.616,1474.8407,
1043.705,1469.5631,
1040.795,1468.1385,
1037.884,1483.6721,
1034.974,1480.2513,
1032.063,1454.0306,
1029.153,1467.3575,
1026.242,1457.843,
1023.331,1485.8315,
1020.421,1485.2261,
1017.510,1463.4506,
1014.600,1462.0338,
1011.689,1484.7761,
1008.778,1502.3907,
1005.868,1543.0714,
1002.957,1606.7377,
1000.047,1633.972,
997.136,1672.2156,
994.226,1696.2846,
991.315,1682.0594,
988.404,1641.5817,
985.494,1625.5026,
982.583,1580.9617,
979.673,1551.819,
976.762,1544.6742,
973.852,1546.384,
970.941,1546.9072,
968.030,1539.6386,
965.120,1506.5537,
962.209,1519.3418,
959.299,1543.4557,
956.388,1548.0203,
953.477,1548.1992,
950.567,1560.5584,
947.656,1585.4021,
944.746,1622.7825,
941.835,1599.3958,
938.925,1617.1898,
936.014,1643.6631,
933.103,1656.0876,
930.193,1647.7071,
927.282,1625.6915,
924.372,1647.6773,
921.461,1587.906,
918.551,1571.8903,
915.640,1568.851,
912.729,1543.472,
909.819,1510.1731,
906.908,1568.3005,
903.998,1534.1179,
901.087,1531.5016,
898.176,1543.1351,
895.266,1546.4216,
892.355,1540.5259,
889.445,1567.3825,
886.534,1578.3533,
883.624,1607.4133,
880.713,1606.7204,
877.802,1588.6365,
874.892,1571.2269,
871.981,1534.1646,
869.071,1519.9626,
866.160,1547.1683,
863.250,1552.1128,
860.339,1561.3248,
857.428,1586.7173,
854.518,1566.2111,
851.607,1556.2263,
848.697,1548.3096,
845.786,1543.4241,
842.875,1551.2874,
839.965,1575.0681,
837.054,1600.807,
834.144,1628.1558,
831.233,1634.1666,
828.323,1618.6737,
825.412,1598.3145,
822.501,1594.564,
819.591,1622.6615,
816.680,1611.4807,
813.770,1590.9579,
810.859,1573.2801,
807.949,1568.9098,
805.038,1576.0199,
802.127,1538.9792,
799.217,1534.7546,
796.306,1528.2567,
793.396,1520.7748,
790.485,1525.1338,
787.574,1557.9048,
784.664,1568.5662,
781.753,1606.7331,
778.843,1616.6587,
775.932,1602.9445,
773.022,1590.3732,
770.111,1589.5556,
767.200,1551.4344,
764.290,1562.0372,
761.379,1556.0496,
758.469,1518.361,
755.558,1505.6004,
752.648,1475.4601,
749.737,1455.7914,
746.826,1394.8846,
743.916,1282.1226,
741.005,1120.6129,
738.095,864.87174,
735.184,544.90082,
732.274,469.4682,
729.363,673.279,
726.452,1056.8316,
723.542,1346.5944,
720.631,1445.8348,
717.721,1493.841,
714.810,1525.3465,
711.899,1552.8861,
708.989,1567.4108,
706.078,1566.6987,
703.168,1568.3217,
700.257,1545.9834,
697.347,1513.8042,
694.436,1518.7182,
691.525,1526.7563,
688.615,1536.0469,
685.704,1540.5,
682.794,1549.6276,
679.883,1578.707,
676.973,1561.0769,
674.062,1570.8997,
671.151,1582.0066,
668.241,1570.5374,
665.330,1522.374,
662.420,1583.0776,
659.509,1584.0712,
656.598,1593.079,
653.688,1616.4906,
650.777,1626.959,
647.867,1640.4966,
644.956,1632.3553,
642.046,1616.7934,
639.135,1601.7751,
636.224,1591.4721,
633.314,1585.9146,
630.403,1601.0539,
627.493,1597.9052,
624.582,1564.0823,
621.672,1517.3546,
618.761,1524.6193,
615.850,1544.0296,
612.940,1568.7706,
610.029,1594.3142,
607.119,1617.2134,
604.208,1569.0891,
601.297,1551.9896,
598.387,1548.0476,
595.476,1526.6774,
592.566,1496.7688,
589.655,1529.7255,
586.745,1526.1978,
583.834,1484.6187,
580.923,1449.4289,
578.013,1437.6579,
575.102,1438.5151,
572.192,1475.7993,
569.281,1540.7338,
566.371,1558.7341,
563.460,1582.3695,
560.549,1605.6311,
557.639,1614.8602,
554.728,1602.949,
551.818,1657.5711,
548.907,1651.2176,
545.996,1634.0569,
543.086,1630.1974,
540.175,1651.9994,
537.265,1639.0144,
534.354,1637.5135,
531.444,1644.8439,
528.533,1653.6655,
525.622,1655.9934,
522.712,1619.488,
519.801,1608.8658,
516.891,1639.5773,
513.980,1684.4865,
511.070,1665.9609,
508.159,1684.6764,
505.248,1706.2366,
502.338,1680.0137,
499.427,1731.7264,
496.517,1725.702,
493.606,1714.2014,
490.695,1716.2578,
487.785,1678.538,
484.874,1685.4245,
481.964,1694.9917,
479.053,1698.8677,
476.143,1700.4036,
473.232,1701.2194,
470.321,1685.443,
467.411,1664.1946,
464.500,1651.6939,
461.590,1659.3513,
458.679,1676.358,
455.769,1681.8837,
452.858,1671.7153,
449.947,1712.2037,
447.037,1735.0623,
444.126,1733.7788,
441.216,1718.6749,
438.305,1736.9613,
435.395,1728.3542,
