,PLC6F4~1,
Raman shift [1/cm],Intensity,
965.120,2766.7709,
962.209,2712.2082,
959.299,2756.1187,
956.388,2748.3219,
953.477,2728.2882,
950.567,2737.1828,
947.656,2751.7853,
944.746,2773.0242,
941.835,2778.8589,
938.925,2781.3161,
936.014,2789.5874,
933.103,2783.2293,
930.193,2743.0182,
927.282,2682.1751,
924.372,2666.9542,
921.461,2619.3432,
918.551,2591.3813,
915.640,2566.8521,
912.729,2540.1696,
909.819,2522.4406,
906.908,2487.9012,
903.998,2511.4517,
901.087,2530.0936,
898.176,2557.5194,
895.266,2577.1434,
892.355,2584.9783,
889.445,2659.6731,
886.534,2685.0462,
883.624,2715.5676,
880.713,2728,
877.802,2731.1265,
874.892,2736.4485,
871.981,2734.3748,
869.071,2750.2477,
866.160,2734.3711,
863.250,2713.9433,
860.339,2690.1129,
857.428,2681.3482,
854.518,2740.9168,
851.607,2703.4737,
848.697,2640.599,
845.786,2627.9742,
842.875,2646.2919,
839.965,2653.8688,
837.054,2635.2047,
834.144,2653.4372,
831.233,2629.002,
828.323,2618.462,
825.412,2604.614,
822.501,2565.0212,
819.591,2548.4932,
816.680,2520.7564,
813.770,2508.988,
810.859,2489.3041,
807.949,2458.2512,
805.038,2426.2168,
802.127,2394.938,
799.217,2403.9263,
796.306,2433.5407,
793.396,2438.206,
790.485,2412.8942,
787.574,2404.5952,
784.664,2393.9338,
781.753,2391.329,
778.843,2407.1727,
775.932,2423.3827,
773.022,2422.3804,
770.111,2424.8331,
767.200,2478.2919,
764.290,2462.6388,
761.379,2426.0024,
758.469,2414.5799,
755.558,2446.4894,
752.648,2429.3828,
749.737,2413.597,
746.826,2375.297,
743.916,2346.8183,
741.005,2353.1526,
738.095,2230.5591,
735.184,2155.2199,
732.274,2103.6533,
729.363,2135.1505,
726.452,2260.6178,
723.542,2341.5571,
720.631,2383.4624,
717.721,2392.7086,
714.810,2391.3807,
711.899,2392.7525,
708.989,2395.9802,
706.078,2369.557,
703.168,2359.3567,
700.257,2339.2594,
697.347,2331.3895,
694.436,2392.778,
691.525,2347.7649,
688.615,2300.2653,
685.704,2295.2677,
682.794,2322.2127,
679.883,2335.3512,
