,PLAB12~1,
Wavenumbers [1/cm],Intensity,
1256.178,3351.2631,
1253.267,3255.4974,
1250.356,3175.5605,
1247.446,3046.9758,
1244.535,2919.9778,
1241.625,2822.4001,
1238.714,2732.157,
1235.804,2653.5924,
1232.893,2567.1402,
1229.982,2495.9149,
1227.072,2434.3536,
1224.161,2403.1039,
1221.251,2392.0439,
1218.340,2336.8794,
1215.430,2278.8216,
1212.519,2284.4294,
1209.608,2295.1937,
1206.698,2239.021,
1203.787,2208.2462,
1200.877,2218.1761,
1197.966,2269.4282,
1195.055,2334.2871,
1192.145,2435.9126,
1189.234,2490.0053,
1186.324,2530.8209,
1183.413,2586.2386,
1180.503,2617.2196,
1177.592,2590.1008,
1174.681,2561.2123,
1171.771,2541.9382,
1168.860,2539.2589,
1165.950,2511.5862,
1163.039,2538.5233,
1160.129,2521.7377,
1157.218,2489.9045,
1154.307,2491.2438,
1151.397,2490.6243,
1148.486,2435.3948,
1145.576,2464.4581,
1142.665,2428.9416,
1139.754,2434.1363,
1136.844,2419.1927,
1133.933,2400.8564,
1131.023,2377.4208,
1128.112,2365.7135,
1125.202,2383.2464,
1122.291,2408.3814,
1119.380,2424.8268,
1116.470,2407.1762,
1113.559,2422.7847,
1110.649,2435.8581,
1107.738,2429.2836,
1104.828,2410.4297,
1101.917,2398.4794,
1099.006,2394.2889,
1096.096,2362.3003,
1093.185,2432.5405,
1090.275,2443.6649,
1087.364,2438.1388,
1084.453,2452.4364,
1081.543,2477.3937,
1078.632,2507.9831,
1075.722,2543.9403,
1072.811,2549.4893,
1069.901,2570.4475,
1066.990,2536.4334,
1064.079,2509.6261,
1061.169,2512.046,
1058.258,2527.7758,
1055.348,2542.2913,
1052.437,2552.3762,
1049.527,2541.551,
1046.616,2607.5821,
1043.705,2592.6478,
1040.795,2605.1551,
1037.884,2640.2754,
1034.974,2650.9652,
1032.063,2627.5693,
1029.153,2626.4275,
1026.242,2654.971,
1023.331,2723.4957,
1020.421,2688.9,
1017.510,2697.6946,
1014.600,2736.2255,
1011.689,2737.6152,
1008.778,2673.3126,
1005.868,2582.0386,
1002.957,2586.3404,
1000.047,2728.9601,
997.136,2987.564,
994.226,3132.8923,
991.315,3129.7376,
988.404,3120.9728,
985.494,3124.7917,
982.583,3070.8286,
979.673,3110.557,
976.762,3120.3677,
973.852,3121.6302,
970.941,3143.3371,
968.030,3174.8497,
965.120,3174.0644,
962.209,3189.4102,
959.299,3198.3742,
956.388,3191.4806,
953.477,3189.7544,
950.567,3202.1828,
947.656,3216.0054,
944.746,3231.2974,
941.835,3230.3804,
938.925,3226.0517,
936.014,3242.2097,
933.103,3247.2886,
930.193,3208.8185,
927.282,3149.1457,
924.372,3170.2859,
921.461,3090.5232,
918.551,3044.1529,
915.640,3012.8775,
912.729,2980.5594,
909.819,2960.8871,
906.908,2944.881,
903.998,2944,
901.087,2956.0936,
898.176,2989.2457,
895.266,3006.2562,
892.355,2989.7953,
889.445,3036.7943,
886.534,3094.6062,
883.624,3143.0058,
880.713,3137.5236,
877.802,3023.2886,
874.892,2755.3997,
871.981,2323.602,
869.071,2010.3222,
866.160,2167.1277,
863.250,2579.6669,
860.339,2948.1862,
857.428,3077.8431,
854.518,3011.3321,
851.607,2780.8489,
848.697,2494.0736,
845.786,2351.9,
842.875,2476.4031,
839.965,2804.0061,
837.054,3005.1302,
834.144,3016.7328,
831.233,3043.6649,
828.323,3020.8854,
825.412,2993.371,
822.501,3007.7233,
819.591,2989.5425,
816.680,2950.5384,
813.770,2898.3978,
810.859,2852.6942,
807.949,2826.3463,
805.038,2826.281,
802.127,2861.6755,
799.217,2820.2765,
796.306,2815.2163,
793.396,2815.603,
790.485,2814.3184,
787.574,2854.6192,
784.664,2897.265,
781.753,2913.0518,
778.843,2936.6033,
