,PLDFFE~1,
Wavenumbers [1/cm],Intensity,
348.077,11024.566,
345.167,11032.759,
342.256,10998.394,
339.345,10999.129,
336.435,11010.443,
333.524,11017.262,
330.614,11073.148,
327.703,11136.706,
324.793,11202.67,
321.882,11266.693,
318.971,11346.241,
316.061,11466.28,
313.150,11605.995,
310.240,11742.544,
307.329,11773.942,
304.418,11871.131,
301.508,11992.617,
298.597,12060.735,
295.687,12039.41,
292.776,12070.667,
289.866,12174.692,
286.955,12374.887,
284.044,12486.99,
281.134,12647.697,
278.223,12856.715,
275.313,12981.244,
272.402,13002.272,
269.492,12950.022,
266.581,12838.406,
263.670,12739.156,
260.760,12933.558,
257.849,13273.769,
254.939,13663.461,
252.028,13743.056,
249.117,13855.099,
246.207,14020.604,
243.296,14276.085,
240.386,14366.187,
237.475,14426.009,
234.565,14488.286,
231.654,14613.912,
228.743,14727.956,
225.833,14840.064,
222.922,14954.989,
220.012,15094.143,
217.101,15253.837,
214.191,15403.754,
211.280,15507.781,
208.369,15632.569,
205.459,15746.593,
202.548,15853.559,
199.638,15975.468,
196.727,16012.601,
193.816,16066.051,
190.906,16173.309,
187.995,16281.913,
185.085,16311.461,
182.174,16331.295,
179.264,16437.541,
176.353,16502.685,
173.442,16537.576,
170.532,16533.647,
167.621,16423.338,
164.711,16073.429,
161.800,15505.803,
158.890,14689.632,
155.979,13723.4,
153.068,12656.38,
150.158,11454.113,
147.247,9947.1307,
144.337,8275.3962,
141.426,6572.0588,
138.516,4893.8164,
135.605,3518.0823,
132.694,2412.626,
129.784,1564.4396,
126.873,1020.2258,
123.963,690.408,
121.052,472.37478,
118.141,341.01682,
115.231,268.02182,
112.320,217.3182,
109.410,183.04579,
106.499,154.55958,
103.589,136.73466,
100.678,121.52432,
97.767,105.8837,
94.857,103.42103,
91.946,96.453337,
89.036,85.919429,
86.125,75.990555,
83.215,72.438159,
80.304,71.260567,
77.393,70.552397,
74.483,66.56919,
71.572,59.42707,
68.662,50.153663,
65.751,46.621407,
62.840,48.390212,
59.930,49.439852,
57.019,41.68395,
54.109,41.694322,
51.198,40.087126,
48.288,34.539637,
45.377,39.463284,
42.466,40.675561,
39.556,39.269763,
36.645,37.865382,
33.735,40.615491,
30.824,42.837339,
27.914,40.733813,
25.003,33.650988,
22.092,30.468714,
19.182,33.483963,
16.271,63.562039,
13.361,198.98719,
10.450,472.82471,
7.539,1078.9624,
4.629,1649.56,
1.718,2005.7103,
-1.192,1905.3215,
-4.103,1176.6653,
-7.013,497.124,
-9.924,-0.5,
