,PLE6E5~1,
Wavenumbers [1/cm],Intensity,
1815.009,785.24968,
1812.098,771.96753,
1809.188,768.24904,
1806.277,809.19546,
1803.366,767.29136,
1800.456,778.00431,
1797.545,792.75622,
1794.635,790.28602,
1791.724,790.53287,
1788.813,745.91703,
1785.903,701.42746,
1782.992,589.91174,
1780.082,345.13895,
1777.171,12.757721,
1774.261,-27.003248,
1771.350,332.28959,
1768.439,716.09168,
1765.529,823.76487,
1762.618,834.04685,
1759.708,849.73398,
1756.797,876.04924,
1753.887,873.43258,
1750.976,868.58704,
1748.065,891.31701,
1745.155,881.57679,
1742.244,894.93474,
1739.334,887.89912,
1736.423,892.96236,
1733.512,887.48269,
1730.602,924.26593,
1727.691,895.13601,
1724.781,906.50887,
1721.870,916.34407,
1718.960,945.90312,
1716.049,954.64192,
1713.138,953.41501,
1710.228,976.62302,
1707.317,978.35586,
1704.407,1015.8577,
1701.496,986.39773,
1698.586,1000.6807,
1695.675,1058.2675,
1692.764,1084.8463,
1689.854,1066.0344,
1686.943,1050.6309,
1684.033,1060.8518,
1681.122,1116.1734,
1678.211,1128.0203,
1675.301,1169.9955,
1672.390,1210.0652,
1669.480,1190.6464,
1666.569,1255.3535,
1663.659,1273.076,
1660.748,1272.0146,
1657.837,1368.0594,
1654.927,1366.5307,
1652.016,1424.7362,
1649.106,1411.3038,
1646.195,1497.2619,
1643.285,1463.8568,
1640.374,1538.8149,
1637.463,1572.7463,
1634.553,1661.657,
1631.642,1698.0914,
1628.732,1786.605,
1625.821,1867.2611,
1622.911,2073.9529,
1620.000,2106.7218,
1617.089,2312.9459,
1614.179,2458.0359,
1611.268,2597.8829,
1608.358,2772.7905,
1605.447,2770.7535,
1602.536,2840.0165,
1599.626,2881.9223,
1596.715,2835.2069,
1593.805,2738.9031,
1590.894,2733.409,
1587.984,2730.6606,
1585.073,2606.7566,
1582.162,2580.1157,
1579.252,2530.8452,
1576.341,2532.942,
1573.431,2489.1346,
1570.520,2473.0675,
1567.610,2481.0663,
1564.699,2450.0486,
1561.788,2389.9424,
1558.878,2317.5522,
1555.967,2270.6624,
1553.057,2204.2635,
1550.146,2150.3869,
1547.235,2097.7538,
1544.325,2047.3727,
1541.414,2003.2023,
1538.504,1990.3734,
1535.593,1955.3027,
1532.683,1870.9953,
1529.772,1820.0876,
1526.861,1798.0435,
1523.951,1790.9157,
1521.040,1805.5607,
1518.130,1790.6829,
1515.219,1783.7658,
1512.309,1725.1654,
1509.398,1644.0221,
1506.487,1682.567,
1503.577,1596.7702,
1500.666,1607.9838,
1497.756,1572.6077,
1494.845,1542.045,
1491.934,1539.9675,
1489.024,1491.8429,
1486.113,1463.2357,
1483.203,1469.1185,
1480.292,1389.5164,
1477.382,1414.7292,
1474.471,1361.9673,
1471.560,1330.063,
1468.650,1295.061,
1465.739,1265.7532,
1462.829,1223.7032,
1459.918,1186.2077,
1457.008,1180.2174,
1454.097,1184.7385,
1451.186,1190.6105,
1448.276,1222.8942,
1445.365,1254.3383,
1442.455,1232.0122,
1439.544,1214.0987,
1436.633,1230.9681,
1433.723,1164.0004,
1430.812,1163.2728,
1427.902,1165.8691,
1424.991,1197.1453,
1422.081,1144.9113,
1419.170,1137.5328,
1416.259,1150.086,
1413.349,1147.0831,
1410.438,1150.0235,
1407.528,1133.4565,
1404.617,1086.1359,
1401.707,1082.3825,
1398.796,1068.1391,
1395.885,1024.7509,
1392.975,1034.8341,
1390.064,1078.3088,
1387.154,1097.4142,
1384.243,1081.9544,
1381.332,1126.137,
1378.422,1104.8784,
1375.511,1158.2749,
1372.601,1211.6545,
1369.690,1279.5595,
1366.780,1318.6383,
1363.869,1358.8165,
1360.958,1408.0971,
1358.048,1457.9772,
1355.137,1502.7808,
1352.227,1530.9878,
1349.316,1583.4515,
1346.406,1676.7541,
1343.495,1728.8689,
1340.584,1750.3739,
1337.674,1820.6226,
1334.763,1786.3007,
1331.853,1869.7515,
1328.942,1944.2821,
1326.032,2011.8497,
1323.121,2054.0226,
1320.210,2092.0937,
1317.300,2156.885,
1314.389,2240.4315,
1311.479,2351.2216,
1308.568,2438.3577,
1305.657,2477.278,
1302.747,2573.852,
1299.836,2639.7812,
1296.926,2782.8597,
1294.015,2841.6964,
1291.105,2931.2986,
1288.194,3063.7352,
1285.283,3169.3053,
1282.373,3278.8591,
1279.462,3369.5947,
1276.552,3418.6684,
1273.641,3417.5611,
1270.731,3383.0101,
1267.820,3328.9254,
1264.909,3220.8737,
1261.999,3332.053,
1259.088,3439.6833,
1256.178,3404.1586,
1253.267,3308.1303,
1250.356,3256.7439,
1247.446,3161.223,
1244.535,3002.0271,
1241.625,2894.0695,
1238.714,2835.6185,
1235.804,2715.8581,
1232.893,2674.2575,
1229.982,2637.5799,
1227.072,2562.439,
1224.161,2535.2719,
1221.251,2499.1111,
1218.340,2466.0994,
1215.430,2435.9573,
1212.519,2420.6722,
1209.608,2392.4837,
1206.698,2338.8058,
1203.787,2330.8386,
1200.877,2339.0663,
1197.966,2321.9823,
1195.055,2466.1773,
1192.145,2553.4865,
1189.234,2598.7791,
1186.324,2641.5824,
1183.413,2691.2976,
1180.503,2725.823,
1177.592,2722.5289,
1174.681,2694.125,
1171.771,2692.7856,
1168.860,2634.7348,
1165.950,2687.9841,
1163.039,2672.0937,
1160.129,2653.8163,
1157.218,2624.1653,
1154.307,2610.966,
1151.397,2621.527,
1148.486,2579.076,
1145.576,2572.8552,
1142.665,2566.6398,
1139.754,2610.061,
1136.844,2590.012,
1133.933,2548.9727,
1131.023,2546.5925,
1128.112,2563.9825,
1125.202,2561.0912,
1122.291,2565.3784,
1119.380,2574.4455,
1116.470,2607.099,
1113.559,2558.5441,
1110.649,2577.177,
1107.738,2580.1221,
1104.828,2587.5139,
1101.917,2591.5677,
1099.006,2541.0114,
1096.096,2576.5124,
1093.185,2550.1723,
1090.275,2573.2124,
1087.364,2604.5115,
1084.453,2632.4365,
1081.543,2658.7098,
1078.632,2678.9455,
1075.722,2687.7578,
1072.811,2701.6691,
1069.901,2737.4728,
1066.990,2708.6001,
1064.079,2681.3901,
1061.169,2668.8112,
1058.258,2659.7727,
1055.348,2671.4081,
1052.437,2720.289,
1049.527,2722.0313,
1046.616,2745.4897,
1043.705,2758.1449,
1040.795,2773.8951,
1037.884,2784.6652,
1034.974,2790.732,
1032.063,2790.3559,
1029.153,2779.7988,
1026.242,2818.7218,
1023.331,2828.4578,
1020.421,2840.5815,
1017.510,2872.0182,
1014.600,2885.9352,
1011.689,2856.7402,
1008.778,2790.6783,
1005.868,2689.1327,
1002.957,2689.9931,
1000.047,2925.2691,
997.136,3156.4325,
994.226,3274.5247,
991.315,3301.6052,
988.404,3309.2611,
985.494,3284.3552,
982.583,3294.6338,
979.673,3307.0997,
976.762,3330.4994,
973.852,3299.924,
970.941,3277.9124,
968.030,3354.9689,
965.120,3337.1393,
962.209,3340.5495,
959.299,3343.958,
956.388,3369.2035,
953.477,3387.3029,
950.567,3385.6022,
947.656,3382.4538,
944.746,3369.7105,
941.835,3395.8488,
