,PLC19D~1,
Wavenumbers [1/cm],Intensity,
1989.643,2731.1809,
1986.733,2757.5009,
1983.822,2739.736,
1980.912,2709.0616,
1978.001,2687.276,
1975.090,2676.7981,
1972.180,2725.73,
1969.269,2724.5487,
1966.359,2719.7097,
1963.448,2692.2632,
1960.538,2670.9464,
1957.627,2731.6649,
1954.716,2716.9107,
1951.806,2708.1074,
1948.895,2689.5657,
1945.985,2703.8758,
1943.074,2669.8478,
1940.164,2670.8751,
1937.253,2665.046,
1934.342,2658.3527,
1931.432,2656.9724,
1928.521,2681.0186,
1925.611,2671.8607,
1922.700,2626.4268,
1919.790,2631.8915,
1916.879,2631.4592,
1913.968,2674.1971,
1911.058,2682.8986,
1908.147,2618.9406,
1905.237,2676.3896,
1902.326,2611.8529,
1899.415,2632.7683,
1896.505,2586.1473,
1893.594,2556.1555,
1890.684,2597.8445,
1887.773,2631.4051,
1884.863,2649.471,
1881.952,2707.377,
1879.041,2678.3216,
1876.131,2667.9507,
1873.220,2646.5862,
1870.310,2645.1065,
1867.399,2679.6902,
1864.489,2638.4698,
1861.578,2691.5688,
1858.667,2678.4775,
1855.757,2697.6486,
1852.846,2710.8089,
1849.936,2737.3902,
1847.025,2711.8413,
1844.114,2718.7701,
1841.204,2745.6416,
1838.293,2762.7142,
1835.383,2790.808,
1832.472,2754.1439,
1829.562,2771.8826,
1826.651,2803.0364,
1823.740,2812.5297,
1820.830,2848.4314,
1817.919,2797.1718,
1815.009,2783.25,
1812.098,2806.5886,
1809.188,2831.7616,
1806.277,2840.0951,
1803.366,2829.25,
1800.456,2830.8438,
1797.545,2864.7958,
1794.635,2925.5089,
1791.724,2900.9102,
1788.813,2905.4515,
1785.903,2885.3936,
1782.992,2812.8342,
1780.082,2809.4376,
1777.171,2711.8977,
1774.261,2682.1308,
1771.350,2809.0508,
1768.439,2927.8717,
1765.529,2966.4305,
1762.618,2986.7544,
1759.708,3004.4781,
1756.797,2987.4091,
1753.887,3004.6873,
1750.976,3038.3501,
1748.065,3044.1056,
1745.155,3024.2824,
1742.244,3029.817,
1739.334,3085.1794,
1736.423,3101.5977,
1733.512,3123.2623,
1730.602,3133.746,
1727.691,3164.1888,
1724.781,3185.8352,
1721.870,3203.7358,
1718.960,3222.8724,
1716.049,3251.4192,
1713.138,3281.8999,
1710.228,3278.4173,
1707.317,3297.5951,
1704.407,3323.6083,
1701.496,3328.0731,
1698.586,3297.7585,
1695.675,3392.5637,
1692.764,3450.373,
1689.854,3436.9862,
1686.943,3469.1033,
1684.033,3549.2383,
1681.122,3591.5533,
1678.211,3564.5165,
1675.301,3716.7782,
1672.390,3690.6657,
1669.480,3829.3703,
1666.569,3845.1895,
1663.659,3919.5076,
1660.748,3997.3131,
1657.837,4104.3058,
1654.927,4196.414,
1652.016,4204.1491,
1649.106,4243.2122,
1646.195,4365.4459,
1643.285,4537.8223,
1640.374,4607.9887,
1637.463,4739.8349,
1634.553,4938.3681,
1631.642,5148.8668,
1628.732,5388.5654,
1625.821,5609.4934,
1622.911,5979.1537,
1620.000,6335.7271,
1617.089,6820.4987,
1614.179,7222.8568,
1611.268,7668.4828,
1608.358,8052.2231,
1605.447,8353.1094,
1602.536,8436.414,
1599.626,8514.8446,
1596.715,8600.2113,
1593.805,8523.2885,
1590.894,8470.0972,
1587.984,8407.0879,
1585.073,8288.4946,
1582.162,8173.2381,
1579.252,8072.4199,
1576.341,7998.9766,
1573.431,7997.7808,
1570.520,7987.4912,
1567.610,7875.2091,
1564.699,7839.7001,
1561.788,7721.2371,
1558.878,7627.5532,
1555.967,7552.4148,
1553.057,7397.303,
1550.146,7205.4139,
1547.235,7072.398,
1544.325,6960.993,
1541.414,6824.1613,
1538.504,6712.632,
1535.593,6609.4642,
1532.683,6486.6633,
