,PLD84B~1,
Raman shift [1/cm],Intensity,
1084.453,3348.123,
1081.543,3375.2543,
1078.632,3387.0866,
1075.722,3406.7534,
1072.811,3409.0809,
1069.901,3373.2772,
1066.990,3361.7334,
1064.079,3384.804,
1061.169,3438.5999,
1058.258,3475.1659,
1055.348,3505.6692,
1052.437,3567.5092,
1049.527,3551.9607,
1046.616,3560.649,
1043.705,3614.037,
1040.795,3602.8078,
1037.884,3589.1422,
1034.974,3605.8943,
1032.063,3622.3253,
1029.153,3596.5718,
1026.242,3629.4401,
1023.331,3632.2916,
1020.421,3661.9033,
1017.510,3663.9798,
1014.600,3678.8862,
1011.689,3719.1771,
1008.778,3753.2336,
1005.868,3827.4899,
1002.957,3923.8496,
1000.047,4119.1691,
997.136,4207.1814,
994.226,4248.84,
991.315,4256.4419,
988.404,4185.9244,
985.494,4128.1316,
982.583,4016.7793,
979.673,4002.0883,
976.762,3952.7213,
973.852,3939.7255,
970.941,3970.5888,
968.030,3977.4747,
965.120,3976.5641,
962.209,3962.0709,
959.299,3935.5445,
956.388,3937.3842,
953.477,3950.3242,
950.567,3971.5718,
947.656,4018.2962,
944.746,4031.0395,
941.835,4030.0054,
938.925,4031.5992,
936.014,4063.4804,
933.103,4068.2022,
930.193,4024.6214,
927.282,4033.9669,
924.372,3984.9217,
921.461,3910.8762,
918.551,3872.1017,
915.640,3833.1538,
912.729,3801.8706,
909.819,3821.8474,
906.908,3823.5323,
903.998,3781.4707,
901.087,3813.9074,
898.176,3853.418,
895.266,3878.1948,
892.355,3906.5198,
889.445,3959.3936,
886.534,4004.7081,
883.624,4047.2666,
880.713,4093.736,
877.802,4101.0867,
874.892,4061.9119,
871.981,4067.4474,
869.071,4059.9287,
866.160,4041.376,
863.250,4037.2944,
860.339,4023.8002,
857.428,3993.625,
854.518,3993.3602,
851.607,3984.2074,
848.697,3969.5565,
845.786,3969.3336,
842.875,3979.8682,
839.965,4001.8389,
837.054,4057.4854,
834.144,4045.0542,
831.233,4045.2915,
828.323,4037.7227,
825.412,4011.561,
822.501,3972.3483,
819.591,3954.1675,
816.680,3911.9583,
813.770,3875.3119,
810.859,3848.344,
807.949,3826.0811,
805.038,3803.5254,
802.127,3802.7023,
799.217,3792.1895,
796.306,3755.7058,
793.396,3752.4268,
790.485,3786.2038,
787.574,3783.8154,
784.664,3762.4925,
781.753,3773.3866,
778.843,3787.4862,
775.932,3801.1064,
773.022,3817.7806,
770.111,3831.6794,
767.200,3834.9089,
764.290,3796.9072,
761.379,3776.8962,
758.469,3782.9285,
755.558,3756.8956,
752.648,3732.4575,
749.737,3720.4443,
746.826,3682.1246,
743.916,3614.1441,
741.005,3517.9739,
738.095,3317.4403,
735.184,3094.8384,
732.274,3068.7406,
729.363,3233.297,
726.452,3495.1994,
723.542,3670.0283,
