,PLDE21~1,
Raman shift [1/cm],Intensity,
708.989,1541.1487,
706.078,1557.8274,
703.168,1560.7856,
700.257,1534.008,
697.347,1504.1732,
694.436,1528.7998,
691.525,1484.5905,
688.615,1528.4575,
685.704,1554.388,
682.794,1547.9362,
679.883,1551.6848,
676.973,1566.9109,
674.062,1582.7616,
671.151,1576.4118,
668.241,1553.5203,
665.330,1538.6849,
662.420,1595.3949,
659.509,1607.6349,
656.598,1615.7895,
653.688,1625.77,
650.777,1626.5121,
647.867,1671.1065,
644.956,1664.9021,
642.046,1639.6599,
639.135,1618.2096,
636.224,1618.8886,
633.314,1596.6583,
630.403,1605.1891,
627.493,1599.2529,
624.582,1570.6451,
621.672,1555.5973,
618.761,1543.6009,
615.850,1564.2435,
612.940,1590.8307,
610.029,1599.7913,
607.119,1574.5231,
604.208,1574.13,
601.297,1571.5104,
598.387,1561.4075,
595.476,1540.469,
592.566,1492.4578,
589.655,1495.0141,
586.745,1512.7172,
583.834,1510.2137,
580.923,1446.7394,
578.013,1403.579,
575.102,1428.7097,
572.192,1473.8642,
569.281,1519.357,
566.371,1593.7062,
563.460,1594.6508,
560.549,1608.5675,
557.639,1623.0458,
554.728,1614.5566,
551.818,1607.5337,
548.907,1640.1271,
545.996,1663.1664,
543.086,1662.148,
540.175,1648.9111,
537.265,1651.6214,
534.354,1651.9966,
531.444,1647.3774,
528.533,1637.1171,
525.622,1624.7019,
522.712,1631.1013,
519.801,1639.6732,
516.891,1652.4513,
513.980,1694.2632,
511.070,1664.8957,
508.159,1664.8494,
505.248,1690.2649,
502.338,1720.5708,
499.427,1705.9059,
496.517,1695.7778,
493.606,1703.7867,
490.695,1724.9346,
487.785,1695.6825,
484.874,1706.5094,
481.964,1729.95,
479.053,1736.6591,
476.143,1676.758,
473.232,1722.6389,
470.321,1710.3725,
467.411,1682.5717,
464.500,1698.7091,
461.590,1687.223,
458.679,1698.3077,
455.769,1712.2054,
452.858,1717.4772,
449.947,1722.0608,
447.037,1721.7865,
444.126,1727.2848,
441.216,1733.8991,
438.305,1710.2792,
435.395,1725.3578,
432.484,1729.999,
429.573,1724.9525,
426.663,1733.3141,
423.752,1664.9555,
420.842,1627.693,
417.931,1631.7127,
415.020,1676.4558,
412.110,1778.231,
409.199,1798.8631,
406.289,1768.4711,
403.378,1727.041,
400.468,1739.1369,
397.557,1729.118,
394.646,1704.4181,
391.736,1669.6197,
388.825,1564.0273,
385.915,1499.4718,
383.004,1485.1338,
380.094,1525.8024,
377.183,1580.7332,
374.272,1689.901,
371.362,1791.3689,
368.451,1842.766,
365.541,1805.9898,
362.630,1820.5808,
359.719,1839.5202,
356.809,1836.9968,
353.898,1853.4704,
350.988,1839.013,
348.077,1834.0355,
345.167,1861.1892,
342.256,1864.9245,
339.345,1835.1769,
336.435,1827.9867,
333.524,1879.906,
330.614,1876.9254,
327.703,1898.5898,
324.793,1906.3371,
321.882,1867.1352,
318.971,1922.8934,
316.061,1945.9065,
313.150,1963.3952,
310.240,2006.4379,
307.329,2010.1439,
304.418,1981.819,
301.508,1930.0646,
298.597,1866.3887,
295.687,1758.0595,
292.776,1751.5002,
289.866,1856.9287,
286.955,2074.8527,
284.044,2256.5348,
