,PL9A1E~1,
Raman shift [1/cm],Intensity,
1256.178,4990.1785,
1253.267,4889.3241,
1250.356,4796.2019,
1247.446,4618.1549,
1244.535,4444.3886,
1241.625,4329.8612,
1238.714,4221.7912,
1235.804,4099.187,
1232.893,4001.6537,
1229.982,3869.8701,
1227.072,3829.1311,
1224.161,3753.1262,
1221.251,3664.0546,
1218.340,3625.9416,
1215.430,3592.8243,
1212.519,3511.033,
1209.608,3451.7163,
1206.698,3469.1009,
1203.787,3449.9636,
1200.877,3463.5405,
1197.966,3532.7758,
1195.055,3573.7929,
1192.145,3675.6706,
1189.234,3794.1882,
1186.324,3850.5236,
1183.413,3868.4074,
1180.503,3898.45,
1177.592,3915.987,
1174.681,3858.3219,
1171.771,3830.6112,
1168.860,3802.9255,
1165.950,3735.7468,
1163.039,3668.5682,
1160.129,3652.1486,
1157.218,3598.0809,
1154.307,3557.1405,
1151.397,3579.1306,
1148.486,3527.5583,
1145.576,3474.0098,
1142.665,3376.3393,
1139.754,3458.5628,
1136.844,3416.2227,
1133.933,3315.9367,
1131.023,3268.4989,
1128.112,3260.0376,
1125.202,3241.564,
1122.291,3263.6395,
1119.380,3301.6744,
1116.470,3344.9183,
1113.559,3282.9773,
1110.649,3290.0987,
1107.738,3321.932,
1104.828,3338.9144,
1101.917,3342.1376,
1099.006,3330.2297,
1096.096,3266.0239,
1093.185,3294.9979,
1090.275,3313.4354,
1087.364,3305.5859,
1084.453,3302.4999,
1081.543,3309.5087,
1078.632,3307.7884,
1075.722,3279.847,
1072.811,3243.3454,
1069.901,3300.9807,
1066.990,3318.9916,
1064.079,3333.8187,
1061.169,3358.0282,
1058.258,3395.6947,
1055.348,3429.4835,
1052.437,3449.3851,
1049.527,3510.0416,
1046.616,3478.7638,
1043.705,3525.3497,
1040.795,3544.7195,
1037.884,3564.4451,
1034.974,3571.1946,
1032.063,3566.4111,
1029.153,3604.2114,
1026.242,3595.5618,
1023.331,3639.4138,
1020.421,3635.7022,
1017.510,3664.4268,
1014.600,3710.2819,
1011.689,3746.7976,
1008.778,3790.2569,
1005.868,3890.6168,
1002.957,4042.8995,
1000.047,4211.1221,
997.136,4315.76,
994.226,4356.6038,
991.315,4354.1163,
988.404,4323.8464,
985.494,4273.869,
982.583,4212.197,
979.673,4182.0322,
976.762,4170.7274,
973.852,4188.5825,
970.941,4215.7319,
968.030,4212.3366,
965.120,4173.318,
962.209,4189.5163,
959.299,4197.2077,
956.388,4193.6504,
953.477,4194.5934,
950.567,4202.25,
947.656,4204.2554,
944.746,4219.5474,
941.835,4250.2131,
938.925,4254.6178,
936.014,4244.651,
933.103,4209.4148,
930.193,4170.0381,
927.282,4205.0338,
924.372,4127.2379,
921.461,4029.6184,
918.551,3984.3076,
915.640,3946.6287,
912.729,3890.1967,
909.819,3839.362,
906.908,3847.7863,
903.998,3845.8639,
901.087,3910.1736,
898.176,3950.1132,
895.266,3964.359,
892.355,4001.7571,
889.445,4073.9341,
886.534,4126.0121,
883.624,4165.1818,
880.713,4226.2027,
877.802,4245.543,
874.892,4189.7123,
871.981,4155.7173,
869.071,4133.1612,
866.160,4174.0974,
863.250,4188.4838,
860.339,4176.8065,
857.428,4158.1716,
854.518,4125.7465,
851.607,4039.2113,
848.697,3998.1129,
845.786,3984.6931,
842.875,3983.25,
839.965,3977.6819,
837.054,3952.5756,
834.144,3981.582,
831.233,3999.2491,
828.323,3989.9183,
825.412,3949.1369,
822.501,3891.335,
819.591,3864.0638,
816.680,3820.782,
813.770,3774.5394,
810.859,3741.969,
807.949,3723.8402,
805.038,3715.1372,
802.127,3739.0079,
799.217,3711.4344,
796.306,3670.6011,
793.396,3648.0286,
790.485,3651.1452,
787.574,3658.5614,
784.664,3666.7625,
781.753,3667.579,
778.843,3671.1707,
775.932,3674.9414,
773.022,3683.8866,
770.111,3746.0226,
