,PL2F1D~1,
Raman shift [1/cm],Intensity,
1317.300,2992.6921,
1314.389,3033.0143,
1311.479,3088.1356,
1308.568,3129.1754,
1305.657,3133.0146,
1302.747,3206.7548,
1299.836,3342.5111,
1296.926,3394.683,
1294.015,3516.953,
1291.105,3630.3066,
1288.194,3696.9183,
1285.283,3762.9842,
1282.373,3861.2028,
1279.462,3940.0386,
1276.552,3987.5119,
1273.641,4046.4422,
1270.731,4115.997,
1267.820,4143.7393,
1264.909,4154.615,
1261.999,4129.3675,
1259.088,4112.0372,
1256.178,4048.4787,
1253.267,3984.2963,
1250.356,3960.5502,
1247.446,3808.558,
1244.535,3646.0225,
1241.625,3546.6297,
1238.714,3461.4683,
1235.804,3383.5924,
1232.893,3300.6348,
1229.982,3254.1295,
1227.072,3198.9055,
1224.161,3149.6128,
1221.251,3135.0439,
1218.340,3054.6148,
1215.430,2963.5529,
1212.519,2938.0355,
1209.608,2958.5438,
1206.698,2966.7873,
1203.787,2981.0352,
1200.877,3031.5602,
1197.966,3056.7366,
1195.055,3102.3689,
1192.145,3199.4099,
1189.234,3302.3135,
1186.324,3338.1815,
1183.413,3385.7869,
1180.503,3398.0626,
1177.592,3291.1211,
1174.681,3265.8767,
1171.771,3203.1648,
1168.860,3210.3096,
1165.950,3159.3975,
1163.039,3150.492,
1160.129,3141.3826,
1157.218,3117.655,
1154.307,3112.2438,
1151.397,3113.7098,
1148.486,3057.0519,
1145.576,3046.0771,
1142.665,3047.8529,
1139.754,2986.1642,
1136.844,2989.5076,
1133.933,2988.2024,
1131.023,2964.0604,
1128.112,2941.5004,
1125.202,2929.9952,
1122.291,2908.1253,
1119.380,2909.3811,
1116.470,2948.2123,
1113.559,2945.2675,
1110.649,2952.8227,
1107.738,2959.6075,
1104.828,2964.3288,
1101.917,2985.2729,
1099.006,3013.1343,
1096.096,2961.8387,
1093.185,2959.2047,
1090.275,2984.8966,
1087.364,2971.7886,
1084.453,2972.5619,
1081.543,2994.8995,
1078.632,3006.7919,
1075.722,2990.2478,
1072.811,2990.3508,
1069.901,3037.5069,
1066.990,3065.2499,
1064.079,3062.8338,
1061.169,3070.5983,
1058.258,3088.4697,
1055.348,3107.6429,
1052.437,3136.4953,
1049.527,3189.7315,
1046.616,3182.7808,
1043.705,3215.9137,
1040.795,3225.3615,
1037.884,3237.1377,
1034.974,3246.393,
1032.063,3240.3308,
1029.153,3245.3862,
1026.242,3331.8819,
1023.331,3307.5018,
1020.421,3316.6391,
1017.510,3375.6659,
1014.600,3407.6955,
1011.689,3403.8372,
1008.778,3436.1162,
1005.868,3496.0193,
1002.957,3609.5861,
1000.047,3782.7921,
997.136,3910.3044,
994.226,3934.9081,
991.315,3897.0842,
988.404,3867.1645,
985.494,3805.252,
982.583,3771.8463,
979.673,3739.9291,
976.762,3730.5871,
973.852,3727.4639,
970.941,3731.2987,
968.030,3760.1678,
965.120,3811.7029,
962.209,3740.9419,
959.299,3770.0785,
956.388,3775.2408,
953.477,3772.9875,
950.567,3793.4569,
947.656,3821.106,
944.746,3806.6636,
941.835,3807.6196,
938.925,3837.6123,
936.014,3830.2378,
933.103,3809.0593,
930.193,3789.8258,
927.282,3703.4877,
924.372,3675.5826,
921.461,3640.3348,
918.551,3641.1996,
915.640,3592.6326,
912.729,3518.4886,
909.819,3520.7717,
906.908,3466.0141,
903.998,3488.4517,
901.087,3558.0141,
898.176,3589.7052,
895.266,3582.7782,
892.355,3591.9783,
889.445,3666.6731,
886.534,3712.0831,
883.624,3752.6231,
880.713,3776.1657,
877.802,3797.2009,
874.892,3809.3146,
871.981,3753.5524,
869.071,3776.9439,
866.160,3720.9735,
863.250,3708.6777,
860.339,3742.0466,
857.428,3771.3042,
854.518,3741.5316,
851.607,3690.7754,
848.697,3699.8832,
845.786,3688.2793,
842.875,3680.836,
839.965,3709.8012,
837.054,3749.2278,
834.144,3680.4414,
831.233,3674.9994,
828.323,3675.0434,
825.412,3665.5266,
822.501,3650.1276,
819.591,3628.6412,
816.680,3614.3782,
813.770,3569.6508,
810.859,3515.2181,
807.949,3475.1414,
805.038,3464.0044,
802.127,3455.7731,
799.217,3445.3099,
796.306,3442,
793.396,3455.2368,
790.485,3466.1027,
787.574,3431.1485,
784.664,3487.7362,
781.753,3461.0959,
778.843,3455.7421,
775.932,3472.395,
773.022,3479.8732,
770.111,3479.0556,
767.200,3491.9423,
764.290,3504.0903,
761.379,3469.0378,
758.469,3414.7892,
755.558,3448.2674,
752.648,3457.2281,
749.737,3432.2356,
746.826,3395.1552,
743.916,3357.2726,
741.005,3313.4277,
738.095,3193.2699,
735.184,3130.3759,
