,PL9BEC~1,
Raman shift [1/cm],Intensity,
1745.155,476.96054,
1742.244,490.50269,
1739.334,483.87677,
1736.423,476.625,
1733.512,484.62909,
1730.602,510.06551,
1727.691,486.91858,
1724.781,492.56995,
1721.870,489.3821,
1718.960,497.49179,
1716.049,512.20962,
1713.138,512.06001,
1710.228,508.14381,
1707.317,516.47071,
1704.407,549.9673,
1701.496,510.78225,
1698.586,481.67742,
1695.675,561.96736,
1692.764,529.75613,
1689.854,541.01871,
1686.943,559.98421,
1684.033,545.02238,
1681.122,579.03027,
1678.211,562.7868,
1675.301,580.5695,
1672.390,612.69379,
1669.480,635.82555,
1666.569,660.44726,
1663.659,647.35996,
1660.748,691.29721,
1657.837,674.73435,
1654.927,681.12446,
1652.016,743.40631,
1649.106,734.57604,
1646.195,733.24839,
1643.285,759.58204,
1640.374,801.3567,
1637.463,835.58897,
1634.553,834.91067,
1631.642,920.78787,
1628.732,936.20569,
1625.821,1033.661,
1622.911,1088.3151,
1620.000,1098.499,
1617.089,1181.9335,
1614.179,1291.4947,
1611.268,1324.4725,
1608.358,1428.5681,
1605.447,1455.3109,
1602.536,1427.7365,
1599.626,1504.7392,
1596.715,1488.935,
1593.805,1508.9833,
1590.894,1507.2216,
1587.984,1442.5342,
1585.073,1439.4315,
1582.162,1411.404,
1579.252,1371.2564,
1576.341,1359.6197,
1573.431,1350.0101,
1570.520,1343.8031,
1567.610,1335.919,
1564.699,1279.2478,
1561.788,1243.8364,
1558.878,1206.9007,
1555.967,1180.0724,
1553.057,1143.0046,
1550.146,1121.3232,
1547.235,1071.3989,
1544.325,1052.7633,
1541.414,1058.2244,
1538.504,1057.7354,
1535.593,1062.1119,
1532.683,1075.0286,
1529.772,1074.5315,
1526.861,1065.0855,
1523.951,1078.7614,
1521.040,1073.227,
1518.130,1078.9074,
1515.219,1104.7048,
1512.309,1106.9268,
1509.398,1085.3285,
1506.487,1066.5464,
1503.577,1050.2737,
1500.666,1033.2673,
1497.756,1006.5487,
1494.845,1005.3849,
1491.934,999.51791,
1489.024,966.79315,
1486.113,973.96994,
1483.203,972.84866,
1480.292,897.10748,
1477.382,875.54252,
1474.471,904.32016,
1471.560,896.93468,
1468.650,851.6784,
1465.739,822.09618,
1462.829,836.51361,
1459.918,846.75756,
1457.008,851.24048,
1454.097,850.30615,
1451.186,826.06988,
1448.276,791.60417,
1445.365,778.87697,
1442.455,803.71828,
1439.544,798.32433,
1436.633,765.60514,
1433.723,743.63405,
1430.812,724.10265,
1427.902,741.92596,
1424.991,712.54532,
1422.081,727.22211,
1419.170,694.92665,
1416.259,734.17847,
1413.349,774.0794,
1410.438,729.74197,
1407.528,713.06242,
1404.617,702.53392,
1401.707,659.23875,
1398.796,660.77876,
1395.885,673.71537,
1392.975,626.68684,
1390.064,572.90303,
1387.154,493.06285,
1384.243,413.38135,
1381.332,362.03958,
1378.422,424.23347,
1375.511,474.81964,
1372.601,576.99774,
1369.690,674.77614,
1366.780,703.88163,
1363.869,695.27489,
1360.958,718.35408,
1358.048,758.73072,
1355.137,819.73109,
1352.227,852.21973,
1349.316,838.40374,
1346.406,853.85065,
1343.495,925.56234,
1340.584,975.33959,
1337.674,956.26821,
1334.763,962.89527,
1331.853,996.27559,
1328.942,1047.435,
1326.032,1027.5251,
1323.121,1063.119,
1320.210,1090.2775,
1317.300,1153.8775,
1314.389,1212.1254,
1311.479,1172.3924,
1308.568,1123.7684,
1305.657,1149.8008,
1302.747,1115.7783,
1299.836,1177.6447,
1296.926,1224.3424,
1294.015,1304.3236,
1291.105,1394.7986,
1288.194,1450.5559,
1285.283,1500.2892,
1282.373,1509.9297,
1279.462,1528.5854,
1276.552,1554.0581,
1273.641,1550.4776,
1270.731,1520.922,
1267.820,1501.7798,
1264.909,1524.3949,
1261.999,1570.5292,
1259.088,1485.702,
1256.178,1524.3043,
1253.267,1477.1541,
1250.356,1445.0482,
1247.446,1449.3595,
1244.535,1444.2456,
1241.625,1437.0842,
1238.714,1433.8592,
1235.804,1405.8434,
1232.893,1397.6389,
1229.982,1334.1037,
1227.072,1318.7134,
1224.161,1316.7845,
1221.251,1233.24,
1218.340,1185.8385,
1215.430,1191.5905,
1212.519,1173.8374,
1209.608,1177.3782,
1206.698,1238.8587,
1203.787,1205.2079,
1200.877,1227.4668,
1197.966,1273.3239,
1195.055,1314.8744,
1192.145,1331.3925,
1189.234,1386.5284,
1186.324,1452.8105,
1183.413,1477.1174,
1180.503,1466.6132,
1177.592,1472.0595,
1174.681,1493.8373,
1171.771,1474.4808,
1168.860,1468.2291,
1165.950,1466.0124,
1163.039,1427.9112,
1160.129,1428.7308,
1157.218,1439.6635,
1154.307,1442.7063,
1151.397,1441.544,
1148.486,1416.8267,
1145.576,1406.2395,
1142.665,1397.3604,
1139.754,1447.8836,
1136.844,1440.7168,
1133.933,1426.7599,
1131.023,1411.2947,
1128.112,1380.4134,
1125.202,1346.9004,
1122.291,1347.7584,
1119.380,1369.5384,
1116.470,1360.7131,
1113.559,1331.0148,
1110.649,1312.8023,
1107.738,1312.4474,
1104.828,1320.786,
1101.917,1331.0631,
1099.006,1339.6972,
1096.096,1331.0013,
1093.185,1337.1473,
1090.275,1382.9441,
1087.364,1394.3111,
1084.453,1403.6244,
1081.543,1421.1423,
1078.632,1444.6536,
1075.722,1467.9414,
1072.811,1473.0045,
1069.901,1464.2719,
1066.990,1441.8001,
1064.079,1410.085,
1061.169,1410.3279,
1058.258,1411.3083,
1055.348,1409.7954,
1052.437,1434.8211,
1049.527,1425.0879,
1046.616,1411.1867,
1043.705,1426.5818,
1040.795,1435.456,
1037.884,1434.0848,
1034.974,1412.7487,
1032.063,1391.9247,
1029.153,1416.328,
1026.242,1372.2152,
1023.331,1393.1236,
1020.421,1412.9612,
1017.510,1419.625,
1014.600,1426.3919,
1011.689,1443.607,
1008.778,1471.2488,
1005.868,1515.764,
1002.957,1531.2504,
1000.047,1586.769,
997.136,1623.6574,
994.226,1627.5944,
991.315,1601.7933,
988.404,1557.1942,
985.494,1513.3565,
982.583,1501.3647,
979.673,1506.2098,
976.762,1492.7732,
973.852,1471.0168,
970.941,1470.6658,
968.030,1497.5671,
965.120,1474.7431,
962.209,1502.877,
959.299,1515.4157,
956.388,1521.9848,
953.477,1513.5273,
950.567,1500.2392,
947.656,1509.6304,
944.746,1524.9224,
941.835,1541.8213,
938.925,1566.6826,
936.014,1579.6483,
933.103,1575.9755,
930.193,1564.826,
927.282,1563.1832,
924.372,1591.9338,
921.461,1558.805,
918.551,1529.9398,
915.640,1502.0522,
912.729,1475.3313,
909.819,1464.4034,
906.908,1470.3004,
903.998,1456.3084,
901.087,1447.533,
898.176,1469.9163,
895.266,1488.4204,
892.355,1481.5039,
889.445,1550.3238,
886.534,1512.2209,
883.624,1498.5695,
880.713,1523.6946,
877.802,1539.5085,
874.892,1518.9927,
871.981,1519.8951,
869.071,1488.9848,
866.160,1506.3937,
863.250,1525.5364,
860.339,1538.9946,
857.428,1541.164,
854.518,1508.6862,
851.607,1476.2355,
848.697,1469.9372,
845.786,1472.7388,
842.875,1487.8592,
839.965,1508.29,
837.054,1498.0064,
834.144,1531.9853,
831.233,1531.2922,
828.323,1529.1087,
825.412,1522.254,
822.501,1512.2209,
819.591,1554.3673,
816.680,1519.5672,
813.770,1501.2275,
810.859,1502.8449,
807.949,1500.3249,
805.038,1471.9193,
802.127,1482.6199,
799.217,1462.7541,
796.306,1440.3006,
793.396,1453.5413,
790.485,1493.4673,
787.574,1497.6525,
784.664,1524.7162,
781.753,1527.612,
778.843,1540.8374,
775.932,1546.9832,
773.022,1523.3139,
770.111,1495.5162,
767.200,1494.3863,
764.290,1500.4038,
761.379,1505.8066,
758.469,1488.5817,
755.558,1416.3089,
752.648,1405.7191,
749.737,1382.083,
746.826,1324.0029,
743.916,1228.462,
741.005,1090.6462,
738.095,834.09315,
735.184,531.90231,
732.274,446.76449,
729.363,645.49091,
726.452,1043.548,
723.542,1303.3633,
720.631,1401.7243,
717.721,1430.4892,
714.810,1465.7441,
711.899,1517.7438,
708.989,1509.6746,
706.078,1485.5859,
703.168,1486.3044,
700.257,1485.2616,
697.347,1469.365,
694.436,1439.2322,
691.525,1424.7637,
688.615,1447.4104,
685.704,1475.1441,
682.794,1482.7315,
679.883,1455.1749,
676.973,1489.6338,
674.062,1497.2631,
671.151,1477.4618,
668.241,1455.1987,
665.330,1469.6125,
662.420,1532.7123,
659.509,1529.7517,
656.598,1541.397,
653.688,1578.7469,
650.777,1612.625,
647.867,1612.625,
644.956,1605.1952,
642.046,1579.8951,
639.135,1545.1752,
636.224,1524.7921,
633.314,1558.1375,
630.403,1536.4733,
627.493,1501.4142,
624.582,1476.5061,
621.672,1467.0022,
618.761,1484.1036,
615.850,1501.7467,
612.940,1509.2343,
610.029,1504.0989,
607.119,1500.9404,
604.208,1497.0749,
601.297,1483.6606,
598.387,1466.179,
595.476,1451.3623,
592.566,1437.9821,
589.655,1435.625,
586.745,1437.7948,
583.834,1425.9129,
580.923,1373.2885,
578.013,1317.5724,
575.102,1362.8518,
572.192,1402.9803,
569.281,1402.6392,
566.371,1447.2487,
563.460,1489.7203,
560.549,1510.9851,
557.639,1522.5334,
554.728,1540.7437,
551.818,1574.2973,
548.907,1562.7332,
545.996,1545.5707,
543.086,1543.1612,
540.175,1568.8565,
537.265,1556.1394,
534.354,1548.1165,
531.444,1550.6408,
528.533,1564.3976,
525.622,1575.2608,
522.712,1564.2764,
519.801,1551.4243,
516.891,1554.9543,
513.980,1606.0579,
511.070,1599.3554,
508.159,1586.5064,
505.248,1588.8913,
502.338,1622.3991,
499.427,1614.6808,
496.517,1619.4129,
493.606,1615.2032,
490.695,1596.732,
487.785,1597.5018,
484.874,1621.5353,
481.964,1627.9805,
479.053,1614.0285,
476.143,1594.8295,
473.232,1586.431,
470.321,1571.4606,
467.411,1566.9826,
464.500,1591.3923,
461.590,1582.2034,
458.679,1612.6427,
455.769,1631.4333,
452.858,1611.5571,
449.947,1591.6949,
447.037,1639.1996,
444.126,1652.2917,
441.216,1617.2281,
438.305,1614.9423,
435.395,1627.7377,
432.484,1637.5423,
429.573,1641.98,
426.663,1643.5003,
423.752,1593.4108,
420.842,1562.0346,
417.931,1567.4316,
415.020,1626.5835,
412.110,1695.2018,
409.199,1726.96,
406.289,1717.6524,
403.378,1665.6455,
400.468,1671.6934,
