,PLCF6D~1,
Raman shift [1/cm],Intensity,
1424.991,2567.5875,
1422.081,2568.71,
1419.170,2515.3033,
1416.259,2501.2046,
1413.349,2483.2597,
1410.438,2468.0781,
1407.528,2461.3,
1404.617,2494.5156,
1401.707,2532.6535,
1398.796,2541.0988,
1395.885,2545.5562,
1392.975,2574.8757,
1390.064,2590.2766,
1387.154,2560.3521,
1384.243,2580.9087,
1381.332,2568.0723,
1378.422,2620.6767,
1375.511,2675.01,
1372.601,2851.8949,
1369.690,2803.4405,
1366.780,2890.2953,
1363.869,3010.317,
1360.958,3081.5267,
1358.048,3189.4651,
1355.137,3238.7843,
1352.227,3289.6401,
1349.316,3365.208,
1346.406,3399.529,
1343.495,3505.234,
1340.584,3620.4469,
1337.674,3609.4207,
1334.763,3761.8285,
1331.853,3708.0491,
1328.942,3779.7005,
1326.032,3863.0965,
1323.121,3976.9413,
1320.210,3977.579,
1317.300,4005.7326,
1314.389,4076.4452,
1311.479,4162.8067,
1308.568,4257.843,
1305.657,4308.9749,
1302.747,4337.9525,
1299.836,4520.4746,
1296.926,4591.3608,
1294.015,4795.4507,
1291.105,4875.1989,
1288.194,4974.3342,
1285.283,5083.5114,
1282.373,5177.992,
1279.462,5286.4422,
1276.552,5401.6941,
1273.641,5494.1047,
1270.731,5534.2302,
1267.820,5540.1805,
1264.909,5624.7753,
1261.999,5564.3105,
1259.088,5521.4408,
1256.178,5463.2053,
1253.267,5357.2084,
1250.356,5249.3136,
1247.446,5072.8207,
1244.535,4907.9779,
1241.625,4739.7568,
1238.714,4551.398,
1235.804,4451.1712,
1232.893,4393.2803,
1229.982,4252.778,
1227.072,4161.3414,
1224.161,4113.6903,
1221.251,4068.6495,
1218.340,3988.5026,
1215.430,3908.3827,
1212.519,3875.1388,
1209.608,3877.1662,
1206.698,3867.7046,
1203.787,3854.9353,
1200.877,3916.9367,
1197.966,3950.2056,
1195.055,4054.2648,
1192.145,4140.2472,
1189.234,4271.8721,
1186.324,4369.0605,
1183.413,4389.3928,
1180.503,4353.6279,
1177.592,4312.1073,
1174.681,4295.1353,
1171.771,4172.6071,
1168.860,4160.997,
1165.950,4091.3404,
1163.039,4077.6686,
1160.129,4061.1793,
1157.218,4023.396,
