,PL12AC~1,
Wavenumbers [1/cm],Intensity,
1879.041,2164.555,
1876.131,2143.4248,
1873.220,2130.7699,
1870.310,2155.991,
1867.399,2116.6717,
1864.489,2152,
1861.578,2152.934,
1858.667,2163.4671,
1855.757,2169.8079,
1852.846,2167.5333,
1849.936,2192.1391,
1847.025,2196.944,
1844.114,2187.2188,
1841.204,2207.7867,
1838.293,2213.0233,
1835.383,2190.8025,
1832.472,2182.2209,
1829.562,2213.5789,
1826.651,2237.4702,
1823.740,2256.0154,
1820.830,2275.1182,
1817.919,2225.2512,
1815.009,2299.4796,
1812.098,2257.4489,
1809.188,2251,
1806.277,2251.9779,
1803.366,2336.1349,
1800.456,2286.264,
1797.545,2311.5034,
1794.635,2343.42,
1791.724,2334.7475,
1788.813,2363.7805,
1785.903,2307.9244,
1782.992,2280.0058,
1780.082,2127.7649,
1777.171,2051.666,
1774.261,2079.6606,
1771.350,2205.4223,
1768.439,2358.5591,
1765.529,2388.7221,
1762.618,2384.5044,
1759.708,2404.7825,
1756.797,2410.0606,
1753.887,2406.6399,
1750.976,2410.5105,
1748.065,2447.8064,
1745.155,2478.6902,
1742.244,2444.6233,
1739.334,2477.7765,
1736.423,2500.8804,
1733.512,2508.7317,
1730.602,2549.4008,
1727.691,2539.7378,
1724.781,2547.1584,
1721.870,2566.2906,
1718.960,2596.3114,
1716.049,2624.6523,
1713.138,2682.0097,
1710.228,2629.2089,
1707.317,2650.0754,
1704.407,2662.0856,
1701.496,2713.1351,
1698.586,2707.8362,
1695.675,2706.0643,
1692.764,2789.3115,
1689.854,2747.122,
1686.943,2838.7286,
1684.033,2860.5281,
1681.122,2885.5752,
1678.211,2909.7716,
1675.301,2952.8674,
1672.390,2997.1555,
1669.480,3049.7059,
1666.569,3138.2061,
1663.659,3231.8693,
1660.748,3225.639,
1657.837,3310.4871,
1654.927,3377.3514,
1652.016,3394.8187,
1649.106,3509.3709,
1646.195,3565.7743,
1643.285,3639.4811,
1640.374,3705.5296,
1637.463,3828.5036,
1634.553,4075.8916,
1631.642,4203.6504,
1628.732,4355.4873,
1625.821,4605.2035,
1622.911,4914.2475,
1620.000,5171.7369,
1617.089,5574.8806,
1614.179,5859.9627,
1611.268,6227.1326,
1608.358,6600.3477,
1605.447,6840.5161,
1602.536,6892.2074,
1599.626,7011.8315,
1596.715,6963.9135,
1593.805,6899.8684,
1590.894,6865.6992,
1587.984,6771.0603,
1585.073,6745.9394,
1582.162,6667.1905,
1579.252,6561.9869,
1576.341,6564.4298,
1573.431,6507.3461,
1570.520,6511.4026,
1567.610,6407.7238,
1564.699,6387.4007,
1561.788,6268.6491,
1558.878,6186.6412,
1555.967,6069.9363,
1553.057,5914.2941,
1550.146,5781.0256,
1547.235,5674.9674,
1544.325,5560.4809,
1541.414,5452.1545,
1538.504,5366.382,
1535.593,5316.2879,
1532.683,5248.0351,
1529.772,5129.6821,
1526.861,5085.7374,
1523.951,5113.9183,
1521.040,5106.796,
1518.130,5073.6242,
1515.219,4984.1997,
1512.309,4953.626,
1509.398,4806.7323,
1506.487,4721.0319,
1503.577,4682.7957,
1500.666,4657.6883,
1497.756,4562.5935,
1494.845,4589.5976,
1491.934,4483.9465,
1489.024,4467.5841,
1486.113,4354.8069,
1483.203,4322.0195,
1480.292,4201.9054,
1477.382,4154.3278,
1474.471,4029.0563,
1471.560,4015.4956,
1468.650,4014.4342,
1465.739,3970.2896,
1462.829,3957.5491,
1459.918,3951.8452,
1457.008,3898.8456,
1454.097,3857.9243,
1451.186,3869.3965,
1448.276,3888.0587,
1445.365,3917.8254,
1442.455,3945.7743,
1439.544,3892.8974,
1436.633,3894.9513,
1433.723,3889.6261,
1430.812,3882.0499,
1427.902,3819.5265,
1424.991,3799.6234,
1422.081,3906.3448,
1419.170,3877.1173,
1416.259,3930.1346,
1413.349,3915.3008,
1410.438,3930.4923,
1407.528,3922.3315,
1404.617,3863.2684,
1401.707,3834.2994,
1398.796,3819.6469,
1395.885,3845.9532,
1392.975,3901.9578,
1390.064,3873.2309,
1387.154,3852.3268,
1384.243,3833.3786,
1381.332,3819.0986,
1378.422,3852.4051,
1375.511,4015.405,
1372.601,4147.0198,
1369.690,4213.7195,
1366.780,4366.3584,
1363.869,4416.3501,
1360.958,4477.7786,
1358.048,4580.5707,
1355.137,4631.5257,
1352.227,4712.0658,
1349.316,4892.5424,
1346.406,5030.5124,
1343.495,5066.899,
1340.584,5158.6425,
1337.674,5190.0769,
1334.763,5276.0465,
1331.853,5329.8259,
1328.942,5383.5889,
1326.032,5548.2304,
1323.121,5627.7169,
1320.210,5733.5652,
1317.300,5840.3841,
1314.389,5958.0292,
1311.479,6077.4948,
1308.568,6204.6544,
1305.657,6386.025,
1302.747,6585.9351,
1299.836,6736.6244,
1296.926,6947.5375,
1294.015,7088.194,
1291.105,7278.0332,
1288.194,7493.1008,
1285.283,7752.2209,
1282.373,7927.1247,
1279.462,8082.6647,
1276.552,8227.8585,
1273.641,8323.4336,
1270.731,8359.7075,
1267.820,8358.4257,
1264.909,8403.2089,
1261.999,8410.4355,
1259.088,8367.5658,
1256.178,8203.1297,
1253.267,8099.2805,
1250.356,7845.7337,
1247.446,7518.3242,
1244.535,7211.3844,
1241.625,6937.1188,
1238.714,6674.2619,
