,PLAA27~1,
Raman shift [1/cm],Intensity,
1916.879,915.95376,
1913.968,899.02213,
1911.058,887.74474,
1908.147,869.33576,
1905.237,879.09568,
1902.326,917.80448,
1899.415,858.79877,
1896.505,845.13257,
1893.594,865.44518,
1890.684,880.90198,
1887.773,914.96459,
1884.863,906.92027,
1881.952,897.4624,
1879.041,906.53894,
1876.131,883.56864,
1873.220,874.51326,
1870.310,912.98648,
1867.399,901.2399,
1864.489,925.05282,
1861.578,879.24159,
1858.667,899.38624,
1855.757,891.79356,
1852.846,901.01025,
1849.936,905.79079,
1847.025,911.81994,
1844.114,940.47298,
1841.204,944.11539,
1838.293,919.01164,
1835.383,931.12748,
1832.472,914.38261,
1829.562,945.02059,
1826.651,979.78644,
1823.740,953.60914,
1820.830,940.68502,
1817.919,938.37125,
1815.009,935.4313,
1812.098,952.05511,
1809.188,969.00772,
1806.277,934.79675,
1803.366,967.451,
1800.456,938.0776,
1797.545,984.36204,
1794.635,924.03108,
1791.724,967.07755,
1788.813,1009.9961,
1785.903,1001.2829,
1782.992,1002.0745,
1780.082,984.6404,
1777.171,993.99303,
1774.261,970.55505,
1771.350,999.14076,
1768.439,1026.637,
1765.529,1018.0917,
1762.618,1021.5506,
1759.708,1024.087,
1756.797,1024.7727,
1753.887,1031.5904,
1750.976,1051.9725,
1748.065,1062.8433,
1745.155,1040.3679,
1742.244,1017.068,
1739.334,1023.64,
1736.423,1081.284,
1733.512,1063.7072,
1730.602,1066.9524,
1727.691,1079.1413,
1724.781,1088.8658,
1721.870,1077.319,
1718.960,1102.7781,
1716.049,1150.9487,
1713.138,1113.6852,
1710.228,1121.6653,
1707.317,1125.7691,
1704.407,1146.6631,
1701.496,1148.0885,
1698.586,1155.3919,
1695.675,1140.093,
1692.764,1191.0697,
1689.854,1182.5197,
1686.943,1211.9545,
1684.033,1176.9189,
1681.122,1200.5752,
1678.211,1249.5336,
1675.301,1296.8551,
1672.390,1280.1017,
1669.480,1314.5054,
1666.569,1377.292,
1663.659,1399.7387,
1660.748,1385.1762,
1657.837,1445.5905,
1654.927,1472.3514,
1652.016,1487.6075,
1649.106,1512.3672,
1646.195,1528.031,
1643.285,1570.8659,
1640.374,1609.8815,
1637.463,1698.3243,
1634.553,1716.7241,
1631.642,1765.4235,
1628.732,1804.8355,
1625.821,1945.0792,
1622.911,2065.3181,
1620.000,2202.2614,
1617.089,2318.6716,
1614.179,2458.9955,
1611.268,2598.7579,
1608.358,2712.6622,
1605.447,2810.4007,
1602.536,2783.384,
1599.626,2907.9507,
1596.715,2837.3159,
1593.805,2823.634,
1590.894,2778.9665,
1587.984,2746.1511,
1585.073,2743.7016,
1582.162,2789.9187,
1579.252,2715.5333,
1576.341,2709.817,
1573.431,2672.2749,
1570.520,2673.23,
1567.610,2633.7836,
1564.699,2640.0259,
1561.788,2572.6486,
1558.878,2426.2958,
1555.967,2365.7327,
1553.057,2364.5517,
1550.146,2343.8764,
1547.235,2291.6288,
1544.325,2262.7379,
1541.414,2217.7954,
1538.504,2156.8513,
1535.593,2139.843,
1532.683,2105.5733,
1529.772,2058.8625,
1526.861,2041.8952,
1523.951,1984.8096,
1521.040,1949.0731,
1518.130,1963.3554,
1515.219,1919.8008,
1512.309,1892.982,
1509.398,1887.6143,
1506.487,1848.5353,
1503.577,1861.1756,
1500.666,1867.3285,
1497.756,1860.8558,
1494.845,1846.2396,
1491.934,1827.7102,
1489.024,1739.1609,
1486.113,1762.8893,
1483.203,1756.1183,
1480.292,1716.817,
1477.382,1684.9443,
1474.471,1709.6952,
1471.560,1686.345,
1468.650,1647.3523,
1465.739,1637.562,
1462.829,1621.0955,
1459.918,1602.9226,
1457.008,1610.1848,
1454.097,1623.8486,
1451.186,1617.6828,
1448.276,1605.2621,
1445.365,1628.7543,
1442.455,1674.987,
1439.544,1635.8927,
1436.633,1571.0308,
1433.723,1638.0121,
1430.812,1606.4536,
1427.902,1562.1353,
1424.991,1567.8219,
1422.081,1529.466,
1419.170,1532.0484,
1416.259,1506.2679,
1413.349,1533.2306,
1410.438,1537.702,
1407.528,1547.8748,
1404.617,1522.1208,
1401.707,1497.9401,
1398.796,1524.3776,
1395.885,1557.4803,
1392.975,1563.1251,
1390.064,1568.1772,
1387.154,1561.6536,
1384.243,1520.9981,
1381.332,1479.0866,
1378.422,1532.6373,
1375.511,1622.5683,
1372.601,1693.1178,
1369.690,1735.8606,
1366.780,1762.5929,
1363.869,1835.5624,
1360.958,1855.0581,
1358.048,1890.5653,
1355.137,1936.4503,
1352.227,1975.9609,
1349.316,2026.8851,
1346.406,2068.8738,
1343.495,2080.9791,
1340.584,2105.2496,
1337.674,2137.1088,
1334.763,2165.223,
1331.853,2223.6385,
1328.942,2198.4266,
1326.032,2261.0653,
1323.121,2301.9338,
1320.210,2318.991,
1317.300,2306.4735,
1314.389,2371.057,
1311.479,2443.4369,
1308.568,2458.7268,
1305.657,2505.2289,
1302.747,2571.9621,
1299.836,2629.6486,
1296.926,2627.0076,
1294.015,2777.7766,
1291.105,2845.6379,
1288.194,2961.8303,
1285.283,2996.16,
1282.373,3075.57,
1279.462,3137.0193,
1276.552,3187.2364,
1273.641,3248.7395,
1270.731,3275.1194,
1267.820,3264.5316,
1264.909,3276.6702,
1261.999,3266.0679,
1259.088,3240.5286,
1256.178,3186.7562,
1253.267,3118.9259,
1250.356,3046.8197,
1247.446,2940.0317,
1244.535,2816.1029,
1241.625,2724.5853,
1238.714,2661.9774,
1235.804,2581.8691,
1232.893,2510.6348,
1229.982,2463.7615,
1227.072,2397.6738,
1224.161,2361.9014,
1221.251,2298.6728,
1218.340,2278.3522,
1215.430,2266.4388,
1212.519,2208.102,
1209.608,2168.845,
1206.698,2215.213,
1203.787,2237.0553,
1200.877,2196.786,
1197.966,2241.744,
1195.055,2279.8364,
1192.145,2316.0537,
1189.234,2399.9623,
1186.324,2474.9124,
1183.413,2492.9594,
1180.503,2490.4667,
1177.592,2494.4137,
1174.681,2432.6199,
1171.771,2429.2582,
1168.860,2397.107,
1165.950,2371.4239,
1163.039,2333.1751,
1160.129,2323.7188,
1157.218,2297.1944,
1154.307,2261.6608,
1151.397,2251.3078,
1148.486,2234.853,
1145.576,2215.9207,
1142.665,2191.0591,
1139.754,2184.9319,
1136.844,2151.0858,
1133.933,2123.5104,
1131.023,2100.3092,
1128.112,2081.4291,
1125.202,2080.0724,
1122.291,2096.6267,
1119.380,2100.8614,
1116.470,2086.741,
1113.559,2119.023,
1110.649,2114.5934,
1107.738,2124.682,
1104.828,2132.5102,
1101.917,2126.7339,
1099.006,2131.6909,
1096.096,2104.9027,
1093.185,2152.3148,
1090.275,2128.4848,
1087.364,2144.6421,
1084.453,2139.8135,
1081.543,2114.4152,
1078.632,2095.1196,
1075.722,2089.8716,
1072.811,2086.4893,
1069.901,2107.4475,
1066.990,2100.1084,
1064.079,2123.8595,
1061.169,2145.9414,
1058.258,2158.6583,
1055.348,2178.2281,
1052.437,2220.0033,
1049.527,2271.6713,
1046.616,2289.0479,
1043.705,2263.2525,
1040.795,2302.8878,
1037.884,2318.8738,
1034.974,2307.2552,
1032.063,2313.6305,
1029.153,2336.8575,
1026.242,2327.343,
1023.331,2336.9994,
1020.421,2367.5812,
1017.510,2372.1561,
1014.600,2382.9172,
1011.689,2409.4208,
1008.778,2428.8492,
1005.868,2493.0734,
1002.957,2612.6626,
1000.047,2703.072,
997.136,2747.0324,
994.226,2769.2614,
991.315,2775.302,
988.404,2751.8935,
985.494,2709.9041,
982.583,2705.6213,
979.673,2699.8785,
976.762,2705.0452,
973.852,2711.768,
